,BURDEN
26128,-0.0006621347745249424
14709,-0.0001526362639341257
8195,-0.015665070525716383
38507,-0.011127682555320845
8914,0.008315036901248421
42297,-0.004242984632837253
26754,-0.008843047228984515
29739,0.05491862242495617
10414,-0.005423463821808878
30847,-0.003999282849958513
15355,-0.13179117483854244
5028,0.004888555128273631
38631,-0.08319586517911726
28251,-0.004120690541570091
5202,-0.0007656748523664353
32065,0.003951341074218833
17568,-0.05045111197111551
39820,-0.03240505850224357
13787,-0.022062741697499437
41012,-0.05071456666559997
44445,-0.012010212112110811
32925,-0.016562669049130042
20541,-0.015990983591112024
40300,0.06272421599534392
43341,-0.0013620096727238427
22913,-0.004250544346068988
42459,0.005138009632505833
296,-0.009016920345915329
40963,0.01557146481491575
24244,-0.009993976922903828
8226,-0.01403550852169069
37856,-0.12926284833015783
41725,0.009895735361734638
11982,0.004179912941307401
18261,0.04627131647591559
3573,-0.003661020750334495
2423,-0.010516067393908061
29005,-0.007857230999616308
5657,-0.029876633494283475
8707,-0.010195216008488384
10199,0.013496903819266763
10046,0.006300638566192618
11073,-0.043937079090158204
35772,0.0033821154004244035
25674,-0.007081993837786092
29951,-0.027146702321104572
38629,-0.015698236510320634
42941,-0.0071879178825378365
6809,0.0010944270477205933
39022,-0.021332245640029696
23199,-0.002715089537851538
7147,-0.04028038077809072
44898,0.00550898282821366
42484,-0.02822644032790246
19137,-0.014783467765271837
3422,-0.02556912633843058
11862,-0.01085671154381429
16028,-0.00766562064997919
986,0.009165336954689143
28499,0.010810351827021586
33,-0.012458900367040615
29597,0.004405512889834151
29942,-0.026814001747375953
20303,0.01923287361116352
36227,0.013775923552163727
24061,-0.12225113571732268
17400,0.17043039549351635
35682,-0.03215300323137733
36001,-0.0680134665904294
10639,0.007310526684475682
2464,-0.0030367109141820163
14037,0.4623895530939732
27542,0.03453480123626981
3419,-0.17411482306510467
26661,0.024594521763059346
29981,0.026122884594453583
29334,0.00355723120880945
20451,0.01115669358597516
37842,-0.05407355328646661
30525,-0.004275225209561497
13112,-0.030046864410163812
41322,-0.01294119960375132
13883,-0.014525817181533968
9484,0.07391938700989133
5072,0.005614196926564362
7565,-0.021139825815549226
22515,-0.01600335822430119
43087,-0.009111125450102092
17626,-0.07056424014627258
24975,0.17463439923161356
41683,-0.008355468664222326
34235,0.19575543302208664
19839,-0.005232289067563362
1224,-0.0180467809240838
24392,-0.019696734580406883
20849,-0.012865799258656304
9439,-0.045152657226182974
37899,0.012363288978165271
37910,-0.013414879081367119
30944,-0.010420261789261458
20616,-0.00614685571091618
1646,-0.010410508769461783
932,-0.02815640685839217
35803,0.008730964955716517
36802,0.05641751457231095
6947,-0.013550124605230956
42225,-0.02910142861111159
16327,-0.11273575489259594
19,-0.07878874695552283
26849,-0.03848189970559687
39288,0.020848015866606485
34842,0.0019703536869604896
8732,-0.01080439641901371
13239,-0.006143528827523777
20386,-0.02229068379104398
33622,-0.010484950881046083
1389,-0.028878112215948094
27894,0.0017120788909942182
12019,-0.008085402208332149
15295,-6.236218280067374e-05
23671,-0.012666852707579002
20027,-0.010116536972332876
23768,-0.02199159130856385
8053,-0.026983848139749717
20876,-0.011583971805750874
28356,0.011664628343287714
7221,-0.007102316854095309
11328,-0.015029632499213675
26158,-0.02593788148573232
27732,-0.004397559062995084
34427,-0.024860879271795915
2823,-0.004142093694062701
9908,0.00033869518359226636
9758,0.0054651611855913995
20727,-0.005976887604164427
15062,-0.02513553462121667
3384,-0.00975454939148079
19173,-0.09478274623772337
13721,0.014063119995313917
24583,-0.03604603185332774
21180,-0.0028279921279354605
43228,-0.00745175858604313
29937,0.009460063578158644
16398,0.2057737252538337
35650,-0.006973640494424348
3309,-0.007699589094799201
21771,0.00017442617213799666
14422,-0.0054860140502518
1124,-0.010986863243065985
2252,0.01298738965623561
5312,-0.011948542323355715
3312,-0.02619435030040874
39754,-0.021786254124499027
23502,-0.009642244958445555
29310,-0.010876939059880138
