Net generation from solar for Central (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390108&sdid=EBA.CENT-ALL.NG.SUN.H
19:10:14 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CENT-ALL.NG.SUN.H megawatthours
11/12/2021 01H,0
11/12/2021 00H,22
11/11/2021 23H,139
11/11/2021 22H,183
11/11/2021 21H,179
11/11/2021 20H,170
11/11/2021 19H,167
11/11/2021 18H,173
11/11/2021 17H,184
11/11/2021 16H,188
11/11/2021 15H,105
11/11/2021 14H,3
11/11/2021 13H,0
11/11/2021 12H,0
11/11/2021 11H,0
11/11/2021 10H,0
11/11/2021 09H,0
11/11/2021 08H,0
11/11/2021 07H,0
11/11/2021 06H,0
11/11/2021 05H,0
11/11/2021 04H,0
11/11/2021 03H,0
11/11/2021 02H,0
11/11/2021 01H,0
11/11/2021 00H,8
11/10/2021 23H,132
11/10/2021 22H,155
11/10/2021 21H,158
11/10/2021 20H,166
11/10/2021 19H,146
11/10/2021 18H,148
11/10/2021 17H,173
11/10/2021 16H,166
11/10/2021 15H,88
11/10/2021 14H,1
11/10/2021 13H,0
11/10/2021 12H,0
11/10/2021 11H,0
11/10/2021 10H,0
11/10/2021 09H,0
11/10/2021 08H,0
11/10/2021 07H,0
11/10/2021 06H,0
11/10/2021 05H,0
11/10/2021 04H,0
11/10/2021 03H,0
11/10/2021 02H,0
11/10/2021 01H,0
11/10/2021 00H,8
11/9/2021 23H,59
11/9/2021 22H,134
11/9/2021 21H,165
11/9/2021 20H,164
11/9/2021 19H,159
11/9/2021 18H,164
11/9/2021 17H,176
11/9/2021 16H,170
11/9/2021 15H,97
11/9/2021 14H,3
11/9/2021 13H,0
11/9/2021 12H,0
11/9/2021 11H,0
11/9/2021 10H,0
11/9/2021 09H,0
11/9/2021 08H,0
11/9/2021 07H,0
11/9/2021 06H,0
11/9/2021 05H,0
11/9/2021 04H,0
11/9/2021 03H,0
11/9/2021 02H,0
11/9/2021 01H,0
11/9/2021 00H,4
11/8/2021 23H,49
11/8/2021 22H,96
11/8/2021 21H,106
11/8/2021 20H,116
11/8/2021 19H,122
11/8/2021 18H,128
11/8/2021 17H,123
11/8/2021 16H,137
11/8/2021 15H,59
11/8/2021 14H,4
11/8/2021 13H,0
11/8/2021 12H,0
11/8/2021 11H,0
11/8/2021 10H,0
11/8/2021 09H,0
11/8/2021 08H,0
11/8/2021 07H,0
11/8/2021 06H,0
11/8/2021 05H,0
11/8/2021 04H,0
11/8/2021 03H,0
11/8/2021 02H,0
11/8/2021 01H,0
11/8/2021 00H,23
11/7/2021 23H,138
11/7/2021 22H,166
11/7/2021 21H,149
11/7/2021 20H,123
11/7/2021 19H,133
11/7/2021 18H,160
11/7/2021 17H,148
11/7/2021 16H,180
11/7/2021 15H,82
11/7/2021 14H,2
11/7/2021 13H,0
11/7/2021 12H,0
11/7/2021 11H,0
11/7/2021 10H,0
11/7/2021 09H,0
11/7/2021 08H,0
11/7/2021 07H,0
11/7/2021 06H,0
11/7/2021 05H,0
11/7/2021 04H,0
11/7/2021 03H,0
11/7/2021 02H,0
11/7/2021 01H,0
11/7/2021 00H,10
11/6/2021 23H,107
11/6/2021 22H,141
11/6/2021 21H,145
11/6/2021 20H,134
11/6/2021 19H,126
11/6/2021 18H,153
11/6/2021 17H,145
11/6/2021 16H,169
11/6/2021 15H,109
11/6/2021 14H,5
11/6/2021 13H,0
11/6/2021 12H,0
11/6/2021 11H,0
11/6/2021 10H,0
11/6/2021 09H,0
11/6/2021 08H,0
11/6/2021 07H,0
11/6/2021 06H,0
11/6/2021 05H,0
11/6/2021 04H,0
11/6/2021 03H,0
11/6/2021 02H,0
11/6/2021 01H,0
11/6/2021 00H,13
11/5/2021 23H,124
11/5/2021 22H,181
11/5/2021 21H,180
11/5/2021 20H,171
11/5/2021 19H,145
11/5/2021 18H,169
11/5/2021 17H,143
11/5/2021 16H,77
11/5/2021 15H,45
11/5/2021 14H,3
11/5/2021 13H,0
11/5/2021 12H,0
11/5/2021 11H,0
11/5/2021 10H,0
11/5/2021 09H,0
11/5/2021 08H,0
11/5/2021 07H,0
11/5/2021 06H,0
11/5/2021 05H,0
11/5/2021 04H,0
11/5/2021 03H,0
11/5/2021 02H,0
11/5/2021 01H,0
11/5/2021 00H,16
11/4/2021 23H,148
11/4/2021 22H,186
11/4/2021 21H,183
11/4/2021 20H,176
11/4/2021 19H,165
11/4/2021 18H,96
11/4/2021 17H,90
11/4/2021 16H,68
11/4/2021 15H,41
11/4/2021 14H,2
11/4/2021 13H,0
11/4/2021 12H,0
11/4/2021 11H,0
11/4/2021 10H,0
11/4/2021 09H,0
11/4/2021 08H,0
11/4/2021 07H,0
11/4/2021 06H,0
11/4/2021 05H,0
11/4/2021 04H,0
11/4/2021 03H,0
11/4/2021 02H,0
11/4/2021 01H,0
11/4/2021 00H,6
11/3/2021 23H,40
11/3/2021 22H,56
11/3/2021 21H,71
11/3/2021 20H,72
11/3/2021 19H,70
