Net generation from other for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.OTH.H
19:17:39 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.OTH.H megawatthours
11/7/2021 10H,129
11/7/2021 09H,126
11/7/2021 08H,131
11/7/2021 07H,139
11/7/2021 06H,135
11/7/2021 05H,140
11/7/2021 04H,143
11/7/2021 03H,145
11/7/2021 02H,143
11/7/2021 01H,142
11/7/2021 00H,146
11/6/2021 23H,146
11/6/2021 22H,147
11/6/2021 21H,153
11/6/2021 20H,163
11/6/2021 19H,167
11/6/2021 18H,167
11/6/2021 17H,167
11/6/2021 16H,169
11/6/2021 15H,162
11/6/2021 14H,157
11/6/2021 13H,150
11/6/2021 12H,144
11/6/2021 11H,141
11/6/2021 10H,136
11/6/2021 09H,140
11/6/2021 08H,136
11/6/2021 07H,140
11/6/2021 06H,140
11/6/2021 05H,142
11/6/2021 04H,144
11/6/2021 03H,143
11/6/2021 02H,144
11/6/2021 01H,145
11/6/2021 00H,147
11/5/2021 23H,145
11/5/2021 22H,147
11/5/2021 21H,153
11/5/2021 20H,161
11/5/2021 19H,166
11/5/2021 18H,173
11/5/2021 17H,171
11/5/2021 16H,171
11/5/2021 15H,171
11/5/2021 14H,167
11/5/2021 13H,154
11/5/2021 12H,149
11/5/2021 11H,149
11/5/2021 10H,144
11/5/2021 09H,140
11/5/2021 08H,137
11/5/2021 07H,138
11/5/2021 06H,146
11/5/2021 05H,148
11/5/2021 04H,150
11/5/2021 03H,151
11/5/2021 02H,147
11/5/2021 01H,145
11/5/2021 00H,148
11/4/2021 23H,147
11/4/2021 22H,149
11/4/2021 21H,149
11/4/2021 20H,153
11/4/2021 19H,160
11/4/2021 18H,171
11/4/2021 17H,171
11/4/2021 16H,169
11/4/2021 15H,171
11/4/2021 14H,158
11/4/2021 13H,149
11/4/2021 12H,147
11/4/2021 11H,147
11/4/2021 10H,146
11/4/2021 09H,136
11/4/2021 08H,136
11/4/2021 07H,147
11/4/2021 06H,146
11/4/2021 05H,152
11/4/2021 04H,147
11/4/2021 03H,148
11/4/2021 02H,151
11/4/2021 01H,154
11/4/2021 00H,151
11/3/2021 23H,150
11/3/2021 22H,152
11/3/2021 21H,159
11/3/2021 20H,169
11/3/2021 19H,175
11/3/2021 18H,179
11/3/2021 17H,178
11/3/2021 16H,176
11/3/2021 15H,171
11/3/2021 14H,167
11/3/2021 13H,157
11/3/2021 12H,151
11/3/2021 11H,154
11/3/2021 10H,153
11/3/2021 09H,151
11/3/2021 08H,145
11/3/2021 07H,142
11/3/2021 06H,142
11/3/2021 05H,144
11/3/2021 04H,149
11/3/2021 03H,149
11/3/2021 02H,151
11/3/2021 01H,150
11/3/2021 00H,148
11/2/2021 23H,146
11/2/2021 22H,149
11/2/2021 21H,152
11/2/2021 20H,153
11/2/2021 19H,158
11/2/2021 18H,153
11/2/2021 17H,161
11/2/2021 16H,156
11/2/2021 15H,156
11/2/2021 14H,158
11/2/2021 13H,154
11/2/2021 12H,148
11/2/2021 11H,149
11/2/2021 10H,149
11/2/2021 09H,141
11/2/2021 08H,140
11/2/2021 07H,135
11/2/2021 06H,142
11/2/2021 05H,148
11/2/2021 04H,147
11/2/2021 03H,146
11/2/2021 02H,146
11/2/2021 01H,145
11/2/2021 00H,149
11/1/2021 23H,143
11/1/2021 22H,140
11/1/2021 21H,147
11/1/2021 20H,160
11/1/2021 19H,165
11/1/2021 18H,169
11/1/2021 17H,168
11/1/2021 16H,168
11/1/2021 15H,162
11/1/2021 14H,156
11/1/2021 13H,148
11/1/2021 12H,138
11/1/2021 11H,141
11/1/2021 10H,140
11/1/2021 09H,134
11/1/2021 08H,133
11/1/2021 07H,133
11/1/2021 06H,134
11/1/2021 05H,137
11/1/2021 04H,136
11/1/2021 03H,143
11/1/2021 02H,139
11/1/2021 01H,141
