Net generation from petroleum for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.OIL.H
19:17:46 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.OIL.H megawatthours
11/3/2021 17H,617
11/3/2021 16H,624
11/3/2021 15H,625
11/3/2021 14H,675
11/3/2021 13H,697
11/3/2021 12H,648
11/3/2021 11H,626
11/3/2021 10H,614
11/3/2021 09H,597
11/3/2021 08H,595
11/3/2021 07H,595
11/3/2021 06H,596
11/3/2021 05H,609
11/3/2021 04H,608
11/3/2021 03H,690
11/3/2021 02H,727
11/3/2021 01H,742
11/3/2021 00H,812
11/2/2021 23H,868
11/2/2021 22H,714
11/2/2021 21H,688
11/2/2021 20H,655
11/2/2021 19H,747
11/2/2021 18H,842
11/2/2021 17H,848
11/2/2021 16H,854
11/2/2021 15H,845
11/2/2021 14H,663
11/2/2021 13H,658
11/2/2021 12H,652
11/2/2021 11H,616
11/2/2021 10H,625
11/2/2021 09H,597
11/2/2021 08H,596
11/2/2021 07H,581
11/2/2021 06H,600
11/2/2021 05H,610
11/2/2021 04H,607
11/2/2021 03H,638
11/2/2021 02H,688
11/2/2021 01H,748
11/2/2021 00H,748
11/1/2021 23H,695
11/1/2021 22H,617
11/1/2021 21H,610
11/1/2021 20H,593
11/1/2021 19H,592
11/1/2021 18H,593
11/1/2021 17H,594
11/1/2021 16H,595
11/1/2021 15H,617
11/1/2021 14H,638
11/1/2021 13H,663
11/1/2021 12H,661
11/1/2021 11H,597
11/1/2021 10H,584
11/1/2021 09H,568
11/1/2021 08H,569
11/1/2021 07H,567
11/1/2021 06H,565
11/1/2021 05H,579
11/1/2021 04H,577
11/1/2021 03H,591
11/1/2021 02H,591
11/1/2021 01H,594
11/1/2021 00H,594
10/31/2021 23H,593
10/31/2021 22H,628
10/31/2021 21H,584
10/31/2021 20H,579
10/31/2021 19H,576
10/31/2021 18H,577
10/31/2021 17H,582
10/31/2021 16H,584
10/31/2021 15H,584
10/31/2021 14H,586
10/31/2021 13H,588
10/31/2021 12H,588
10/31/2021 11H,589
10/31/2021 10H,574
10/31/2021 09H,558
10/31/2021 08H,571
10/31/2021 07H,572
10/31/2021 06H,572
10/31/2021 05H,580
10/31/2021 04H,586
10/31/2021 03H,591
10/31/2021 02H,588
