Net generation from wind for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.WND.H
19:17:59 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.WND.H megawatthours
11/13/2021 15H,810
11/13/2021 14H,658
11/13/2021 13H,453
11/13/2021 12H,355
11/13/2021 11H,460
11/13/2021 10H,550
11/13/2021 09H,649
11/13/2021 08H,682
11/13/2021 07H,810
11/13/2021 06H,717
11/13/2021 05H,905
11/13/2021 04H,949
11/13/2021 03H,932
11/13/2021 02H,876
11/13/2021 01H,757
11/13/2021 00H,725
11/12/2021 23H,520
11/12/2021 22H,490
11/12/2021 21H,504
11/12/2021 20H,711
11/12/2021 19H,764
11/12/2021 18H,836
11/12/2021 17H,792
11/12/2021 16H,1101
11/12/2021 15H,1096
11/12/2021 14H,1033
11/12/2021 13H,1408
11/12/2021 12H,1500
11/12/2021 11H,1452
11/12/2021 10H,1494
11/12/2021 09H,1339
11/12/2021 08H,1252
11/12/2021 07H,1268
11/12/2021 06H,1394
11/12/2021 05H,1662
11/12/2021 04H,1668
11/12/2021 03H,1628
11/12/2021 02H,1588
11/12/2021 01H,1584
11/12/2021 00H,1599
11/11/2021 23H,1467
11/11/2021 22H,1259
11/11/2021 21H,1014
11/11/2021 20H,874
11/11/2021 19H,750
11/11/2021 18H,705
11/11/2021 17H,680
11/11/2021 16H,703
11/11/2021 15H,666
11/11/2021 14H,642
11/11/2021 13H,581
11/11/2021 12H,509
11/11/2021 11H,451
11/11/2021 10H,433
11/11/2021 09H,434
11/11/2021 08H,379
11/11/2021 07H,340
11/11/2021 06H,283
11/11/2021 05H,211
11/11/2021 04H,153
11/11/2021 03H,219
11/11/2021 02H,252
11/11/2021 01H,345
11/11/2021 00H,440
11/10/2021 23H,397
11/10/2021 22H,246
11/10/2021 21H,187
11/10/2021 20H,299
11/10/2021 19H,334
11/10/2021 18H,582
11/10/2021 17H,518
11/10/2021 16H,277
11/10/2021 15H,185
11/10/2021 14H,209
11/10/2021 13H,369
11/10/2021 12H,418
11/10/2021 11H,421
11/10/2021 10H,350
11/10/2021 09H,221
11/10/2021 08H,115
11/10/2021 07H,91
11/10/2021 06H,69
11/10/2021 05H,42
11/10/2021 04H,29
11/10/2021 03H,23
11/10/2021 02H,11
11/10/2021 01H,13
11/10/2021 00H,34
11/9/2021 23H,25
11/9/2021 22H,24
11/9/2021 21H,33
11/9/2021 20H,68
11/9/2021 19H,53
11/9/2021 18H,58
11/9/2021 17H,173
11/9/2021 16H,244
11/9/2021 15H,180
11/9/2021 14H,237
11/9/2021 13H,328
11/9/2021 12H,423
11/9/2021 11H,550
11/9/2021 10H,636
11/9/2021 09H,699
