Net generation from natural gas for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.NG.H
19:17:26 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.NG.H megawatthours
11/5/2021 15H,6561
11/5/2021 14H,7044
11/5/2021 13H,7586
11/5/2021 12H,7768
11/5/2021 11H,7082
11/5/2021 10H,5845
11/5/2021 09H,5409
11/5/2021 08H,5208
11/5/2021 07H,5356
11/5/2021 06H,5420
11/5/2021 05H,5526
11/5/2021 04H,5662
11/5/2021 03H,6138
11/5/2021 02H,6960
11/5/2021 01H,7487
11/5/2021 00H,7758
11/4/2021 23H,8030
11/4/2021 22H,7429
11/4/2021 21H,7231
11/4/2021 20H,6623
11/4/2021 19H,6463
11/4/2021 18H,6300
11/4/2021 17H,6298
11/4/2021 16H,6219
11/4/2021 15H,6681
11/4/2021 14H,7117
11/4/2021 13H,7749
11/4/2021 12H,7687
11/4/2021 11H,6992
11/4/2021 10H,5917
11/4/2021 09H,5382
11/4/2021 08H,5264
11/4/2021 07H,5247
11/4/2021 06H,5257
11/4/2021 05H,5446
11/4/2021 04H,5435
11/4/2021 03H,5902
11/4/2021 02H,6866
11/4/2021 01H,7550
11/4/2021 00H,8266
11/3/2021 23H,8157
11/3/2021 22H,7521
11/3/2021 21H,6735
11/3/2021 20H,6538
11/3/2021 19H,6204
11/3/2021 18H,6149
11/3/2021 17H,6116
11/3/2021 16H,6301
11/3/2021 15H,6443
11/3/2021 14H,6862
11/3/2021 13H,7361
11/3/2021 12H,6774
11/3/2021 11H,6096
11/3/2021 10H,5475
11/3/2021 09H,5195
11/3/2021 08H,4725
11/3/2021 07H,4625
11/3/2021 06H,4857
11/3/2021 05H,5051
11/3/2021 04H,5061
11/3/2021 03H,5698
11/3/2021 02H,5982
11/3/2021 01H,6312
11/3/2021 00H,6854
11/2/2021 23H,6848
11/2/2021 22H,6599
11/2/2021 21H,5894
11/2/2021 20H,5681
11/2/2021 19H,5498
11/2/2021 18H,5473
11/2/2021 17H,5496
11/2/2021 16H,5676
11/2/2021 15H,5644
11/2/2021 14H,5615
11/2/2021 13H,5660
11/2/2021 12H,5613
11/2/2021 11H,5359
11/2/2021 10H,5149
11/2/2021 09H,4554
11/2/2021 08H,4587
11/2/2021 07H,4510
11/2/2021 06H,4475
11/2/2021 05H,4577
11/2/2021 04H,4942
11/2/2021 03H,5433
11/2/2021 02H,5798
11/2/2021 01H,6207
11/2/2021 00H,6668
11/1/2021 23H,6474
11/1/2021 22H,6077
11/1/2021 21H,5686
11/1/2021 20H,5035
11/1/2021 19H,4849
11/1/2021 18H,4875
11/1/2021 17H,4785
11/1/2021 16H,4944
11/1/2021 15H,5467
11/1/2021 14H,6011
11/1/2021 13H,6268
11/1/2021 12H,6082
11/1/2021 11H,5644
11/1/2021 10H,4965
11/1/2021 09H,4742
11/1/2021 08H,4536
11/1/2021 07H,4597
11/1/2021 06H,4689
11/1/2021 05H,4954
11/1/2021 04H,5194
11/1/2021 03H,5454
11/1/2021 02H,5711
11/1/2021 01H,5953
11/1/2021 00H,6034
10/31/2021 23H,6120
10/31/2021 22H,5998
10/31/2021 21H,5713
10/31/2021 20H,5473
10/31/2021 19H,5075
10/31/2021 18H,5301
10/31/2021 17H,5185
10/31/2021 16H,5197
10/31/2021 15H,5229
10/31/2021 14H,5269
10/31/2021 13H,5178
10/31/2021 12H,5003
10/31/2021 11H,4846
10/31/2021 10H,4774
10/31/2021 09H,4530
10/31/2021 08H,4555
10/31/2021 07H,4682
10/31/2021 06H,4747
10/31/2021 05H,4997
10/31/2021 04H,4586
10/31/2021 03H,4628
10/31/2021 02H,4700
10/31/2021 01H,5176
10/31/2021 00H,5723
10/30/2021 23H,6094
10/30/2021 22H,6166
10/30/2021 21H,6083
10/30/2021 20H,5880
10/30/2021 19H,6039
10/30/2021 18H,5969
10/30/2021 17H,6020
10/30/2021 16H,6050
10/30/2021 15H,5942
10/30/2021 14H,5286
10/30/2021 13H,4839
10/30/2021 12H,4838
10/30/2021 11H,4688
10/30/2021 10H,4507
10/30/2021 09H,4382
10/30/2021 08H,4405
10/30/2021 07H,4458
10/30/2021 06H,4388
10/30/2021 05H,4567
10/30/2021 04H,4795
10/30/2021 03H,5023
10/30/2021 02H,5453
10/30/2021 01H,5602
10/30/2021 00H,6280
10/29/2021 23H,6614
10/29/2021 22H,6465
10/29/2021 21H,5979
10/29/2021 20H,5417
10/29/2021 19H,5110
10/29/2021 18H,4955
10/29/2021 17H,4963
10/29/2021 16H,5159
10/29/2021 15H,5310
10/29/2021 14H,5459
10/29/2021 13H,5565
10/29/2021 12H,5572
10/29/2021 11H,5188
10/29/2021 10H,4798
10/29/2021 09H,4618
10/29/2021 08H,4552
10/29/2021 07H,4634
10/29/2021 06H,4640
10/29/2021 05H,4720
10/29/2021 04H,4922
10/29/2021 03H,5456
10/29/2021 02H,5485
10/29/2021 01H,5586
10/29/2021 00H,5996
10/28/2021 23H,5832
10/28/2021 22H,5464
10/28/2021 21H,5296
10/28/2021 20H,5077
10/28/2021 19H,4699
10/28/2021 18H,4651
10/28/2021 17H,4743
10/28/2021 16H,4947
10/28/2021 15H,5212
10/28/2021 14H,5333
10/28/2021 13H,5296
10/28/2021 12H,5136
10/28/2021 11H,4910
10/28/2021 10H,4654
10/28/2021 09H,4207
10/28/2021 08H,3993
10/28/2021 07H,3953
10/28/2021 06H,4073
10/28/2021 05H,4429
10/28/2021 04H,4647
10/28/2021 03H,5066
10/28/2021 02H,5691
10/28/2021 01H,6241
10/28/2021 00H,7125
10/27/2021 23H,7212
10/27/2021 22H,6916
10/27/2021 21H,6514
10/27/2021 20H,6210
10/27/2021 19H,6120
10/27/2021 18H,5940
10/27/2021 17H,5920
10/27/2021 16H,5963
10/27/2021 15H,6034
10/27/2021 14H,6219
10/27/2021 13H,6291
10/27/2021 12H,5971
10/27/2021 11H,5296
10/27/2021 10H,4785
10/27/2021 09H,4544
10/27/2021 08H,4448
10/27/2021 07H,4459
10/27/2021 06H,4509
10/27/2021 05H,4842
10/27/2021 04H,5020
10/27/2021 03H,5765
10/27/2021 02H,6299
10/27/2021 01H,6465
10/27/2021 00H,6890
10/26/2021 23H,6966
10/26/2021 22H,6873
10/26/2021 21H,6460
10/26/2021 20H,6139
10/26/2021 19H,6269
10/26/2021 18H,6517
10/26/2021 17H,6638
10/26/2021 16H,7057
10/26/2021 15H,7150
10/26/2021 14H,6752
10/26/2021 13H,6397
10/26/2021 12H,6248
10/26/2021 11H,5332
10/26/2021 10H,4905
10/26/2021 09H,4534
10/26/2021 08H,4453
10/26/2021 07H,4454
10/26/2021 06H,4556
10/26/2021 05H,4986
10/26/2021 04H,5616
10/26/2021 03H,6567
10/26/2021 02H,6312
10/26/2021 01H,6156
10/26/2021 00H,6902
10/25/2021 23H,7454
10/25/2021 22H,7245
10/25/2021 21H,7181
10/25/2021 20H,6835
10/25/2021 19H,6632
10/25/2021 18H,6440
10/25/2021 17H,6425
10/25/2021 16H,6472
10/25/2021 15H,6451
10/25/2021 14H,6398
10/25/2021 13H,6240
10/25/2021 12H,5953
10/25/2021 11H,5214
10/25/2021 10H,4259
10/25/2021 09H,4093
10/25/2021 08H,3726
10/25/2021 07H,3775
10/25/2021 06H,3709
10/25/2021 05H,3720
10/25/2021 04H,4422
10/25/2021 03H,4785
10/25/2021 02H,4916
10/25/2021 01H,5332
10/25/2021 00H,5724
10/24/2021 23H,5625
10/24/2021 22H,5530
10/24/2021 21H,4982
10/24/2021 20H,4523
10/24/2021 19H,4197
10/24/2021 18H,4449
10/24/2021 17H,4319
10/24/2021 16H,4288
10/24/2021 15H,4563
10/24/2021 14H,4775
10/24/2021 13H,4960
10/24/2021 12H,4616
10/24/2021 11H,4298
10/24/2021 10H,4031
10/24/2021 09H,3760
10/24/2021 08H,3761
10/24/2021 07H,3832
10/24/2021 06H,3911
10/24/2021 05H,4130
10/24/2021 04H,4621
10/24/2021 03H,4833
10/24/2021 02H,4925
10/24/2021 01H,5196
10/24/2021 00H,5624
10/23/2021 23H,5894
10/23/2021 22H,5461
10/23/2021 21H,4956
10/23/2021 20H,4435
10/23/2021 19H,4290
10/23/2021 18H,4091
10/23/2021 17H,4018
10/23/2021 16H,4134
10/23/2021 15H,4679
10/23/2021 14H,5130
10/23/2021 13H,5173
10/23/2021 12H,4839
10/23/2021 11H,4219
10/23/2021 10H,4073
10/23/2021 09H,4111
10/23/2021 08H,3971
10/23/2021 07H,4058
10/23/2021 06H,3991
10/23/2021 05H,4219
10/23/2021 04H,4776
10/23/2021 03H,5207
10/23/2021 02H,5764
10/23/2021 01H,6170
10/23/2021 00H,6605
10/22/2021 23H,7219
10/22/2021 22H,7128
10/22/2021 21H,6757
10/22/2021 20H,6177
10/22/2021 19H,5798
10/22/2021 18H,5738
10/22/2021 17H,5679
10/22/2021 16H,5805
10/22/2021 15H,6146
10/22/2021 14H,6320
10/22/2021 13H,6470
10/22/2021 12H,6087
10/22/2021 11H,5186
10/22/2021 10H,4877
10/22/2021 09H,4555
10/22/2021 08H,4297
10/22/2021 07H,4377
10/22/2021 06H,4366
10/22/2021 05H,4522
10/22/2021 04H,4651
10/22/2021 03H,5219
10/22/2021 02H,5878
10/22/2021 01H,6684
10/22/2021 00H,7233
10/21/2021 23H,7312
10/21/2021 22H,7389
10/21/2021 21H,7038
10/21/2021 20H,6917
10/21/2021 19H,6565
10/21/2021 18H,6294
10/21/2021 17H,6407
10/21/2021 16H,6559
10/21/2021 15H,6790
10/21/2021 14H,6746
10/21/2021 13H,6520
10/21/2021 12H,6195
10/21/2021 11H,5707
10/21/2021 10H,4929
10/21/2021 09H,4526
10/21/2021 08H,4408
10/21/2021 07H,4422
10/21/2021 06H,4581
10/21/2021 05H,4764
10/21/2021 04H,5234
10/21/2021 03H,5659
10/21/2021 02H,6464
10/21/2021 01H,6953
10/21/2021 00H,7280
10/20/2021 23H,7393
10/20/2021 22H,7362
10/20/2021 21H,7181
