Net generation from natural gas for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.NG.H
19:18:52 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.NG.H megawatthours
11/14/2021 05H,7924
11/14/2021 04H,8408
11/14/2021 03H,8982
11/14/2021 02H,9185
11/14/2021 01H,8877
11/14/2021 00H,7799
11/13/2021 23H,6398
11/13/2021 22H,6203
11/13/2021 21H,6044
11/13/2021 20H,5851
11/13/2021 19H,5763
11/13/2021 18H,5805
11/13/2021 17H,5974
11/13/2021 16H,6078
11/13/2021 15H,6575
11/13/2021 14H,6569
11/13/2021 13H,6023
11/13/2021 12H,5944
11/13/2021 11H,5867
11/13/2021 10H,6041
11/13/2021 09H,6138
11/13/2021 08H,7014
11/13/2021 07H,7747
11/13/2021 06H,8394
11/13/2021 05H,8973
11/13/2021 04H,9698
11/13/2021 03H,10428
11/13/2021 02H,10875
11/13/2021 01H,10877
11/13/2021 00H,9223
11/12/2021 23H,7591
11/12/2021 22H,6982
11/12/2021 21H,6534
11/12/2021 20H,6278
11/12/2021 19H,6368
11/12/2021 18H,6407
11/12/2021 17H,6657
11/12/2021 16H,7095
11/12/2021 15H,7792
11/12/2021 14H,7641
11/12/2021 13H,7128
11/12/2021 12H,6861
11/12/2021 11H,6789
11/12/2021 10H,6957
11/12/2021 09H,7006
11/12/2021 08H,7317
11/12/2021 07H,7794
11/12/2021 06H,8420
11/12/2021 05H,9146
11/12/2021 04H,9715
11/12/2021 03H,10030
11/12/2021 02H,10626
11/12/2021 01H,10635
11/12/2021 00H,9335
11/11/2021 23H,8350
11/11/2021 22H,8035
11/11/2021 21H,7624
11/11/2021 20H,7460
11/11/2021 19H,7193
11/11/2021 18H,7681
11/11/2021 17H,8237
11/11/2021 16H,8472
11/11/2021 15H,8785
11/11/2021 14H,8655
11/11/2021 13H,7894
11/11/2021 12H,7628
11/11/2021 11H,7740
11/11/2021 10H,7697
11/11/2021 09H,7827
11/11/2021 08H,8032
11/11/2021 07H,8315
11/11/2021 06H,9063
11/11/2021 05H,9628
11/11/2021 04H,9877
11/11/2021 03H,9995
11/11/2021 02H,10449
11/11/2021 01H,10109
11/11/2021 00H,8603
11/10/2021 23H,7535
11/10/2021 22H,7464
11/10/2021 21H,7359
11/10/2021 20H,7439
11/10/2021 19H,7397
11/10/2021 18H,7152
11/10/2021 17H,7222
11/10/2021 16H,7942
11/10/2021 15H,8329
11/10/2021 14H,8322
11/10/2021 13H,7589
11/10/2021 12H,7153
11/10/2021 11H,7250
11/10/2021 10H,7156
11/10/2021 09H,7249
11/10/2021 08H,7431
11/10/2021 07H,7739
11/10/2021 06H,8275
11/10/2021 05H,8696
11/10/2021 04H,8870
11/10/2021 03H,9075
11/10/2021 02H,9225
11/10/2021 01H,8977
11/10/2021 00H,8333
11/9/2021 23H,7941
11/9/2021 22H,7863
11/9/2021 21H,7663
11/9/2021 20H,8012
11/9/2021 19H,8274
11/9/2021 18H,8565
11/9/2021 17H,9030
11/9/2021 16H,9207
11/9/2021 15H,9465
11/9/2021 14H,9191
11/9/2021 13H,8164
11/9/2021 12H,7570
11/9/2021 11H,7361
11/9/2021 10H,7422
11/9/2021 09H,7935
11/9/2021 08H,8220
11/9/2021 07H,8597
11/9/2021 06H,9122
11/9/2021 05H,9844
11/9/2021 04H,9864
11/9/2021 03H,10655
11/9/2021 02H,11136
11/9/2021 01H,11004
11/9/2021 00H,10214
11/8/2021 23H,8663
11/8/2021 22H,8211
11/8/2021 21H,7723
11/8/2021 20H,7462
11/8/2021 19H,7787
11/8/2021 18H,7856
11/8/2021 17H,8314
11/8/2021 16H,9163
11/8/2021 15H,9507
11/8/2021 14H,9323
11/8/2021 13H,8354
11/8/2021 12H,8047
11/8/2021 11H,7947
11/8/2021 10H,7685
11/8/2021 09H,7524
11/8/2021 08H,6831
11/8/2021 07H,7221
11/8/2021 06H,8471
11/8/2021 05H,9286
11/8/2021 04H,9434
11/8/2021 03H,9447
11/8/2021 02H,9549
11/8/2021 01H,9158
11/8/2021 00H,8157
11/7/2021 23H,7632
11/7/2021 22H,6782
11/7/2021 21H,6463
11/7/2021 20H,6407
11/7/2021 19H,6489
11/7/2021 18H,6703
11/7/2021 17H,6651
11/7/2021 16H,7084
11/7/2021 15H,7466
11/7/2021 14H,7231
11/7/2021 13H,7041
11/7/2021 12H,6793
11/7/2021 11H,6715
11/7/2021 10H,6654
11/7/2021 09H,6645
11/7/2021 08H,7028
11/7/2021 07H,7538
11/7/2021 06H,8077
11/7/2021 05H,8468
11/7/2021 04H,9017
11/7/2021 03H,9091
11/7/2021 02H,9050
11/7/2021 01H,8790
11/7/2021 00H,7779
11/6/2021 23H,6534
11/6/2021 22H,6247
11/6/2021 21H,6086
11/6/2021 20H,6244
11/6/2021 19H,6357
11/6/2021 18H,6377
11/6/2021 17H,6523
11/6/2021 16H,7074
11/6/2021 15H,8496
11/6/2021 14H,8413
11/6/2021 13H,7982
11/6/2021 12H,7476
11/6/2021 11H,7400
11/6/2021 10H,7585
11/6/2021 09H,7594
11/6/2021 08H,7836
11/6/2021 07H,8046
11/6/2021 06H,8534
