Net generation from coal for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.COL.H
19:18:39 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.COL.H megawatthours
11/5/2021 20H,10370
11/5/2021 19H,10169
11/5/2021 18H,10053
11/5/2021 17H,10239
11/5/2021 16H,10049
11/5/2021 15H,10548
11/5/2021 14H,10909
11/5/2021 13H,10770
11/5/2021 12H,10252
11/5/2021 11H,9968
11/5/2021 10H,9676
11/5/2021 09H,9413
11/5/2021 08H,9347
11/5/2021 07H,9184
11/5/2021 06H,9350
11/5/2021 05H,9821
11/5/2021 04H,10332
11/5/2021 03H,10942
11/5/2021 02H,11113
11/5/2021 01H,11180
11/5/2021 00H,11186
11/4/2021 23H,10957
11/4/2021 22H,10787
11/4/2021 21H,10698
11/4/2021 20H,10663
11/4/2021 19H,10511
11/4/2021 18H,10362
11/4/2021 17H,10517
11/4/2021 16H,10823
11/4/2021 15H,10907
11/4/2021 14H,11217
11/4/2021 13H,11128
11/4/2021 12H,10873
11/4/2021 11H,10422
11/4/2021 10H,10178
11/4/2021 09H,10008
11/4/2021 08H,10399
11/4/2021 07H,10706
11/4/2021 06H,10975
11/4/2021 05H,11335
11/4/2021 04H,11543
11/4/2021 03H,11820
11/4/2021 02H,11986
11/4/2021 01H,12051
11/4/2021 00H,11764
11/3/2021 23H,11349
11/3/2021 22H,11313
11/3/2021 21H,11458
11/3/2021 20H,11428
11/3/2021 19H,11322
11/3/2021 18H,11095
11/3/2021 17H,11327
11/3/2021 16H,11459
11/3/2021 15H,11767
11/3/2021 14H,12012
11/3/2021 13H,12008
11/3/2021 12H,11919
11/3/2021 11H,11947
11/3/2021 10H,11963
11/3/2021 09H,11995
11/3/2021 08H,12049
11/3/2021 07H,11976
11/3/2021 06H,11986
11/3/2021 05H,12084
11/3/2021 04H,12051
11/3/2021 03H,11957
11/3/2021 02H,11879
11/3/2021 01H,11999
11/3/2021 00H,12002
11/2/2021 23H,11680
11/2/2021 22H,11709
11/2/2021 21H,11607
11/2/2021 20H,11326
11/2/2021 19H,11019
11/2/2021 18H,11416
11/2/2021 17H,11356
11/2/2021 16H,11432
11/2/2021 15H,12087
11/2/2021 14H,12127
11/2/2021 13H,12022
11/2/2021 12H,11928
11/2/2021 11H,11820
11/2/2021 10H,11825
11/2/2021 09H,11789
11/2/2021 08H,11926
11/2/2021 07H,11929
11/2/2021 06H,11982
11/2/2021 05H,11863
11/2/2021 04H,11874
11/2/2021 03H,12022
11/2/2021 02H,12190
11/2/2021 01H,12426
11/2/2021 00H,12193
11/1/2021 23H,11923
11/1/2021 22H,11690
11/1/2021 21H,11618
11/1/2021 20H,11557
11/1/2021 19H,11507
11/1/2021 18H,11443
11/1/2021 17H,11366
11/1/2021 16H,11371
11/1/2021 15H,11252
11/1/2021 14H,11343
11/1/2021 13H,11442
11/1/2021 12H,10630
11/1/2021 11H,10376
11/1/2021 10H,10279
11/1/2021 09H,10255
11/1/2021 08H,10188
11/1/2021 07H,10039
11/1/2021 06H,10109
11/1/2021 05H,10378
11/1/2021 04H,10898
11/1/2021 03H,11352
11/1/2021 02H,11411
11/1/2021 01H,11343
11/1/2021 00H,11129
10/31/2021 23H,10490
10/31/2021 22H,9994
10/31/2021 21H,10148
10/31/2021 20H,10758
10/31/2021 19H,11228
10/31/2021 18H,11227
10/31/2021 17H,11169
10/31/2021 16H,11101
10/31/2021 15H,11354
10/31/2021 14H,11170
10/31/2021 13H,10776
10/31/2021 12H,10562
10/31/2021 11H,10579
10/31/2021 10H,10388
10/31/2021 09H,10004
10/31/2021 08H,10047
10/31/2021 07H,9961
10/31/2021 06H,9965
10/31/2021 05H,9933
10/31/2021 04H,9729
10/31/2021 03H,10317
10/31/2021 02H,10609
10/31/2021 01H,10965
10/31/2021 00H,10741
10/30/2021 23H,9218
10/30/2021 22H,8972
10/30/2021 21H,8917
10/30/2021 20H,8720
10/30/2021 19H,9085
10/30/2021 18H,9008
10/30/2021 17H,9039
10/30/2021 16H,9486
10/30/2021 15H,9489
10/30/2021 14H,9294
10/30/2021 13H,9075
10/30/2021 12H,9233
10/30/2021 11H,9304
10/30/2021 10H,9351
10/30/2021 09H,9356
10/30/2021 08H,9619
10/30/2021 07H,9223
10/30/2021 06H,9067
10/30/2021 05H,9253
10/30/2021 04H,9187
10/30/2021 03H,9191
10/30/2021 02H,9622
10/30/2021 01H,9858
10/30/2021 00H,10001
10/29/2021 23H,9939
10/29/2021 22H,9790
10/29/2021 21H,9816
10/29/2021 20H,9524
10/29/2021 19H,9545
10/29/2021 18H,9568
10/29/2021 17H,9754
10/29/2021 16H,9815
10/29/2021 15H,10024
10/29/2021 14H,10196
10/29/2021 13H,10285
10/29/2021 12H,10140
10/29/2021 11H,9933
10/29/2021 10H,9830
10/29/2021 09H,9948
10/29/2021 08H,9817
10/29/2021 07H,9648
10/29/2021 06H,9625
10/29/2021 05H,9646
10/29/2021 04H,9781
10/29/2021 03H,8135
10/29/2021 02H,10055
10/29/2021 01H,10002
10/29/2021 00H,9212
10/28/2021 23H,7592
10/28/2021 22H,8676
10/28/2021 21H,8743
10/28/2021 20H,9017
10/28/2021 19H,8894
10/28/2021 18H,8857
10/28/2021 17H,8933
10/28/2021 16H,9190
10/28/2021 15H,9552
10/28/2021 14H,9414
10/28/2021 13H,9385
10/28/2021 12H,9110
10/28/2021 11H,9083
10/28/2021 10H,8992
10/28/2021 09H,8982
10/28/2021 08H,9060
10/28/2021 07H,8971
10/28/2021 06H,9008
10/28/2021 05H,9146
10/28/2021 04H,9328
10/28/2021 03H,9678
10/28/2021 02H,9735
10/28/2021 01H,9601
10/28/2021 00H,9134
10/27/2021 23H,7898
10/27/2021 22H,7562
10/27/2021 21H,7969
10/27/2021 20H,8294
10/27/2021 19H,8246
10/27/2021 18H,8406
10/27/2021 17H,8633
10/27/2021 16H,8878
10/27/2021 15H,9221
10/27/2021 14H,9494
10/27/2021 13H,9048
10/27/2021 12H,8959
10/27/2021 11H,8844
10/27/2021 10H,8856
10/27/2021 09H,8978
10/27/2021 08H,8808
10/27/2021 07H,8814
10/27/2021 06H,8812
