Net generation from petroleum for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.OIL.H
19:19:12 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.OIL.H megawatthours
11/8/2021 22H,58
11/8/2021 21H,59
11/8/2021 20H,59
11/8/2021 19H,60
11/8/2021 18H,57
11/8/2021 17H,58
11/8/2021 16H,59
11/8/2021 15H,57
11/8/2021 14H,60
11/8/2021 13H,60
11/8/2021 12H,61
11/8/2021 11H,60
11/8/2021 10H,59
11/8/2021 09H,60
11/8/2021 08H,60
11/8/2021 07H,60
11/8/2021 06H,59
11/8/2021 05H,59
11/8/2021 04H,56
11/8/2021 03H,59
11/8/2021 02H,60
11/8/2021 01H,60
11/8/2021 00H,59
11/7/2021 23H,60
11/7/2021 22H,60
11/7/2021 21H,60
11/7/2021 20H,60
11/7/2021 19H,60
11/7/2021 18H,59
11/7/2021 17H,59
11/7/2021 16H,59
11/7/2021 15H,59
11/7/2021 14H,60
11/7/2021 13H,58
11/7/2021 12H,60
11/7/2021 11H,60
11/7/2021 10H,60
11/7/2021 09H,60
11/7/2021 08H,59
11/7/2021 07H,60
11/7/2021 06H,59
11/7/2021 05H,58
11/7/2021 04H,58
11/7/2021 03H,59
11/7/2021 02H,59
11/7/2021 01H,60
11/7/2021 00H,60
11/6/2021 23H,58
11/6/2021 22H,57
11/6/2021 21H,57
11/6/2021 20H,58
11/6/2021 19H,58
11/6/2021 18H,56
11/6/2021 17H,58
11/6/2021 16H,59
11/6/2021 15H,59
11/6/2021 14H,60
11/6/2021 13H,60
11/6/2021 12H,60
11/6/2021 11H,60
11/6/2021 10H,60
11/6/2021 09H,56
11/6/2021 08H,28
11/6/2021 07H,31
11/6/2021 06H,52
11/6/2021 05H,58
11/6/2021 04H,60
11/6/2021 03H,60
11/6/2021 02H,60
11/6/2021 01H,59
11/6/2021 00H,54
11/5/2021 23H,54
11/5/2021 22H,53
11/5/2021 21H,53
11/5/2021 20H,54
11/5/2021 19H,57
11/5/2021 18H,57
11/5/2021 17H,58
11/5/2021 16H,57
11/5/2021 15H,58
11/5/2021 14H,59
11/5/2021 13H,59
11/5/2021 12H,60
11/5/2021 11H,60
11/5/2021 10H,60
11/5/2021 09H,59
11/5/2021 08H,59
11/5/2021 07H,59
11/5/2021 06H,58
11/5/2021 05H,56
11/5/2021 04H,56
11/5/2021 03H,56
11/5/2021 02H,56
11/5/2021 01H,57
11/5/2021 00H,54
11/4/2021 23H,53
11/4/2021 22H,52
11/4/2021 21H,56
11/4/2021 20H,56
11/4/2021 19H,58
11/4/2021 18H,58
11/4/2021 17H,57
11/4/2021 16H,59
11/4/2021 15H,59
11/4/2021 14H,60
11/4/2021 13H,60
11/4/2021 12H,60
11/4/2021 11H,59
11/4/2021 10H,60
11/4/2021 09H,59
11/4/2021 08H,60
11/4/2021 07H,60
11/4/2021 06H,59
11/4/2021 05H,58
11/4/2021 04H,56
11/4/2021 03H,57
11/4/2021 02H,58
11/4/2021 01H,59
11/4/2021 00H,59
11/3/2021 23H,59
11/3/2021 22H,59
11/3/2021 21H,59
11/3/2021 20H,58
11/3/2021 19H,60
11/3/2021 18H,59
11/3/2021 17H,59
11/3/2021 16H,57
11/3/2021 15H,57
11/3/2021 14H,59
11/3/2021 13H,58
11/3/2021 12H,59
11/3/2021 11H,58
11/3/2021 10H,58
11/3/2021 09H,58
11/3/2021 08H,59
11/3/2021 07H,59
11/3/2021 06H,58
11/3/2021 05H,56
11/3/2021 04H,58
11/3/2021 03H,58
11/3/2021 02H,58
11/3/2021 01H,58
11/3/2021 00H,59
11/2/2021 23H,59
11/2/2021 22H,59
11/2/2021 21H,58
11/2/2021 20H,59
11/2/2021 19H,58
11/2/2021 18H,60
11/2/2021 17H,58
11/2/2021 16H,59
11/2/2021 15H,59
11/2/2021 14H,59
11/2/2021 13H,60
11/2/2021 12H,58
11/2/2021 11H,59
11/2/2021 10H,59
11/2/2021 09H,59
11/2/2021 08H,59
11/2/2021 07H,59
11/2/2021 06H,60
11/2/2021 05H,60
11/2/2021 04H,59
11/2/2021 03H,59
11/2/2021 02H,60
11/2/2021 01H,58
11/2/2021 00H,59
11/1/2021 23H,56
11/1/2021 22H,59
11/1/2021 21H,59
11/1/2021 20H,59
11/1/2021 19H,59
11/1/2021 18H,59
11/1/2021 17H,59
11/1/2021 16H,57
11/1/2021 15H,58
11/1/2021 14H,59
11/1/2021 13H,60
11/1/2021 12H,60
11/1/2021 11H,59
11/1/2021 10H,60
11/1/2021 09H,62
11/1/2021 08H,60
11/1/2021 07H,59
11/1/2021 06H,59
11/1/2021 05H,59
11/1/2021 04H,58
11/1/2021 03H,59
11/1/2021 02H,60
11/1/2021 01H,57
11/1/2021 00H,56
10/31/2021 23H,57
10/31/2021 22H,56
10/31/2021 21H,55
10/31/2021 20H,52
10/31/2021 19H,51
10/31/2021 18H,47
10/31/2021 17H,39
10/31/2021 16H,38
10/31/2021 15H,36
10/31/2021 14H,29
