Net generation from nuclear for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.NUC.H
19:18:59 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.NUC.H megawatthours
11/6/2021 19H,1157
11/6/2021 18H,1159
11/6/2021 17H,1161
11/6/2021 16H,1163
11/6/2021 15H,1163
11/6/2021 14H,1163
11/6/2021 13H,1163
11/6/2021 12H,1163
11/6/2021 11H,1164
11/6/2021 10H,1163
11/6/2021 09H,1162
11/6/2021 08H,1162
11/6/2021 07H,1162
11/6/2021 06H,1162
11/6/2021 05H,1160
11/6/2021 04H,1160
11/6/2021 03H,1161
11/6/2021 02H,1159
11/6/2021 01H,1160
11/6/2021 00H,1158
11/5/2021 23H,1156
11/5/2021 22H,1155
11/5/2021 21H,1154
11/5/2021 20H,1157
11/5/2021 19H,1158
11/5/2021 18H,1161
11/5/2021 17H,1159
11/5/2021 16H,1161
11/5/2021 15H,1161
11/5/2021 14H,1160
11/5/2021 13H,1159
11/5/2021 12H,1158
11/5/2021 11H,1160
11/5/2021 10H,1160
11/5/2021 09H,1159
11/5/2021 08H,1159
11/5/2021 07H,1157
11/5/2021 06H,1156
11/5/2021 05H,1154
11/5/2021 04H,1155
11/5/2021 03H,1151
11/5/2021 02H,1149
11/5/2021 01H,1146
11/5/2021 00H,1147
11/4/2021 23H,1144
11/4/2021 22H,1148
11/4/2021 21H,1151
11/4/2021 20H,1153
11/4/2021 19H,1153
11/4/2021 18H,1152
11/4/2021 17H,1154
11/4/2021 16H,1154
11/4/2021 15H,1152
11/4/2021 14H,1154
11/4/2021 13H,1155
11/4/2021 12H,1156
11/4/2021 11H,1156
11/4/2021 10H,1158
11/4/2021 09H,1157
11/4/2021 08H,1153
11/4/2021 07H,1156
11/4/2021 06H,1158
11/4/2021 05H,1160
11/4/2021 04H,1156
11/4/2021 03H,1152
11/4/2021 02H,1151
11/4/2021 01H,1152
11/4/2021 00H,1153
11/3/2021 23H,1153
11/3/2021 22H,1154
11/3/2021 21H,1153
11/3/2021 20H,1153
11/3/2021 19H,1154
11/3/2021 18H,1154
11/3/2021 17H,1155
11/3/2021 16H,1156
11/3/2021 15H,1156
11/3/2021 14H,1155
11/3/2021 13H,1156
11/3/2021 12H,1154
11/3/2021 11H,1156
11/3/2021 10H,1154
11/3/2021 09H,1155
11/3/2021 08H,1155
11/3/2021 07H,1154
11/3/2021 06H,1154
11/3/2021 05H,1153
11/3/2021 04H,1154
11/3/2021 03H,1154
11/3/2021 02H,1155
11/3/2021 01H,1154
11/3/2021 00H,1153
11/2/2021 23H,1154
11/2/2021 22H,1155
11/2/2021 21H,1155
11/2/2021 20H,1157
11/2/2021 19H,1158
11/2/2021 18H,1160
11/2/2021 17H,1160
11/2/2021 16H,1162
11/2/2021 15H,1162
11/2/2021 14H,1163
11/2/2021 13H,1162
11/2/2021 12H,1160
11/2/2021 11H,1161
11/2/2021 10H,1159
11/2/2021 09H,1158
11/2/2021 08H,1158
11/2/2021 07H,1157
11/2/2021 06H,1159
11/2/2021 05H,1157
11/2/2021 04H,1157
11/2/2021 03H,1158
11/2/2021 02H,1157
11/2/2021 01H,1156
11/2/2021 00H,1157
11/1/2021 23H,1157
11/1/2021 22H,1157
11/1/2021 21H,1157
11/1/2021 20H,1158
11/1/2021 19H,1159
11/1/2021 18H,1160
11/1/2021 17H,1164
11/1/2021 16H,1164
11/1/2021 15H,1163
11/1/2021 14H,1163
11/1/2021 13H,1163
11/1/2021 12H,1163
11/1/2021 11H,1163
11/1/2021 10H,1162
11/1/2021 09H,1161
11/1/2021 08H,1161
11/1/2021 07H,1161
11/1/2021 06H,1159
11/1/2021 05H,1158
11/1/2021 04H,1157
11/1/2021 03H,1156
11/1/2021 02H,1157
11/1/2021 01H,1155
11/1/2021 00H,1157
10/31/2021 23H,1157
10/31/2021 22H,1157
10/31/2021 21H,1159
10/31/2021 20H,1160
10/31/2021 19H,1160
10/31/2021 18H,1160
10/31/2021 17H,1161
10/31/2021 16H,1163
10/31/2021 15H,1161
10/31/2021 14H,1162
10/31/2021 13H,1160
10/31/2021 12H,1159
10/31/2021 11H,1164
10/31/2021 10H,1163
10/31/2021 09H,1163
10/31/2021 08H,1163
10/31/2021 07H,1161
10/31/2021 06H,1161
10/31/2021 05H,1162
10/31/2021 04H,1164
10/31/2021 03H,1163
10/31/2021 02H,1161
10/31/2021 01H,1160
10/31/2021 00H,1161
10/30/2021 23H,1161
10/30/2021 22H,1162
10/30/2021 21H,1163
10/30/2021 20H,1164
10/30/2021 19H,1165
10/30/2021 18H,1165
10/30/2021 17H,1167
10/30/2021 16H,1168
10/30/2021 15H,1167
10/30/2021 14H,1166
10/30/2021 13H,1164
10/30/2021 12H,1163
10/30/2021 11H,1164
10/30/2021 10H,1165
10/30/2021 09H,1164
10/30/2021 08H,1164
10/30/2021 07H,1162
10/30/2021 06H,1162
10/30/2021 05H,1161
10/30/2021 04H,1161
10/30/2021 03H,1161
10/30/2021 02H,1159
10/30/2021 01H,1158
10/30/2021 00H,1155
10/29/2021 23H,1154
10/29/2021 22H,1152
10/29/2021 21H,1153
10/29/2021 20H,1153
10/29/2021 19H,1153
10/29/2021 18H,1154
10/29/2021 17H,1154
10/29/2021 16H,1154
10/29/2021 15H,1154
10/29/2021 14H,1154
10/29/2021 13H,1154
10/29/2021 12H,1152
10/29/2021 11H,1146
10/29/2021 10H,1143
10/29/2021 09H,1141
10/29/2021 08H,1140
10/29/2021 07H,1140
10/29/2021 06H,1139
10/29/2021 05H,1141
10/29/2021 04H,1142
10/29/2021 03H,1144
10/29/2021 02H,1143
10/29/2021 01H,1143
10/29/2021 00H,1139
10/28/2021 23H,1139
10/28/2021 22H,1141
10/28/2021 21H,1140
10/28/2021 20H,1147
10/28/2021 19H,1151
10/28/2021 18H,1151
10/28/2021 17H,1156
10/28/2021 16H,1156
10/28/2021 15H,1157
10/28/2021 14H,1156
10/28/2021 13H,1158
10/28/2021 12H,1158
10/28/2021 11H,1158
10/28/2021 10H,1158
10/28/2021 09H,1158
10/28/2021 08H,1157
10/28/2021 07H,1159
10/28/2021 06H,1161
10/28/2021 05H,1161
10/28/2021 04H,1168
10/28/2021 03H,1166
10/28/2021 02H,1161
10/28/2021 01H,1156
10/28/2021 00H,1154
10/27/2021 23H,1155
10/27/2021 22H,1152
10/27/2021 21H,1157
10/27/2021 20H,1157
10/27/2021 19H,1157
10/27/2021 18H,1158
10/27/2021 17H,1160
10/27/2021 16H,1161
10/27/2021 15H,1163
10/27/2021 14H,1161
10/27/2021 13H,1158
10/27/2021 12H,1154
10/27/2021 11H,1157
10/27/2021 10H,1157
10/27/2021 09H,1156
10/27/2021 08H,1154
10/27/2021 07H,1155
10/27/2021 06H,1156
10/27/2021 05H,1154
10/27/2021 04H,1150
10/27/2021 03H,1151
10/27/2021 02H,1152
10/27/2021 01H,1153
10/27/2021 00H,1154
10/26/2021 23H,1155
10/26/2021 22H,1156
10/26/2021 21H,1158
10/26/2021 20H,1157
10/26/2021 19H,1157
10/26/2021 18H,1156
10/26/2021 17H,1158
10/26/2021 16H,1160
10/26/2021 15H,1160
10/26/2021 14H,1160
10/26/2021 13H,1161
10/26/2021 12H,1159
10/26/2021 11H,1156
10/26/2021 10H,1156
10/26/2021 09H,1156
10/26/2021 08H,1156
10/26/2021 07H,1155
10/26/2021 06H,1158
10/26/2021 05H,1159
10/26/2021 04H,1157
10/26/2021 03H,1156
10/26/2021 02H,1153
10/26/2021 01H,1155
10/26/2021 00H,1155
10/25/2021 23H,1154
10/25/2021 22H,1154
10/25/2021 21H,1152
10/25/2021 20H,1152
10/25/2021 19H,1155
10/25/2021 18H,1157
10/25/2021 17H,1157
10/25/2021 16H,1159
10/25/2021 15H,1160
10/25/2021 14H,1158
10/25/2021 13H,1160
10/25/2021 12H,1158
10/25/2021 11H,1159
10/25/2021 10H,1158
10/25/2021 09H,1159
10/25/2021 08H,1159
10/25/2021 07H,1159
10/25/2021 06H,1159
10/25/2021 05H,1159
10/25/2021 04H,1154
10/25/2021 03H,1154
10/25/2021 02H,1156
10/25/2021 01H,1155
10/25/2021 00H,1152
10/24/2021 23H,1154
10/24/2021 22H,1155
10/24/2021 21H,1156
10/24/2021 20H,1157
10/24/2021 19H,1157
10/24/2021 18H,1157
10/24/2021 17H,1161
10/24/2021 16H,1160
10/24/2021 15H,1160
10/24/2021 14H,1160
10/24/2021 13H,1161
10/24/2021 12H,1162
10/24/2021 11H,1160
10/24/2021 10H,1160
10/24/2021 09H,1159
10/24/2021 08H,1159
10/24/2021 07H,1158
10/24/2021 06H,1156
10/24/2021 05H,1156
10/24/2021 04H,1155
10/24/2021 03H,1156
10/24/2021 02H,1156
10/24/2021 01H,1154
10/24/2021 00H,1155
10/23/2021 23H,1153
10/23/2021 22H,1153
10/23/2021 21H,1153
10/23/2021 20H,1156
10/23/2021 19H,1157
10/23/2021 18H,1156
10/23/2021 17H,1158
10/23/2021 16H,1158
10/23/2021 15H,1157
10/23/2021 14H,1157
10/23/2021 13H,1158
10/23/2021 12H,1158
10/23/2021 11H,1158
10/23/2021 10H,1156
10/23/2021 09H,1157
10/23/2021 08H,1158
10/23/2021 07H,1158
10/23/2021 06H,1157
10/23/2021 05H,1157
10/23/2021 04H,1155
10/23/2021 03H,1153
10/23/2021 02H,1151
10/23/2021 01H,1152
10/23/2021 00H,1151
10/22/2021 23H,1149
10/22/2021 22H,1152
10/22/2021 21H,1152
10/22/2021 20H,1150
10/22/2021 19H,1152
10/22/2021 18H,1151
10/22/2021 17H,1152
10/22/2021 16H,1150
10/22/2021 15H,1150
10/22/2021 14H,1150
10/22/2021 13H,1150
10/22/2021 12H,1152
10/22/2021 11H,1148
10/22/2021 10H,1148
10/22/2021 09H,1147
10/22/2021 08H,1152
10/22/2021 07H,1160
10/22/2021 06H,1164
10/22/2021 05H,1163
10/22/2021 04H,1151
10/22/2021 03H,1151
10/22/2021 02H,1151
10/22/2021 01H,1150
10/22/2021 00H,1149
10/21/2021 23H,1151
10/21/2021 22H,1151
10/21/2021 21H,1153
10/21/2021 20H,1153
10/21/2021 19H,1155
10/21/2021 18H,1157
10/21/2021 17H,1157
10/21/2021 16H,1156
10/21/2021 15H,1159
10/21/2021 14H,1160
10/21/2021 13H,1160
10/21/2021 12H,1159
10/21/2021 11H,1157
10/21/2021 10H,1157
10/21/2021 09H,1158
10/21/2021 08H,1157
10/21/2021 07H,1155
10/21/2021 06H,1156
10/21/2021 05H,1156
10/21/2021 04H,1156
10/21/2021 03H,1156
10/21/2021 02H,1154
10/21/2021 01H,1153
10/21/2021 00H,1151
10/20/2021 23H,1151
10/20/2021 22H,1150
10/20/2021 21H,1149
10/20/2021 20H,1150
10/20/2021 19H,1152
10/20/2021 18H,1157
10/20/2021 17H,1158
10/20/2021 16H,1158
10/20/2021 15H,1158
10/20/2021 14H,1158
10/20/2021 13H,1157
10/20/2021 12H,1159
10/20/2021 11H,1161
10/20/2021 10H,1160
10/20/2021 09H,1160
10/20/2021 08H,1159
10/20/2021 07H,1157
10/20/2021 06H,1158
10/20/2021 05H,1157
10/20/2021 04H,1157
10/20/2021 03H,1156
10/20/2021 02H,1155
10/20/2021 01H,1155
10/20/2021 00H,1153
10/19/2021 23H,1156
10/19/2021 22H,1155
10/19/2021 21H,1157
10/19/2021 20H,1158
10/19/2021 19H,1161
10/19/2021 18H,1159
10/19/2021 17H,1164
10/19/2021 16H,1165
10/19/2021 15H,1164
10/19/2021 14H,1163
10/19/2021 13H,1162
10/19/2021 12H,1160
10/19/2021 11H,1162
10/19/2021 10H,1159
10/19/2021 09H,1159
10/19/2021 08H,1158
10/19/2021 07H,1160
10/19/2021 06H,1157
10/19/2021 05H,1156
10/19/2021 04H,1155
10/19/2021 03H,1153
10/19/2021 02H,1152
10/19/2021 01H,1153
10/19/2021 00H,1153
10/18/2021 23H,1154
10/18/2021 22H,1154
10/18/2021 21H,1155
10/18/2021 20H,1156
10/18/2021 19H,1149
10/18/2021 18H,1159
10/18/2021 17H,1160
10/18/2021 16H,1161
10/18/2021 15H,1162
10/18/2021 14H,1162
10/18/2021 13H,1160
10/18/2021 12H,1160
10/18/2021 11H,1160
10/18/2021 10H,1160
10/18/2021 09H,1158
10/18/2021 08H,1157
10/18/2021 07H,1158
10/18/2021 06H,1156
10/18/2021 05H,1158
10/18/2021 04H,1156
10/18/2021 03H,1155
10/18/2021 02H,1154
10/18/2021 01H,1154
10/18/2021 00H,1153
10/17/2021 23H,1155
10/17/2021 22H,1156
10/17/2021 21H,1157
10/17/2021 20H,1158
10/17/2021 19H,1160
10/17/2021 18H,1162
10/17/2021 17H,1163
10/17/2021 16H,1165
10/17/2021 15H,1164
10/17/2021 14H,1164
10/17/2021 13H,1164
10/17/2021 12H,1163
10/17/2021 11H,1163
10/17/2021 10H,1161
10/17/2021 09H,1161
10/17/2021 08H,1161
10/17/2021 07H,1160
10/17/2021 06H,1160
10/17/2021 05H,1158
10/17/2021 04H,1158
10/17/2021 03H,1155
10/17/2021 02H,1154
10/17/2021 01H,1153
10/17/2021 00H,1154
10/16/2021 23H,1154
10/16/2021 22H,1154
10/16/2021 21H,1157
10/16/2021 20H,1157
10/16/2021 19H,1159
10/16/2021 18H,1162
10/16/2021 17H,1164
10/16/2021 16H,1164
10/16/2021 15H,1164
10/16/2021 14H,1165
10/16/2021 13H,1164
10/16/2021 12H,1163
10/16/2021 11H,1162
10/16/2021 10H,1162
10/16/2021 09H,1161
10/16/2021 08H,1160
10/16/2021 07H,1159
10/16/2021 06H,1159
10/16/2021 05H,1158
10/16/2021 04H,1157
10/16/2021 03H,1153
10/16/2021 02H,1153
10/16/2021 01H,1152
10/16/2021 00H,1153
10/15/2021 23H,1151
10/15/2021 22H,1151
10/15/2021 21H,1151
10/15/2021 20H,1152
10/15/2021 19H,1152
10/15/2021 18H,1151
10/15/2021 17H,1154
10/15/2021 16H,1156
10/15/2021 15H,1155
10/15/2021 14H,1157
10/15/2021 13H,1157
10/15/2021 12H,1159
10/15/2021 11H,1158
10/15/2021 10H,1159
10/15/2021 09H,1157
10/15/2021 08H,1157
10/15/2021 07H,1164
10/15/2021 06H,1171
10/15/2021 05H,1168
10/15/2021 04H,1168
10/15/2021 03H,1166
10/15/2021 02H,1165
10/15/2021 01H,1164
10/15/2021 00H,1163
10/14/2021 23H,1163
10/14/2021 22H,1164
10/14/2021 21H,1154
10/14/2021 20H,1163
10/14/2021 19H,1165
10/14/2021 18H,1167
10/14/2021 17H,1166
10/14/2021 16H,1167
10/14/2021 15H,1169
10/14/2021 14H,1171
10/14/2021 13H,1173
10/14/2021 12H,1169
10/14/2021 11H,1175
10/14/2021 10H,1175
10/14/2021 09H,1173
10/14/2021 08H,1172
10/14/2021 07H,1170
10/14/2021 06H,1169
10/14/2021 05H,1169
10/14/2021 04H,1168
10/14/2021 03H,1169
10/14/2021 02H,1171
10/14/2021 01H,1170
10/14/2021 00H,1145
10/13/2021 23H,1114
10/13/2021 22H,1073
10/13/2021 21H,1006
10/13/2021 20H,991
10/13/2021 19H,982
10/13/2021 18H,858
10/13/2021 17H,819
10/13/2021 16H,826
10/13/2021 15H,832
10/13/2021 14H,828
10/13/2021 13H,825
10/13/2021 12H,821
10/13/2021 11H,818
10/13/2021 10H,814
10/13/2021 09H,809
10/13/2021 08H,801
10/13/2021 07H,795
10/13/2021 06H,788
10/13/2021 05H,780
10/13/2021 04H,771
10/13/2021 03H,761
10/13/2021 02H,749
10/13/2021 01H,722
10/13/2021 00H,690
10/12/2021 23H,687
10/12/2021 22H,683
10/12/2021 21H,680
10/12/2021 20H,680
10/12/2021 19H,682
10/12/2021 18H,690
10/12/2021 17H,700
10/12/2021 16H,732
10/12/2021 15H,817
10/12/2021 14H,1179
10/12/2021 13H,1178
10/12/2021 12H,1176
10/12/2021 11H,1178
10/12/2021 10H,1174
10/12/2021 09H,1174
10/12/2021 08H,1170
10/12/2021 07H,1162
10/12/2021 06H,1161
10/12/2021 05H,1161
10/12/2021 04H,1162
10/12/2021 03H,1160
10/12/2021 02H,1160
