Net generation from nuclear for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.NUC.H
19:12:51 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.NUC.H megawatthours
11/14/2021 07H,30737
11/14/2021 06H,30729
11/14/2021 05H,30505
11/14/2021 04H,30720
11/14/2021 03H,30669
11/14/2021 02H,30484
11/14/2021 01H,30504
11/14/2021 00H,30490
11/13/2021 23H,30494
11/13/2021 22H,30485
11/13/2021 21H,30563
11/13/2021 20H,30543
11/13/2021 19H,30539
11/13/2021 18H,30529
11/13/2021 17H,30500
11/13/2021 16H,30494
11/13/2021 15H,30502
11/13/2021 14H,30492
11/13/2021 13H,30515
11/13/2021 12H,30503
11/13/2021 11H,30491
11/13/2021 10H,30507
11/13/2021 09H,30478
11/13/2021 08H,30481
11/13/2021 07H,30486
11/13/2021 06H,30470
11/13/2021 05H,29530
11/13/2021 04H,30471
11/13/2021 03H,30340
11/13/2021 02H,30247
11/13/2021 01H,30201
11/13/2021 00H,30340
11/12/2021 23H,30358
11/12/2021 22H,30348
11/12/2021 21H,30276
11/12/2021 20H,30216
11/12/2021 19H,30219
11/12/2021 18H,30010
11/12/2021 17H,29822
11/12/2021 16H,29686
11/12/2021 15H,29581
11/12/2021 14H,29428
11/12/2021 13H,29353
11/12/2021 12H,29513
11/12/2021 11H,29532
11/12/2021 10H,29499
11/12/2021 09H,29525
11/12/2021 08H,29490
11/12/2021 07H,29496
11/12/2021 06H,29495
11/12/2021 05H,29968
11/12/2021 04H,29524
11/12/2021 03H,29493
11/12/2021 02H,29659
11/12/2021 01H,29784
11/12/2021 00H,29765
11/11/2021 23H,29812
11/11/2021 22H,29783
11/11/2021 21H,29804
11/11/2021 20H,29813
11/11/2021 19H,29930
11/11/2021 18H,29920
11/11/2021 17H,29938
11/11/2021 16H,29936
11/11/2021 15H,29964
11/11/2021 14H,29844
11/11/2021 13H,29758
11/11/2021 12H,29514
11/11/2021 11H,29516
11/11/2021 10H,29658
11/11/2021 09H,29694
11/11/2021 08H,29741
11/11/2021 07H,30017
11/11/2021 06H,29991
11/11/2021 05H,29400
11/11/2021 04H,29943
11/11/2021 03H,29973
11/11/2021 02H,29972
11/11/2021 01H,29958
11/11/2021 00H,29972
11/10/2021 23H,29960
11/10/2021 22H,29961
11/10/2021 21H,29941
11/10/2021 20H,29938
11/10/2021 19H,29929
11/10/2021 18H,29928
11/10/2021 17H,29884
11/10/2021 16H,29837
11/10/2021 15H,29707
11/10/2021 14H,29684
11/10/2021 13H,29707
11/10/2021 12H,29649
11/10/2021 11H,29638
11/10/2021 10H,29608
11/10/2021 09H,29598
11/10/2021 08H,29547
11/10/2021 07H,29378
11/10/2021 06H,29428
11/10/2021 05H,29965
11/10/2021 04H,29336
11/10/2021 03H,29593
11/10/2021 02H,29942
11/10/2021 01H,29916
11/10/2021 00H,29936
11/9/2021 23H,29925
11/9/2021 22H,29924
11/9/2021 21H,29914
11/9/2021 20H,29922
11/9/2021 19H,29912
11/9/2021 18H,29920
11/9/2021 17H,29925
11/9/2021 16H,29942
11/9/2021 15H,29964
11/9/2021 14H,29928
11/9/2021 13H,29867
11/9/2021 12H,29982
11/9/2021 11H,29997
11/9/2021 10H,29970
11/9/2021 09H,29988
11/9/2021 08H,29988
11/9/2021 07H,29976
11/9/2021 06H,29996
11/9/2021 05H,30003
11/9/2021 04H,29928
11/9/2021 03H,29886
11/9/2021 02H,29831
11/9/2021 01H,29778
11/9/2021 00H,29648
11/8/2021 23H,29716
11/8/2021 22H,29904
11/8/2021 21H,29916
11/8/2021 20H,29895
11/8/2021 19H,29907
11/8/2021 18H,29864
