Net generation from natural gas for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.NG.H
19:12:44 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.NG.H megawatthours
11/16/2021 00H,44817
11/15/2021 23H,45785
11/15/2021 22H,45765
11/15/2021 21H,42368
11/15/2021 20H,39234
11/15/2021 19H,38350
11/15/2021 18H,38673
11/15/2021 17H,39109
11/15/2021 16H,39265
11/15/2021 15H,40710
11/15/2021 14H,42177
11/15/2021 13H,42119
11/15/2021 12H,42557
11/15/2021 11H,39187
11/15/2021 10H,34365
11/15/2021 09H,30394
11/15/2021 08H,30179
11/15/2021 07H,30078
11/15/2021 06H,28881
11/15/2021 05H,28808
11/15/2021 04H,30220
11/15/2021 03H,33236
11/15/2021 02H,35464
11/15/2021 01H,36840
11/15/2021 00H,39039
11/14/2021 23H,39103
11/14/2021 22H,38872
11/14/2021 21H,35008
11/14/2021 20H,32311
11/14/2021 19H,31057
11/14/2021 18H,31385
11/14/2021 17H,31986
11/14/2021 16H,32161
11/14/2021 15H,32983
11/14/2021 14H,32187
11/14/2021 13H,31624
11/14/2021 12H,31766
11/14/2021 11H,30847
11/14/2021 10H,28204
11/14/2021 09H,28199
11/14/2021 08H,28053
11/14/2021 07H,27814
11/14/2021 06H,27885
11/14/2021 05H,25924
11/14/2021 04H,30706
11/14/2021 03H,32513
11/14/2021 02H,34165
11/14/2021 01H,35100
11/14/2021 00H,37346
11/13/2021 23H,37778
11/13/2021 22H,35728
11/13/2021 21H,31876
11/13/2021 20H,30035
11/13/2021 19H,29434
11/13/2021 18H,30334
11/13/2021 17H,30972
11/13/2021 16H,31181
11/13/2021 15H,30016
11/13/2021 14H,30842
11/13/2021 13H,30119
11/13/2021 12H,29714
11/13/2021 11H,27876
11/13/2021 10H,26316
11/13/2021 09H,25419
11/13/2021 08H,25499
11/13/2021 07H,26324
11/13/2021 06H,26259
11/13/2021 05H,24160
11/13/2021 04H,28131
11/13/2021 03H,29914
11/13/2021 02H,32102
11/13/2021 01H,33825
11/13/2021 00H,35213
11/12/2021 23H,36361
11/12/2021 22H,35322
11/12/2021 21H,33332
11/12/2021 20H,31483
11/12/2021 19H,30533
11/12/2021 18H,30018
11/12/2021 17H,31713
11/12/2021 16H,32582
11/12/2021 15H,33669
11/12/2021 14H,34137
11/12/2021 13H,34670
11/12/2021 12H,32256
11/12/2021 11H,29348
11/12/2021 10H,25116
11/12/2021 09H,23675
11/12/2021 08H,23266
11/12/2021 07H,22950
11/12/2021 06H,23355
11/12/2021 05H,24163
11/12/2021 04H,25893
11/12/2021 03H,28340
11/12/2021 02H,31086
11/12/2021 01H,34272
11/12/2021 00H,35557
11/11/2021 23H,36888
11/11/2021 22H,34936
11/11/2021 21H,32846
11/11/2021 20H,31375
11/11/2021 19H,30750
11/11/2021 18H,30666
11/11/2021 17H,30212
11/11/2021 16H,30846
11/11/2021 15H,30890
11/11/2021 14H,31412
11/11/2021 13H,31512
11/11/2021 12H,32549
11/11/2021 11H,29759
11/11/2021 10H,26770
11/11/2021 09H,25320
11/11/2021 08H,24771
11/11/2021 07H,24517
11/11/2021 06H,24939
11/11/2021 05H,26581
11/11/2021 04H,25718
11/11/2021 03H,27948
11/11/2021 02H,30781
11/11/2021 01H,33216
11/11/2021 00H,35849
11/10/2021 23H,37079
11/10/2021 22H,37098
11/10/2021 21H,34978
11/10/2021 20H,34079
11/10/2021 19H,32857
11/10/2021 18H,32369
11/10/2021 17H,32407
11/10/2021 16H,33174
11/10/2021 15H,34344
11/10/2021 14H,34622
11/10/2021 13H,34250
11/10/2021 12H,35732
11/10/2021 11H,31911
11/10/2021 10H,27577
11/10/2021 09H,26109
11/10/2021 08H,25844
11/10/2021 07H,26020
11/10/2021 06H,25638
11/10/2021 05H,28049
11/10/2021 04H,29337
11/10/2021 03H,31650
11/10/2021 02H,34466
11/10/2021 01H,37237
11/10/2021 00H,39706
11/9/2021 23H,40938
11/9/2021 22H,40052
11/9/2021 21H,37992
11/9/2021 20H,35949
11/9/2021 19H,35763
11/9/2021 18H,35525
11/9/2021 17H,35715
11/9/2021 16H,36185
11/9/2021 15H,36414
11/9/2021 14H,36517
11/9/2021 13H,37683
11/9/2021 12H,39485
11/9/2021 11H,36309
11/9/2021 10H,31574
11/9/2021 09H,28303
11/9/2021 08H,27397
11/9/2021 07H,27195
11/9/2021 06H,27548
11/9/2021 05H,25402
11/9/2021 04H,27841
11/9/2021 03H,29789
11/9/2021 02H,31881
11/9/2021 01H,34345
11/9/2021 00H,36293
11/8/2021 23H,37696
11/8/2021 22H,37109
11/8/2021 21H,34590
11/8/2021 20H,32289
11/8/2021 19H,32034
11/8/2021 18H,31987
11/8/2021 17H,32936
11/8/2021 16H,33607
11/8/2021 15H,34943
11/8/2021 14H,35761
11/8/2021 13H,36084
11/8/2021 12H,38688
11/8/2021 11H,36318
11/8/2021 10H,30185
11/8/2021 09H,27423
11/8/2021 08H,25838
11/8/2021 07H,25792
11/8/2021 06H,25344
11/8/2021 05H,26240
11/8/2021 04H,31048
11/8/2021 03H,28725
11/8/2021 02H,30804
11/8/2021 01H,32139
11/8/2021 00H,34411
11/7/2021 23H,34871
11/7/2021 22H,34788
11/7/2021 21H,30540
11/7/2021 20H,28644
11/7/2021 19H,27604
11/7/2021 18H,27727
11/7/2021 17H,29619
11/7/2021 16H,30218
11/7/2021 15H,32436
11/7/2021 14H,33750
11/7/2021 13H,35225
11/7/2021 12H,35516
11/7/2021 11H,33421
11/7/2021 10H,31723
11/7/2021 09H,29713
11/7/2021 08H,28622
11/7/2021 07H,28168
11/7/2021 06H,28963
11/7/2021 05H,28720
11/7/2021 04H,33545
11/7/2021 03H,31796
11/7/2021 02H,34542
11/7/2021 01H,35051
11/7/2021 00H,36368
11/6/2021 23H,37047
11/6/2021 22H,36049
11/6/2021 21H,33688
11/6/2021 20H,33931
11/6/2021 19H,33614
11/6/2021 18H,33624
11/6/2021 17H,34370
11/6/2021 16H,37168
11/6/2021 15H,37967
11/6/2021 14H,40112
11/6/2021 13H,41010
11/6/2021 12H,41905
11/6/2021 11H,39776
11/6/2021 10H,36982
11/6/2021 09H,35221
11/6/2021 08H,33682
11/6/2021 07H,32829
11/6/2021 06H,32740
11/6/2021 05H,32747
11/6/2021 04H,38055
11/6/2021 03H,35142
11/6/2021 02H,36696
11/6/2021 01H,38589
11/6/2021 00H,40837
11/5/2021 23H,41257
11/5/2021 22H,40183
11/5/2021 21H,37843
11/5/2021 20H,36129
11/5/2021 19H,35465
11/5/2021 18H,36635
