Net generation from coal for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.COL.H
19:12:31 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.COL.H megawatthours
10/24/2021 02H,11048
10/24/2021 01H,11079
10/24/2021 00H,11058
10/23/2021 23H,11148
10/23/2021 22H,11097
10/23/2021 21H,11281
10/23/2021 20H,11094
10/23/2021 19H,10902
10/23/2021 18H,10911
10/23/2021 17H,10877
10/23/2021 16H,10902
10/23/2021 15H,11097
10/23/2021 14H,11220
10/23/2021 13H,11132
10/23/2021 12H,10971
10/23/2021 11H,10810
10/23/2021 10H,10586
10/23/2021 09H,10288
10/23/2021 08H,10301
10/23/2021 07H,10146
10/23/2021 06H,10156
10/23/2021 05H,10800
10/23/2021 04H,10579
10/23/2021 03H,11496
10/23/2021 02H,11258
10/23/2021 01H,11004
10/23/2021 00H,10987
10/22/2021 23H,11071
10/22/2021 22H,10941
10/22/2021 21H,10913
10/22/2021 20H,10885
10/22/2021 19H,11038
10/22/2021 18H,11020
10/22/2021 17H,10858
10/22/2021 16H,10942
10/22/2021 15H,10901
10/22/2021 14H,10965
10/22/2021 13H,10892
10/22/2021 12H,10805
10/22/2021 11H,10545
10/22/2021 10H,10319
10/22/2021 09H,10221
10/22/2021 08H,10113
10/22/2021 07H,10010
10/22/2021 06H,10110
10/22/2021 05H,9976
10/22/2021 04H,11319
10/22/2021 03H,11123
10/22/2021 02H,11316
10/22/2021 01H,11493
10/22/2021 00H,11576
10/21/2021 23H,11725
10/21/2021 22H,11572
10/21/2021 21H,11500
10/21/2021 20H,11398
10/21/2021 19H,11429
10/21/2021 18H,11496
10/21/2021 17H,11402
10/21/2021 16H,11402
10/21/2021 15H,11408
10/21/2021 14H,11384
10/21/2021 13H,11571
10/21/2021 12H,11762
10/21/2021 11H,11660
10/21/2021 10H,10886
10/21/2021 09H,10323
10/21/2021 08H,9657
10/21/2021 07H,9714
10/21/2021 06H,10188
10/21/2021 05H,10382
10/21/2021 04H,10834
10/21/2021 03H,12022
10/21/2021 02H,12434
10/21/2021 01H,13126
10/21/2021 00H,13637
10/20/2021 23H,13710
10/20/2021 22H,13614
10/20/2021 21H,13488
10/20/2021 20H,13478
10/20/2021 19H,13479
10/20/2021 18H,13434
10/20/2021 17H,13454
10/20/2021 16H,13123
10/20/2021 15H,12965
10/20/2021 14H,12845
10/20/2021 13H,12648
10/20/2021 12H,12483
10/20/2021 11H,12017
10/20/2021 10H,11428
10/20/2021 09H,10994
10/20/2021 08H,10902
10/20/2021 07H,10822
10/20/2021 06H,10799
10/20/2021 05H,10862
10/20/2021 04H,11275
10/20/2021 03H,11207
10/20/2021 02H,11805
10/20/2021 01H,11885
10/20/2021 00H,11864
10/19/2021 23H,12249
10/19/2021 22H,11898
10/19/2021 21H,11985
10/19/2021 20H,11719
10/19/2021 19H,11417
10/19/2021 18H,11276
10/19/2021 17H,11586
10/19/2021 16H,11576
10/19/2021 15H,11810
10/19/2021 14H,11587
10/19/2021 13H,11399
10/19/2021 12H,11311
10/19/2021 11H,10950
10/19/2021 10H,10143
10/19/2021 09H,9793
10/19/2021 08H,9607
10/19/2021 07H,9553
10/19/2021 06H,9852
10/19/2021 05H,10283
10/19/2021 04H,10329
10/19/2021 03H,11275
10/19/2021 02H,11275
10/19/2021 01H,11276
10/19/2021 00H,11896
10/18/2021 23H,12352
10/18/2021 22H,11768
10/18/2021 21H,11757
10/18/2021 20H,11117
10/18/2021 19H,11022
10/18/2021 18H,11508
10/18/2021 17H,11644
10/18/2021 16H,11559
10/18/2021 15H,11386
10/18/2021 14H,11110
10/18/2021 13H,11013
10/18/2021 12H,10924
10/18/2021 11H,10513
10/18/2021 10H,10294
10/18/2021 09H,9434
10/18/2021 08H,9104
10/18/2021 07H,8934
10/18/2021 06H,8946
10/18/2021 05H,9425
10/18/2021 04H,9366
10/18/2021 03H,10898
10/18/2021 02H,11114
10/18/2021 01H,11564
10/18/2021 00H,11929
10/17/2021 23H,12183
10/17/2021 22H,11436
10/17/2021 21H,11377
10/17/2021 20H,10857
10/17/2021 19H,10665
10/17/2021 18H,10798
10/17/2021 17H,10747
10/17/2021 16H,10674
10/17/2021 15H,10621
10/17/2021 14H,10571
10/17/2021 13H,10409
10/17/2021 12H,10320
10/17/2021 11H,10279
10/17/2021 10H,9698
10/17/2021 09H,9522
10/17/2021 08H,9634
10/17/2021 07H,9607
10/17/2021 06H,9581
10/17/2021 05H,9450
10/17/2021 04H,13479
10/17/2021 03H,9288
10/17/2021 02H,9716
10/17/2021 01H,10094
10/17/2021 00H,10811
10/16/2021 23H,10947
10/16/2021 22H,10852
10/16/2021 21H,10720
10/16/2021 20H,10893
10/16/2021 19H,10565
10/16/2021 18H,10553
10/16/2021 17H,10257
10/16/2021 16H,10305
10/16/2021 15H,10181
10/16/2021 14H,10100
10/16/2021 13H,10017
10/16/2021 12H,9950
10/16/2021 11H,9817
10/16/2021 10H,9624
10/16/2021 09H,9418
10/16/2021 08H,9411
10/16/2021 07H,10044
10/16/2021 06H,10821
10/16/2021 05H,11640
10/16/2021 04H,15442
10/16/2021 03H,14483
10/16/2021 02H,16221
10/16/2021 01H,17116
10/16/2021 00H,17533
10/15/2021 23H,18344
10/15/2021 22H,18687
10/15/2021 21H,17991
10/15/2021 20H,17225
10/15/2021 19H,16925
10/15/2021 18H,17338
10/15/2021 17H,17661
10/15/2021 16H,17088
10/15/2021 15H,17301
10/15/2021 14H,16694
10/15/2021 13H,16492
10/15/2021 12H,16256
10/15/2021 11H,15903
10/15/2021 10H,15396
10/15/2021 09H,14670
10/15/2021 08H,13874
10/15/2021 07H,13874
10/15/2021 06H,13952
10/15/2021 05H,14214
10/15/2021 04H,14801
10/15/2021 03H,16710
10/15/2021 02H,17913
10/15/2021 01H,18206
10/15/2021 00H,18484
10/14/2021 23H,18840
10/14/2021 22H,18969
10/14/2021 21H,19033
10/14/2021 20H,18843
10/14/2021 19H,18578
10/14/2021 18H,18258
10/14/2021 17H,17860
10/14/2021 16H,17934
10/14/2021 15H,17835
10/14/2021 14H,17479
10/14/2021 13H,17589
10/14/2021 12H,17401
10/14/2021 11H,16663
10/14/2021 10H,15320
10/14/2021 09H,14610
10/14/2021 08H,14230
10/14/2021 07H,14114
10/14/2021 06H,14190
10/14/2021 05H,14352
10/14/2021 04H,16026
10/14/2021 03H,15340
10/14/2021 02H,16365
10/14/2021 01H,17647
10/14/2021 00H,18008
10/13/2021 23H,17993
10/13/2021 22H,17812
10/13/2021 21H,18592
10/13/2021 20H,17667
10/13/2021 19H,17752
10/13/2021 18H,17415
10/13/2021 17H,17740
10/13/2021 16H,17509
10/13/2021 15H,17318
10/13/2021 14H,17059
10/13/2021 13H,17136
10/13/2021 12H,17030
10/13/2021 11H,17495
