Net generation from coal for California (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390106&sdid=EBA.CAL-ALL.NG.COL.H
19:04:14 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.NG.COL.H megawatthours
11/11/2021 19H,557
11/11/2021 18H,558
11/11/2021 17H,557
11/11/2021 16H,559
11/11/2021 15H,558
11/11/2021 14H,558
11/11/2021 13H,558
11/11/2021 12H,557
11/11/2021 11H,551
11/11/2021 10H,551
11/11/2021 09H,552
11/11/2021 08H,553
11/11/2021 07H,552
11/11/2021 06H,552
11/11/2021 05H,551
11/11/2021 04H,549
11/11/2021 03H,552
11/11/2021 02H,558
11/11/2021 01H,563
11/11/2021 00H,560
11/10/2021 23H,561
11/10/2021 22H,557
11/10/2021 21H,556
11/10/2021 20H,560
11/10/2021 19H,561
11/10/2021 18H,562
11/10/2021 17H,563
11/10/2021 16H,562
11/10/2021 15H,561
11/10/2021 14H,562
11/10/2021 13H,561
11/10/2021 12H,560
11/10/2021 11H,560
11/10/2021 10H,559
11/10/2021 09H,562
11/10/2021 08H,562
11/10/2021 07H,561
11/10/2021 06H,561
11/10/2021 05H,560
11/10/2021 04H,561
11/10/2021 03H,561
11/10/2021 02H,561
11/10/2021 01H,561
11/10/2021 00H,562
11/9/2021 23H,562
11/9/2021 22H,561
11/9/2021 21H,563
11/9/2021 20H,563
11/9/2021 19H,564
11/9/2021 18H,564
11/9/2021 17H,565
11/9/2021 16H,565
11/9/2021 15H,565
11/9/2021 14H,567
11/9/2021 13H,564
11/9/2021 12H,563
11/9/2021 11H,562
11/9/2021 10H,561
11/9/2021 09H,561
11/9/2021 08H,560
11/9/2021 07H,562
11/9/2021 06H,561
11/9/2021 05H,561
11/9/2021 04H,561
11/9/2021 03H,561
11/9/2021 02H,562
11/9/2021 01H,562
11/9/2021 00H,563
11/8/2021 23H,564
11/8/2021 22H,564
11/8/2021 21H,564
11/8/2021 20H,561
11/8/2021 19H,563
11/8/2021 18H,563
11/8/2021 17H,562
11/8/2021 16H,561
11/8/2021 15H,562
11/8/2021 14H,562
11/8/2021 13H,562
11/8/2021 12H,565
11/8/2021 11H,563
11/8/2021 10H,561
11/8/2021 09H,561
11/8/2021 08H,561
11/8/2021 07H,561
11/8/2021 06H,559
11/8/2021 05H,555
11/8/2021 04H,554
11/8/2021 03H,554
11/8/2021 02H,557
11/8/2021 01H,557
11/8/2021 00H,557
11/7/2021 23H,557
11/7/2021 22H,558
11/7/2021 21H,560
11/7/2021 20H,560
11/7/2021 19H,560
11/7/2021 18H,563
11/7/2021 17H,563
11/7/2021 16H,564
11/7/2021 15H,563
11/7/2021 14H,558
11/7/2021 13H,559
11/7/2021 12H,560
11/7/2021 11H,561
11/7/2021 10H,562
11/7/2021 09H,565
11/7/2021 08H,566
11/7/2021 07H,566
11/7/2021 06H,565
11/7/2021 05H,563
11/7/2021 04H,561
11/7/2021 03H,560
11/7/2021 02H,559
11/7/2021 01H,565
11/7/2021 00H,566
11/6/2021 23H,566
11/6/2021 22H,565
11/6/2021 21H,565
11/6/2021 20H,567
11/6/2021 19H,568
11/6/2021 18H,567
11/6/2021 17H,567
11/6/2021 16H,567
11/6/2021 15H,568
11/6/2021 14H,567
11/6/2021 13H,567
11/6/2021 12H,566
11/6/2021 11H,567
11/6/2021 10H,566
11/6/2021 09H,567
11/6/2021 08H,565
11/6/2021 07H,567
11/6/2021 06H,566
11/6/2021 05H,566
11/6/2021 04H,565
11/6/2021 03H,567
11/6/2021 02H,565
11/6/2021 01H,567
11/6/2021 00H,568
11/5/2021 23H,568
11/5/2021 22H,568
11/5/2021 21H,568
11/5/2021 20H,568
11/5/2021 19H,570
11/5/2021 18H,571
11/5/2021 17H,570
11/5/2021 16H,570
11/5/2021 15H,568
11/5/2021 14H,571
11/5/2021 13H,567
11/5/2021 12H,570
11/5/2021 11H,568
11/5/2021 10H,568
11/5/2021 09H,569
11/5/2021 08H,567
11/5/2021 07H,567
11/5/2021 06H,564
11/5/2021 05H,564
11/5/2021 04H,565
11/5/2021 03H,566
11/5/2021 02H,566
11/5/2021 01H,569
11/5/2021 00H,568
11/4/2021 23H,567
11/4/2021 22H,568
11/4/2021 21H,570
11/4/2021 20H,568
11/4/2021 19H,570
11/4/2021 18H,570
11/4/2021 17H,572
11/4/2021 16H,570
11/4/2021 15H,568
11/4/2021 14H,567
11/4/2021 13H,567
11/4/2021 12H,566
11/4/2021 11H,567
11/4/2021 10H,566
11/4/2021 09H,565
11/4/2021 08H,565
11/4/2021 07H,565
11/4/2021 06H,563
11/4/2021 05H,563
11/4/2021 04H,560
11/4/2021 03H,561
11/4/2021 02H,560
11/4/2021 01H,560
11/4/2021 00H,558
11/3/2021 23H,558
11/3/2021 22H,559
11/3/2021 21H,561
11/3/2021 20H,561
11/3/2021 19H,562
11/3/2021 18H,564
11/3/2021 17H,563
11/3/2021 16H,562
11/3/2021 15H,561
11/3/2021 14H,560
11/3/2021 13H,564
11/3/2021 12H,564
11/3/2021 11H,563
11/3/2021 10H,563
11/3/2021 09H,563
11/3/2021 08H,562
11/3/2021 07H,563
11/3/2021 06H,561
11/3/2021 05H,560
11/3/2021 04H,561
11/3/2021 03H,562
11/3/2021 02H,562
11/3/2021 01H,566
11/3/2021 00H,562
11/2/2021 23H,560
11/2/2021 22H,560
11/2/2021 21H,559
11/2/2021 20H,562
11/2/2021 19H,560
11/2/2021 18H,563
11/2/2021 17H,561
11/2/2021 16H,561
11/2/2021 15H,560
11/2/2021 14H,564
11/2/2021 13H,564
11/2/2021 12H,564
11/2/2021 11H,564
11/2/2021 10H,564
11/2/2021 09H,563
11/2/2021 08H,564
11/2/2021 07H,565
11/2/2021 06H,565
11/2/2021 05H,568
11/2/2021 04H,567
11/2/2021 03H,566
11/2/2021 02H,564
11/2/2021 01H,563
11/2/2021 00H,566
11/1/2021 23H,560
11/1/2021 22H,559
11/1/2021 21H,559
11/1/2021 20H,560
11/1/2021 19H,564
11/1/2021 18H,575
11/1/2021 17H,578
11/1/2021 16H,580
11/1/2021 15H,577
11/1/2021 14H,579
11/1/2021 13H,578
11/1/2021 12H,579
11/1/2021 11H,577
11/1/2021 10H,575
11/1/2021 09H,574
11/1/2021 08H,573
11/1/2021 07H,573
11/1/2021 06H,575
11/1/2021 05H,573
11/1/2021 04H,573
11/1/2021 03H,574
11/1/2021 02H,575
11/1/2021 01H,574
11/1/2021 00H,575
10/31/2021 23H,575
10/31/2021 22H,575
10/31/2021 21H,574
10/31/2021 20H,572
10/31/2021 19H,574
10/31/2021 18H,574
10/31/2021 17H,574
10/31/2021 16H,572
10/31/2021 15H,574
10/31/2021 14H,574
10/31/2021 13H,575
10/31/2021 12H,574
10/31/2021 11H,574
10/31/2021 10H,573
10/31/2021 09H,571
10/31/2021 08H,571
10/31/2021 07H,572
10/31/2021 06H,572
10/31/2021 05H,572
10/31/2021 04H,574
10/31/2021 03H,573
10/31/2021 02H,572
10/31/2021 01H,570
10/31/2021 00H,571
10/30/2021 23H,572
10/30/2021 22H,572
10/30/2021 21H,573
10/30/2021 20H,572
10/30/2021 19H,574
10/30/2021 18H,574
10/30/2021 17H,574
10/30/2021 16H,573
10/30/2021 15H,573
10/30/2021 14H,575
10/30/2021 13H,577
10/30/2021 12H,577
10/30/2021 11H,577
10/30/2021 10H,576
10/30/2021 09H,575
10/30/2021 08H,575
10/30/2021 07H,572
10/30/2021 06H,565
10/30/2021 05H,563
10/30/2021 04H,564
10/30/2021 03H,563
10/30/2021 02H,562
10/30/2021 01H,565
10/30/2021 00H,565
10/29/2021 23H,564
10/29/2021 22H,565
10/29/2021 21H,565
10/29/2021 20H,564
10/29/2021 19H,567
10/29/2021 18H,565
10/29/2021 17H,565
10/29/2021 16H,563
10/29/2021 15H,564
10/29/2021 14H,565
10/29/2021 13H,565
10/29/2021 12H,566
10/29/2021 11H,563
10/29/2021 10H,559
10/29/2021 09H,562
10/29/2021 08H,560
10/29/2021 07H,560
10/29/2021 06H,563
10/29/2021 05H,563
10/29/2021 04H,564
10/29/2021 03H,563
10/29/2021 02H,565
10/29/2021 01H,565
10/29/2021 00H,565
10/28/2021 23H,563
10/28/2021 22H,561
10/28/2021 21H,563
10/28/2021 20H,562
10/28/2021 19H,565
10/28/2021 18H,565
10/28/2021 17H,565
10/28/2021 16H,565
10/28/2021 15H,566
10/28/2021 14H,567
10/28/2021 13H,568
10/28/2021 12H,568
10/28/2021 11H,565
10/28/2021 10H,565
10/28/2021 09H,564
10/28/2021 08H,563
10/28/2021 07H,564
10/28/2021 06H,564
10/28/2021 05H,564
10/28/2021 04H,563
10/28/2021 03H,564
10/28/2021 02H,564
10/28/2021 01H,565
10/28/2021 00H,565
10/27/2021 23H,565
10/27/2021 22H,565
10/27/2021 21H,566
10/27/2021 20H,566
10/27/2021 19H,566
10/27/2021 18H,568
10/27/2021 17H,566
10/27/2021 16H,565
10/27/2021 15H,564
10/27/2021 14H,566
10/27/2021 13H,566
10/27/2021 12H,566
10/27/2021 11H,566
10/27/2021 10H,564
10/27/2021 09H,564
10/27/2021 08H,563
10/27/2021 07H,565
10/27/2021 06H,564
10/27/2021 05H,564
10/27/2021 04H,563
10/27/2021 03H,564
10/27/2021 02H,564
10/27/2021 01H,563
10/27/2021 00H,564
10/26/2021 23H,563
10/26/2021 22H,563
10/26/2021 21H,564
10/26/2021 20H,563
10/26/2021 19H,563
10/26/2021 18H,564
10/26/2021 17H,564
10/26/2021 16H,564
10/26/2021 15H,565
10/26/2021 14H,565
10/26/2021 13H,566
10/26/2021 12H,565
10/26/2021 11H,565
10/26/2021 10H,565
10/26/2021 09H,563
10/26/2021 08H,563
10/26/2021 07H,564
10/26/2021 06H,563
10/26/2021 05H,563
10/26/2021 04H,561
10/26/2021 03H,563
10/26/2021 02H,562
10/26/2021 01H,563
10/26/2021 00H,563
10/25/2021 23H,562
10/25/2021 22H,563
10/25/2021 21H,563
10/25/2021 20H,563
10/25/2021 19H,563
10/25/2021 18H,564
10/25/2021 17H,564
10/25/2021 16H,563
10/25/2021 15H,564
10/25/2021 14H,565
10/25/2021 13H,565
10/25/2021 12H,565
10/25/2021 11H,564
10/25/2021 10H,562
10/25/2021 09H,562
10/25/2021 08H,562
10/25/2021 07H,564
10/25/2021 06H,563
10/25/2021 05H,562
10/25/2021 04H,562
10/25/2021 03H,562
10/25/2021 02H,564
10/25/2021 01H,564
10/25/2021 00H,565
10/24/2021 23H,564
10/24/2021 22H,563
10/24/2021 21H,564
10/24/2021 20H,564
10/24/2021 19H,564
10/24/2021 18H,576
10/24/2021 17H,574
10/24/2021 16H,574
10/24/2021 15H,573
10/24/2021 14H,573
10/24/2021 13H,576
10/24/2021 12H,574
10/24/2021 11H,573
10/24/2021 10H,573
10/24/2021 09H,573
