Net generation from other for California (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390106&sdid=EBA.CAL-ALL.NG.OTH.H
19:04:42 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.NG.OTH.H megawatthours
10/27/2021 19H,583
10/27/2021 18H,565
10/27/2021 17H,597
10/27/2021 16H,839
10/27/2021 15H,891
10/27/2021 14H,1064
10/27/2021 13H,890
10/27/2021 12H,816
10/27/2021 11H,696
10/27/2021 10H,712
10/27/2021 09H,715
10/27/2021 08H,705
10/27/2021 07H,823
10/27/2021 06H,823
10/27/2021 05H,926
10/27/2021 04H,1658
10/27/2021 03H,1695
10/27/2021 02H,1732
10/27/2021 01H,1652
10/27/2021 00H,1370
10/26/2021 23H,606
10/26/2021 22H,602
10/26/2021 21H,609
10/26/2021 20H,611
10/26/2021 19H,615
10/26/2021 18H,597
10/26/2021 17H,588
10/26/2021 16H,849
10/26/2021 15H,911
10/26/2021 14H,1190
10/26/2021 13H,968
10/26/2021 12H,701
10/26/2021 11H,646
10/26/2021 10H,648
10/26/2021 09H,648
10/26/2021 08H,666
10/26/2021 07H,719
10/26/2021 06H,719
10/26/2021 05H,1219
10/26/2021 04H,1503
10/26/2021 03H,1765
10/26/2021 02H,1609
10/26/2021 01H,1642
10/26/2021 00H,872
10/25/2021 23H,712
10/25/2021 22H,614
10/25/2021 21H,596
10/25/2021 20H,596
10/25/2021 19H,606
10/25/2021 18H,615
10/25/2021 17H,594
10/25/2021 16H,689
10/25/2021 15H,855
10/25/2021 14H,955
10/25/2021 13H,902
10/25/2021 12H,777
10/25/2021 11H,782
10/25/2021 10H,780
10/25/2021 09H,784
10/25/2021 08H,813
10/25/2021 07H,813
10/25/2021 06H,830
10/25/2021 05H,1007
10/25/2021 04H,1276
10/25/2021 03H,1709
10/25/2021 02H,1606
10/25/2021 01H,1805
10/25/2021 00H,1416
10/24/2021 23H,674
10/24/2021 22H,671
10/24/2021 21H,612
10/24/2021 20H,612
10/24/2021 19H,602
10/24/2021 18H,603
10/24/2021 17H,639
10/24/2021 16H,765
10/24/2021 15H,884
10/24/2021 14H,847
10/24/2021 13H,834
10/24/2021 12H,790
10/24/2021 11H,777
10/24/2021 10H,785
10/24/2021 09H,790
10/24/2021 08H,795
10/24/2021 07H,804
10/24/2021 06H,1048
10/24/2021 05H,1115
10/24/2021 04H,1510
10/24/2021 03H,1606
10/24/2021 02H,1645
10/24/2021 01H,1722
10/24/2021 00H,1069
10/23/2021 23H,684
10/23/2021 22H,671
10/23/2021 21H,606
10/23/2021 20H,589
10/23/2021 19H,603
10/23/2021 18H,657
10/23/2021 17H,712
10/23/2021 16H,863
10/23/2021 15H,880
10/23/2021 14H,862
10/23/2021 13H,881
10/23/2021 12H,793
10/23/2021 11H,787
10/23/2021 10H,803
10/23/2021 09H,797
10/23/2021 08H,794
10/23/2021 07H,805
10/23/2021 06H,797
10/23/2021 05H,1180
10/23/2021 04H,1578
10/23/2021 03H,1661
10/23/2021 02H,1632
10/23/2021 01H,1907
10/23/2021 00H,907
10/22/2021 23H,727
10/22/2021 22H,703
10/22/2021 21H,694
10/22/2021 20H,668
10/22/2021 19H,657
10/22/2021 18H,660
10/22/2021 17H,690
10/22/2021 16H,917
10/22/2021 15H,948
10/22/2021 14H,1107
10/22/2021 13H,856
10/22/2021 12H,810
10/22/2021 11H,785
10/22/2021 10H,779
10/22/2021 09H,784
10/22/2021 08H,825
10/22/2021 07H,842
10/22/2021 06H,826
10/22/2021 05H,943
10/22/2021 04H,1467
10/22/2021 03H,1751
10/22/2021 02H,1883
10/22/2021 01H,1827
10/22/2021 00H,1380
10/21/2021 23H,782
10/21/2021 22H,721
10/21/2021 21H,692
10/21/2021 20H,675
10/21/2021 19H,649
10/21/2021 18H,654
10/21/2021 17H,684
10/21/2021 16H,875
10/21/2021 15H,927
10/21/2021 14H,1066
10/21/2021 13H,1058
10/21/2021 12H,785
10/21/2021 11H,789
10/21/2021 10H,792
10/21/2021 09H,795
10/21/2021 08H,804
10/21/2021 07H,802
10/21/2021 06H,1313
10/21/2021 05H,1324
10/21/2021 04H,1572
10/21/2021 03H,1650
10/21/2021 02H,1730
10/21/2021 01H,1671
10/21/2021 00H,937
10/20/2021 23H,673
10/20/2021 22H,647
10/20/2021 21H,628
10/20/2021 20H,612
10/20/2021 19H,614
10/20/2021 18H,652
10/20/2021 17H,679
10/20/2021 16H,753
10/20/2021 15H,1158
10/20/2021 14H,1158
10/20/2021 13H,910
10/20/2021 12H,832
10/20/2021 11H,777
10/20/2021 10H,773
10/20/2021 09H,776
10/20/2021 08H,794
10/20/2021 07H,802
10/20/2021 06H,781
10/20/2021 05H,1366
10/20/2021 04H,1787
10/20/2021 03H,1700
10/20/2021 02H,1862
10/20/2021 01H,1708
10/20/2021 00H,1041
10/19/2021 23H,693
10/19/2021 22H,677
10/19/2021 21H,642
10/19/2021 20H,639
10/19/2021 19H,620
10/19/2021 18H,600
10/19/2021 17H,620
10/19/2021 16H,819
10/19/2021 15H,881
10/19/2021 14H,1023
10/19/2021 13H,997
10/19/2021 12H,803
10/19/2021 11H,745
10/19/2021 10H,745
10/19/2021 09H,743
10/19/2021 08H,752
10/19/2021 07H,768
10/19/2021 06H,798
10/19/2021 05H,967
10/19/2021 04H,1232
10/19/2021 03H,1281
10/19/2021 02H,1146
10/19/2021 01H,1479
10/19/2021 00H,1089
10/18/2021 23H,672
10/18/2021 22H,660
10/18/2021 21H,646
10/18/2021 20H,598
10/18/2021 19H,597
10/18/2021 18H,580
10/18/2021 17H,587
10/18/2021 16H,979
10/18/2021 15H,1035
10/18/2021 14H,947
10/18/2021 13H,900
10/18/2021 12H,742
10/18/2021 11H,741
10/18/2021 10H,736
10/18/2021 09H,774
10/18/2021 08H,778
10/18/2021 07H,753
10/18/2021 06H,1003
10/18/2021 05H,998
10/18/2021 04H,1234
10/18/2021 03H,1654
10/18/2021 02H,1672
10/18/2021 01H,1661
10/18/2021 00H,854
10/17/2021 23H,603
10/17/2021 22H,598
10/17/2021 21H,565
10/17/2021 20H,541
10/17/2021 19H,553
10/17/2021 18H,541
10/17/2021 17H,568
10/17/2021 16H,826
10/17/2021 15H,939
10/17/2021 14H,827
10/17/2021 13H,794
10/17/2021 12H,785
10/17/2021 11H,829
10/17/2021 10H,824
10/17/2021 09H,764
10/17/2021 08H,764
10/17/2021 07H,917
10/17/2021 06H,919
10/17/2021 05H,1204
10/17/2021 04H,1206
10/17/2021 03H,1541
10/17/2021 02H,1788
10/17/2021 01H,1769
10/17/2021 00H,1234
10/16/2021 23H,706
10/16/2021 22H,682
10/16/2021 21H,682
10/16/2021 20H,632
10/16/2021 19H,597
10/16/2021 18H,592
10/16/2021 17H,599
10/16/2021 16H,646
10/16/2021 15H,939
10/16/2021 14H,949
10/16/2021 13H,874
10/16/2021 12H,795
10/16/2021 11H,822
10/16/2021 10H,809
10/16/2021 09H,806
10/16/2021 08H,810
10/16/2021 07H,817
10/16/2021 06H,848
10/16/2021 05H,853
10/16/2021 04H,1578
10/16/2021 03H,1748
10/16/2021 02H,1699
10/16/2021 01H,1635
10/16/2021 00H,1155
10/15/2021 23H,706
10/15/2021 22H,659
10/15/2021 21H,614
10/15/2021 20H,584
10/15/2021 19H,584
10/15/2021 18H,574
10/15/2021 17H,584
10/15/2021 16H,700
10/15/2021 15H,885
10/15/2021 14H,878
10/15/2021 13H,769
10/15/2021 12H,792
10/15/2021 11H,760
10/15/2021 10H,785
10/15/2021 09H,780
10/15/2021 08H,854
10/15/2021 07H,828
10/15/2021 06H,782
10/15/2021 05H,776
10/15/2021 04H,1539
10/15/2021 03H,1592
10/15/2021 02H,1517
10/15/2021 01H,1433
10/15/2021 00H,711
10/14/2021 23H,668
10/14/2021 22H,657
10/14/2021 21H,621
10/14/2021 20H,595
10/14/2021 19H,588
10/14/2021 18H,590
10/14/2021 17H,609
10/14/2021 16H,686
10/14/2021 15H,749
10/14/2021 14H,899
10/14/2021 13H,773
10/14/2021 12H,741
10/14/2021 11H,719
10/14/2021 10H,713
10/14/2021 09H,712
10/14/2021 08H,728
10/14/2021 07H,817
10/14/2021 06H,840
10/14/2021 05H,939
10/14/2021 04H,1563
10/14/2021 03H,1584
10/14/2021 02H,1436
10/14/2021 01H,1207
10/14/2021 00H,673
10/13/2021 23H,659
10/13/2021 22H,598
10/13/2021 21H,594
10/13/2021 20H,592
10/13/2021 19H,589
10/13/2021 18H,583
10/13/2021 17H,620
10/13/2021 16H,754
10/13/2021 15H,775
10/13/2021 14H,831
10/13/2021 13H,732
10/13/2021 12H,682
10/13/2021 11H,675
10/13/2021 10H,668
10/13/2021 09H,761
10/13/2021 08H,790
10/13/2021 07H,844
10/13/2021 06H,969
10/13/2021 05H,983
10/13/2021 04H,1349
10/13/2021 03H,1476
10/13/2021 02H,1590
10/13/2021 01H,1522
10/13/2021 00H,1177
10/12/2021 23H,657
10/12/2021 22H,622
10/12/2021 21H,609
10/12/2021 20H,590
10/12/2021 19H,580
10/12/2021 18H,581
10/12/2021 17H,580
10/12/2021 16H,606
10/12/2021 15H,1068
10/12/2021 14H,1070
10/12/2021 13H,989
10/12/2021 12H,670
10/12/2021 11H,653
10/12/2021 10H,696
10/12/2021 09H,701
10/12/2021 08H,777
10/12/2021 07H,762
10/12/2021 06H,768
10/12/2021 05H,897
10/12/2021 04H,1034
10/12/2021 03H,1321
10/12/2021 02H,1482
10/12/2021 01H,1368
10/12/2021 00H,1142
10/11/2021 23H,654
10/11/2021 22H,646
10/11/2021 21H,650
10/11/2021 20H,655
10/11/2021 19H,618
10/11/2021 18H,623
10/11/2021 17H,624
10/11/2021 16H,658
10/11/2021 15H,964
10/11/2021 14H,990
10/11/2021 13H,892
10/11/2021 12H,741
10/11/2021 11H,750
10/11/2021 10H,705
10/11/2021 09H,708
10/11/2021 08H,774
10/11/2021 07H,722
10/11/2021 06H,704
10/11/2021 05H,981
10/11/2021 04H,1348
10/11/2021 03H,1727
10/11/2021 02H,1626
10/11/2021 01H,1467
10/11/2021 00H,937
10/10/2021 23H,627
10/10/2021 22H,624
10/10/2021 21H,616
10/10/2021 20H,615
10/10/2021 19H,599
10/10/2021 18H,586
10/10/2021 17H,621
10/10/2021 16H,650
10/10/2021 15H,973
10/10/2021 14H,984
10/10/2021 13H,749
10/10/2021 12H,707
10/10/2021 11H,742
10/10/2021 10H,715
10/10/2021 09H,707
10/10/2021 08H,714
10/10/2021 07H,829
10/10/2021 06H,768
10/10/2021 05H,1182
10/10/2021 04H,1815
10/10/2021 03H,1737
10/10/2021 02H,1581
10/10/2021 01H,1513
10/10/2021 00H,970
10/9/2021 23H,633
10/9/2021 22H,627
10/9/2021 21H,610
10/9/2021 20H,622
10/9/2021 19H,624
10/9/2021 18H,621
10/9/2021 17H,627
10/9/2021 16H,648
10/9/2021 15H,788
10/9/2021 14H,795
10/9/2021 13H,788
10/9/2021 12H,742
10/9/2021 11H,727
10/9/2021 10H,796
10/9/2021 09H,741
10/9/2021 08H,768
10/9/2021 07H,772
10/9/2021 06H,725
10/9/2021 05H,1192
10/9/2021 04H,1380
10/9/2021 03H,1556
10/9/2021 02H,1601
10/9/2021 01H,1524
10/9/2021 00H,761
10/8/2021 23H,649
10/8/2021 22H,645
10/8/2021 21H,648
10/8/2021 20H,646
10/8/2021 19H,645
10/8/2021 18H,658
10/8/2021 17H,711
10/8/2021 16H,1008
10/8/2021 15H,1030
10/8/2021 14H,920
10/8/2021 13H,726
10/8/2021 12H,707
10/8/2021 11H,657
10/8/2021 10H,661
10/8/2021 09H,708
10/8/2021 08H,709
10/8/2021 07H,754
10/8/2021 06H,799
10/8/2021 05H,812
10/8/2021 04H,1244
10/8/2021 03H,1551
10/8/2021 02H,1584
10/8/2021 01H,1560
10/8/2021 00H,830
10/7/2021 23H,707
10/7/2021 22H,664
10/7/2021 21H,659
10/7/2021 20H,683
10/7/2021 19H,662
10/7/2021 18H,722
10/7/2021 17H,727
10/7/2021 16H,1103
10/7/2021 15H,1093
10/7/2021 14H,1090
10/7/2021 13H,762
10/7/2021 12H,709
10/7/2021 11H,745
10/7/2021 10H,696
10/7/2021 09H,697
10/7/2021 08H,750
10/7/2021 07H,765
10/7/2021 06H,1234
10/7/2021 05H,1242
10/7/2021 04H,1563
10/7/2021 03H,1737
10/7/2021 02H,1751
10/7/2021 01H,1620
10/7/2021 00H,968
10/6/2021 23H,734
10/6/2021 22H,684
10/6/2021 21H,669
10/6/2021 20H,666
10/6/2021 19H,657
10/6/2021 18H,658
10/6/2021 17H,705
10/6/2021 16H,705
10/6/2021 15H,888
10/6/2021 14H,887
10/6/2021 13H,783
10/6/2021 12H,701
10/6/2021 11H,702
10/6/2021 10H,700
10/6/2021 09H,701
10/6/2021 08H,702
10/6/2021 07H,707
10/6/2021 06H,712
10/6/2021 05H,810
10/6/2021 04H,925
10/6/2021 03H,1301
10/6/2021 02H,1487
10/6/2021 01H,1206
10/6/2021 00H,722
10/5/2021 23H,821
10/5/2021 22H,576
10/5/2021 21H,715
10/5/2021 20H,517
10/5/2021 19H,491
10/5/2021 18H,427
10/5/2021 17H,434
10/5/2021 16H,565
10/5/2021 15H,561
10/5/2021 14H,686
10/5/2021 13H,752
10/5/2021 12H,691
10/5/2021 11H,684
10/5/2021 10H,683
10/5/2021 09H,690
10/5/2021 08H,690
10/5/2021 07H,699
10/5/2021 06H,782
10/5/2021 05H,788
10/5/2021 04H,1023
10/5/2021 03H,1271
10/5/2021 02H,1404
10/5/2021 01H,1174
10/5/2021 00H,1215
10/4/2021 23H,952
10/4/2021 22H,925
10/4/2021 21H,900
10/4/2021 20H,695
10/4/2021 19H,609
10/4/2021 18H,623
10/4/2021 17H,675
10/4/2021 16H,680
10/4/2021 15H,973
10/4/2021 14H,1012
10/4/2021 13H,758
10/4/2021 12H,715
10/4/2021 11H,712
10/4/2021 10H,717
10/4/2021 09H,709
10/4/2021 08H,748
