Net generation from natural gas for Florida (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390109&sdid=EBA.FLA-ALL.NG.NG.H
19:11:22 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.FLA-ALL.NG.NG.H megawatthours
11/11/2021 19H,21400
11/11/2021 18H,20176
11/11/2021 17H,19075
11/11/2021 16H,17837
11/11/2021 15H,17182
11/11/2021 14H,16471
11/11/2021 13H,15103
11/11/2021 12H,13633
11/11/2021 11H,12367
11/11/2021 10H,11795
11/11/2021 09H,11623
11/11/2021 08H,11706
11/11/2021 07H,12172
11/11/2021 06H,13044
11/11/2021 05H,14259
11/11/2021 04H,15954
11/11/2021 03H,17737
11/11/2021 02H,19222
11/11/2021 01H,20424
11/11/2021 00H,21413
11/10/2021 23H,20992
11/10/2021 22H,19857
11/10/2021 21H,19170
11/10/2021 20H,18860
11/10/2021 19H,18665
11/10/2021 18H,18163
11/10/2021 17H,17174
11/10/2021 16H,16054
11/10/2021 15H,15320
11/10/2021 14H,15058
11/10/2021 13H,14964
11/10/2021 12H,14120
11/10/2021 11H,11939
11/10/2021 10H,10537
11/10/2021 09H,10322
11/10/2021 08H,10398
11/10/2021 07H,10550
11/10/2021 06H,11346
11/10/2021 05H,12553
11/10/2021 04H,14386
11/10/2021 03H,16341
11/10/2021 02H,17754
11/10/2021 01H,18869
11/10/2021 00H,19644
11/9/2021 23H,18708
11/9/2021 22H,17378
11/9/2021 21H,16089
11/9/2021 20H,15189
11/9/2021 19H,14756
11/9/2021 18H,14103
11/9/2021 17H,13372
11/9/2021 16H,13365
11/9/2021 15H,13567
11/9/2021 14H,14203
11/9/2021 13H,15256
11/9/2021 12H,14557
11/9/2021 11H,12262
11/9/2021 10H,11268
11/9/2021 09H,11021
11/9/2021 08H,11068
11/9/2021 07H,11450
11/9/2021 06H,11613
11/9/2021 05H,12644
11/9/2021 04H,14374
11/9/2021 03H,16077
11/9/2021 02H,17283
11/9/2021 01H,18481
11/9/2021 00H,19178
11/8/2021 23H,18163
11/8/2021 22H,16565
11/8/2021 21H,14890
11/8/2021 20H,14047
11/8/2021 19H,13588
11/8/2021 18H,13402
11/8/2021 17H,13257
11/8/2021 16H,13341
11/8/2021 15H,13652
11/8/2021 14H,14580
11/8/2021 13H,15795
11/8/2021 12H,15004
11/8/2021 11H,12594
11/8/2021 10H,10835
11/8/2021 09H,10399
11/8/2021 08H,10387
11/8/2021 07H,10547
11/8/2021 06H,11156
11/8/2021 05H,8708
11/8/2021 04H,12886
11/8/2021 03H,14267
11/8/2021 02H,15784
11/8/2021 01H,16864
11/8/2021 00H,17780
11/7/2021 23H,17733
11/7/2021 22H,17221
11/7/2021 21H,15926
11/7/2021 20H,14508
11/7/2021 19H,14055
11/7/2021 18H,13732
11/7/2021 17H,13834
11/7/2021 16H,14128
11/7/2021 15H,14385
11/7/2021 14H,14441
11/7/2021 13H,14294
11/7/2021 12H,13155
11/7/2021 11H,11903
11/7/2021 10H,11449
11/7/2021 09H,11097
11/7/2021 08H,10745
11/7/2021 07H,10810
11/7/2021 06H,11238
11/7/2021 05H,13633
11/7/2021 04H,13857
11/7/2021 03H,15290
11/7/2021 02H,16174
11/7/2021 01H,17116
11/7/2021 00H,18103
11/6/2021 23H,17767
11/6/2021 22H,17056
11/6/2021 21H,16124
11/6/2021 20H,15607
11/6/2021 19H,15655
11/6/2021 18H,15921
11/6/2021 17H,16041
11/6/2021 16H,15804
11/6/2021 15H,16041
11/6/2021 14H,16312
11/6/2021 13H,15553
11/6/2021 12H,14095
11/6/2021 11H,12904
11/6/2021 10H,12193
11/6/2021 09H,11685
11/6/2021 08H,11774
11/6/2021 07H,12164
11/6/2021 06H,12848
11/6/2021 05H,13455
11/6/2021 04H,14396
11/6/2021 03H,15560
11/6/2021 02H,16485
11/6/2021 01H,17513
11/6/2021 00H,18337
11/5/2021 23H,17794
11/5/2021 22H,17633
11/5/2021 21H,17391
11/5/2021 20H,17454
11/5/2021 19H,17460
11/5/2021 18H,17586
11/5/2021 17H,17699
11/5/2021 16H,17899
11/5/2021 15H,17987
11/5/2021 14H,17184
11/5/2021 13H,16633
11/5/2021 12H,15754
11/5/2021 11H,14276
11/5/2021 10H,12302
11/5/2021 09H,11663
11/5/2021 08H,11581
11/5/2021 07H,11903
11/5/2021 06H,12443
11/5/2021 05H,13512
11/5/2021 04H,15108
11/5/2021 03H,16702
11/5/2021 02H,17967
11/5/2021 01H,19576
11/5/2021 00H,20480
11/4/2021 23H,19830
11/4/2021 22H,19388
11/4/2021 21H,18795
11/4/2021 20H,18016
11/4/2021 19H,17374
11/4/2021 18H,17469
11/4/2021 17H,17212
11/4/2021 16H,16648
11/4/2021 15H,16204
11/4/2021 14H,15778
11/4/2021 13H,14935
11/4/2021 12H,14626
11/4/2021 11H,13535
11/4/2021 10H,12061
11/4/2021 09H,11189
11/4/2021 08H,11074
11/4/2021 07H,11556
11/4/2021 06H,12281
11/4/2021 05H,13161
11/4/2021 04H,15527
11/4/2021 03H,17765
11/4/2021 02H,19875
11/4/2021 01H,21819
11/4/2021 00H,23355
11/3/2021 23H,23247
11/3/2021 22H,22670
11/3/2021 21H,21908
11/3/2021 20H,20917
11/3/2021 19H,20231
11/3/2021 18H,19325
11/3/2021 17H,18028
11/3/2021 16H,16561
11/3/2021 15H,15130
11/3/2021 14H,14656
11/3/2021 13H,14786
11/3/2021 12H,14694
11/3/2021 11H,13876
11/3/2021 10H,12359
11/3/2021 09H,11622
11/3/2021 08H,11603
11/3/2021 07H,11896
11/3/2021 06H,12551
11/3/2021 05H,13486
11/3/2021 04H,14562
11/3/2021 03H,16529
11/3/2021 02H,18610
11/3/2021 01H,20129
11/3/2021 00H,21598
11/2/2021 23H,21329
11/2/2021 22H,20966
11/2/2021 21H,20028
11/2/2021 20H,19398
11/2/2021 19H,18313
11/2/2021 18H,17976
11/2/2021 17H,16920
11/2/2021 16H,15514
11/2/2021 15H,14667
11/2/2021 14H,14477
11/2/2021 13H,14653
11/2/2021 12H,14517
11/2/2021 11H,13463
11/2/2021 10H,11824
11/2/2021 09H,11225
11/2/2021 08H,11076
11/2/2021 07H,11238
11/2/2021 06H,11794
11/2/2021 05H,12678
