Net generation from hydro for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.WAT.H
19:18:46 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.WAT.H megawatthours
10/29/2021 00H,9899
10/28/2021 23H,8124
10/28/2021 22H,8115
10/28/2021 21H,8422
10/28/2021 20H,8940
10/28/2021 19H,9437
10/28/2021 18H,9581
10/28/2021 17H,10530
10/28/2021 16H,11378
10/28/2021 15H,12294
10/28/2021 14H,11778
10/28/2021 13H,10137
10/28/2021 12H,8960
10/28/2021 11H,8559
10/28/2021 10H,8388
10/28/2021 09H,8567
10/28/2021 08H,8683
10/28/2021 07H,10101
10/28/2021 06H,10741
10/28/2021 05H,11263
10/28/2021 04H,12174
10/28/2021 03H,12883
10/28/2021 02H,13375
10/28/2021 01H,12533
10/28/2021 00H,10824
10/27/2021 23H,9098
10/27/2021 22H,8981
10/27/2021 21H,8919
10/27/2021 20H,8823
10/27/2021 19H,9488
10/27/2021 18H,9780
10/27/2021 17H,10060
10/27/2021 16H,10232
10/27/2021 15H,10979
10/27/2021 14H,11032
10/27/2021 13H,8844
10/27/2021 12H,7366
10/27/2021 11H,6995
10/27/2021 10H,7063
10/27/2021 09H,7247
10/27/2021 08H,8010
10/27/2021 07H,8908
10/27/2021 06H,9548
10/27/2021 05H,10084
10/27/2021 04H,11005
10/27/2021 03H,11320
10/27/2021 02H,11749
10/27/2021 01H,11191
10/27/2021 00H,9536
10/26/2021 23H,9079
10/26/2021 22H,9194
10/26/2021 21H,9365
10/26/2021 20H,9845
10/26/2021 19H,10183
10/26/2021 18H,10890
10/26/2021 17H,11193
10/26/2021 16H,11765
10/26/2021 15H,12127
10/26/2021 14H,11544
10/26/2021 13H,9877
10/26/2021 12H,8897
10/26/2021 11H,8593
10/26/2021 10H,8139
10/26/2021 09H,7437
10/26/2021 08H,7685
10/26/2021 07H,7845
10/26/2021 06H,9252
10/26/2021 05H,10562
10/26/2021 04H,12146
10/26/2021 03H,12779
10/26/2021 02H,12814
10/26/2021 01H,11309
10/26/2021 00H,10639
10/25/2021 23H,10516
10/25/2021 22H,10153
10/25/2021 21H,10048
10/25/2021 20H,10439
10/25/2021 19H,10902
10/25/2021 18H,11428
10/25/2021 17H,12056
10/25/2021 16H,12154
10/25/2021 15H,12564
10/25/2021 14H,11929
10/25/2021 13H,10000
10/25/2021 12H,7918
10/25/2021 11H,7424
10/25/2021 10H,7390
10/25/2021 09H,7544
10/25/2021 08H,7899
10/25/2021 07H,8126
10/25/2021 06H,9508
10/25/2021 05H,11221
10/25/2021 04H,12154
10/25/2021 03H,12125
10/25/2021 02H,12706
10/25/2021 01H,12691
10/25/2021 00H,12039
10/24/2021 23H,9993
10/24/2021 22H,8863
10/24/2021 21H,9188
10/24/2021 20H,9545
10/24/2021 19H,9664
10/24/2021 18H,10053
10/24/2021 17H,9644
10/24/2021 16H,8910
10/24/2021 15H,8267
10/24/2021 14H,7868
10/24/2021 13H,7594
10/24/2021 12H,7372
10/24/2021 11H,7275
10/24/2021 10H,7256
10/24/2021 09H,7595
10/24/2021 08H,8238
10/24/2021 07H,8527
10/24/2021 06H,9695
10/24/2021 05H,10684
10/24/2021 04H,11976
10/24/2021 03H,12874
10/24/2021 02H,13086
10/24/2021 01H,12333
10/24/2021 00H,11441
10/23/2021 23H,10689
10/23/2021 22H,9966
10/23/2021 21H,10052
10/23/2021 20H,10336
10/23/2021 19H,10739
10/23/2021 18H,10707
10/23/2021 17H,10971
10/23/2021 16H,10645
10/23/2021 15H,10301
10/23/2021 14H,9561
10/23/2021 13H,8537
10/23/2021 12H,8144
10/23/2021 11H,7810
10/23/2021 10H,7817
10/23/2021 09H,7566
10/23/2021 08H,7629
10/23/2021 07H,8272
10/23/2021 06H,9062
10/23/2021 05H,9177
10/23/2021 04H,9550
10/23/2021 03H,10156
10/23/2021 02H,10786
10/23/2021 01H,11314
10/23/2021 00H,10708
10/22/2021 23H,11107
10/22/2021 22H,11274
10/22/2021 21H,11173
10/22/2021 20H,11379
10/22/2021 19H,11885
10/22/2021 18H,12140
10/22/2021 17H,11883
10/22/2021 16H,11511
10/22/2021 15H,11565
10/22/2021 14H,10846
10/22/2021 13H,9521
10/22/2021 12H,8767
10/22/2021 11H,8744
10/22/2021 10H,8148
10/22/2021 09H,7489
10/22/2021 08H,7339
10/22/2021 07H,8274
10/22/2021 06H,9552
10/22/2021 05H,10840
10/22/2021 04H,11753
10/22/2021 03H,12592
10/22/2021 02H,12644
10/22/2021 01H,12217
10/22/2021 00H,11168
10/21/2021 23H,10820
10/21/2021 22H,10997
10/21/2021 21H,10592
10/21/2021 20H,10809
10/21/2021 19H,11216
10/21/2021 18H,11628
10/21/2021 17H,11958
10/21/2021 16H,12436
10/21/2021 15H,12863
10/21/2021 14H,11796
10/21/2021 13H,9756
10/21/2021 12H,7891
10/21/2021 11H,7252
10/21/2021 10H,7544
10/21/2021 09H,7954
10/21/2021 08H,8397
10/21/2021 07H,9164
10/21/2021 06H,10569
10/21/2021 05H,11900
10/21/2021 04H,12886
10/21/2021 03H,13048
10/21/2021 02H,13299
10/21/2021 01H,12069
10/21/2021 00H,10843
10/20/2021 23H,9810
10/20/2021 22H,9486
10/20/2021 21H,9112
10/20/2021 20H,9080
10/20/2021 19H,8725
10/20/2021 18H,9334
10/20/2021 17H,9902
10/20/2021 16H,10858
10/20/2021 15H,11382
10/20/2021 14H,11267
10/20/2021 13H,8753
10/20/2021 12H,7905
10/20/2021 11H,6725
10/20/2021 10H,6716
10/20/2021 09H,7645
10/20/2021 08H,7903
10/20/2021 07H,8765
10/20/2021 06H,9296
10/20/2021 05H,10703
10/20/2021 04H,11564
10/20/2021 03H,12092
10/20/2021 02H,12129
10/20/2021 01H,11755
10/20/2021 00H,11028
10/19/2021 23H,10390
10/19/2021 22H,10289
10/19/2021 21H,10480
10/19/2021 20H,11060
10/19/2021 19H,11496
10/19/2021 18H,12115
10/19/2021 17H,12669
10/19/2021 16H,12966
10/19/2021 15H,13727
10/19/2021 14H,12219
10/19/2021 13H,9728
10/19/2021 12H,8316
10/19/2021 11H,7422
10/19/2021 10H,7047
10/19/2021 09H,6967
10/19/2021 08H,6996
10/19/2021 07H,7742
10/19/2021 06H,8256
10/19/2021 05H,8035
10/19/2021 04H,9696
10/19/2021 03H,10528
10/19/2021 02H,11085
10/19/2021 01H,10944
10/19/2021 00H,9499
10/18/2021 23H,8593
10/18/2021 22H,8371
10/18/2021 21H,8233
10/18/2021 20H,8334
10/18/2021 19H,8454
10/18/2021 18H,8570
10/18/2021 17H,8877
10/18/2021 16H,9842
10/18/2021 15H,9882
10/18/2021 14H,8734
10/18/2021 13H,7672
10/18/2021 12H,7258
10/18/2021 11H,7135
10/18/2021 10H,6802
10/18/2021 09H,6625
10/18/2021 08H,6813
10/18/2021 07H,6776
10/18/2021 06H,7602
10/18/2021 05H,9113
10/18/2021 04H,10273
10/18/2021 03H,11206
10/18/2021 02H,12066
10/18/2021 01H,11631
10/18/2021 00H,10109
10/17/2021 23H,9435
10/17/2021 22H,9055
10/17/2021 21H,9306
10/17/2021 20H,9561
10/17/2021 19H,9430
10/17/2021 18H,9725
10/17/2021 17H,9814
