Net generation from nuclear for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.NUC.H
19:02:21 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.NUC.H megawatthours
10/19/2021 13H,73233
10/19/2021 12H,73248
10/19/2021 11H,73221
10/19/2021 10H,73210
10/19/2021 09H,73164
10/19/2021 08H,73143
10/19/2021 07H,73089
10/19/2021 06H,72956
10/19/2021 05H,72885
10/19/2021 04H,73083
10/19/2021 03H,73265
10/19/2021 02H,73237
10/19/2021 01H,73234
10/19/2021 00H,73200
10/18/2021 23H,73206
10/18/2021 22H,73326
10/18/2021 21H,73508
10/18/2021 20H,73731
10/18/2021 19H,72727
10/18/2021 18H,73989
10/18/2021 17H,74022
10/18/2021 16H,74021
10/18/2021 15H,74060
10/18/2021 14H,74105
10/18/2021 13H,74070
10/18/2021 12H,74045
10/18/2021 11H,74047
10/18/2021 10H,74008
10/18/2021 09H,73993
10/18/2021 08H,73951
10/18/2021 07H,73959
10/18/2021 06H,73906
10/18/2021 05H,72334
10/18/2021 04H,72855
10/18/2021 03H,72560
10/18/2021 02H,72669
10/18/2021 01H,72987
10/18/2021 00H,73096
10/17/2021 23H,73140
10/17/2021 22H,73161
10/17/2021 21H,73217
10/17/2021 20H,73205
10/17/2021 19H,73208
10/17/2021 18H,73223
10/17/2021 17H,73252
10/17/2021 16H,73267
10/17/2021 15H,73235
10/17/2021 14H,73242
10/17/2021 13H,73290
10/17/2021 12H,73243
10/17/2021 11H,73237
10/17/2021 10H,73203
10/17/2021 09H,73172
10/17/2021 08H,73006
10/17/2021 07H,72897
10/17/2021 06H,72845
10/17/2021 05H,72721
10/17/2021 04H,73639
10/17/2021 03H,72618
10/17/2021 02H,72604
10/17/2021 01H,72696
10/17/2021 00H,72676
10/16/2021 23H,72612
10/16/2021 22H,72591
10/16/2021 21H,72526
10/16/2021 20H,72491
10/16/2021 19H,72396
10/16/2021 18H,72330
10/16/2021 17H,72212
10/16/2021 16H,72183
10/16/2021 15H,72445
10/16/2021 14H,72442
10/16/2021 13H,72434
10/16/2021 12H,72410
10/16/2021 11H,72293
10/16/2021 10H,72189
10/16/2021 09H,73072
10/16/2021 08H,73145
10/16/2021 07H,73278
10/16/2021 06H,73467
10/16/2021 05H,75704
10/16/2021 04H,75248
10/16/2021 03H,76367
10/16/2021 02H,75255
10/16/2021 01H,76506
10/16/2021 00H,77386
10/15/2021 23H,77323
10/15/2021 22H,77226
10/15/2021 21H,77280
10/15/2021 20H,77303
10/15/2021 19H,77219
10/15/2021 18H,77164
10/15/2021 17H,77160
10/15/2021 16H,77189
10/15/2021 15H,77271
10/15/2021 14H,77272
10/15/2021 13H,77206
10/15/2021 12H,77206
10/15/2021 11H,77221
10/15/2021 10H,77226
10/15/2021 09H,77218
10/15/2021 08H,77173
10/15/2021 07H,77148
10/15/2021 06H,77105
10/15/2021 05H,75897
10/15/2021 04H,77065
10/15/2021 03H,77011
10/15/2021 02H,77042
10/15/2021 01H,76973
10/15/2021 00H,76944
10/14/2021 23H,76927
10/14/2021 22H,75720
10/14/2021 21H,75719
10/14/2021 20H,76938
10/14/2021 19H,76984
10/14/2021 18H,77016
10/14/2021 17H,76880
10/14/2021 16H,76961
10/14/2021 15H,77007
10/14/2021 14H,77065
10/14/2021 13H,77103
10/14/2021 12H,77073
10/14/2021 11H,77113
10/14/2021 10H,77061
10/14/2021 09H,77054
10/14/2021 08H,77044
10/14/2021 07H,77056
10/14/2021 06H,77106
10/14/2021 05H,77103
10/14/2021 04H,77181
10/14/2021 03H,77080
10/14/2021 02H,77072
10/14/2021 01H,77040
10/14/2021 00H,77020
10/13/2021 23H,76985
10/13/2021 22H,76996
10/13/2021 21H,76945
10/13/2021 20H,76933
10/13/2021 19H,76942
10/13/2021 18H,76848
10/13/2021 17H,76830
10/13/2021 16H,76842
10/13/2021 15H,76910
10/13/2021 14H,76927
10/13/2021 13H,76947
10/13/2021 12H,76911
10/13/2021 11H,76874
10/13/2021 10H,76814
10/13/2021 09H,76795
10/13/2021 08H,76712
10/13/2021 07H,76717
10/13/2021 06H,76696
10/13/2021 05H,76673
10/13/2021 04H,76666
10/13/2021 03H,76569
10/13/2021 02H,76474
10/13/2021 01H,76391
10/13/2021 00H,76358
10/12/2021 23H,76323
10/12/2021 22H,76266
10/12/2021 21H,76249
10/12/2021 20H,76222
10/12/2021 19H,76212
10/12/2021 18H,76197
10/12/2021 17H,76153
10/12/2021 16H,76046
