Net generation from other for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.OTH.H
19:02:28 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.OTH.H megawatthours
11/4/2021 20H,10620
11/4/2021 19H,10714
11/4/2021 18H,10742
11/4/2021 17H,10760
11/4/2021 16H,10935
11/4/2021 15H,11199
11/4/2021 14H,11643
11/4/2021 13H,11123
11/4/2021 12H,11014
11/4/2021 11H,10702
11/4/2021 10H,9667
11/4/2021 09H,9441
11/4/2021 08H,9253
11/4/2021 07H,9280
11/4/2021 06H,9397
11/4/2021 05H,9740
11/4/2021 04H,9938
11/4/2021 03H,10713
11/4/2021 02H,11518
11/4/2021 01H,11804
11/4/2021 00H,11651
11/3/2021 23H,11030
11/3/2021 22H,10705
11/3/2021 21H,10487
11/3/2021 20H,10377
11/3/2021 19H,10442
11/3/2021 18H,10359
11/3/2021 17H,10305
11/3/2021 16H,10387
11/3/2021 15H,10262
11/3/2021 14H,10514
11/3/2021 13H,10298
11/3/2021 12H,10356
11/3/2021 11H,9973
11/3/2021 10H,9236
11/3/2021 09H,8902
11/3/2021 08H,8825
11/3/2021 07H,8683
11/3/2021 06H,8880
11/3/2021 05H,9413
11/3/2021 04H,9848
11/3/2021 03H,10361
11/3/2021 02H,10659
11/3/2021 01H,11287
11/3/2021 00H,10707
11/2/2021 23H,10328
11/2/2021 22H,10072
11/2/2021 21H,10006
11/2/2021 20H,9912
11/2/2021 19H,9899
11/2/2021 18H,9682
11/2/2021 17H,9611
11/2/2021 16H,9907
11/2/2021 15H,9799
11/2/2021 14H,10135
11/2/2021 13H,9875
11/2/2021 12H,9703
11/2/2021 11H,9155
11/2/2021 10H,8738
11/2/2021 09H,8198
11/2/2021 08H,8276
11/2/2021 07H,8290
11/2/2021 06H,8952
11/2/2021 05H,9120
11/2/2021 04H,9004
11/2/2021 03H,9567
11/2/2021 02H,9783
11/2/2021 01H,10455
11/2/2021 00H,10200
11/1/2021 23H,9879
11/1/2021 22H,9674
11/1/2021 21H,8698
11/1/2021 20H,9194
11/1/2021 19H,9116
11/1/2021 18H,9198
11/1/2021 17H,8936
11/1/2021 16H,8907
11/1/2021 15H,8709
11/1/2021 14H,9012
11/1/2021 13H,8982
11/1/2021 12H,8747
11/1/2021 11H,8754
11/1/2021 10H,8208
11/1/2021 09H,7870
11/1/2021 08H,7343
11/1/2021 07H,7311
11/1/2021 06H,7638
11/1/2021 05H,8055
11/1/2021 04H,8704
11/1/2021 03H,8621
11/1/2021 02H,9230
11/1/2021 01H,9133
11/1/2021 00H,9046
10/31/2021 23H,8733
10/31/2021 22H,8563
10/31/2021 21H,8512
10/31/2021 20H,8369
10/31/2021 19H,8295
10/31/2021 18H,8396
10/31/2021 17H,8424
10/31/2021 16H,8609
10/31/2021 15H,8594
10/31/2021 14H,8418
10/31/2021 13H,8094
10/31/2021 12H,7538
10/31/2021 11H,7469
10/31/2021 10H,6980
10/31/2021 09H,7020
10/31/2021 08H,6978
10/31/2021 07H,6981
10/31/2021 06H,6948
10/31/2021 05H,7502
10/31/2021 04H,8026
10/31/2021 03H,9066
10/31/2021 02H,9309
10/31/2021 01H,9701
10/31/2021 00H,9361
10/30/2021 23H,8930
10/30/2021 22H,8771
10/30/2021 21H,8620
10/30/2021 20H,8609
10/30/2021 19H,9262
10/30/2021 18H,8642
10/30/2021 17H,8722
10/30/2021 16H,8827
10/30/2021 15H,8898
10/30/2021 14H,8912
10/30/2021 13H,8331
10/30/2021 12H,7727
10/30/2021 11H,7684
10/30/2021 10H,7305
10/30/2021 09H,6918
10/30/2021 08H,7119
10/30/2021 07H,7229
10/30/2021 06H,7337
10/30/2021 05H,7565
10/30/2021 04H,8411
10/30/2021 03H,9340
10/30/2021 02H,10469
10/30/2021 01H,10654
10/30/2021 00H,10335
10/29/2021 23H,9776
10/29/2021 22H,9517
10/29/2021 21H,9652
10/29/2021 20H,9653
10/29/2021 19H,9598
10/29/2021 18H,9590
10/29/2021 17H,9226
10/29/2021 16H,9316
10/29/2021 15H,9336
10/29/2021 14H,9080
10/29/2021 13H,8881
10/29/2021 12H,8599
10/29/2021 11H,8704
10/29/2021 10H,8291
10/29/2021 09H,7537
10/29/2021 08H,7574
10/29/2021 07H,8027
10/29/2021 06H,8118
10/29/2021 05H,8031
10/29/2021 04H,8639
10/29/2021 03H,8938
10/29/2021 02H,9259
10/29/2021 01H,11041
10/29/2021 00H,10900
10/28/2021 23H,10219
10/28/2021 22H,10112
10/28/2021 21H,10086
10/28/2021 20H,10082
10/28/2021 19H,9901
10/28/2021 18H,9788
10/28/2021 17H,10153
10/28/2021 16H,10270
10/28/2021 15H,10405
10/28/2021 14H,10433
10/28/2021 13H,9414
10/28/2021 12H,9196
10/28/2021 11H,8982
10/28/2021 10H,8660
10/28/2021 09H,8005
10/28/2021 08H,7799
10/28/2021 07H,7807
10/28/2021 06H,7814
10/28/2021 05H,7929
10/28/2021 04H,8641
10/28/2021 03H,9447
10/28/2021 02H,9734
10/28/2021 01H,10625
10/28/2021 00H,10878
10/27/2021 23H,9909
10/27/2021 22H,9930
10/27/2021 21H,9797
10/27/2021 20H,9856
10/27/2021 19H,9812
10/27/2021 18H,9582
10/27/2021 17H,9381
10/27/2021 16H,9590
10/27/2021 15H,9821
10/27/2021 14H,10013
10/27/2021 13H,8826
10/27/2021 12H,8284
10/27/2021 11H,7887
10/27/2021 10H,7743
10/27/2021 09H,7280
10/27/2021 08H,7218
10/27/2021 07H,7388
10/27/2021 06H,7352
10/27/2021 05H,7572
10/27/2021 04H,9259
10/27/2021 03H,9445
10/27/2021 02H,9344
10/27/2021 01H,11094
10/27/2021 00H,11138
10/26/2021 23H,10607
10/26/2021 22H,10375
10/26/2021 21H,10276
10/26/2021 20H,10304
10/26/2021 19H,10323
10/26/2021 18H,10284
10/26/2021 17H,10101
10/26/2021 16H,10289
10/26/2021 15H,10389
10/26/2021 14H,10292
10/26/2021 13H,9126
10/26/2021 12H,8261
10/26/2021 11H,7743
10/26/2021 10H,7457
10/26/2021 09H,6960
10/26/2021 08H,7173
10/26/2021 07H,8029
10/26/2021 06H,8193
10/26/2021 05H,8374
10/26/2021 04H,9200
10/26/2021 03H,10559
10/26/2021 02H,11118
10/26/2021 01H,11957
10/26/2021 00H,11821
10/25/2021 23H,11070
10/25/2021 22H,10987
10/25/2021 21H,10891
10/25/2021 20H,10775
10/25/2021 19H,10524
10/25/2021 18H,10529
10/25/2021 17H,10360
10/25/2021 16H,10339
10/25/2021 15H,10215
10/25/2021 14H,10188
10/25/2021 13H,9238
10/25/2021 12H,9003
10/25/2021 11H,8878
10/25/2021 10H,8405
10/25/2021 09H,7934
10/25/2021 08H,7600
10/25/2021 07H,7518
10/25/2021 06H,7604
10/25/2021 05H,7843
10/25/2021 04H,9125
10/25/2021 03H,9148
10/25/2021 02H,9742
10/25/2021 01H,10375
10/25/2021 00H,10131
10/24/2021 23H,9419
10/24/2021 22H,9320
10/24/2021 21H,9319
10/24/2021 20H,9168
10/24/2021 19H,8963
10/24/2021 18H,8997
10/24/2021 17H,9057
10/24/2021 16H,9149
10/24/2021 15H,11792
10/24/2021 14H,11432
10/24/2021 13H,11145
10/24/2021 12H,10813
10/24/2021 11H,10440
10/24/2021 10H,10256
10/24/2021 09H,10131
10/24/2021 08H,10210
10/24/2021 07H,10338
10/24/2021 06H,10680
10/24/2021 05H,10964
10/24/2021 04H,12351
10/24/2021 03H,12711
10/24/2021 02H,13030
10/24/2021 01H,13302
10/24/2021 00H,12683
10/23/2021 23H,12360
10/23/2021 22H,12335
10/23/2021 21H,12320
10/23/2021 20H,12188
10/23/2021 19H,12077
10/23/2021 18H,12022
10/23/2021 17H,9303
10/23/2021 16H,9314
10/23/2021 15H,9412
10/23/2021 14H,9247
10/23/2021 13H,9252
10/23/2021 12H,8926
10/23/2021 11H,8752
10/23/2021 10H,11033
10/23/2021 09H,10413
10/23/2021 08H,9672
10/23/2021 07H,10543
10/23/2021 06H,10525
10/23/2021 05H,11402
10/23/2021 04H,11628
10/23/2021 03H,12631
10/23/2021 02H,13404
10/23/2021 01H,14278
10/23/2021 00H,13373
10/22/2021 23H,13515
10/22/2021 22H,13596
10/22/2021 21H,13544
10/22/2021 20H,13493
10/22/2021 19H,13464
10/22/2021 18H,13703
10/22/2021 17H,13581
10/22/2021 16H,13532
10/22/2021 15H,13495
10/22/2021 14H,13265
10/22/2021 13H,12395
10/22/2021 12H,12189
10/22/2021 11H,11952
10/22/2021 10H,11750
10/22/2021 09H,11426
10/22/2021 08H,11330
10/22/2021 07H,11111
10/22/2021 06H,11309
10/22/2021 05H,11884
10/22/2021 04H,12469
10/22/2021 03H,13112
10/22/2021 02H,13412
10/22/2021 01H,14794
10/22/2021 00H,14409
10/21/2021 23H,13860
10/21/2021 22H,13610
10/21/2021 21H,13568
10/21/2021 20H,13546
10/21/2021 19H,13492
10/21/2021 18H,13396
10/21/2021 17H,13377
10/21/2021 16H,13304
10/21/2021 15H,13243
10/21/2021 14H,13066
10/21/2021 13H,12400
10/21/2021 12H,12036
10/21/2021 11H,11962
10/21/2021 10H,11413
10/21/2021 09H,10819
10/21/2021 08H,10550
10/21/2021 07H,10679
10/21/2021 06H,11215
10/21/2021 05H,11355
10/21/2021 04H,11929
10/21/2021 03H,12086
10/21/2021 02H,12948
10/21/2021 01H,14085
10/21/2021 00H,13345
10/20/2021 23H,12463
10/20/2021 22H,13222
10/20/2021 21H,13237
10/20/2021 20H,13129
10/20/2021 19H,12937
10/20/2021 18H,12761
10/20/2021 17H,12635
10/20/2021 16H,12714
10/20/2021 15H,13183
10/20/2021 14H,13245
10/20/2021 13H,12068
10/20/2021 12H,12100
10/20/2021 11H,11788
10/20/2021 10H,11204
10/20/2021 09H,10244
10/20/2021 08H,10167
10/20/2021 07H,10138
10/20/2021 06H,10286
10/20/2021 05H,11525
10/20/2021 04H,12919
10/20/2021 03H,12372
10/20/2021 02H,12994
10/20/2021 01H,13736
10/20/2021 00H,13296
