Net generation from wind for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WND.H
19:02:48 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WND.H megawatthours
11/13/2021 09H,45112
11/13/2021 08H,44629
11/13/2021 07H,44513
11/13/2021 06H,45662
11/13/2021 05H,48739
11/13/2021 04H,48732
11/13/2021 03H,49438
11/13/2021 02H,50889
11/13/2021 01H,51953
11/13/2021 00H,53842
11/12/2021 23H,58296
11/12/2021 22H,61770
11/12/2021 21H,65790
11/12/2021 20H,70491
11/12/2021 19H,72678
11/12/2021 18H,71523
11/12/2021 17H,69172
11/12/2021 16H,68352
11/12/2021 15H,68942
11/12/2021 14H,71271
11/12/2021 13H,72011
11/12/2021 12H,72167
11/12/2021 11H,71427
11/12/2021 10H,71897
11/12/2021 09H,71362
11/12/2021 08H,71453
11/12/2021 07H,71694
11/12/2021 06H,69430
11/12/2021 05H,66918
11/12/2021 04H,63208
11/12/2021 03H,58771
11/12/2021 02H,53378
11/12/2021 01H,49154
11/12/2021 00H,47260
11/11/2021 23H,48340
11/11/2021 22H,50673
11/11/2021 21H,50578
11/11/2021 20H,50685
11/11/2021 19H,50040
11/11/2021 18H,49164
11/11/2021 17H,48939
11/11/2021 16H,48904
11/11/2021 15H,52224
11/11/2021 14H,56152
11/11/2021 13H,57293
11/11/2021 12H,59013
11/11/2021 11H,59817
11/11/2021 10H,60487
11/11/2021 09H,61403
11/11/2021 08H,61939
11/11/2021 07H,62045
11/11/2021 06H,62374
11/11/2021 05H,59312
11/11/2021 04H,63957
11/11/2021 03H,65913
11/11/2021 02H,64047
11/11/2021 01H,61380
11/11/2021 00H,58012
11/10/2021 23H,57311
11/10/2021 22H,56060
11/10/2021 21H,55596
11/10/2021 20H,56489
11/10/2021 19H,58213
11/10/2021 18H,60133
11/10/2021 17H,60535
11/10/2021 16H,60023
11/10/2021 15H,61120
11/10/2021 14H,64699
11/10/2021 13H,64852
11/10/2021 12H,63631
11/10/2021 11H,61844
11/10/2021 10H,60759
11/10/2021 09H,61909
11/10/2021 08H,60535
11/10/2021 07H,61612
11/10/2021 06H,62498
11/10/2021 05H,59456
11/10/2021 04H,56895
11/10/2021 03H,52773
11/10/2021 02H,45713
11/10/2021 01H,37483
11/10/2021 00H,29804
11/9/2021 23H,25791
11/9/2021 22H,24383
11/9/2021 21H,23782
11/9/2021 20H,22972
11/9/2021 19H,21098
11/9/2021 18H,21387
11/9/2021 17H,22551
11/9/2021 16H,24027
11/9/2021 15H,29551
11/9/2021 14H,35253
11/9/2021 13H,39150
11/9/2021 12H,41779
11/9/2021 11H,44654
11/9/2021 10H,47478
11/9/2021 09H,49698
11/9/2021 08H,50632
11/9/2021 07H,51957
11/9/2021 06H,53912
11/9/2021 05H,58811
11/9/2021 04H,56646
11/9/2021 03H,57283
11/9/2021 02H,56616
11/9/2021 01H,52507
11/9/2021 00H,45268
11/8/2021 23H,43885
11/8/2021 22H,44085
11/8/2021 21H,43119
11/8/2021 20H,43067
11/8/2021 19H,42748
11/8/2021 18H,43344
11/8/2021 17H,45597
11/8/2021 16H,48028
11/8/2021 15H,53499
11/8/2021 14H,60484
11/8/2021 13H,62444
11/8/2021 12H,63455
11/8/2021 11H,62837
11/8/2021 10H,63716
11/8/2021 09H,64142
11/8/2021 08H,65600
11/8/2021 07H,66840
11/8/2021 06H,68554
11/8/2021 05H,71763
11/8/2021 04H,70948
11/8/2021 03H,73087
11/8/2021 02H,73132
11/8/2021 01H,67837
11/8/2021 00H,60453
11/7/2021 23H,56947
11/7/2021 22H,55064
11/7/2021 21H,52941
11/7/2021 20H,50780
11/7/2021 19H,47518
11/7/2021 18H,44914
11/7/2021 17H,45223
11/7/2021 16H,48118
11/7/2021 15H,53499
11/7/2021 14H,59745
11/7/2021 13H,60536
11/7/2021 12H,59885
11/7/2021 11H,62169
11/7/2021 10H,64508
11/7/2021 09H,64925
11/7/2021 08H,65703
11/7/2021 07H,66756
11/7/2021 06H,67995
11/7/2021 05H,69091
11/7/2021 04H,69475
11/7/2021 03H,69047
11/7/2021 02H,65309
11/7/2021 01H,59030
11/7/2021 00H,50768
11/6/2021 23H,44959
11/6/2021 22H,40632
11/6/2021 21H,37549
11/6/2021 20H,32217
11/6/2021 19H,26010
