Net generation from other for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.OTH.H
19:14:30 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.OTH.H megawatthours
11/8/2021 01H,986
11/8/2021 00H,1002
11/7/2021 23H,992
11/7/2021 22H,971
11/7/2021 21H,969
11/7/2021 20H,973
11/7/2021 19H,974
11/7/2021 18H,984
11/7/2021 17H,987
11/7/2021 16H,997
11/7/2021 15H,1002
11/7/2021 14H,981
11/7/2021 13H,972
11/7/2021 12H,971
11/7/2021 11H,967
11/7/2021 10H,954
11/7/2021 09H,953
11/7/2021 08H,952
11/7/2021 07H,954
11/7/2021 06H,960
11/7/2021 05H,972
11/7/2021 04H,974
11/7/2021 03H,980
11/7/2021 02H,987
11/7/2021 01H,1000
11/7/2021 00H,1016
11/6/2021 23H,1006
11/6/2021 22H,997
11/6/2021 21H,1003
11/6/2021 20H,1017
11/6/2021 19H,1076
11/6/2021 18H,1089
11/6/2021 17H,1097
11/6/2021 16H,1033
11/6/2021 15H,1013
11/6/2021 14H,991
11/6/2021 13H,984
11/6/2021 12H,976
11/6/2021 11H,968
11/6/2021 10H,969
11/6/2021 09H,968
11/6/2021 08H,932
11/6/2021 07H,835
11/6/2021 06H,917
11/6/2021 05H,984
11/6/2021 04H,990
11/6/2021 03H,1005
11/6/2021 02H,1018
11/6/2021 01H,1025
11/6/2021 00H,1034
11/5/2021 23H,1036
11/5/2021 22H,1026
11/5/2021 21H,1015
11/5/2021 20H,1022
11/5/2021 19H,1029
11/5/2021 18H,1045
11/5/2021 17H,1062
11/5/2021 16H,1043
11/5/2021 15H,1025
11/5/2021 14H,934
11/5/2021 13H,983
11/5/2021 12H,1020
11/5/2021 11H,1024
11/5/2021 10H,1029
11/5/2021 09H,1028
11/5/2021 08H,1029
11/5/2021 07H,1027
11/5/2021 06H,984
11/5/2021 05H,984
11/5/2021 04H,990
11/5/2021 03H,1005
11/5/2021 02H,1018
11/5/2021 01H,1025
11/5/2021 00H,1034
11/4/2021 23H,1036
11/4/2021 22H,1026
11/4/2021 21H,1015
11/4/2021 20H,1022
11/4/2021 19H,1029
11/4/2021 18H,1045
11/4/2021 17H,1062
11/4/2021 16H,1043
11/4/2021 15H,1025
11/4/2021 14H,934
11/4/2021 13H,983
11/4/2021 12H,1020
11/4/2021 11H,1024
11/4/2021 10H,1029
11/4/2021 09H,1028
11/4/2021 08H,1029
11/4/2021 07H,1027
11/4/2021 06H,1033
11/4/2021 05H,1037
11/4/2021 04H,1009
11/4/2021 03H,962
11/4/2021 02H,1025
11/4/2021 01H,1121
11/4/2021 00H,1115
11/3/2021 23H,1124
11/3/2021 22H,1126
11/3/2021 21H,1125
11/3/2021 20H,1121
11/3/2021 19H,1143
11/3/2021 18H,1139
11/3/2021 17H,1121
11/3/2021 16H,1118
11/3/2021 15H,1127
11/3/2021 14H,1121
11/3/2021 13H,1153
11/3/2021 12H,1153
11/3/2021 11H,1137
11/3/2021 10H,1051
11/3/2021 09H,1033
11/3/2021 08H,1024
11/3/2021 07H,1019
11/3/2021 06H,1019
11/3/2021 05H,1028
11/3/2021 04H,1044
11/3/2021 03H,1136
