Net generation from coal for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.COL.H
19:14:04 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.COL.H megawatthours
10/25/2021 18H,29381
10/25/2021 17H,29414
10/25/2021 16H,29030
10/25/2021 15H,28415
10/25/2021 14H,27447
10/25/2021 13H,26255
10/25/2021 12H,24642
10/25/2021 11H,22718
10/25/2021 10H,21420
10/25/2021 09H,21028
10/25/2021 08H,21308
10/25/2021 07H,21412
10/25/2021 06H,22034
10/25/2021 05H,22679
10/25/2021 04H,23977
10/25/2021 03H,24946
10/25/2021 02H,26285
10/25/2021 01H,27197
10/25/2021 00H,26791
10/24/2021 23H,26520
10/24/2021 22H,25762
10/24/2021 21H,24814
10/24/2021 20H,24335
10/24/2021 19H,24143
10/24/2021 18H,24015
10/24/2021 17H,23882
10/24/2021 16H,23631
10/24/2021 15H,22728
10/24/2021 14H,22611
10/24/2021 13H,21507
10/24/2021 12H,20344
10/24/2021 11H,19408
10/24/2021 10H,18692
10/24/2021 09H,18109
10/24/2021 08H,17946
10/24/2021 07H,18247
10/24/2021 06H,19126
10/24/2021 05H,20204
10/24/2021 04H,21950
10/24/2021 03H,23593
10/24/2021 02H,24823
10/24/2021 01H,26068
10/24/2021 00H,26616
10/23/2021 23H,26555
10/23/2021 22H,26307
10/23/2021 21H,26843
10/23/2021 20H,27018
10/23/2021 19H,26759
10/23/2021 18H,26827
10/23/2021 17H,27486
10/23/2021 16H,27903
10/23/2021 15H,27093
10/23/2021 14H,26966
10/23/2021 13H,26130
10/23/2021 12H,24392
10/23/2021 11H,23647
10/23/2021 10H,23441
10/23/2021 09H,23392
10/23/2021 08H,23781
10/23/2021 07H,24335
10/23/2021 06H,25513
10/23/2021 05H,26714
10/23/2021 04H,28102
10/23/2021 03H,29233
10/23/2021 02H,30867
10/23/2021 01H,31868
10/23/2021 00H,32158
10/22/2021 23H,31996
10/22/2021 22H,31459
10/22/2021 21H,31695
10/22/2021 20H,31886
10/22/2021 19H,31803
10/22/2021 18H,31768
10/22/2021 17H,31296
10/22/2021 16H,31275
10/22/2021 15H,30967
10/22/2021 14H,30360
10/22/2021 13H,29541
10/22/2021 12H,28245
10/22/2021 11H,26163
10/22/2021 10H,25124
10/22/2021 09H,24460
10/22/2021 08H,24440
10/22/2021 07H,24454
10/22/2021 06H,24938
10/22/2021 05H,25944
10/22/2021 04H,27021
10/22/2021 03H,28057
10/22/2021 02H,29223
10/22/2021 01H,29442
10/22/2021 00H,29391
10/21/2021 23H,28858
10/21/2021 22H,28770
10/21/2021 21H,28397
10/21/2021 20H,27698
10/21/2021 19H,27341
10/21/2021 18H,26775
10/21/2021 17H,26232
10/21/2021 16H,25381
10/21/2021 15H,24744
10/21/2021 14H,24542
10/21/2021 13H,24305
10/21/2021 12H,23256
10/21/2021 11H,21191
10/21/2021 10H,20256
10/21/2021 09H,20163
10/21/2021 08H,19993
