Net generation from solar for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.SUN.H
19:14:43 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.SUN.H megawatthours
11/14/2021 19H,444
11/14/2021 18H,433
11/14/2021 17H,360
11/14/2021 16H,263
11/14/2021 15H,174
11/14/2021 14H,54
11/14/2021 13H,3
11/14/2021 12H,3
11/14/2021 11H,3
11/14/2021 10H,3
11/14/2021 09H,2
11/14/2021 08H,3
11/14/2021 07H,2
11/14/2021 06H,1
11/14/2021 05H,1
11/14/2021 04H,1
11/14/2021 03H,1
11/14/2021 02H,1
11/14/2021 01H,1
11/14/2021 00H,1
11/13/2021 23H,38
11/13/2021 22H,160
11/13/2021 21H,293
11/13/2021 20H,401
11/13/2021 19H,456
11/13/2021 18H,479
11/13/2021 17H,501
11/13/2021 16H,480
11/13/2021 15H,340
11/13/2021 14H,117
11/13/2021 13H,1
11/13/2021 12H,0
11/13/2021 11H,0
11/13/2021 10H,0
11/13/2021 09H,0
11/13/2021 08H,1
11/13/2021 07H,1
11/13/2021 06H,1
11/13/2021 05H,1
11/13/2021 04H,1
11/13/2021 03H,1
11/13/2021 02H,1
11/13/2021 01H,1
11/13/2021 00H,1
11/12/2021 23H,40
11/12/2021 22H,145
11/12/2021 21H,307
11/12/2021 20H,418
11/12/2021 19H,508
11/12/2021 18H,587
11/12/2021 17H,723
11/12/2021 16H,735
11/12/2021 15H,603
11/12/2021 14H,223
11/12/2021 13H,3
11/12/2021 12H,1
11/12/2021 11H,1
11/12/2021 10H,1
11/12/2021 09H,1
11/12/2021 08H,1
11/12/2021 07H,1
11/12/2021 06H,1
11/12/2021 05H,1
11/12/2021 04H,1
11/12/2021 03H,1
11/12/2021 02H,1
11/12/2021 01H,1
11/12/2021 00H,1
11/11/2021 23H,60
11/11/2021 22H,364
11/11/2021 21H,490
11/11/2021 20H,541
11/11/2021 19H,526
11/11/2021 18H,417
11/11/2021 17H,333
11/11/2021 16H,239
11/11/2021 15H,172
11/11/2021 14H,66
11/11/2021 13H,2
11/11/2021 12H,1
11/11/2021 11H,1
11/11/2021 10H,1
11/11/2021 09H,1
11/11/2021 08H,1
11/11/2021 07H,1
11/11/2021 06H,1
11/11/2021 05H,1
11/11/2021 04H,1
11/11/2021 03H,1
11/11/2021 02H,1
11/11/2021 01H,1
11/11/2021 00H,1
11/10/2021 23H,19
11/10/2021 22H,177
11/10/2021 21H,400
11/10/2021 20H,567
11/10/2021 19H,620
11/10/2021 18H,679
11/10/2021 17H,654
11/10/2021 16H,582
11/10/2021 15H,434
11/10/2021 14H,164
11/10/2021 13H,5
11/10/2021 12H,1
11/10/2021 11H,1
11/10/2021 10H,1
11/10/2021 09H,1
11/10/2021 08H,1
11/10/2021 07H,1
11/10/2021 06H,1
11/10/2021 05H,1
11/10/2021 04H,1
11/10/2021 03H,1
11/10/2021 02H,1
11/10/2021 01H,0
11/10/2021 00H,1
11/9/2021 23H,53
11/9/2021 22H,259
11/9/2021 21H,464
11/9/2021 20H,586
11/9/2021 19H,609
11/9/2021 18H,692
11/9/2021 17H,626
11/9/2021 16H,562
11/9/2021 15H,375
11/9/2021 14H,131
11/9/2021 13H,4
11/9/2021 12H,1
11/9/2021 11H,1
11/9/2021 10H,1
11/9/2021 09H,1
11/9/2021 08H,1
11/9/2021 07H,1
11/9/2021 06H,1
11/9/2021 05H,1
11/9/2021 04H,1
11/9/2021 03H,1
11/9/2021 02H,1
11/9/2021 01H,1
11/9/2021 00H,1
11/8/2021 23H,84
11/8/2021 22H,540
11/8/2021 21H,889
11/8/2021 20H,959
11/8/2021 19H,942
11/8/2021 18H,944
11/8/2021 17H,1006
11/8/2021 16H,1059
11/8/2021 15H,923
11/8/2021 14H,325
11/8/2021 13H,8
11/8/2021 12H,1
11/8/2021 11H,1
11/8/2021 10H,1
11/8/2021 09H,1
11/8/2021 08H,1
11/8/2021 07H,1
11/8/2021 06H,1
11/8/2021 05H,1
11/8/2021 04H,1
11/8/2021 03H,1
11/8/2021 02H,1
11/8/2021 01H,1
11/8/2021 00H,1
11/7/2021 23H,85
11/7/2021 22H,480
11/7/2021 21H,842
11/7/2021 20H,895
11/7/2021 19H,924
11/7/2021 18H,933
11/7/2021 17H,941
11/7/2021 16H,959
11/7/2021 15H,784
11/7/2021 14H,314
11/7/2021 13H,8
11/7/2021 12H,1
11/7/2021 11H,1
11/7/2021 10H,1
11/7/2021 09H,1
11/7/2021 08H,1
11/7/2021 07H,1
11/7/2021 06H,1
11/7/2021 05H,1
11/7/2021 04H,1
11/7/2021 03H,1
11/7/2021 02H,1
11/7/2021 01H,0
11/7/2021 00H,1
11/6/2021 23H,109
11/6/2021 22H,638
11/6/2021 21H,1018
11/6/2021 20H,1037
11/6/2021 19H,1037
11/6/2021 18H,1041
11/6/2021 17H,1081
11/6/2021 16H,1077
11/6/2021 15H,838
11/6/2021 14H,291
11/6/2021 13H,12
11/6/2021 12H,1
11/6/2021 11H,1
11/6/2021 10H,1
11/6/2021 09H,1
11/6/2021 08H,1
11/6/2021 07H,1
11/6/2021 06H,1
11/6/2021 05H,1
11/6/2021 04H,1
11/6/2021 03H,1
11/6/2021 02H,1
11/6/2021 01H,0
11/6/2021 00H,1
11/5/2021 23H,91
11/5/2021 22H,519
11/5/2021 21H,806
11/5/2021 20H,842
11/5/2021 19H,876
11/5/2021 18H,946
11/5/2021 17H,952
11/5/2021 16H,806
11/5/2021 15H,607
11/5/2021 14H,244
11/5/2021 13H,7
11/5/2021 12H,0
11/5/2021 11H,0
11/5/2021 10H,0
11/5/2021 09H,0
11/5/2021 08H,0
11/5/2021 07H,0
11/5/2021 06H,1
11/5/2021 05H,1
11/5/2021 04H,1
11/5/2021 03H,1
11/5/2021 02H,1
11/5/2021 01H,0
11/5/2021 00H,1
11/4/2021 23H,91
11/4/2021 22H,519
11/4/2021 21H,806
11/4/2021 20H,843
11/4/2021 19H,876
11/4/2021 18H,946
11/4/2021 17H,952
11/4/2021 16H,805
11/4/2021 15H,607
11/4/2021 14H,244
11/4/2021 13H,7
11/4/2021 12H,0
11/4/2021 11H,0
11/4/2021 10H,0
11/4/2021 09H,0
11/4/2021 08H,0
11/4/2021 07H,0
11/4/2021 06H,0
11/4/2021 05H,0
11/4/2021 04H,0
11/4/2021 03H,0
11/4/2021 02H,0
11/4/2021 01H,0
11/4/2021 00H,1
11/3/2021 23H,70
11/3/2021 22H,415
11/3/2021 21H,559
11/3/2021 20H,646
11/3/2021 19H,699
11/3/2021 18H,838
11/3/2021 17H,932
11/3/2021 16H,1024
11/3/2021 15H,849
11/3/2021 14H,333
11/3/2021 13H,12
11/3/2021 12H,0
11/3/2021 11H,0
11/3/2021 10H,0
11/3/2021 09H,0
