Net generation from natural gas for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.NG.H
19:14:17 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.NG.H megawatthours
11/1/2021 14H,26303
11/1/2021 13H,26165
11/1/2021 12H,24754
11/1/2021 11H,21659
11/1/2021 10H,17275
11/1/2021 09H,15852
11/1/2021 08H,15411
11/1/2021 07H,15077
11/1/2021 06H,15244
11/1/2021 05H,16431
11/1/2021 04H,16735
11/1/2021 03H,17697
11/1/2021 02H,17799
11/1/2021 01H,17938
11/1/2021 00H,16984
10/31/2021 23H,15553
10/31/2021 22H,14336
10/31/2021 21H,14018
10/31/2021 20H,13614
10/31/2021 19H,13419
10/31/2021 18H,13585
10/31/2021 17H,13932
10/31/2021 16H,14741
10/31/2021 15H,15194
10/31/2021 14H,14695
10/31/2021 13H,14094
10/31/2021 12H,13295
10/31/2021 11H,12974
10/31/2021 10H,13040
10/31/2021 09H,13054
10/31/2021 08H,13509
10/31/2021 07H,13992
10/31/2021 06H,14202
10/31/2021 05H,14759
10/31/2021 04H,15531
10/31/2021 03H,16917
10/31/2021 02H,18850
10/31/2021 01H,19879
10/31/2021 00H,19961
10/30/2021 23H,20097
10/30/2021 22H,19639
10/30/2021 21H,19707
10/30/2021 20H,19908
10/30/2021 19H,20105
10/30/2021 18H,20915
10/30/2021 17H,20978
10/30/2021 16H,20803
10/30/2021 15H,20307
10/30/2021 14H,20283
10/30/2021 13H,19335
10/30/2021 12H,18097
10/30/2021 11H,17266
10/30/2021 10H,16269
10/30/2021 09H,15553
10/30/2021 08H,15317
10/30/2021 07H,15100
10/30/2021 06H,15225
10/30/2021 05H,16119
10/30/2021 04H,16994
10/30/2021 03H,17756
10/30/2021 02H,18814
10/30/2021 01H,19498
10/30/2021 00H,19526
10/29/2021 23H,18714
10/29/2021 22H,17842
10/29/2021 21H,17756
10/29/2021 20H,18095
10/29/2021 19H,18230
10/29/2021 18H,18106
10/29/2021 17H,19144
10/29/2021 16H,19122
10/29/2021 15H,19242
10/29/2021 14H,19305
10/29/2021 13H,19403
10/29/2021 12H,17796
10/29/2021 11H,16035
10/29/2021 10H,14883
10/29/2021 09H,14297
10/29/2021 08H,13920
10/29/2021 07H,13788
10/29/2021 06H,13886
