Net generation from nuclear for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.NUC.H
19:14:23 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.NUC.H megawatthours
10/27/2021 11H,9590
10/27/2021 10H,9618
10/27/2021 09H,9603
10/27/2021 08H,9595
10/27/2021 07H,9597
10/27/2021 06H,9577
10/27/2021 05H,9468
10/27/2021 04H,9468
10/27/2021 03H,9463
10/27/2021 02H,9460
10/27/2021 01H,9458
10/27/2021 00H,9456
10/26/2021 23H,9461
10/26/2021 22H,9462
10/26/2021 21H,9463
10/26/2021 20H,9464
10/26/2021 19H,9469
10/26/2021 18H,9474
10/26/2021 17H,9478
10/26/2021 16H,9483
10/26/2021 15H,9487
10/26/2021 14H,9485
10/26/2021 13H,9482
10/26/2021 12H,9488
10/26/2021 11H,9490
10/26/2021 10H,9491
10/26/2021 09H,9488
10/26/2021 08H,9482
10/26/2021 07H,9479
10/26/2021 06H,9475
10/26/2021 05H,9471
10/26/2021 04H,9468
10/26/2021 03H,9460
10/26/2021 02H,9453
10/26/2021 01H,9446
10/26/2021 00H,9443
10/25/2021 23H,9440
10/25/2021 22H,9440
10/25/2021 21H,9439
10/25/2021 20H,9435
10/25/2021 19H,9432
10/25/2021 18H,9433
10/25/2021 17H,9436
10/25/2021 16H,9441
10/25/2021 15H,9440
10/25/2021 14H,9443
10/25/2021 13H,9441
10/25/2021 12H,9443
10/25/2021 11H,9449
10/25/2021 10H,9449
10/25/2021 09H,9449
10/25/2021 08H,9455
10/25/2021 07H,9454
10/25/2021 06H,9450
10/25/2021 05H,9446
10/25/2021 04H,9443
10/25/2021 03H,9440
10/25/2021 02H,9434
10/25/2021 01H,9424
10/25/2021 00H,9419
10/24/2021 23H,9421
10/24/2021 22H,9417
10/24/2021 21H,9417
10/24/2021 20H,9412
10/24/2021 19H,9416
10/24/2021 18H,9423
10/24/2021 17H,9428
10/24/2021 16H,9432
10/24/2021 15H,9435
10/24/2021 14H,9446
10/24/2021 13H,9449
10/24/2021 12H,9452
10/24/2021 11H,9453
10/24/2021 10H,9455
10/24/2021 09H,9453
10/24/2021 08H,9452
10/24/2021 07H,9448
10/24/2021 06H,9447
10/24/2021 05H,9447
10/24/2021 04H,9447
10/24/2021 03H,9449
10/24/2021 02H,9447
10/24/2021 01H,9437
10/24/2021 00H,9436
10/23/2021 23H,9434
10/23/2021 22H,9428
10/23/2021 21H,9430
10/23/2021 20H,9432
10/23/2021 19H,9436
10/23/2021 18H,9439
10/23/2021 17H,9448
10/23/2021 16H,9455
10/23/2021 15H,9457
10/23/2021 14H,9464
10/23/2021 13H,9469
10/23/2021 12H,9468
10/23/2021 11H,9471
10/23/2021 10H,9472
10/23/2021 09H,9464
10/23/2021 08H,9454
10/23/2021 07H,9439
10/23/2021 06H,9418
10/23/2021 05H,9400
10/23/2021 04H,9389
10/23/2021 03H,9374
10/23/2021 02H,9363
10/23/2021 01H,9349
10/23/2021 00H,9342
10/22/2021 23H,9337
10/22/2021 22H,9325
10/22/2021 21H,9314
10/22/2021 20H,9304
10/22/2021 19H,9294
10/22/2021 18H,9289
10/22/2021 17H,9283
10/22/2021 16H,9275
10/22/2021 15H,9262
10/22/2021 14H,9254
10/22/2021 13H,9230
10/22/2021 12H,9216
10/22/2021 11H,9194
10/22/2021 10H,9174
10/22/2021 09H,9149
10/22/2021 08H,9047
10/22/2021 07H,9009
10/22/2021 06H,9208
10/22/2021 05H,9443
10/22/2021 04H,9437
10/22/2021 03H,9432
10/22/2021 02H,9420
10/22/2021 01H,9418
10/22/2021 00H,9411
10/21/2021 23H,9406
10/21/2021 22H,9395
10/21/2021 21H,9401
10/21/2021 20H,9411
10/21/2021 19H,9413
10/21/2021 18H,9417
10/21/2021 17H,9420
10/21/2021 16H,9426
10/21/2021 15H,9431
10/21/2021 14H,9437
10/21/2021 13H,9435
10/21/2021 12H,9425
10/21/2021 11H,9417
10/21/2021 10H,9418
10/21/2021 09H,9421
10/21/2021 08H,9419
10/21/2021 07H,9416
10/21/2021 06H,9408
10/21/2021 05H,9403
10/21/2021 04H,9398
10/21/2021 03H,9393
10/21/2021 02H,9387
10/21/2021 01H,9381
10/21/2021 00H,9387
10/20/2021 23H,9385
10/20/2021 22H,9378
10/20/2021 21H,9373
10/20/2021 20H,9373
10/20/2021 19H,9377
10/20/2021 18H,9386
10/20/2021 17H,9401
10/20/2021 16H,9417
10/20/2021 15H,9421
