Net generation from petroleum for Central (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390108&sdid=EBA.CENT-ALL.NG.OIL.H
19:10:08 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CENT-ALL.NG.OIL.H megawatthours
11/12/2021 01H,91
11/12/2021 00H,36
11/11/2021 23H,0
11/11/2021 22H,0
11/11/2021 21H,0
11/11/2021 20H,0
11/11/2021 19H,0
11/11/2021 18H,0
11/11/2021 17H,0
11/11/2021 16H,0
11/11/2021 15H,0
11/11/2021 14H,0
11/11/2021 13H,0
11/11/2021 12H,0
11/11/2021 11H,0
11/11/2021 10H,0
11/11/2021 09H,0
11/11/2021 08H,2
11/11/2021 07H,24
11/11/2021 06H,23
11/11/2021 05H,22
11/11/2021 04H,22
11/11/2021 03H,22
11/11/2021 02H,43
11/11/2021 01H,54
11/11/2021 00H,34
11/10/2021 23H,0
11/10/2021 22H,0
11/10/2021 21H,0
11/10/2021 20H,0
11/10/2021 19H,0
11/10/2021 18H,0
11/10/2021 17H,0
11/10/2021 16H,0
11/10/2021 15H,0
11/10/2021 14H,0
11/10/2021 13H,0
11/10/2021 12H,0
11/10/2021 11H,0
11/10/2021 10H,0
11/10/2021 09H,0
11/10/2021 08H,0
11/10/2021 07H,0
11/10/2021 06H,0
11/10/2021 05H,0
11/10/2021 04H,0
11/10/2021 03H,0
11/10/2021 02H,17
11/10/2021 01H,22
11/10/2021 00H,24
11/9/2021 23H,90
11/9/2021 22H,90
11/9/2021 21H,95
11/9/2021 20H,90
11/9/2021 19H,90
11/9/2021 18H,91
11/9/2021 17H,90
11/9/2021 16H,96
11/9/2021 15H,72
11/9/2021 14H,54
11/9/2021 13H,3
11/9/2021 12H,0
11/9/2021 11H,0
11/9/2021 10H,0
11/9/2021 09H,0
11/9/2021 08H,0
11/9/2021 07H,0
11/9/2021 06H,0
11/9/2021 05H,0
11/9/2021 04H,0
11/9/2021 03H,0
11/9/2021 02H,0
11/9/2021 01H,0
11/9/2021 00H,0
11/8/2021 23H,0
11/8/2021 22H,0
11/8/2021 21H,0
11/8/2021 20H,0
11/8/2021 19H,0
11/8/2021 18H,1
11/8/2021 17H,4
11/8/2021 16H,1
11/8/2021 15H,0
11/8/2021 14H,0
11/8/2021 13H,0
11/8/2021 12H,0
11/8/2021 11H,0
11/8/2021 10H,0
11/8/2021 09H,0
11/8/2021 08H,0
11/8/2021 07H,0
11/8/2021 06H,0
11/8/2021 05H,0
11/8/2021 04H,0
11/8/2021 03H,0
11/8/2021 02H,0
11/8/2021 01H,0
11/8/2021 00H,0
11/7/2021 23H,0
11/7/2021 22H,0
11/7/2021 21H,0
11/7/2021 20H,0
11/7/2021 19H,1
11/7/2021 18H,1
11/7/2021 17H,1
11/7/2021 16H,1
11/7/2021 15H,1
11/7/2021 14H,0
11/7/2021 13H,0
11/7/2021 12H,0
11/7/2021 11H,0
11/7/2021 10H,0
11/7/2021 09H,0
11/7/2021 08H,0
11/7/2021 07H,0
11/7/2021 06H,0
11/7/2021 05H,0
11/7/2021 04H,0
11/7/2021 03H,0
11/7/2021 02H,0
11/7/2021 01H,0
11/7/2021 00H,0
11/6/2021 23H,0
11/6/2021 22H,0
11/6/2021 21H,0
11/6/2021 20H,0
11/6/2021 19H,27
11/6/2021 18H,85
11/6/2021 17H,71
11/6/2021 16H,11
11/6/2021 15H,7
11/6/2021 14H,13
11/6/2021 13H,13
11/6/2021 12H,10
11/6/2021 11H,0
11/6/2021 10H,0
11/6/2021 09H,0
11/6/2021 08H,0
11/6/2021 07H,0
11/6/2021 06H,0
11/6/2021 05H,0
11/6/2021 04H,0
11/6/2021 03H,0
11/6/2021 02H,0
11/6/2021 01H,0
11/6/2021 00H,0
11/5/2021 23H,0
11/5/2021 22H,0
11/5/2021 21H,0
11/5/2021 20H,0
11/5/2021 19H,4
11/5/2021 18H,12
11/5/2021 17H,14
11/5/2021 16H,40
11/5/2021 15H,33
11/5/2021 14H,13
11/5/2021 13H,4
11/5/2021 12H,0
11/5/2021 11H,0
11/5/2021 10H,0
11/5/2021 09H,0
11/5/2021 08H,0
11/5/2021 07H,0
11/5/2021 06H,0
11/5/2021 05H,0
11/5/2021 04H,0
11/5/2021 03H,0
11/5/2021 02H,0
11/5/2021 01H,0
11/5/2021 00H,0
11/4/2021 23H,0
11/4/2021 22H,20
11/4/2021 21H,37
11/4/2021 20H,37
11/4/2021 19H,48
11/4/2021 18H,105
11/4/2021 17H,156
11/4/2021 16H,152
11/4/2021 15H,150
11/4/2021 14H,151
11/4/2021 13H,150
11/4/2021 12H,152
11/4/2021 11H,21
11/4/2021 10H,0
11/4/2021 09H,0
11/4/2021 08H,0
11/4/2021 07H,0
11/4/2021 06H,0
11/4/2021 05H,0
11/4/2021 04H,0
11/4/2021 03H,32
11/4/2021 02H,139
11/4/2021 01H,176
11/4/2021 00H,159
11/3/2021 23H,159
11/3/2021 22H,159
11/3/2021 21H,159
11/3/2021 20H,159
11/3/2021 19H,159
