Net generation from coal for Central (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390108&sdid=EBA.CENT-ALL.NG.COL.H
19:09:35 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CENT-ALL.NG.COL.H megawatthours
11/12/2021 08H,5415
11/12/2021 07H,5561
11/12/2021 06H,5715
11/12/2021 05H,6509
11/12/2021 04H,7341
11/12/2021 03H,8505
11/12/2021 02H,8754
11/12/2021 01H,9342
11/12/2021 00H,9718
11/11/2021 23H,8936
11/11/2021 22H,8380
11/11/2021 21H,8456
11/11/2021 20H,8845
11/11/2021 19H,9006
11/11/2021 18H,8753
11/11/2021 17H,8797
11/11/2021 16H,8815
11/11/2021 15H,7793
11/11/2021 14H,7197
11/11/2021 13H,6585
11/11/2021 12H,6163
11/11/2021 11H,5974
11/11/2021 10H,5744
11/11/2021 09H,5525
11/11/2021 08H,5267
11/11/2021 07H,5263
11/11/2021 06H,5554
11/11/2021 05H,5984
11/11/2021 04H,6245
11/11/2021 03H,6590
11/11/2021 02H,7557
11/11/2021 01H,9069
11/11/2021 00H,10079
11/10/2021 23H,9827
11/10/2021 22H,9658
11/10/2021 21H,9878
11/10/2021 20H,9711
11/10/2021 19H,9344
11/10/2021 18H,9604
11/10/2021 17H,9742
11/10/2021 16H,9369
11/10/2021 15H,9355
11/10/2021 14H,8773
11/10/2021 13H,7773
11/10/2021 12H,7019
11/10/2021 11H,6434
11/10/2021 10H,6645
11/10/2021 09H,6059
11/10/2021 08H,6949
11/10/2021 07H,6986
11/10/2021 06H,8210
11/10/2021 05H,9121
11/10/2021 04H,10174
11/10/2021 03H,10858
11/10/2021 02H,11624
11/10/2021 01H,12446
11/10/2021 00H,12832
11/9/2021 23H,12925
11/9/2021 22H,12963
11/9/2021 21H,12988
11/9/2021 20H,12982
11/9/2021 19H,12981
11/9/2021 18H,12971
11/9/2021 17H,12911
11/9/2021 16H,12791
11/9/2021 15H,12606
11/9/2021 14H,12491
11/9/2021 13H,11857
11/9/2021 12H,11560
11/9/2021 11H,10844
11/9/2021 10H,10823
11/9/2021 09H,10946
11/9/2021 08H,10462
11/9/2021 07H,10963
11/9/2021 06H,10829
11/9/2021 05H,10777
11/9/2021 04H,10994
11/9/2021 03H,10459
11/9/2021 02H,10652
11/9/2021 01H,11341
11/9/2021 00H,12163
11/8/2021 23H,12110
11/8/2021 22H,11504
11/8/2021 21H,11132
11/8/2021 20H,10754
11/8/2021 19H,10031
11/8/2021 18H,9643
11/8/2021 17H,9537
11/8/2021 16H,9363
11/8/2021 15H,8629
11/8/2021 14H,7974
11/8/2021 13H,6777
11/8/2021 12H,5885
11/8/2021 11H,5407
11/8/2021 10H,5148
11/8/2021 09H,5283
11/8/2021 08H,5344
11/8/2021 07H,5220
11/8/2021 06H,5445
11/8/2021 05H,5821
11/8/2021 04H,5974
11/8/2021 03H,6307
11/8/2021 02H,7158
11/8/2021 01H,7953
11/8/2021 00H,8581
