Net generation from natural gas for Central (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390108&sdid=EBA.CENT-ALL.NG.NG.H
19:09:48 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CENT-ALL.NG.NG.H megawatthours
11/6/2021 06H,2563
11/6/2021 05H,2372
11/6/2021 04H,2612
11/6/2021 03H,3173
11/6/2021 02H,3576
11/6/2021 01H,4236
11/6/2021 00H,4677
11/5/2021 23H,4059
11/5/2021 22H,3773
11/5/2021 21H,3957
11/5/2021 20H,4221
11/5/2021 19H,4052
11/5/2021 18H,3632
11/5/2021 17H,3878
11/5/2021 16H,5033
11/5/2021 15H,5170
11/5/2021 14H,4698
11/5/2021 13H,4550
11/5/2021 12H,3986
11/5/2021 11H,3380
11/5/2021 10H,2745
11/5/2021 09H,2393
11/5/2021 08H,2284
11/5/2021 07H,2272
11/5/2021 06H,2277
11/5/2021 05H,2622
11/5/2021 04H,3486
11/5/2021 03H,3935
11/5/2021 02H,4389
11/5/2021 01H,4967
11/5/2021 00H,5026
11/4/2021 23H,5558
11/4/2021 22H,5717
11/4/2021 21H,6473
11/4/2021 20H,7049
11/4/2021 19H,7678
11/4/2021 18H,8726
11/4/2021 17H,9837
11/4/2021 16H,10652
11/4/2021 15H,10453
11/4/2021 14H,10164
11/4/2021 13H,10335
11/4/2021 12H,9250
11/4/2021 11H,8673
11/4/2021 10H,7586
11/4/2021 09H,7327
11/4/2021 08H,6969
11/4/2021 07H,6814
11/4/2021 06H,6830
11/4/2021 05H,7162
11/4/2021 04H,8731
11/4/2021 03H,9772
11/4/2021 02H,10359
11/4/2021 01H,11398
11/4/2021 00H,11046
11/3/2021 23H,10917
11/3/2021 22H,10830
11/3/2021 21H,10938
11/3/2021 20H,11149
11/3/2021 19H,11066
11/3/2021 18H,11038
11/3/2021 17H,10946
11/3/2021 16H,10996
11/3/2021 15H,11057
11/3/2021 14H,11101
11/3/2021 13H,10377
11/3/2021 12H,9254
11/3/2021 11H,8433
11/3/2021 10H,7852
11/3/2021 09H,7307
11/3/2021 08H,7324
11/3/2021 07H,7233
11/3/2021 06H,6822
11/3/2021 05H,7804
11/3/2021 04H,9008
11/3/2021 03H,9942
11/3/2021 02H,10665
11/3/2021 01H,11045
11/3/2021 00H,11071
11/2/2021 23H,10573
11/2/2021 22H,10599
11/2/2021 21H,10366
11/2/2021 20H,10816
11/2/2021 19H,10907
11/2/2021 18H,10513
11/2/2021 17H,10583
11/2/2021 16H,10259
11/2/2021 15H,9686
11/2/2021 14H,9516
11/2/2021 13H,9025
11/2/2021 12H,7562
11/2/2021 11H,6079
11/2/2021 10H,5368
11/2/2021 09H,4667
11/2/2021 08H,4455
11/2/2021 07H,4729
11/2/2021 06H,4646
11/2/2021 05H,4879
11/2/2021 04H,5818
11/2/2021 03H,6522
11/2/2021 02H,7439
11/2/2021 01H,8806
11/2/2021 00H,9312
11/1/2021 23H,8871
11/1/2021 22H,8730
11/1/2021 21H,8488
11/1/2021 20H,8520
11/1/2021 19H,9169
11/1/2021 18H,10383
11/1/2021 17H,10451
11/1/2021 16H,9983
11/1/2021 15H,9002
11/1/2021 14H,7926
11/1/2021 13H,7345
11/1/2021 12H,6479
11/1/2021 11H,4997
11/1/2021 10H,4009
11/1/2021 09H,3582
11/1/2021 08H,3225
11/1/2021 07H,3307
11/1/2021 06H,2993
11/1/2021 05H,0
11/1/2021 04H,0
11/1/2021 03H,0
11/1/2021 02H,0
11/1/2021 01H,0
11/1/2021 00H,0
10/31/2021 23H,0
10/31/2021 22H,0
10/31/2021 21H,0
10/31/2021 20H,0
10/31/2021 19H,0
10/31/2021 18H,0
10/31/2021 17H,0
10/31/2021 16H,0
10/31/2021 15H,0
10/31/2021 14H,0
10/31/2021 13H,0
10/31/2021 12H,0
10/31/2021 11H,0
10/31/2021 10H,0
10/31/2021 09H,0
10/31/2021 08H,0
10/31/2021 07H,0
10/31/2021 06H,0
10/31/2021 05H,0
10/31/2021 04H,0
10/31/2021 03H,0
10/31/2021 02H,0
10/31/2021 01H,0
10/31/2021 00H,0
10/30/2021 23H,0
10/30/2021 22H,0
10/30/2021 21H,0
10/30/2021 20H,0
10/30/2021 19H,0
10/30/2021 18H,0
10/30/2021 17H,0
10/30/2021 16H,0
10/30/2021 15H,0
10/30/2021 14H,0
10/30/2021 13H,0
10/30/2021 12H,0
10/30/2021 11H,0
10/30/2021 10H,0
10/30/2021 09H,0
10/30/2021 08H,0
10/30/2021 07H,0
10/30/2021 06H,0
10/30/2021 05H,4075
10/30/2021 04H,4628
10/30/2021 03H,5465
10/30/2021 02H,6484
10/30/2021 01H,6588
10/30/2021 00H,6543
10/29/2021 23H,4796
10/29/2021 22H,3943
10/29/2021 21H,3573
10/29/2021 20H,3230
10/29/2021 19H,3113
10/29/2021 18H,3052
10/29/2021 17H,2923
10/29/2021 16H,3028
10/29/2021 15H,3150
10/29/2021 14H,3052
10/29/2021 13H,2971
10/29/2021 12H,2898
10/29/2021 11H,2454
10/29/2021 10H,1930
10/29/2021 09H,1754
10/29/2021 08H,1762
10/29/2021 07H,1795
10/29/2021 06H,1753
10/29/2021 05H,2433
10/29/2021 04H,2949
10/29/2021 03H,3199
10/29/2021 02H,3611
10/29/2021 01H,3740
10/29/2021 00H,3741
10/28/2021 23H,3613
10/28/2021 22H,3557
10/28/2021 21H,3539
10/28/2021 20H,3497
10/28/2021 19H,3933
10/28/2021 18H,3671
10/28/2021 17H,3621
10/28/2021 16H,3773
10/28/2021 15H,3508
10/28/2021 14H,3607
10/28/2021 13H,3257
10/28/2021 12H,3280
10/28/2021 11H,2371
10/28/2021 10H,2209
10/28/2021 09H,2002
10/28/2021 08H,1922
10/28/2021 07H,1937
10/28/2021 06H,2078
10/28/2021 05H,2294
10/28/2021 04H,2498
10/28/2021 03H,2688
10/28/2021 02H,3179
10/28/2021 01H,3365
10/28/2021 00H,3010
10/27/2021 23H,3162
10/27/2021 22H,3292
10/27/2021 21H,3485
10/27/2021 20H,3640
10/27/2021 19H,3666
10/27/2021 18H,3802
10/27/2021 17H,4247
10/27/2021 16H,4431
10/27/2021 15H,3850
10/27/2021 14H,3928
10/27/2021 13H,3889
10/27/2021 12H,3469
10/27/2021 11H,2872
10/27/2021 10H,2104
10/27/2021 09H,1834
10/27/2021 08H,1941
10/27/2021 07H,2012
10/27/2021 06H,1928
10/27/2021 05H,2037
10/27/2021 04H,2712
10/27/2021 03H,2875
10/27/2021 02H,3427
10/27/2021 01H,3699
10/27/2021 00H,3637
10/26/2021 23H,3440
10/26/2021 22H,3581
10/26/2021 21H,3551
10/26/2021 20H,3695
10/26/2021 19H,3749
10/26/2021 18H,3367
10/26/2021 17H,3286
10/26/2021 16H,3267
10/26/2021 15H,3322
10/26/2021 14H,3207
10/26/2021 13H,3237
10/26/2021 12H,2901
10/26/2021 11H,2180
10/26/2021 10H,1840
10/26/2021 09H,1819
10/26/2021 08H,1842
10/26/2021 07H,1855
10/26/2021 06H,1903
10/26/2021 05H,2133
10/26/2021 04H,2833
10/26/2021 03H,3417
10/26/2021 02H,4122
10/26/2021 01H,5276
10/26/2021 00H,6642
10/25/2021 23H,6877
10/25/2021 22H,7337
10/25/2021 21H,8022
10/25/2021 20H,8962
10/25/2021 19H,9723
10/25/2021 18H,9642
10/25/2021 17H,9889
10/25/2021 16H,9780
10/25/2021 15H,9031
10/25/2021 14H,7682
10/25/2021 13H,7700
10/25/2021 12H,6684
10/25/2021 11H,4807
10/25/2021 10H,4229
10/25/2021 09H,4197
10/25/2021 08H,3956
10/25/2021 07H,4174
10/25/2021 06H,4221
10/25/2021 05H,0
10/25/2021 04H,0
10/25/2021 03H,0
10/25/2021 02H,0
10/25/2021 01H,0
10/25/2021 00H,0
10/24/2021 23H,0
10/24/2021 22H,0
10/24/2021 21H,0
10/24/2021 20H,0
10/24/2021 19H,0
10/24/2021 18H,0
10/24/2021 17H,0
10/24/2021 16H,0
10/24/2021 15H,0
10/24/2021 14H,0
10/24/2021 13H,0
10/24/2021 12H,0
10/24/2021 11H,0
10/24/2021 10H,0
10/24/2021 09H,0
10/24/2021 08H,0
10/24/2021 07H,0
10/24/2021 06H,0
10/24/2021 05H,0
10/24/2021 04H,0
10/24/2021 03H,0
10/24/2021 02H,0
10/24/2021 01H,0
10/24/2021 00H,0
10/23/2021 23H,0
10/23/2021 22H,0
10/23/2021 21H,0
10/23/2021 20H,0
10/23/2021 19H,0
10/23/2021 18H,0
10/23/2021 17H,0
10/23/2021 16H,0
10/23/2021 15H,0
10/23/2021 14H,0
10/23/2021 13H,0
10/23/2021 12H,0
10/23/2021 11H,0
10/23/2021 10H,0
10/23/2021 09H,0
10/23/2021 08H,0
10/23/2021 07H,0
10/23/2021 06H,0
10/23/2021 05H,2148
10/23/2021 04H,2483
10/23/2021 03H,3098
10/23/2021 02H,4125
10/23/2021 01H,5278
10/23/2021 00H,6676
10/22/2021 23H,6478
10/22/2021 22H,6639
10/22/2021 21H,6733
10/22/2021 20H,6867
10/22/2021 19H,7045
10/22/2021 18H,6851
10/22/2021 17H,7354
10/22/2021 16H,8665
10/22/2021 15H,8088
10/22/2021 14H,7513
10/22/2021 13H,7799
10/22/2021 12H,6576
10/22/2021 11H,5481
10/22/2021 10H,4868
10/22/2021 09H,4703
10/22/2021 08H,4635
10/22/2021 07H,4601
10/22/2021 06H,5788
10/22/2021 05H,7015
10/22/2021 04H,8536
10/22/2021 03H,10587
10/22/2021 02H,11894
10/22/2021 01H,13286
10/22/2021 00H,13850
10/21/2021 23H,13717
10/21/2021 22H,13556
10/21/2021 21H,13025
10/21/2021 20H,13000
10/21/2021 19H,12463
10/21/2021 18H,11272
10/21/2021 17H,10973
10/21/2021 16H,10571
10/21/2021 15H,9451
10/21/2021 14H,8157
10/21/2021 13H,7881
10/21/2021 12H,6806
10/21/2021 11H,5521
10/21/2021 10H,5077
10/21/2021 09H,4679
10/21/2021 08H,4590
10/21/2021 07H,4730
10/21/2021 06H,4737
10/21/2021 05H,4781
10/21/2021 04H,6258
10/21/2021 03H,7995
10/21/2021 02H,9512
10/21/2021 01H,9872
10/21/2021 00H,10039
10/20/2021 23H,9401
10/20/2021 22H,9324
10/20/2021 21H,8156
10/20/2021 20H,6744
10/20/2021 19H,6270
10/20/2021 18H,5996
