Net generation from other for Carolinas (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390107&sdid=EBA.CAR-ALL.NG.OTH.H
19:06:47 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAR-ALL.NG.OTH.H megawatthours
11/14/2021 04H,844
11/14/2021 03H,842
11/14/2021 02H,847
11/14/2021 01H,814
11/14/2021 00H,806
11/13/2021 23H,818
11/13/2021 22H,765
11/13/2021 21H,729
11/13/2021 20H,710
11/13/2021 19H,682
11/13/2021 18H,678
11/13/2021 17H,681
11/13/2021 16H,709
11/13/2021 15H,791
11/13/2021 14H,839
11/13/2021 13H,890
11/13/2021 12H,855
11/13/2021 11H,825
11/13/2021 10H,825
11/13/2021 09H,827
11/13/2021 08H,837
11/13/2021 07H,843
11/13/2021 06H,837
11/13/2021 05H,1033
11/13/2021 04H,1142
11/13/2021 03H,1177
11/13/2021 02H,1167
11/13/2021 01H,1140
11/13/2021 00H,1142
11/12/2021 23H,1134
11/12/2021 22H,1139
11/12/2021 21H,1036
11/12/2021 20H,984
11/12/2021 19H,955
11/12/2021 18H,909
11/12/2021 17H,857
11/12/2021 16H,857
11/12/2021 15H,936
11/12/2021 14H,1025
11/12/2021 13H,1065
11/12/2021 12H,1102
11/12/2021 11H,1091
11/12/2021 10H,1014
11/12/2021 09H,960
11/12/2021 08H,973
11/12/2021 07H,967
11/12/2021 06H,1017
11/12/2021 05H,1008
11/12/2021 04H,1056
11/12/2021 03H,1058
11/12/2021 02H,1058
11/12/2021 01H,1037
11/12/2021 00H,1040
11/11/2021 23H,1036
11/11/2021 22H,950
11/11/2021 21H,824
11/11/2021 20H,824
11/11/2021 19H,816
11/11/2021 18H,816
11/11/2021 17H,816
11/11/2021 16H,823
11/11/2021 15H,820
11/11/2021 14H,819
11/11/2021 13H,845
11/11/2021 12H,927
11/11/2021 11H,958
11/11/2021 10H,988
11/11/2021 09H,986
11/11/2021 08H,971
11/11/2021 07H,968
11/11/2021 06H,1013
11/11/2021 05H,1014
11/11/2021 04H,1009
11/11/2021 03H,1019
11/11/2021 02H,1018
11/11/2021 01H,988
11/11/2021 00H,989
11/10/2021 23H,978
11/10/2021 22H,977
11/10/2021 21H,972
11/10/2021 20H,918
11/10/2021 19H,914
11/10/2021 18H,889
11/10/2021 17H,860
11/10/2021 16H,916
11/10/2021 15H,926
11/10/2021 14H,983
11/10/2021 13H,1013
11/10/2021 12H,1020
11/10/2021 11H,984
11/10/2021 10H,1012
11/10/2021 09H,1024
11/10/2021 08H,1023
11/10/2021 07H,964
11/10/2021 06H,936
11/10/2021 05H,927
11/10/2021 04H,947
11/10/2021 03H,950
11/10/2021 02H,949
11/10/2021 01H,942
11/10/2021 00H,934
11/9/2021 23H,920
11/9/2021 22H,922
11/9/2021 21H,927
11/9/2021 20H,882
11/9/2021 19H,828
11/9/2021 18H,760
11/9/2021 17H,698
11/9/2021 16H,733
11/9/2021 15H,776
11/9/2021 14H,841
11/9/2021 13H,1015
11/9/2021 12H,988
11/9/2021 11H,911
11/9/2021 10H,858
11/9/2021 09H,815
