Net generation from petroleum for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.OIL.H
19:13:03 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.OIL.H megawatthours
11/4/2021 07H,182
11/4/2021 06H,184
11/4/2021 05H,182
11/4/2021 04H,171
11/4/2021 03H,178
11/4/2021 02H,226
11/4/2021 01H,227
11/4/2021 00H,227
11/3/2021 23H,360
11/3/2021 22H,298
11/3/2021 21H,179
11/3/2021 20H,177
11/3/2021 19H,177
11/3/2021 18H,207
11/3/2021 17H,177
11/3/2021 16H,180
11/3/2021 15H,234
11/3/2021 14H,181
11/3/2021 13H,396
11/3/2021 12H,942
11/3/2021 11H,506
11/3/2021 10H,176
11/3/2021 09H,175
11/3/2021 08H,172
11/3/2021 07H,172
11/3/2021 06H,174
11/3/2021 05H,173
11/3/2021 04H,177
11/3/2021 03H,171
11/3/2021 02H,169
11/3/2021 01H,256
11/3/2021 00H,352
11/2/2021 23H,351
11/2/2021 22H,321
11/2/2021 21H,230
11/2/2021 20H,181
11/2/2021 19H,328
11/2/2021 18H,277
11/2/2021 17H,289
11/2/2021 16H,301
11/2/2021 15H,311
11/2/2021 14H,278
11/2/2021 13H,237
11/2/2021 12H,206
11/2/2021 11H,184
11/2/2021 10H,184
11/2/2021 09H,179
11/2/2021 08H,179
11/2/2021 07H,178
11/2/2021 06H,182
11/2/2021 05H,179
11/2/2021 04H,171
11/2/2021 03H,175
11/2/2021 02H,208
11/2/2021 01H,210
11/2/2021 00H,265
11/1/2021 23H,243
11/1/2021 22H,259
11/1/2021 21H,207
11/1/2021 20H,171
11/1/2021 19H,171
11/1/2021 18H,171
11/1/2021 17H,206
11/1/2021 16H,206
11/1/2021 15H,205
11/1/2021 14H,206
11/1/2021 13H,205
11/1/2021 12H,208
11/1/2021 11H,211
11/1/2021 10H,175
11/1/2021 09H,174
11/1/2021 08H,174
11/1/2021 07H,172
11/1/2021 06H,173
11/1/2021 05H,170
11/1/2021 04H,208
11/1/2021 03H,170
11/1/2021 02H,169
11/1/2021 01H,169
11/1/2021 00H,170
10/31/2021 23H,171
10/31/2021 22H,171
10/31/2021 21H,172
10/31/2021 20H,172
10/31/2021 19H,172
10/31/2021 18H,172
10/31/2021 17H,173
10/31/2021 16H,172
10/31/2021 15H,197
10/31/2021 14H,200
10/31/2021 13H,201
10/31/2021 12H,203
10/31/2021 11H,212
10/31/2021 10H,212
10/31/2021 09H,208
10/31/2021 08H,210
10/31/2021 07H,212
10/31/2021 06H,213
10/31/2021 05H,210
10/31/2021 04H,205
10/31/2021 03H,207
10/31/2021 02H,209
10/31/2021 01H,208
10/31/2021 00H,210
10/30/2021 23H,208
10/30/2021 22H,207
10/30/2021 21H,206
10/30/2021 20H,230
10/30/2021 19H,200
10/30/2021 18H,204
10/30/2021 17H,203
10/30/2021 16H,202
10/30/2021 15H,205
10/30/2021 14H,204
10/30/2021 13H,205
10/30/2021 12H,209
10/30/2021 11H,210
10/30/2021 10H,212
10/30/2021 09H,209
10/30/2021 08H,206
10/30/2021 07H,202
10/30/2021 06H,209
10/30/2021 05H,205
10/30/2021 04H,210
10/30/2021 03H,199
10/30/2021 02H,202
10/30/2021 01H,202
10/30/2021 00H,203
10/29/2021 23H,201
10/29/2021 22H,203
10/29/2021 21H,204
10/29/2021 20H,204
10/29/2021 19H,202
10/29/2021 18H,206
10/29/2021 17H,205
10/29/2021 16H,208
10/29/2021 15H,208
10/29/2021 14H,212
10/29/2021 13H,214
10/29/2021 12H,215
10/29/2021 11H,215
10/29/2021 10H,218
10/29/2021 09H,220
10/29/2021 08H,222
10/29/2021 07H,222
10/29/2021 06H,215
10/29/2021 05H,210
10/29/2021 04H,205
10/29/2021 03H,207
10/29/2021 02H,205
10/29/2021 01H,209
10/29/2021 00H,208
10/28/2021 23H,209
10/28/2021 22H,207
10/28/2021 21H,265
10/28/2021 20H,259
10/28/2021 19H,240
10/28/2021 18H,207
10/28/2021 17H,206
10/28/2021 16H,209
10/28/2021 15H,208
10/28/2021 14H,208
10/28/2021 13H,210
10/28/2021 12H,209
10/28/2021 11H,209
10/28/2021 10H,211
10/28/2021 09H,214
10/28/2021 08H,208
10/28/2021 07H,206
10/28/2021 06H,208
10/28/2021 05H,206
10/28/2021 04H,209
10/28/2021 03H,203
10/28/2021 02H,203
10/28/2021 01H,205
10/28/2021 00H,206
10/27/2021 23H,203
10/27/2021 22H,200
10/27/2021 21H,208
10/27/2021 20H,206
10/27/2021 19H,205
10/27/2021 18H,205
10/27/2021 17H,205
10/27/2021 16H,206
10/27/2021 15H,207
10/27/2021 14H,210
10/27/2021 13H,209
10/27/2021 12H,211
10/27/2021 11H,210
10/27/2021 10H,213
10/27/2021 09H,216
10/27/2021 08H,212
10/27/2021 07H,213
10/27/2021 06H,213
10/27/2021 05H,210
10/27/2021 04H,210
10/27/2021 03H,207
10/27/2021 02H,210
10/27/2021 01H,215
10/27/2021 00H,211
10/26/2021 23H,208
10/26/2021 22H,208
10/26/2021 21H,209
10/26/2021 20H,205
10/26/2021 19H,206
10/26/2021 18H,205
10/26/2021 17H,209
10/26/2021 16H,208
10/26/2021 15H,210
10/26/2021 14H,210
10/26/2021 13H,211
10/26/2021 12H,216
10/26/2021 11H,220
10/26/2021 10H,219
10/26/2021 09H,217
10/26/2021 08H,214
10/26/2021 07H,211
10/26/2021 06H,210
10/26/2021 05H,209
10/26/2021 04H,78
10/26/2021 03H,207
10/26/2021 02H,207
10/26/2021 01H,206
10/26/2021 00H,206
10/25/2021 23H,201
10/25/2021 22H,207
10/25/2021 21H,301
10/25/2021 20H,308
10/25/2021 19H,241
10/25/2021 18H,208
