Net generation from nuclear for Carolinas (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390107&sdid=EBA.CAR-ALL.NG.NUC.H
19:06:41 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAR-ALL.NG.NUC.H megawatthours
11/10/2021 18H,10912
11/10/2021 17H,10930
11/10/2021 16H,10929
11/10/2021 15H,10940
11/10/2021 14H,10937
11/10/2021 13H,10939
11/10/2021 12H,10937
11/10/2021 11H,10941
11/10/2021 10H,10937
11/10/2021 09H,10933
11/10/2021 08H,10928
11/10/2021 07H,10928
11/10/2021 06H,10925
11/10/2021 05H,10933
11/10/2021 04H,10925
11/10/2021 03H,10925
11/10/2021 02H,10925
11/10/2021 01H,10919
11/10/2021 00H,10921
11/9/2021 23H,10916
11/9/2021 22H,10915
11/9/2021 21H,10914
11/9/2021 20H,10915
11/9/2021 19H,10915
11/9/2021 18H,10912
11/9/2021 17H,10915
11/9/2021 16H,10924
11/9/2021 15H,10938
11/9/2021 14H,10942
11/9/2021 13H,10941
11/9/2021 12H,10944
11/9/2021 11H,10943
11/9/2021 10H,10945
11/9/2021 09H,10943
11/9/2021 08H,10947
11/9/2021 07H,10944
11/9/2021 06H,10945
11/9/2021 05H,10940
11/9/2021 04H,10941
11/9/2021 03H,10936
11/9/2021 02H,10938
11/9/2021 01H,10936
11/9/2021 00H,10931
11/8/2021 23H,10929
11/8/2021 22H,10927
11/8/2021 21H,10926
11/8/2021 20H,10930
11/8/2021 19H,10939
11/8/2021 18H,10936
11/8/2021 17H,10943
11/8/2021 16H,10947
11/8/2021 15H,10949
11/8/2021 14H,10960
11/8/2021 13H,10957
11/8/2021 12H,10955
11/8/2021 11H,10959
11/8/2021 10H,10954
11/8/2021 09H,10957
11/8/2021 08H,10963
11/8/2021 07H,10954
11/8/2021 06H,10958
11/8/2021 05H,10957
11/8/2021 04H,10962
11/8/2021 03H,10959
11/8/2021 02H,10956
11/8/2021 01H,10957
11/8/2021 00H,10951
11/7/2021 23H,10955
11/7/2021 22H,10951
11/7/2021 21H,10945
11/7/2021 20H,10949
11/7/2021 19H,10953
11/7/2021 18H,10948
11/7/2021 17H,10954
11/7/2021 16H,10956
11/7/2021 15H,10955
11/7/2021 14H,10991
11/7/2021 13H,11001
11/7/2021 12H,10998
11/7/2021 11H,10997
11/7/2021 10H,10994
11/7/2021 09H,10998
11/7/2021 08H,10988
11/7/2021 07H,10993
11/7/2021 06H,10996
11/7/2021 05H,10988
11/7/2021 04H,10994
11/7/2021 03H,10997
11/7/2021 02H,10996
11/7/2021 01H,10998
11/7/2021 00H,10989
11/6/2021 23H,10994
11/6/2021 22H,10996
11/6/2021 21H,10990
11/6/2021 20H,10987
11/6/2021 19H,10998
11/6/2021 18H,10994
11/6/2021 17H,11003
11/6/2021 16H,11005
11/6/2021 15H,11001
11/6/2021 14H,10983
11/6/2021 13H,10959
11/6/2021 12H,10950
