Net generation from natural gas for Carolinas (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390107&sdid=EBA.CAR-ALL.NG.NG.H
19:06:34 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAR-ALL.NG.NG.H megawatthours
11/5/2021 15H,8229
11/5/2021 14H,8947
11/5/2021 13H,9117
11/5/2021 12H,9526
11/5/2021 11H,9219
11/5/2021 10H,8169
11/5/2021 09H,7354
11/5/2021 08H,7134
11/5/2021 07H,7048
11/5/2021 06H,7040
11/5/2021 05H,7026
11/5/2021 04H,7280
11/5/2021 03H,7849
11/5/2021 02H,8304
11/5/2021 01H,8820
11/5/2021 00H,8997
11/4/2021 23H,9366
11/4/2021 22H,9063
11/4/2021 21H,8777
11/4/2021 20H,8589
11/4/2021 19H,8238
11/4/2021 18H,8348
11/4/2021 17H,8519
11/4/2021 16H,8834
11/4/2021 15H,8941
11/4/2021 14H,8823
11/4/2021 13H,8854
11/4/2021 12H,8698
11/4/2021 11H,7832
11/4/2021 10H,6624
11/4/2021 09H,6312
11/4/2021 08H,6064
11/4/2021 07H,5979
11/4/2021 06H,6101
11/4/2021 05H,6214
11/4/2021 04H,6805
11/4/2021 03H,7559
11/4/2021 02H,7898
11/4/2021 01H,8153
11/4/2021 00H,8168
11/3/2021 23H,7854
11/3/2021 22H,7300
11/3/2021 21H,6465
11/3/2021 20H,6413
11/3/2021 19H,6217
11/3/2021 18H,6314
11/3/2021 17H,6827
11/3/2021 16H,7167
11/3/2021 15H,6954
11/3/2021 14H,7071
11/3/2021 13H,7150
11/3/2021 12H,7164
11/3/2021 11H,6714
11/3/2021 10H,5968
11/3/2021 09H,5829
11/3/2021 08H,5867
11/3/2021 07H,5800
11/3/2021 06H,5817
11/3/2021 05H,5774
11/3/2021 04H,5866
11/3/2021 03H,6586
11/3/2021 02H,7117
11/3/2021 01H,7628
11/3/2021 00H,7654
11/2/2021 23H,7518
11/2/2021 22H,7035
11/2/2021 21H,6424
11/2/2021 20H,6161
11/2/2021 19H,5938
11/2/2021 18H,5910
11/2/2021 17H,5845
11/2/2021 16H,5856
11/2/2021 15H,5607
11/2/2021 14H,5360
11/2/2021 13H,6479
11/2/2021 12H,6987
11/2/2021 11H,6642
11/2/2021 10H,5926
11/2/2021 09H,5729
11/2/2021 08H,5685
11/2/2021 07H,5659
11/2/2021 06H,5575
11/2/2021 05H,5835
11/2/2021 04H,6014
11/2/2021 03H,6354
11/2/2021 02H,6609
11/2/2021 01H,6824
11/2/2021 00H,7070
11/1/2021 23H,7035
11/1/2021 22H,6464
11/1/2021 21H,5273
11/1/2021 20H,5160
11/1/2021 19H,4974
11/1/2021 18H,5035
11/1/2021 17H,5002
11/1/2021 16H,4944
11/1/2021 15H,4885
11/1/2021 14H,5104
11/1/2021 13H,6340
11/1/2021 12H,6797
11/1/2021 11H,6263
11/1/2021 10H,5470
11/1/2021 09H,5032
11/1/2021 08H,4890
11/1/2021 07H,4846
11/1/2021 06H,4971
11/1/2021 05H,5217
11/1/2021 04H,5552
11/1/2021 03H,5763
11/1/2021 02H,5947
11/1/2021 01H,5907
11/1/2021 00H,5872
10/31/2021 23H,5799
10/31/2021 22H,5743
10/31/2021 21H,5454
10/31/2021 20H,5082
10/31/2021 19H,4899
10/31/2021 18H,4667
10/31/2021 17H,4476
10/31/2021 16H,4279
10/31/2021 15H,4288
10/31/2021 14H,5031
10/31/2021 13H,5584
10/31/2021 12H,5611
10/31/2021 11H,5614
10/31/2021 10H,5455
10/31/2021 09H,5381
10/31/2021 08H,5413
10/31/2021 07H,5426
10/31/2021 06H,5454
10/31/2021 05H,5506
10/31/2021 04H,5626
10/31/2021 03H,5686
10/31/2021 02H,5844
10/31/2021 01H,5845
10/31/2021 00H,5774
10/30/2021 23H,5667
10/30/2021 22H,5614
10/30/2021 21H,5233
10/30/2021 20H,4948
10/30/2021 19H,5118
10/30/2021 18H,5071
10/30/2021 17H,4985
10/30/2021 16H,5185
10/30/2021 15H,5508
10/30/2021 14H,5684
10/30/2021 13H,5711
10/30/2021 12H,5544
10/30/2021 11H,5460
10/30/2021 10H,5310
10/30/2021 09H,5113
10/30/2021 08H,5145
10/30/2021 07H,5264
10/30/2021 06H,5320
10/30/2021 05H,5452
10/30/2021 04H,5745
10/30/2021 03H,6048
10/30/2021 02H,6506
10/30/2021 01H,7004
10/30/2021 00H,7068
10/29/2021 23H,7129
10/29/2021 22H,7024
10/29/2021 21H,6858
10/29/2021 20H,6718
10/29/2021 19H,6788
10/29/2021 18H,6866
10/29/2021 17H,6934
10/29/2021 16H,6941
10/29/2021 15H,6615
10/29/2021 14H,6509
10/29/2021 13H,6710
10/29/2021 12H,6626
10/29/2021 11H,6081
10/29/2021 10H,5906
10/29/2021 09H,5644
10/29/2021 08H,5621
10/29/2021 07H,5680
10/29/2021 06H,5638
10/29/2021 05H,5729
10/29/2021 04H,5978
10/29/2021 03H,6278
10/29/2021 02H,6570
10/29/2021 01H,6787
10/29/2021 00H,6752
10/28/2021 23H,6993
10/28/2021 22H,6891
10/28/2021 21H,6959
10/28/2021 20H,6870
