,BURDEN,,,,,
12671,0.00350365,,,,,
33102,0.003505618,,,,,
37009,0.003506494,,,,,
8353,0.003512195,,,,,
36313,0.003512195,,,,,
8908,0.003513909,,,,,
20435,0.003515032,,,,,
13251,0.003517915,,,,,
44954,0.003519062,,,,,
3173,0.003519553,,,,,
28032,0.003521983,,,,,
15350,0.003529412,,,,,
28504,0.003529412,,,,,
8699,0.003529412,,,,,
23013,0.003529412,,,,,
37767,0.003536346,,,,,
37819,0.003540984,,,,,
44252,0.003546361,,,,,
42012,0.003546519,,,,,
9442,0.003546798,,,,,
25929,0.003555556,,,,,
11585,0.00356044,,,,,
44481,0.003560831,,,,,
11217,0.003564356,,,,,
36958,0.003573668,,,,,
7594,0.003584637,,,,,
17783,0.003585657,,,,,
29192,0.003585657,,,,,
22928,0.0036,,,,,
21354,0.0036,,,,,
22104,0.003610832,,,,,
18530,0.003612376,,,,,
2006,0.003616438,,,,,
43480,0.003617021,,,,,
11645,0.00361809,,,,,
36024,0.003620698,,,,,
6048,0.003627204,,,,,
33094,0.003633917,,,,,
39308,0.003636364,,,,,
32711,0.003636364,,,,,
22213,0.003636364,,,,,
30154,0.00363981,,,,,
39396,0.003640607,,,,,
15906,0.00364486,,,,,
39804,0.003646308,,,,,
37183,0.003647416,,,,,
35535,0.003647416,,,,,
36649,0.003652174,,,,,
32181,0.003662478,,,,,
23338,0.003665988,,,,,
4198,0.003666667,,,,,
21987,0.003673419,,,,,
43222,0.003673469,,,,,
7524,0.00367688,,,,,
1296,0.003679443,,,,,
18077,0.003685221,,,,,
36956,0.003691172,,,,,
41542,0.003691456,,,,,
35388,0.003692308,,,,,
16388,0.003692308,,,,,
30842,0.003697997,,,,,
40132,0.00369863,,,,,
11975,0.003707344,,,,,
44810,0.003708791,,,,,
39206,0.003708791,,,,,
1633,0.00371134,,,,,
19008,0.00371134,,,,,
9340,0.00371134,,,,,
40764,0.003725055,,,,,
5097,0.003725055,,,,,
31848,0.00373057,,,,,
39841,0.003731588,,,,,
1446,0.003733333,,,,,
40435,0.003737154,,,,,
1073,0.003739377,,,,,
32337,0.00374026,,,,,
27045,0.003745819,,,,,
22166,0.00375,,,,,
18405,0.00375,,,,,
36931,0.00375,,,,,
43698,0.00375,,,,,
18427,0.00375,,,,,
3799,0.003755589,,,,,
32113,0.003760218,,,,,
12309,0.003768116,,,,,
35034,0.003769634,,,,,
25743,0.003771429,,,,,
21122,0.003776224,,,,,
11670,0.003782735,,,,,
34790,0.003794391,,,,,
20569,0.003800821,,,,,
17876,0.003803487,,,,,
34079,0.003804878,,,,,
10989,0.003809524,,,,,
6998,0.003809524,,,,,
36404,0.003809524,,,,,
27890,0.003814698,,,,,
44275,0.003815029,,,,,
27515,0.003818182,,,,,
28690,0.003820755,,,,,
23186,0.003823529,,,,,
1306,0.003833866,,,,,
37208,0.00384,,,,,
3068,0.00384,,,,,
8354,0.00384,,,,,
5175,0.003842049,,,,,
944,0.00385439,,,,,
31344,0.003855422,,,,,
29064,0.003855422,,,,,
30853,0.003855422,,,,,
4282,0.003857143,,,,,
36406,0.00386059,,,,,
8392,0.003864734,,,,,
1092,0.003870968,,,,,
12006,0.003877353,,,,,
4823,0.003880983,,,,,
22110,0.003882239,,,,,
11568,0.003888889,,,,,
40146,0.003891892,,,,,
35817,0.003891892,,,,,
25204,0.003893805,,,,,
102,0.003895288,,,,,
38165,0.003896104,,,,,
20585,0.003897912,,,,,
