Net generation from other for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.OTH.H
19:20:33 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.OTH.H megawatthours
10/13/2021 10H,362
10/13/2021 09H,360
10/13/2021 08H,356
10/13/2021 07H,355
10/13/2021 06H,354
10/13/2021 05H,353
10/13/2021 04H,358
10/13/2021 03H,366
10/13/2021 02H,366
10/13/2021 01H,405
10/13/2021 00H,403
10/12/2021 23H,391
10/12/2021 22H,391
10/12/2021 21H,382
10/12/2021 20H,363
10/12/2021 19H,348
10/12/2021 18H,327
10/12/2021 17H,322
10/12/2021 16H,316
10/12/2021 15H,302
10/12/2021 14H,304
10/12/2021 13H,312
10/12/2021 12H,315
10/12/2021 11H,313
10/12/2021 10H,317
10/12/2021 09H,320
10/12/2021 08H,318
10/12/2021 07H,318
10/12/2021 06H,318
10/12/2021 05H,320
10/12/2021 04H,322
10/12/2021 03H,322
10/12/2021 02H,319
10/12/2021 01H,342
10/12/2021 00H,383
10/11/2021 23H,387
10/11/2021 22H,393
10/11/2021 21H,394
10/11/2021 20H,391
10/11/2021 19H,396
10/11/2021 18H,397
10/11/2021 17H,397
10/11/2021 16H,364
10/11/2021 15H,362
10/11/2021 14H,365
10/11/2021 13H,363
10/11/2021 12H,353
10/11/2021 11H,357
10/11/2021 10H,363
10/11/2021 09H,362
10/11/2021 08H,362
10/11/2021 07H,358
10/11/2021 06H,363
10/11/2021 05H,362
10/11/2021 04H,362
10/11/2021 03H,361
10/11/2021 02H,390
10/11/2021 01H,390
10/11/2021 00H,380
10/10/2021 23H,382
10/10/2021 22H,388
10/10/2021 21H,423
10/10/2021 20H,396
10/10/2021 19H,357
10/10/2021 18H,347
10/10/2021 17H,348
10/10/2021 16H,353
10/10/2021 15H,353
10/10/2021 14H,352
10/10/2021 13H,353
10/10/2021 12H,355
10/10/2021 11H,363
10/10/2021 10H,364
10/10/2021 09H,364
10/10/2021 08H,349
10/10/2021 07H,340
10/10/2021 06H,322
10/10/2021 05H,307
10/10/2021 04H,340
10/10/2021 03H,358
