Net generation from coal for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.COL.H
19:20:06 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.COL.H megawatthours
11/4/2021 22H,4207
11/4/2021 21H,4189
11/4/2021 20H,4202
11/4/2021 19H,4224
11/4/2021 18H,4241
11/4/2021 17H,4237
11/4/2021 16H,4247
11/4/2021 15H,4234
11/4/2021 14H,4251
11/4/2021 13H,4230
11/4/2021 12H,4236
11/4/2021 11H,4178
11/4/2021 10H,3967
11/4/2021 09H,3876
11/4/2021 08H,3874
11/4/2021 07H,3836
11/4/2021 06H,3875
11/4/2021 05H,3843
11/4/2021 04H,3889
11/4/2021 03H,3864
11/4/2021 02H,4015
11/4/2021 01H,3865
11/4/2021 00H,4008
11/3/2021 23H,3794
11/3/2021 22H,3607
11/3/2021 21H,3522
11/3/2021 20H,3509
11/3/2021 19H,3522
11/3/2021 18H,3556
11/3/2021 17H,3559
11/3/2021 16H,3736
11/3/2021 15H,3752
11/3/2021 14H,3730
11/3/2021 13H,3697
11/3/2021 12H,3722
11/3/2021 11H,3636
11/3/2021 10H,3549
11/3/2021 09H,3455
11/3/2021 08H,3327
11/3/2021 07H,3157
11/3/2021 06H,3082
11/3/2021 05H,3130
11/3/2021 04H,3163
11/3/2021 03H,3216
11/3/2021 02H,3058
11/3/2021 01H,3061
11/3/2021 00H,2874
11/2/2021 23H,2399
11/2/2021 22H,3029
11/2/2021 21H,3221
11/2/2021 20H,3546
11/2/2021 19H,3536
11/2/2021 18H,3493
11/2/2021 17H,3578
11/2/2021 16H,3524
11/2/2021 15H,3432
11/2/2021 14H,3142
11/2/2021 13H,2834
11/2/2021 12H,3224
11/2/2021 11H,2937
11/2/2021 10H,3437
11/2/2021 09H,3392
11/2/2021 08H,3425
11/2/2021 07H,3431
11/2/2021 06H,3516
11/2/2021 05H,3562
11/2/2021 04H,3649
11/2/2021 03H,3763
11/2/2021 02H,3761
11/2/2021 01H,3594
11/2/2021 00H,3513
11/1/2021 23H,3397
11/1/2021 22H,3751
11/1/2021 21H,3754
11/1/2021 20H,3757
11/1/2021 19H,3793
11/1/2021 18H,3776
11/1/2021 17H,3814
11/1/2021 16H,3715
11/1/2021 15H,3552
11/1/2021 14H,3197
11/1/2021 13H,3557
11/1/2021 12H,3566
11/1/2021 11H,3446
11/1/2021 10H,3486
11/1/2021 09H,3561
11/1/2021 08H,3552
11/1/2021 07H,3528
11/1/2021 06H,3548
11/1/2021 05H,3544
11/1/2021 04H,3624
11/1/2021 03H,3803
