Net generation from solar for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.SUN.H
19:22:14 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.SUN.H megawatthours
11/10/2021 08H,-1
11/10/2021 07H,3
11/10/2021 06H,13
11/10/2021 05H,13
11/10/2021 04H,19
11/10/2021 03H,35
11/10/2021 02H,37
11/10/2021 01H,62
11/10/2021 00H,378
11/9/2021 23H,1049
11/9/2021 22H,1354
11/9/2021 21H,1429
11/9/2021 20H,1342
11/9/2021 19H,1294
11/9/2021 18H,1141
11/9/2021 17H,1018
11/9/2021 16H,896
11/9/2021 15H,334
11/9/2021 14H,61
11/9/2021 13H,49
11/9/2021 12H,53
11/9/2021 11H,44
11/9/2021 10H,40
11/9/2021 09H,36
11/9/2021 08H,34
11/9/2021 07H,49
11/9/2021 06H,34
11/9/2021 05H,46
11/9/2021 04H,47
11/9/2021 03H,81
11/9/2021 02H,89
11/9/2021 01H,150
11/9/2021 00H,790
11/8/2021 23H,1421
11/8/2021 22H,1456
11/8/2021 21H,1449
11/8/2021 20H,1415
11/8/2021 19H,1442
11/8/2021 18H,1435
11/8/2021 17H,1259
11/8/2021 16H,914
11/8/2021 15H,281
11/8/2021 14H,35
11/8/2021 13H,36
11/8/2021 12H,70
11/8/2021 11H,65
11/8/2021 10H,55
11/8/2021 09H,33
11/8/2021 08H,35
11/8/2021 07H,35
11/8/2021 06H,31
11/8/2021 05H,47
11/8/2021 04H,59
11/8/2021 03H,58
11/8/2021 02H,52
11/8/2021 01H,53
11/8/2021 00H,514
11/7/2021 23H,1137
11/7/2021 22H,1426
11/7/2021 21H,1459
11/7/2021 20H,1455
11/7/2021 19H,1432
11/7/2021 18H,1390
11/7/2021 17H,1235
11/7/2021 16H,1072
11/7/2021 15H,423
11/7/2021 14H,50
11/7/2021 13H,39
11/7/2021 12H,42
11/7/2021 11H,51
11/7/2021 10H,46
11/7/2021 09H,50
11/7/2021 08H,52
11/7/2021 07H,59
11/7/2021 06H,60
11/7/2021 05H,50
11/7/2021 04H,45
11/7/2021 03H,85
11/7/2021 02H,87
11/7/2021 01H,146
11/7/2021 00H,849
11/6/2021 23H,1560
11/6/2021 22H,1669
11/6/2021 21H,1629
11/6/2021 20H,1577
11/6/2021 19H,1578
11/6/2021 18H,1637
11/6/2021 17H,1600
11/6/2021 16H,1216
11/6/2021 15H,422
11/6/2021 14H,33
11/6/2021 13H,12
11/6/2021 12H,11
11/6/2021 11H,9
11/6/2021 10H,0
11/6/2021 09H,5
11/6/2021 08H,6
11/6/2021 07H,1
11/6/2021 06H,2
11/6/2021 05H,14
11/6/2021 04H,22
11/6/2021 03H,32
11/6/2021 02H,23
11/6/2021 01H,117
11/6/2021 00H,726
11/5/2021 23H,1344
11/5/2021 22H,1497
11/5/2021 21H,1516
11/5/2021 20H,1550
11/5/2021 19H,1559
11/5/2021 18H,1620
11/5/2021 17H,1590
11/5/2021 16H,1227
11/5/2021 15H,437
11/5/2021 14H,17
11/5/2021 13H,2
11/5/2021 12H,1
11/5/2021 11H,0
11/5/2021 10H,1
11/5/2021 09H,1
11/5/2021 08H,0
11/5/2021 07H,2
11/5/2021 06H,3
11/5/2021 05H,14
11/5/2021 04H,15
11/5/2021 03H,19
11/5/2021 02H,32
11/5/2021 01H,121
11/5/2021 00H,821
11/4/2021 23H,1527
11/4/2021 22H,1630
11/4/2021 21H,1608
11/4/2021 20H,1553
11/4/2021 19H,1580
11/4/2021 18H,1631
11/4/2021 17H,1598
11/4/2021 16H,1252
11/4/2021 15H,449
