Net generation from hydro for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.WAT.H
19:21:40 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.WAT.H megawatthours
11/15/2021 13H,353
11/15/2021 12H,306
11/15/2021 11H,305
11/15/2021 10H,335
11/15/2021 09H,337
11/15/2021 08H,375
11/15/2021 07H,620
11/15/2021 06H,489
11/15/2021 05H,503
11/15/2021 04H,810
11/15/2021 03H,765
11/15/2021 02H,983
11/15/2021 01H,682
11/15/2021 00H,524
11/14/2021 23H,361
11/14/2021 22H,214
11/14/2021 21H,236
11/14/2021 20H,219
11/14/2021 19H,191
11/14/2021 18H,141
11/14/2021 17H,142
11/14/2021 16H,288
11/14/2021 15H,484
11/14/2021 14H,467
11/14/2021 13H,324
11/14/2021 12H,308
11/14/2021 11H,325
11/14/2021 10H,358
11/14/2021 09H,352
11/14/2021 08H,334
11/14/2021 07H,395
11/14/2021 06H,354
11/14/2021 05H,449
11/14/2021 04H,511
11/14/2021 03H,789
11/14/2021 02H,899
11/14/2021 01H,657
11/14/2021 00H,499
11/13/2021 23H,235
11/13/2021 22H,221
11/13/2021 21H,194
11/13/2021 20H,198
11/13/2021 19H,197
11/13/2021 18H,154
11/13/2021 17H,130
11/13/2021 16H,208
11/13/2021 15H,481
11/13/2021 14H,549
11/13/2021 13H,320
11/13/2021 12H,272
11/13/2021 11H,276
11/13/2021 10H,314
11/13/2021 09H,315
11/13/2021 08H,296
11/13/2021 07H,358
11/13/2021 06H,339
11/13/2021 05H,665
11/13/2021 04H,779
11/13/2021 03H,842
11/13/2021 02H,879
11/13/2021 01H,773
11/13/2021 00H,644
11/12/2021 23H,325
11/12/2021 22H,160
11/12/2021 21H,99
11/12/2021 20H,106
11/12/2021 19H,117
11/12/2021 18H,109
11/12/2021 17H,222
11/12/2021 16H,370
11/12/2021 15H,581
11/12/2021 14H,569
11/12/2021 13H,340
11/12/2021 12H,304
11/12/2021 11H,281
11/12/2021 10H,312
11/12/2021 09H,312
11/12/2021 08H,308
11/12/2021 07H,371
11/12/2021 06H,417
11/12/2021 05H,641
11/12/2021 04H,882
11/12/2021 03H,867
11/12/2021 02H,665
11/12/2021 01H,790
11/12/2021 00H,501
11/11/2021 23H,266
11/11/2021 22H,173
11/11/2021 21H,144
11/11/2021 20H,106
11/11/2021 19H,105
11/11/2021 18H,107
11/11/2021 17H,112
11/11/2021 16H,375
11/11/2021 15H,565
11/11/2021 14H,642
11/11/2021 13H,333
11/11/2021 12H,300
11/11/2021 11H,300
11/11/2021 10H,324
11/11/2021 09H,327
11/11/2021 08H,330
11/11/2021 07H,445
11/11/2021 06H,546
11/11/2021 05H,604
11/11/2021 04H,775
11/11/2021 03H,705
11/11/2021 02H,771
11/11/2021 01H,760
11/11/2021 00H,442
11/10/2021 23H,252
11/10/2021 22H,209
11/10/2021 21H,121
11/10/2021 20H,118
11/10/2021 19H,128
11/10/2021 18H,138
11/10/2021 17H,133
11/10/2021 16H,355
11/10/2021 15H,541
11/10/2021 14H,623
11/10/2021 13H,424
11/10/2021 12H,206
11/10/2021 11H,180
11/10/2021 10H,311
11/10/2021 09H,307
11/10/2021 08H,368
11/10/2021 07H,451
11/10/2021 06H,588
11/10/2021 05H,655
11/10/2021 04H,797
11/10/2021 03H,877
11/10/2021 02H,903
11/10/2021 01H,683
11/10/2021 00H,475
11/9/2021 23H,271
11/9/2021 22H,279
11/9/2021 21H,170
11/9/2021 20H,200
