Net generation from hydro for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.WAT.H
19:21:40 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.WAT.H megawatthours
05/12/2021 05H,1283
05/12/2021 04H,1408
05/12/2021 03H,1425
05/12/2021 02H,1327
05/12/2021 01H,1218
05/12/2021 00H,1072
05/11/2021 23H,869
05/11/2021 22H,596
05/11/2021 21H,424
05/11/2021 20H,447
05/11/2021 19H,420
05/11/2021 18H,405
05/11/2021 17H,391
05/11/2021 16H,472
05/11/2021 15H,662
05/11/2021 14H,836
05/11/2021 13H,848
05/11/2021 12H,644
05/11/2021 11H,674
05/11/2021 10H,672
05/11/2021 09H,675
05/11/2021 08H,762
05/11/2021 07H,1036
05/11/2021 06H,1404
05/11/2021 05H,1621
05/11/2021 04H,1645
05/11/2021 03H,1649
05/11/2021 02H,1601
05/11/2021 01H,1411
05/11/2021 00H,1218
05/10/2021 23H,921
05/10/2021 22H,843
05/10/2021 21H,601
05/10/2021 20H,559
05/10/2021 19H,551
05/10/2021 18H,525
05/10/2021 17H,462
05/10/2021 16H,434
05/10/2021 15H,709
05/10/2021 14H,1118
05/10/2021 13H,777
05/10/2021 12H,598
05/10/2021 11H,596
05/10/2021 10H,596
05/10/2021 09H,629
05/10/2021 08H,710
05/10/2021 07H,835
05/10/2021 06H,965
05/10/2021 05H,1180
05/10/2021 04H,1386
05/10/2021 03H,1343
05/10/2021 02H,1251
05/10/2021 01H,958
05/10/2021 00H,986
05/9/2021 23H,923
05/9/2021 22H,605
05/9/2021 21H,530
05/9/2021 20H,546
05/9/2021 19H,571
05/9/2021 18H,418
05/9/2021 17H,345
05/9/2021 16H,340
05/9/2021 15H,487
05/9/2021 14H,543
05/9/2021 13H,645
05/9/2021 12H,683
05/9/2021 11H,680
05/9/2021 10H,676
05/9/2021 09H,706
05/9/2021 08H,809
05/9/2021 07H,910
05/9/2021 06H,1183
05/9/2021 05H,1426
05/9/2021 04H,1443
05/9/2021 03H,1550
05/9/2021 02H,1424
05/9/2021 01H,1317
05/9/2021 00H,978
05/8/2021 23H,872
05/8/2021 22H,797
05/8/2021 21H,660
05/8/2021 20H,611
05/8/2021 19H,730
05/8/2021 18H,545
05/8/2021 17H,482
05/8/2021 16H,484
05/8/2021 15H,608
05/8/2021 14H,607
05/8/2021 13H,612
05/8/2021 12H,558
05/8/2021 11H,555
05/8/2021 10H,738
05/8/2021 09H,879
05/8/2021 08H,899
05/8/2021 07H,1169
05/8/2021 06H,1434
05/8/2021 05H,1534
05/8/2021 04H,1616
05/8/2021 03H,1600
05/8/2021 02H,1480
05/8/2021 01H,1274
05/8/2021 00H,1227
05/7/2021 23H,1029
05/7/2021 22H,820
05/7/2021 21H,673
05/7/2021 20H,537
05/7/2021 19H,468
05/7/2021 18H,505
05/7/2021 17H,495
05/7/2021 16H,549
05/7/2021 15H,743
05/7/2021 14H,1051
05/7/2021 13H,882
05/7/2021 12H,805
05/7/2021 11H,696
05/7/2021 10H,707
05/7/2021 09H,716
05/7/2021 08H,794
05/7/2021 07H,1214
05/7/2021 06H,1574
05/7/2021 05H,1632
05/7/2021 04H,1654
05/7/2021 03H,1667
05/7/2021 02H,1598
05/7/2021 01H,1383
05/7/2021 00H,1163
05/6/2021 23H,919
05/6/2021 22H,697
05/6/2021 21H,545
05/6/2021 20H,504
05/6/2021 19H,507
05/6/2021 18H,554
05/6/2021 17H,531
05/6/2021 16H,529
05/6/2021 15H,661
05/6/2021 14H,1073
05/6/2021 13H,877
05/6/2021 12H,666
05/6/2021 11H,625
05/6/2021 10H,687
05/6/2021 09H,698
05/6/2021 08H,985
05/6/2021 07H,898
05/6/2021 06H,1375
05/6/2021 05H,1544
05/6/2021 04H,1486
05/6/2021 03H,1490
05/6/2021 02H,1562
05/6/2021 01H,1353
05/6/2021 00H,1253
05/5/2021 23H,1040
05/5/2021 22H,874
05/5/2021 21H,758
05/5/2021 20H,578
05/5/2021 19H,566
05/5/2021 18H,527
05/5/2021 17H,465
05/5/2021 16H,443
05/5/2021 15H,693
05/5/2021 14H,999
05/5/2021 13H,760
05/5/2021 12H,676
05/5/2021 11H,619
05/5/2021 10H,620
05/5/2021 09H,665
05/5/2021 08H,794
05/5/2021 07H,1173
05/5/2021 06H,1345
05/5/2021 05H,1548
05/5/2021 04H,1588
05/5/2021 03H,1616
05/5/2021 02H,1630
05/5/2021 01H,1501
05/5/2021 00H,1234
05/4/2021 23H,704
05/4/2021 22H,691
05/4/2021 21H,556
05/4/2021 20H,533
05/4/2021 19H,447
05/4/2021 18H,402
05/4/2021 17H,443
05/4/2021 16H,489
05/4/2021 15H,715
05/4/2021 14H,1087
05/4/2021 13H,1028
05/4/2021 12H,801
05/4/2021 11H,773
05/4/2021 10H,778
05/4/2021 09H,798
05/4/2021 08H,1150
05/4/2021 07H,1162
05/4/2021 06H,1294
05/4/2021 05H,1475
05/4/2021 04H,1675
05/4/2021 03H,1653
05/4/2021 02H,1593
05/4/2021 01H,1414
05/4/2021 00H,852
05/3/2021 23H,652
05/3/2021 22H,585
05/3/2021 21H,553
05/3/2021 20H,552
05/3/2021 19H,569
05/3/2021 18H,475
05/3/2021 17H,448
05/3/2021 16H,506
05/3/2021 15H,721
05/3/2021 14H,1113
05/3/2021 13H,1135
05/3/2021 12H,915
05/3/2021 11H,791
05/3/2021 10H,797
05/3/2021 09H,800
05/3/2021 08H,830
05/3/2021 07H,1061
05/3/2021 06H,1138
05/3/2021 05H,1561
05/3/2021 04H,1612
05/3/2021 03H,1648
05/3/2021 02H,1414
05/3/2021 01H,1111
05/3/2021 00H,809
05/2/2021 23H,617
05/2/2021 22H,562
05/2/2021 21H,514
05/2/2021 20H,455
05/2/2021 19H,452
05/2/2021 18H,462
05/2/2021 17H,383
05/2/2021 16H,382
05/2/2021 15H,505
05/2/2021 14H,734
05/2/2021 13H,745
05/2/2021 12H,742
05/2/2021 11H,720
05/2/2021 10H,752
05/2/2021 09H,716
05/2/2021 08H,751
05/2/2021 07H,793
05/2/2021 06H,862
05/2/2021 05H,1094
05/2/2021 04H,1517
05/2/2021 03H,1370
05/2/2021 02H,1530
05/2/2021 01H,1388
05/2/2021 00H,1204
05/1/2021 23H,1040
05/1/2021 22H,638
05/1/2021 21H,536
05/1/2021 20H,475
05/1/2021 19H,507
05/1/2021 18H,586
05/1/2021 17H,585
05/1/2021 16H,553
05/1/2021 15H,702
05/1/2021 14H,845
05/1/2021 13H,752
05/1/2021 12H,714
05/1/2021 11H,675
05/1/2021 10H,704
05/1/2021 09H,848
05/1/2021 08H,957
05/1/2021 07H,1313
05/1/2021 06H,1550
05/1/2021 05H,1525
05/1/2021 04H,1502
05/1/2021 03H,1617
05/1/2021 02H,1634
05/1/2021 01H,1208
05/1/2021 00H,1260
04/30/2021 23H,931
04/30/2021 22H,814
04/30/2021 21H,731
04/30/2021 20H,654
04/30/2021 19H,692
04/30/2021 18H,548
04/30/2021 17H,493
04/30/2021 16H,494
04/30/2021 15H,735
04/30/2021 14H,1200
04/30/2021 13H,1116
04/30/2021 12H,836
04/30/2021 11H,786
04/30/2021 10H,791
04/30/2021 09H,883
04/30/2021 08H,921
04/30/2021 07H,987
04/30/2021 06H,1249
04/30/2021 05H,1468
04/30/2021 04H,1712
04/30/2021 03H,1672
04/30/2021 02H,1642
04/30/2021 01H,1217
04/30/2021 00H,1081
04/29/2021 23H,810
04/29/2021 22H,672
04/29/2021 21H,676
04/29/2021 20H,677
04/29/2021 19H,601
04/29/2021 18H,520
04/29/2021 17H,512
04/29/2021 16H,489
04/29/2021 15H,770
04/29/2021 14H,1268
04/29/2021 13H,1159
04/29/2021 12H,903
04/29/2021 11H,799
04/29/2021 10H,748
04/29/2021 09H,783
04/29/2021 08H,830
04/29/2021 07H,1042
04/29/2021 06H,1210
04/29/2021 05H,1512
04/29/2021 04H,1495
04/29/2021 03H,1663
04/29/2021 02H,1453
04/29/2021 01H,1110
04/29/2021 00H,923
04/28/2021 23H,631
04/28/2021 22H,543
04/28/2021 21H,566
04/28/2021 20H,514
04/28/2021 19H,579
04/28/2021 18H,590
04/28/2021 17H,531
04/28/2021 16H,531
04/28/2021 15H,839
04/28/2021 14H,1270
04/28/2021 13H,982
04/28/2021 12H,747
04/28/2021 11H,631
04/28/2021 10H,599
04/28/2021 09H,734
04/28/2021 08H,855
04/28/2021 07H,1062
04/28/2021 06H,1331
04/28/2021 05H,1604
04/28/2021 04H,1616
04/28/2021 03H,1592
04/28/2021 02H,1179
04/28/2021 01H,948
04/28/2021 00H,735
04/27/2021 23H,567
04/27/2021 22H,604
04/27/2021 21H,526
04/27/2021 20H,501
04/27/2021 19H,531
04/27/2021 18H,529
04/27/2021 17H,519
04/27/2021 16H,505
04/27/2021 15H,900
04/27/2021 14H,1111
04/27/2021 13H,840
04/27/2021 12H,634
04/27/2021 11H,625
04/27/2021 10H,635
04/27/2021 09H,653
04/27/2021 08H,933
04/27/2021 07H,999
04/27/2021 06H,1294
04/27/2021 05H,1437
04/27/2021 04H,1385
04/27/2021 03H,1439
04/27/2021 02H,1301
04/27/2021 01H,1020
04/27/2021 00H,786
04/26/2021 23H,599
04/26/2021 22H,516
04/26/2021 21H,549
04/26/2021 20H,518
04/26/2021 19H,520
04/26/2021 18H,488
04/26/2021 17H,488
04/26/2021 16H,664
04/26/2021 15H,914
04/26/2021 14H,1132
04/26/2021 13H,810
04/26/2021 12H,695
04/26/2021 11H,681
04/26/2021 10H,667
04/26/2021 09H,770
04/26/2021 08H,808
04/26/2021 07H,968
04/26/2021 06H,1150
04/26/2021 05H,1569
04/26/2021 04H,1633
04/26/2021 03H,1677
04/26/2021 02H,1546
04/26/2021 01H,1089
04/26/2021 00H,708
04/25/2021 23H,615
04/25/2021 22H,395
04/25/2021 21H,419
04/25/2021 20H,486
04/25/2021 19H,526
04/25/2021 18H,498
04/25/2021 17H,438
04/25/2021 16H,507
04/25/2021 15H,603
04/25/2021 14H,885
04/25/2021 13H,915
04/25/2021 12H,882
04/25/2021 11H,864
04/25/2021 10H,873
04/25/2021 09H,915
04/25/2021 08H,916
04/25/2021 07H,1202
04/25/2021 06H,1519
04/25/2021 05H,1618
04/25/2021 04H,1601
04/25/2021 03H,1659
04/25/2021 02H,1305
04/25/2021 01H,1308
04/25/2021 00H,929
04/24/2021 23H,821
04/24/2021 22H,638
04/24/2021 21H,614
04/24/2021 20H,597
04/24/2021 19H,586
04/24/2021 18H,567
04/24/2021 17H,404
04/24/2021 16H,518
04/24/2021 15H,670
04/24/2021 14H,966
04/24/2021 13H,939
04/24/2021 12H,873
04/24/2021 11H,861
04/24/2021 10H,907
04/24/2021 09H,930
04/24/2021 08H,1158
04/24/2021 07H,1289
04/24/2021 06H,1383
04/24/2021 05H,1598
04/24/2021 04H,1594
04/24/2021 03H,1609
04/24/2021 02H,1440
04/24/2021 01H,1191
04/24/2021 00H,1066
04/23/2021 23H,620
04/23/2021 22H,558
04/23/2021 21H,492
04/23/2021 20H,633
04/23/2021 19H,512
04/23/2021 18H,533
04/23/2021 17H,471
04/23/2021 16H,542
04/23/2021 15H,791
04/23/2021 14H,1113
04/23/2021 13H,994
04/23/2021 12H,844
04/23/2021 11H,778
04/23/2021 10H,762
04/23/2021 09H,827
04/23/2021 08H,884
04/23/2021 07H,1221
04/23/2021 06H,1214
04/23/2021 05H,1486
04/23/2021 04H,1585
04/23/2021 03H,1535
04/23/2021 02H,1542
04/23/2021 01H,1371
04/23/2021 00H,879
04/22/2021 23H,603
04/22/2021 22H,532
04/22/2021 21H,438
04/22/2021 20H,427
04/22/2021 19H,435
04/22/2021 18H,413
04/22/2021 17H,393
04/22/2021 16H,455
04/22/2021 15H,782
04/22/2021 14H,1236
04/22/2021 13H,984
04/22/2021 12H,759
04/22/2021 11H,731
04/22/2021 10H,729
04/22/2021 09H,797
04/22/2021 08H,855
04/22/2021 07H,936
04/22/2021 06H,1503
04/22/2021 05H,1520
04/22/2021 04H,1485
04/22/2021 03H,1598
04/22/2021 02H,1439
04/22/2021 01H,1032
04/22/2021 00H,845
04/21/2021 23H,629
04/21/2021 22H,591
04/21/2021 21H,554
04/21/2021 20H,505
04/21/2021 19H,557
04/21/2021 18H,487
04/21/2021 17H,498
04/21/2021 16H,519
04/21/2021 15H,949
04/21/2021 14H,1407
04/21/2021 13H,1197
04/21/2021 12H,818
04/21/2021 11H,806
04/21/2021 10H,803
04/21/2021 09H,930
04/21/2021 08H,1000
04/21/2021 07H,1328
04/21/2021 06H,1426
04/21/2021 05H,1664
04/21/2021 04H,1676
04/21/2021 03H,1665
04/21/2021 02H,1610
04/21/2021 01H,1274
04/21/2021 00H,950
04/20/2021 23H,677
04/20/2021 22H,633
04/20/2021 21H,529
04/20/2021 20H,580
04/20/2021 19H,555
04/20/2021 18H,513
04/20/2021 17H,493
04/20/2021 16H,515
04/20/2021 15H,888
04/20/2021 14H,1336
04/20/2021 13H,1004
04/20/2021 12H,726
04/20/2021 11H,445
04/20/2021 10H,531
04/20/2021 09H,530
04/20/2021 08H,593
04/20/2021 07H,946
04/20/2021 06H,1135
04/20/2021 05H,1338
04/20/2021 04H,1476
04/20/2021 03H,1576
04/20/2021 02H,1517
04/20/2021 01H,1138
04/20/2021 00H,730
04/19/2021 23H,620
04/19/2021 22H,607
04/19/2021 21H,575
04/19/2021 20H,540
04/19/2021 19H,546
04/19/2021 18H,522
04/19/2021 17H,468
04/19/2021 16H,499
04/19/2021 15H,809
04/19/2021 14H,1243
04/19/2021 13H,858
04/19/2021 12H,591
04/19/2021 11H,466
04/19/2021 10H,463
04/19/2021 09H,485
04/19/2021 08H,549
04/19/2021 07H,721
04/19/2021 06H,944
04/19/2021 05H,1204
04/19/2021 04H,1437
04/19/2021 03H,1461
04/19/2021 02H,1405
04/19/2021 01H,998
04/19/2021 00H,770
04/18/2021 23H,570
04/18/2021 22H,515
04/18/2021 21H,443
04/18/2021 20H,473
04/18/2021 19H,470
04/18/2021 18H,465
04/18/2021 17H,449
04/18/2021 16H,516
04/18/2021 15H,623
04/18/2021 14H,843
04/18/2021 13H,671
04/18/2021 12H,598
04/18/2021 11H,568
04/18/2021 10H,591
04/18/2021 09H,685
04/18/2021 08H,664
04/18/2021 07H,975
04/18/2021 06H,1312
04/18/2021 05H,1386
04/18/2021 04H,1446
04/18/2021 03H,1518
04/18/2021 02H,1462
04/18/2021 01H,1126
04/18/2021 00H,682
04/17/2021 23H,626
04/17/2021 22H,454
04/17/2021 21H,425
04/17/2021 20H,423
04/17/2021 19H,477
04/17/2021 18H,480
04/17/2021 17H,445
04/17/2021 16H,550
04/17/2021 15H,768
04/17/2021 14H,1036
04/17/2021 13H,742
04/17/2021 12H,490
04/17/2021 11H,477
04/17/2021 10H,510
04/17/2021 09H,583
04/17/2021 08H,773
04/17/2021 07H,1180
04/17/2021 06H,1396
04/17/2021 05H,1518
04/17/2021 04H,1433
04/17/2021 03H,1424
04/17/2021 02H,1487
04/17/2021 01H,1039
04/17/2021 00H,746
04/16/2021 23H,572
04/16/2021 22H,527
04/16/2021 21H,479
04/16/2021 20H,480
04/16/2021 19H,529
04/16/2021 18H,493
04/16/2021 17H,500
04/16/2021 16H,553
04/16/2021 15H,850
04/16/2021 14H,1317
04/16/2021 13H,1026
04/16/2021 12H,573
04/16/2021 11H,490
04/16/2021 10H,411
04/16/2021 09H,468
04/16/2021 08H,691
04/16/2021 07H,977
04/16/2021 06H,1387
04/16/2021 05H,1397
04/16/2021 04H,1382
04/16/2021 03H,1450
04/16/2021 02H,1346
04/16/2021 01H,987
04/16/2021 00H,663
04/15/2021 23H,506
04/15/2021 22H,488
04/15/2021 21H,432
04/15/2021 20H,426
04/15/2021 19H,530
04/15/2021 18H,497
04/15/2021 17H,572
04/15/2021 16H,580
04/15/2021 15H,1026
04/15/2021 14H,1130
04/15/2021 13H,839
04/15/2021 12H,668
04/15/2021 11H,625
04/15/2021 10H,608
04/15/2021 09H,615
04/15/2021 08H,828
04/15/2021 07H,1177
04/15/2021 06H,1405
04/15/2021 05H,1535
04/15/2021 04H,1569
04/15/2021 03H,1569
04/15/2021 02H,1531
04/15/2021 01H,1227
04/15/2021 00H,934
04/14/2021 23H,620
04/14/2021 22H,586
04/14/2021 21H,556
04/14/2021 20H,505
04/14/2021 19H,500
04/14/2021 18H,507
04/14/2021 17H,488
04/14/2021 16H,525
04/14/2021 15H,1014
04/14/2021 14H,1369
04/14/2021 13H,1034
04/14/2021 12H,671
04/14/2021 11H,565
04/14/2021 10H,640
04/14/2021 09H,908
04/14/2021 08H,797
04/14/2021 07H,1038
04/14/2021 06H,1105
04/14/2021 05H,1377
04/14/2021 04H,1542
04/14/2021 03H,1510
04/14/2021 02H,1513
04/14/2021 01H,1112
04/14/2021 00H,793
04/13/2021 23H,804
04/13/2021 22H,666
04/13/2021 21H,597
04/13/2021 20H,635
04/13/2021 19H,503
04/13/2021 18H,441
04/13/2021 17H,365
04/13/2021 16H,552
04/13/2021 15H,948
04/13/2021 14H,1264
04/13/2021 13H,640
04/13/2021 12H,393
04/13/2021 11H,362
04/13/2021 10H,451
04/13/2021 09H,729
04/13/2021 08H,746
04/13/2021 07H,777
04/13/2021 06H,1030
04/13/2021 05H,1529
04/13/2021 04H,1668
04/13/2021 03H,1639
04/13/2021 02H,1447
04/13/2021 01H,1230
04/13/2021 00H,901
04/12/2021 23H,767
04/12/2021 22H,708
04/12/2021 21H,547
04/12/2021 20H,517
04/12/2021 19H,509
04/12/2021 18H,553
04/12/2021 17H,557
04/12/2021 16H,571
04/12/2021 15H,962
04/12/2021 14H,1259
04/12/2021 13H,647
04/12/2021 12H,385
04/12/2021 11H,356
04/12/2021 10H,473
04/12/2021 09H,602
04/12/2021 08H,646
04/12/2021 07H,733
04/12/2021 06H,904
04/12/2021 05H,1263
04/12/2021 04H,1281
04/12/2021 03H,1281
04/12/2021 02H,1246
04/12/2021 01H,1019
04/12/2021 00H,785
04/11/2021 23H,572
04/11/2021 22H,648
04/11/2021 21H,353
04/11/2021 20H,377
04/11/2021 19H,362
04/11/2021 18H,452
04/11/2021 17H,365
04/11/2021 16H,445
04/11/2021 15H,673
04/11/2021 14H,811
04/11/2021 13H,643
04/11/2021 12H,522
04/11/2021 11H,526
04/11/2021 10H,563
04/11/2021 09H,633
04/11/2021 08H,827
04/11/2021 07H,1088
04/11/2021 06H,1348
04/11/2021 05H,1636
04/11/2021 04H,1630
04/11/2021 03H,1630
04/11/2021 02H,1433
04/11/2021 01H,974
04/11/2021 00H,692
04/10/2021 23H,504
04/10/2021 22H,434
04/10/2021 21H,585
04/10/2021 20H,511
04/10/2021 19H,507
04/10/2021 18H,474
04/10/2021 17H,394
04/10/2021 16H,437
04/10/2021 15H,707
04/10/2021 14H,785
04/10/2021 13H,725
04/10/2021 12H,541
04/10/2021 11H,536
04/10/2021 10H,593
04/10/2021 09H,706
04/10/2021 08H,794
04/10/2021 07H,1074
04/10/2021 06H,1335
04/10/2021 05H,1388
04/10/2021 04H,1487
04/10/2021 03H,1596
04/10/2021 02H,1428
04/10/2021 01H,1219
04/10/2021 00H,758
04/9/2021 23H,590
04/9/2021 22H,477
04/9/2021 21H,528
04/9/2021 20H,518
04/9/2021 19H,496
04/9/2021 18H,457
04/9/2021 17H,481
04/9/2021 16H,556
04/9/2021 15H,881
04/9/2021 14H,1122
04/9/2021 13H,771
04/9/2021 12H,483
04/9/2021 11H,469
04/9/2021 10H,510
04/9/2021 09H,790
04/9/2021 08H,977
04/9/2021 07H,1227
04/9/2021 06H,1495
04/9/2021 05H,1380
04/9/2021 04H,1562
04/9/2021 03H,1578
04/9/2021 02H,1521
04/9/2021 01H,1053
04/9/2021 00H,818
04/8/2021 23H,578
04/8/2021 22H,478
04/8/2021 21H,422
04/8/2021 20H,423
04/8/2021 19H,441
04/8/2021 18H,455
04/8/2021 17H,344
04/8/2021 16H,504
04/8/2021 15H,991
04/8/2021 14H,1023
04/8/2021 13H,883
04/8/2021 12H,454
04/8/2021 11H,497
04/8/2021 10H,505
04/8/2021 09H,643
04/8/2021 08H,860
04/8/2021 07H,730
04/8/2021 06H,1207
04/8/2021 05H,1316
04/8/2021 04H,1514
04/8/2021 03H,1502
04/8/2021 02H,1295
04/8/2021 01H,1096
04/8/2021 00H,874
04/7/2021 23H,923
04/7/2021 22H,799
04/7/2021 21H,699
04/7/2021 20H,536
04/7/2021 19H,417
04/7/2021 18H,435
04/7/2021 17H,466
04/7/2021 16H,489
04/7/2021 15H,824
04/7/2021 14H,933
04/7/2021 13H,723
04/7/2021 12H,398
04/7/2021 11H,392
04/7/2021 10H,454
04/7/2021 09H,541
04/7/2021 08H,546
04/7/2021 07H,893
04/7/2021 06H,1143
04/7/2021 05H,1404
04/7/2021 04H,1565
04/7/2021 03H,1466
04/7/2021 02H,1326
04/7/2021 01H,1063
04/7/2021 00H,826
04/6/2021 23H,650
04/6/2021 22H,628
04/6/2021 21H,541
04/6/2021 20H,521
04/6/2021 19H,480
04/6/2021 18H,446
04/6/2021 17H,434
04/6/2021 16H,475
04/6/2021 15H,973
04/6/2021 14H,1240
04/6/2021 13H,816
04/6/2021 12H,575
04/6/2021 11H,554
04/6/2021 10H,591
04/6/2021 09H,707
04/6/2021 08H,827
04/6/2021 07H,819
04/6/2021 06H,802
04/6/2021 05H,1140
04/6/2021 04H,1479
04/6/2021 03H,1553
04/6/2021 02H,1200
04/6/2021 01H,1141
04/6/2021 00H,925
04/5/2021 23H,676
04/5/2021 22H,555
04/5/2021 21H,488
04/5/2021 20H,434
04/5/2021 19H,438
04/5/2021 18H,533
04/5/2021 17H,486
04/5/2021 16H,525
04/5/2021 15H,931
04/5/2021 14H,1135
04/5/2021 13H,666
04/5/2021 12H,354
04/5/2021 11H,333
04/5/2021 10H,400
04/5/2021 09H,584
04/5/2021 08H,593
04/5/2021 07H,726
04/5/2021 06H,964
04/5/2021 05H,1440
04/5/2021 04H,1451
04/5/2021 03H,1490
04/5/2021 02H,1553
04/5/2021 01H,1192
04/5/2021 00H,1158
04/4/2021 23H,749
04/4/2021 22H,641
04/4/2021 21H,583
04/4/2021 20H,419
04/4/2021 19H,366
04/4/2021 18H,368
04/4/2021 17H,304
04/4/2021 16H,370
04/4/2021 15H,695
04/4/2021 14H,846
04/4/2021 13H,763
04/4/2021 12H,610
04/4/2021 11H,547
04/4/2021 10H,542
04/4/2021 09H,516
04/4/2021 08H,663
04/4/2021 07H,889
04/4/2021 06H,980
04/4/2021 05H,944
04/4/2021 04H,1234
04/4/2021 03H,1281
04/4/2021 02H,1258
04/4/2021 01H,1053
04/4/2021 00H,876
04/3/2021 23H,766
04/3/2021 22H,514
04/3/2021 21H,597
04/3/2021 20H,470
04/3/2021 19H,557
04/3/2021 18H,538
04/3/2021 17H,386
04/3/2021 16H,448
04/3/2021 15H,794
04/3/2021 14H,892
04/3/2021 13H,741
04/3/2021 12H,664
04/3/2021 11H,693
04/3/2021 10H,720
04/3/2021 09H,710
04/3/2021 08H,737
04/3/2021 07H,952
04/3/2021 06H,1446
04/3/2021 05H,1481
04/3/2021 04H,1364
04/3/2021 03H,1461
04/3/2021 02H,1430
04/3/2021 01H,1121
04/3/2021 00H,853
04/2/2021 23H,720
04/2/2021 22H,647
04/2/2021 21H,634
04/2/2021 20H,599
04/2/2021 19H,499
04/2/2021 18H,474
04/2/2021 17H,463
04/2/2021 16H,558
04/2/2021 15H,887
04/2/2021 14H,910
04/2/2021 13H,734
04/2/2021 12H,531
04/2/2021 11H,546
04/2/2021 10H,493
04/2/2021 09H,623
04/2/2021 08H,703
04/2/2021 07H,987
04/2/2021 06H,1271
04/2/2021 05H,1276
04/2/2021 04H,1281
04/2/2021 03H,1321
04/2/2021 02H,1250
04/2/2021 01H,945
04/2/2021 00H,680
04/1/2021 23H,537
04/1/2021 22H,474
04/1/2021 21H,483
04/1/2021 20H,496
04/1/2021 19H,447
04/1/2021 18H,408
04/1/2021 17H,407
04/1/2021 16H,511
04/1/2021 15H,813
04/1/2021 14H,964
04/1/2021 13H,741
04/1/2021 12H,505
04/1/2021 11H,497
04/1/2021 10H,580
04/1/2021 09H,649
04/1/2021 08H,730
04/1/2021 07H,759
04/1/2021 06H,1183
04/1/2021 05H,1331
04/1/2021 04H,1461
04/1/2021 03H,1457
04/1/2021 02H,1419
04/1/2021 01H,1050
04/1/2021 00H,609
03/31/2021 23H,557
03/31/2021 22H,618
03/31/2021 21H,472
03/31/2021 20H,460
03/31/2021 19H,351
03/31/2021 18H,362
03/31/2021 17H,540
03/31/2021 16H,625
03/31/2021 15H,938
03/31/2021 14H,1168
03/31/2021 13H,735
03/31/2021 12H,602
03/31/2021 11H,579
03/31/2021 10H,575
03/31/2021 09H,632
03/31/2021 08H,609
03/31/2021 07H,826
03/31/2021 06H,978
03/31/2021 05H,1273
03/31/2021 04H,1294
03/31/2021 03H,1381
03/31/2021 02H,1450
03/31/2021 01H,854
03/31/2021 00H,517
03/30/2021 23H,427
03/30/2021 22H,405
03/30/2021 21H,382
03/30/2021 20H,401
03/30/2021 19H,421
03/30/2021 18H,517
03/30/2021 17H,449
03/30/2021 16H,531
03/30/2021 15H,1038
03/30/2021 14H,1172
03/30/2021 13H,670
03/30/2021 12H,493
03/30/2021 11H,465
03/30/2021 10H,464
03/30/2021 09H,603
03/30/2021 08H,613
03/30/2021 07H,847
03/30/2021 06H,981
03/30/2021 05H,1115
03/30/2021 04H,1196
03/30/2021 03H,1218
03/30/2021 02H,1119
03/30/2021 01H,959
03/30/2021 00H,646
03/29/2021 23H,592
03/29/2021 22H,507
03/29/2021 21H,459
03/29/2021 20H,400
03/29/2021 19H,436
03/29/2021 18H,559
03/29/2021 17H,488
03/29/2021 16H,556
03/29/2021 15H,904
03/29/2021 14H,1118
03/29/2021 13H,673
03/29/2021 12H,477
03/29/2021 11H,478
03/29/2021 10H,479
03/29/2021 09H,558
03/29/2021 08H,622
03/29/2021 07H,744
03/29/2021 06H,944
03/29/2021 05H,1195
03/29/2021 04H,1329
03/29/2021 03H,1440
03/29/2021 02H,1334
03/29/2021 01H,809
03/29/2021 00H,699
03/28/2021 23H,526
03/28/2021 22H,410
03/28/2021 21H,311
03/28/2021 20H,331
03/28/2021 19H,343
03/28/2021 18H,461
03/28/2021 17H,252
03/28/2021 16H,452
03/28/2021 15H,574
03/28/2021 14H,1135
03/28/2021 13H,781
03/28/2021 12H,532
03/28/2021 11H,509
03/28/2021 10H,522
03/28/2021 09H,590
03/28/2021 08H,606
03/28/2021 07H,728
03/28/2021 06H,969
03/28/2021 05H,1357
03/28/2021 04H,1553
03/28/2021 03H,1392
03/28/2021 02H,971
03/28/2021 01H,759
03/28/2021 00H,596
03/27/2021 23H,599
03/27/2021 22H,412
03/27/2021 21H,250
03/27/2021 20H,207
03/27/2021 19H,346
03/27/2021 18H,345
03/27/2021 17H,319
03/27/2021 16H,583
03/27/2021 15H,966
03/27/2021 14H,1077
03/27/2021 13H,768
03/27/2021 12H,598
03/27/2021 11H,583
03/27/2021 10H,583
03/27/2021 09H,576
03/27/2021 08H,677
03/27/2021 07H,968
03/27/2021 06H,1343
03/27/2021 05H,1557
03/27/2021 04H,1485
03/27/2021 03H,1334
03/27/2021 02H,1280
03/27/2021 01H,947
03/27/2021 00H,361
03/26/2021 23H,178
03/26/2021 22H,162
03/26/2021 21H,318
03/26/2021 20H,377
03/26/2021 19H,444
03/26/2021 18H,462
03/26/2021 17H,569
03/26/2021 16H,721
03/26/2021 15H,1364
03/26/2021 14H,1277
03/26/2021 13H,820
03/26/2021 12H,561
03/26/2021 11H,451
03/26/2021 10H,449
03/26/2021 09H,509
03/26/2021 08H,560
