Net generation from nuclear for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.NUC.H
19:21:53 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.NUC.H megawatthours
11/15/2021 00H,3968
11/14/2021 23H,3975
11/14/2021 22H,3977
11/14/2021 21H,3975
11/14/2021 20H,3972
11/14/2021 19H,3975
11/14/2021 18H,3983
11/14/2021 17H,3983
11/14/2021 16H,3962
11/14/2021 15H,3958
11/14/2021 14H,3936
11/14/2021 13H,3910
11/14/2021 12H,3878
11/14/2021 11H,3848
11/14/2021 10H,3822
11/14/2021 09H,3790
11/14/2021 08H,3763
11/14/2021 07H,3733
11/14/2021 06H,3704
11/14/2021 05H,3663
11/14/2021 04H,3632
11/14/2021 03H,3601
11/14/2021 02H,3576
11/14/2021 01H,3555
11/14/2021 00H,3531
11/13/2021 23H,3517
11/13/2021 22H,3517
11/13/2021 21H,3516
11/13/2021 20H,3520
11/13/2021 19H,3517
11/13/2021 18H,3520
11/13/2021 17H,3528
11/13/2021 16H,3528
11/13/2021 15H,3524
11/13/2021 14H,3530
11/13/2021 13H,3530
11/13/2021 12H,3518
11/13/2021 11H,3518
11/13/2021 10H,3478
11/13/2021 09H,3443
11/13/2021 08H,3397
11/13/2021 07H,3363
11/13/2021 06H,3326
11/13/2021 05H,3287
11/13/2021 04H,3254
11/13/2021 03H,3226
11/13/2021 02H,3153
11/13/2021 01H,3029
11/13/2021 00H,2913
11/12/2021 23H,2826
11/12/2021 22H,2789
11/12/2021 21H,2787
11/12/2021 20H,2789
11/12/2021 19H,2794
11/12/2021 18H,2792
11/12/2021 17H,2798
11/12/2021 16H,2800
11/12/2021 15H,2811
11/12/2021 14H,2806
11/12/2021 13H,2793
11/12/2021 12H,2781
11/12/2021 11H,2781
11/12/2021 10H,2752
11/12/2021 09H,2709
11/12/2021 08H,2637
11/12/2021 07H,2634
11/12/2021 06H,2671
11/12/2021 05H,2747
11/12/2021 04H,2738
11/12/2021 03H,2748
11/12/2021 02H,2747
11/12/2021 01H,2738
11/12/2021 00H,2661
11/11/2021 23H,2630
11/11/2021 22H,2632
11/11/2021 21H,2634
11/11/2021 20H,2632
11/11/2021 19H,2634
11/11/2021 18H,2638
11/11/2021 17H,2636
11/11/2021 16H,2640
11/11/2021 15H,2642
11/11/2021 14H,2637
11/11/2021 13H,2642
11/11/2021 12H,2635
11/11/2021 11H,2634
11/11/2021 10H,2637
11/11/2021 09H,2636
11/11/2021 08H,2637
11/11/2021 07H,2633
11/11/2021 06H,2634
11/11/2021 05H,2631
11/11/2021 04H,2629
11/11/2021 03H,2627
11/11/2021 02H,2625
11/11/2021 01H,2623
11/11/2021 00H,2624
11/10/2021 23H,2629
11/10/2021 22H,2632
11/10/2021 21H,2635
11/10/2021 20H,2634
11/10/2021 19H,2635
11/10/2021 18H,2642
11/10/2021 17H,2643
11/10/2021 16H,2645
11/10/2021 15H,2645
11/10/2021 14H,2645
11/10/2021 13H,2643
11/10/2021 12H,2641
11/10/2021 11H,2642
11/10/2021 10H,2639
11/10/2021 09H,2641
11/10/2021 08H,2639
11/10/2021 07H,2638
11/10/2021 06H,2637
11/10/2021 05H,2627
11/10/2021 04H,2629
11/10/2021 03H,2629
11/10/2021 02H,2628
11/10/2021 01H,2629
11/10/2021 00H,2628
11/9/2021 23H,2631
11/9/2021 22H,2632
11/9/2021 21H,2633
11/9/2021 20H,2630
11/9/2021 19H,2635
11/9/2021 18H,2632
11/9/2021 17H,2638
11/9/2021 16H,2640
11/9/2021 15H,2643
11/9/2021 14H,2641
11/9/2021 13H,2642
11/9/2021 12H,2645
11/9/2021 11H,2642
11/9/2021 10H,2639
11/9/2021 09H,2640
11/9/2021 08H,2637
11/9/2021 07H,2638
11/9/2021 06H,2635
11/9/2021 05H,2633
11/9/2021 04H,2631
11/9/2021 03H,2629
11/9/2021 02H,2629
11/9/2021 01H,2629
11/9/2021 00H,2629
11/8/2021 23H,2631
11/8/2021 22H,2633
11/8/2021 21H,2634
11/8/2021 20H,2636
11/8/2021 19H,2635
11/8/2021 18H,2640
11/8/2021 17H,2641
11/8/2021 16H,2641
11/8/2021 15H,2644
11/8/2021 14H,2644
11/8/2021 13H,2645
11/8/2021 12H,2642
11/8/2021 11H,2637
11/8/2021 10H,2640
11/8/2021 09H,2637
11/8/2021 08H,2637
11/8/2021 07H,2638
11/8/2021 06H,2633
11/8/2021 05H,2633
11/8/2021 04H,2631
11/8/2021 03H,2632
11/8/2021 02H,2638
11/8/2021 01H,2638
11/8/2021 00H,2640
11/7/2021 23H,2638
11/7/2021 22H,2640
11/7/2021 21H,2639
11/7/2021 20H,2638
11/7/2021 19H,2644
11/7/2021 18H,2648
11/7/2021 17H,2650
11/7/2021 16H,2654
11/7/2021 15H,2649
11/7/2021 14H,2651
11/7/2021 13H,2653
11/7/2021 12H,2650
11/7/2021 11H,2645
11/7/2021 10H,2647
11/7/2021 09H,2645
11/7/2021 08H,2645
11/7/2021 07H,2645
11/7/2021 06H,2643
11/7/2021 05H,2641
11/7/2021 04H,2638
11/7/2021 03H,2637
11/7/2021 02H,2634
11/7/2021 01H,2634
11/7/2021 00H,2633
11/6/2021 23H,2633
11/6/2021 22H,2635
11/6/2021 21H,2632
11/6/2021 20H,2635
11/6/2021 19H,2633
11/6/2021 18H,2639
11/6/2021 17H,2645
11/6/2021 16H,2648
11/6/2021 15H,2650
11/6/2021 14H,2653
11/6/2021 13H,2650
11/6/2021 12H,2650
11/6/2021 11H,2646
11/6/2021 10H,2644
11/6/2021 09H,2647
11/6/2021 08H,2646
11/6/2021 07H,2648
11/6/2021 06H,2653
11/6/2021 05H,2653
11/6/2021 04H,2651
11/6/2021 03H,2649
11/6/2021 02H,2647
11/6/2021 01H,2649
11/6/2021 00H,2650
11/5/2021 23H,2652
11/5/2021 22H,2651
11/5/2021 21H,2651
11/5/2021 20H,2651
11/5/2021 19H,2648
11/5/2021 18H,2654
11/5/2021 17H,2661
11/5/2021 16H,2664
11/5/2021 15H,2664
11/5/2021 14H,2664
11/5/2021 13H,2662
11/5/2021 12H,2663
