Net generation from natural gas for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.NG.H
19:21:47 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.NG.H megawatthours
11/15/2021 20H,3319
11/15/2021 19H,3219
11/15/2021 18H,3127
11/15/2021 17H,3184
11/15/2021 16H,3913
11/15/2021 15H,4406
11/15/2021 14H,4530
11/15/2021 13H,4122
11/15/2021 12H,3820
11/15/2021 11H,3694
11/15/2021 10H,3783
11/15/2021 09H,3834
11/15/2021 08H,3901
11/15/2021 07H,4101
11/15/2021 06H,4489
11/15/2021 05H,4841
11/15/2021 04H,5180
11/15/2021 03H,5782
11/15/2021 02H,5997
11/15/2021 01H,5910
11/15/2021 00H,4907
11/14/2021 23H,3899
11/14/2021 22H,3519
11/14/2021 21H,3303
11/14/2021 20H,3148
11/14/2021 19H,3127
11/14/2021 18H,3104
11/14/2021 17H,3295
11/14/2021 16H,3515
11/14/2021 15H,3750
11/14/2021 14H,3722
11/14/2021 13H,3624
11/14/2021 12H,3515
11/14/2021 11H,3538
11/14/2021 10H,3720
11/14/2021 09H,4023
11/14/2021 08H,4370
11/14/2021 07H,4929
11/14/2021 06H,5242
11/14/2021 05H,5646
11/14/2021 04H,5903
11/14/2021 03H,6068
11/14/2021 02H,6470
11/14/2021 01H,6417
11/14/2021 00H,5665
11/13/2021 23H,4614
11/13/2021 22H,3947
11/13/2021 21H,3631
11/13/2021 20H,3467
11/13/2021 19H,3349
11/13/2021 18H,3401
11/13/2021 17H,3253
11/13/2021 16H,3493
11/13/2021 15H,3998
11/13/2021 14H,4289
11/13/2021 13H,4240
11/13/2021 12H,4163
11/13/2021 11H,4057
11/13/2021 10H,3912
11/13/2021 09H,4191
11/13/2021 08H,4674
11/13/2021 07H,5067
11/13/2021 06H,5403
11/13/2021 05H,5685
11/13/2021 04H,5930
11/13/2021 03H,6300
11/13/2021 02H,6956
11/13/2021 01H,7039
11/13/2021 00H,6453
11/12/2021 23H,5140
11/12/2021 22H,4707
11/12/2021 21H,4372
11/12/2021 20H,4207
11/12/2021 19H,4070
11/12/2021 18H,3936
11/12/2021 17H,4007
11/12/2021 16H,4485
11/12/2021 15H,4956
11/12/2021 14H,4896
11/12/2021 13H,4537
11/12/2021 12H,4445
11/12/2021 11H,4367
11/12/2021 10H,4386
11/12/2021 09H,4692
11/12/2021 08H,4925
11/12/2021 07H,5121
11/12/2021 06H,5443
11/12/2021 05H,5885
11/12/2021 04H,5966
11/12/2021 03H,5926
11/12/2021 02H,6259
11/12/2021 01H,6035
11/12/2021 00H,5289
11/11/2021 23H,4544
11/11/2021 22H,4421
11/11/2021 21H,4475
11/11/2021 20H,4232
11/11/2021 19H,4099
11/11/2021 18H,4032
11/11/2021 17H,3867
11/11/2021 16H,4435
11/11/2021 15H,4817
11/11/2021 14H,4761
11/11/2021 13H,4488
11/11/2021 12H,4657
11/11/2021 11H,4590
11/11/2021 10H,4436
11/11/2021 09H,4500
11/11/2021 08H,4633
11/11/2021 07H,4725
11/11/2021 06H,4867
11/11/2021 05H,5291
11/11/2021 04H,5649
11/11/2021 03H,5703
11/11/2021 02H,5910
11/11/2021 01H,5739
11/11/2021 00H,4907
11/10/2021 23H,3687
11/10/2021 22H,3500
11/10/2021 21H,3442
11/10/2021 20H,3339
11/10/2021 19H,3270
11/10/2021 18H,3228
11/10/2021 17H,3144
11/10/2021 16H,3500
11/10/2021 15H,4213
11/10/2021 14H,3952
11/10/2021 13H,3919
11/10/2021 12H,3795
11/10/2021 11H,3817
11/10/2021 10H,3598
11/10/2021 09H,4004
11/10/2021 08H,4235
11/10/2021 07H,4522
11/10/2021 06H,4453
11/10/2021 05H,4884
11/10/2021 04H,5342
11/10/2021 03H,5821
11/10/2021 02H,5966
11/10/2021 01H,5834
11/10/2021 00H,4963
11/9/2021 23H,4252
11/9/2021 22H,4021
11/9/2021 21H,3847
11/9/2021 20H,3885
11/9/2021 19H,3922
11/9/2021 18H,3886
11/9/2021 17H,3958
11/9/2021 16H,4266
11/9/2021 15H,4804
11/9/2021 14H,4614
11/9/2021 13H,4360
11/9/2021 12H,3923
11/9/2021 11H,3825
11/9/2021 10H,3829
11/9/2021 09H,4108
11/9/2021 08H,4400
11/9/2021 07H,4673
11/9/2021 06H,4859
11/9/2021 05H,5279
11/9/2021 04H,5806
11/9/2021 03H,6055
11/9/2021 02H,6460
11/9/2021 01H,6398
11/9/2021 00H,5529
11/8/2021 23H,4512
11/8/2021 22H,4015
11/8/2021 21H,3664
11/8/2021 20H,3399
11/8/2021 19H,3465
11/8/2021 18H,3547
11/8/2021 17H,3560
11/8/2021 16H,3809
11/8/2021 15H,4255
11/8/2021 14H,4387
11/8/2021 13H,4213
11/8/2021 12H,3947
11/8/2021 11H,3768
11/8/2021 10H,3848
11/8/2021 09H,3800
11/8/2021 08H,4108
11/8/2021 07H,4274
