Net generation from natural gas for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.NG.H
19:20:20 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.NG.H megawatthours
06/14/2021 04H,15209
06/14/2021 03H,16751
06/14/2021 02H,18743
06/14/2021 01H,19597
06/14/2021 00H,20196
06/13/2021 23H,20817
06/13/2021 22H,21000
06/13/2021 21H,20920
06/13/2021 20H,20945
06/13/2021 19H,20548
06/13/2021 18H,19629
06/13/2021 17H,17994
06/13/2021 16H,16550
06/13/2021 15H,15152
06/13/2021 14H,13200
06/13/2021 13H,11530
06/13/2021 12H,10399
06/13/2021 11H,9799
06/13/2021 10H,9853
06/13/2021 09H,9942
06/13/2021 08H,10424
06/13/2021 07H,11229
06/13/2021 06H,11962
06/13/2021 05H,13317
06/13/2021 04H,14800
06/13/2021 03H,16517
06/13/2021 02H,18259
06/13/2021 01H,19607
06/13/2021 00H,20268
06/12/2021 23H,21018
06/12/2021 22H,21545
06/12/2021 21H,21675
06/12/2021 20H,21406
06/12/2021 19H,20953
06/12/2021 18H,20587
06/12/2021 17H,19638
06/12/2021 16H,18010
06/12/2021 15H,16195
06/12/2021 14H,14779
06/12/2021 13H,13296
06/12/2021 12H,12240
06/12/2021 11H,11717
06/12/2021 10H,11554
06/12/2021 09H,11443
06/12/2021 08H,11562
06/12/2021 07H,11661
06/12/2021 06H,12266
06/12/2021 05H,13654
06/12/2021 04H,15034
06/12/2021 03H,16683
06/12/2021 02H,17481
06/12/2021 01H,17574
06/12/2021 00H,17943
06/11/2021 23H,18736
06/11/2021 22H,18832
06/11/2021 21H,19696
06/11/2021 20H,20185
06/11/2021 19H,20250
06/11/2021 18H,19802
06/11/2021 17H,18956
06/11/2021 16H,17846
06/11/2021 15H,16684
06/11/2021 14H,15201
06/11/2021 13H,13821
06/11/2021 12H,13050
06/11/2021 11H,12330
06/11/2021 10H,11870
06/11/2021 09H,11777
06/11/2021 08H,11814
06/11/2021 07H,11940
06/11/2021 06H,12397
06/11/2021 05H,13333
06/11/2021 04H,15062
06/11/2021 03H,16918
06/11/2021 02H,18260
06/11/2021 01H,18596
06/11/2021 00H,19005
06/10/2021 23H,19343
06/10/2021 22H,19743
06/10/2021 21H,19761
06/10/2021 20H,20000
06/10/2021 19H,19622
06/10/2021 18H,18924
06/10/2021 17H,17876
06/10/2021 16H,16933
06/10/2021 15H,15857
06/10/2021 14H,13996
06/10/2021 13H,12593
06/10/2021 12H,12421
06/10/2021 11H,11530
06/10/2021 10H,11171
06/10/2021 09H,11077
06/10/2021 08H,11128
06/10/2021 07H,11423
06/10/2021 06H,11639
06/10/2021 05H,12652
06/10/2021 04H,14723
06/10/2021 03H,16812
06/10/2021 02H,18487
06/10/2021 01H,19117
06/10/2021 00H,19495
06/9/2021 23H,20044
06/9/2021 22H,20437
06/9/2021 21H,20975
06/9/2021 20H,21444
06/9/2021 19H,21406
06/9/2021 18H,21051
06/9/2021 17H,19513
06/9/2021 16H,17530
06/9/2021 15H,15796
06/9/2021 14H,14220
06/9/2021 13H,13451
06/9/2021 12H,13278
06/9/2021 11H,12262
06/9/2021 10H,11673
06/9/2021 09H,11407
06/9/2021 08H,11274
06/9/2021 07H,11570
06/9/2021 06H,12245
06/9/2021 05H,12730
06/9/2021 04H,14590
06/9/2021 03H,16526
06/9/2021 02H,18322
06/9/2021 01H,19577
06/9/2021 00H,19989
06/8/2021 23H,20341
06/8/2021 22H,21097
06/8/2021 21H,21515
06/8/2021 20H,21155
06/8/2021 19H,20214
06/8/2021 18H,18988
06/8/2021 17H,18042
06/8/2021 16H,17240
06/8/2021 15H,16507
06/8/2021 14H,15234
06/8/2021 13H,14532
06/8/2021 12H,13756
06/8/2021 11H,12916
06/8/2021 10H,12104
06/8/2021 09H,11685
06/8/2021 08H,11541
06/8/2021 07H,11727
06/8/2021 06H,12348
06/8/2021 05H,12978
06/8/2021 04H,14547
06/8/2021 03H,16674
06/8/2021 02H,18150
06/8/2021 01H,18666
06/8/2021 00H,19512
06/7/2021 23H,20094
06/7/2021 22H,20514
06/7/2021 21H,20823
06/7/2021 20H,20725
06/7/2021 19H,19909
06/7/2021 18H,19062
06/7/2021 17H,17841
06/7/2021 16H,16711
06/7/2021 15H,15648
06/7/2021 14H,14748
06/7/2021 13H,13459
06/7/2021 12H,12262
06/7/2021 11H,10994
06/7/2021 10H,10437
06/7/2021 09H,9940
06/7/2021 08H,9660
06/7/2021 07H,9867
06/7/2021 06H,10658
06/7/2021 05H,11409
06/7/2021 04H,12635
06/7/2021 03H,15421
06/7/2021 02H,16854
06/7/2021 01H,17353
06/7/2021 00H,17809
06/6/2021 23H,17800
06/6/2021 22H,17942
06/6/2021 21H,17651
06/6/2021 20H,17187
06/6/2021 19H,17242
06/6/2021 18H,16909
06/6/2021 17H,16372
06/6/2021 16H,15804
06/6/2021 15H,14397
06/6/2021 14H,13127
06/6/2021 13H,11734
06/6/2021 12H,10588
06/6/2021 11H,9998
06/6/2021 10H,9661
06/6/2021 09H,9781
06/6/2021 08H,9913
06/6/2021 07H,10265
06/6/2021 06H,10591
06/6/2021 05H,11743
06/6/2021 04H,13763
06/6/2021 03H,15535
06/6/2021 02H,16662
06/6/2021 01H,16970
06/6/2021 00H,17393
06/5/2021 23H,17802
06/5/2021 22H,18219
06/5/2021 21H,18555
06/5/2021 20H,18708
06/5/2021 19H,18555
06/5/2021 18H,18062
06/5/2021 17H,17106
06/5/2021 16H,15952
06/5/2021 15H,14439
06/5/2021 14H,12318
06/5/2021 13H,11047
06/5/2021 12H,10307
06/5/2021 11H,9734
06/5/2021 10H,9516
06/5/2021 09H,9727
06/5/2021 08H,10117
06/5/2021 07H,10948
06/5/2021 06H,11179
06/5/2021 05H,12511
06/5/2021 04H,14029
06/5/2021 03H,15934
06/5/2021 02H,17520
06/5/2021 01H,17875
06/5/2021 00H,18207
06/4/2021 23H,18750
06/4/2021 22H,18975
06/4/2021 21H,19046
06/4/2021 20H,19249
06/4/2021 19H,19341
06/4/2021 18H,18722
06/4/2021 17H,17932
06/4/2021 16H,16485
06/4/2021 15H,15434
06/4/2021 14H,13970
06/4/2021 13H,12752
06/4/2021 12H,11223
06/4/2021 11H,10585
06/4/2021 10H,10565
06/4/2021 09H,10266
06/4/2021 08H,9960
06/4/2021 07H,10337
06/4/2021 06H,10689
06/4/2021 05H,11351
06/4/2021 04H,13041
06/4/2021 03H,15353
06/4/2021 02H,16469
06/4/2021 01H,16752
06/4/2021 00H,17041
06/3/2021 23H,17183
06/3/2021 22H,17702
06/3/2021 21H,18018
06/3/2021 20H,18224
06/3/2021 19H,18169
06/3/2021 18H,17651
06/3/2021 17H,16916
06/3/2021 16H,15590
06/3/2021 15H,14994
06/3/2021 14H,14291
06/3/2021 13H,13011
06/3/2021 12H,11721
06/3/2021 11H,11195
06/3/2021 10H,10214
06/3/2021 09H,9856
06/3/2021 08H,9898
06/3/2021 07H,10637
06/3/2021 06H,11161
06/3/2021 05H,11940
06/3/2021 04H,13952
06/3/2021 03H,15494
06/3/2021 02H,16317
06/3/2021 01H,16477
06/3/2021 00H,16765
06/2/2021 23H,17130
06/2/2021 22H,17083
06/2/2021 21H,17060
06/2/2021 20H,17145
06/2/2021 19H,16664
06/2/2021 18H,16167
06/2/2021 17H,15373
06/2/2021 16H,14369
06/2/2021 15H,13659
06/2/2021 14H,12516
06/2/2021 13H,12162
06/2/2021 12H,11268
06/2/2021 11H,10622
06/2/2021 10H,10134
06/2/2021 09H,9873
06/2/2021 08H,10195
06/2/2021 07H,10779
06/2/2021 06H,11428
06/2/2021 05H,12109
06/2/2021 04H,13954
06/2/2021 03H,16322
06/2/2021 02H,17467
06/2/2021 01H,17662
06/2/2021 00H,17809
06/1/2021 23H,17933
06/1/2021 22H,18137
06/1/2021 21H,18159
06/1/2021 20H,17843
06/1/2021 19H,17361
06/1/2021 18H,16509
06/1/2021 17H,15276
06/1/2021 16H,13906
06/1/2021 15H,12691
06/1/2021 14H,11519
06/1/2021 13H,10904
06/1/2021 12H,10377
06/1/2021 11H,9680
06/1/2021 10H,9265
06/1/2021 09H,9047
06/1/2021 08H,9384
06/1/2021 07H,9731
06/1/2021 06H,10113
06/1/2021 05H,10894
06/1/2021 04H,12204
06/1/2021 03H,13899
06/1/2021 02H,14986
06/1/2021 01H,15290
06/1/2021 00H,15447
05/31/2021 23H,15431
05/31/2021 22H,15337
05/31/2021 21H,14942
05/31/2021 20H,14337
05/31/2021 19H,13894
05/31/2021 18H,13175
05/31/2021 17H,12145
05/31/2021 16H,10722
05/31/2021 15H,9197
05/31/2021 14H,8262
05/31/2021 13H,7901
05/31/2021 12H,8108
05/31/2021 11H,7857
05/31/2021 10H,7777
05/31/2021 09H,7292
05/31/2021 08H,7357
05/31/2021 07H,7464
05/31/2021 06H,7719
05/31/2021 05H,9273
05/31/2021 04H,10823
05/31/2021 03H,11986
05/31/2021 02H,12890
05/31/2021 01H,13568
05/31/2021 00H,13841
05/30/2021 23H,13624
05/30/2021 22H,13449
05/30/2021 21H,13232
05/30/2021 20H,12810
05/30/2021 19H,12309
05/30/2021 18H,11670
05/30/2021 17H,10830
05/30/2021 16H,10052
05/30/2021 15H,9163
05/30/2021 14H,8139
05/30/2021 13H,8015
05/30/2021 12H,7820
05/30/2021 11H,7838
05/30/2021 10H,7733
05/30/2021 09H,7788
05/30/2021 08H,7922
05/30/2021 07H,8048
05/30/2021 06H,8700
05/30/2021 05H,9873
05/30/2021 04H,11174
05/30/2021 03H,12762
05/30/2021 02H,13979
05/30/2021 01H,13769
05/30/2021 00H,13968
05/29/2021 23H,13964
05/29/2021 22H,14299
05/29/2021 21H,14294
05/29/2021 20H,14144
05/29/2021 19H,14094
05/29/2021 18H,13846
05/29/2021 17H,13337
05/29/2021 16H,12452
05/29/2021 15H,11780
05/29/2021 14H,10708
05/29/2021 13H,10226
05/29/2021 12H,9755
05/29/2021 11H,9809
05/29/2021 10H,9793
05/29/2021 09H,9945
05/29/2021 08H,10089
05/29/2021 07H,10373
05/29/2021 06H,11027
05/29/2021 05H,12245
05/29/2021 04H,14738
05/29/2021 03H,16401
05/29/2021 02H,17701
05/29/2021 01H,18223
05/29/2021 00H,18482
05/28/2021 23H,18516
05/28/2021 22H,18845
05/28/2021 21H,19183
05/28/2021 20H,19634
05/28/2021 19H,19793
05/28/2021 18H,19640
05/28/2021 17H,18800
05/28/2021 16H,17945
05/28/2021 15H,16783
05/28/2021 14H,15266
05/28/2021 13H,13652
05/28/2021 12H,12651
05/28/2021 11H,12153
05/28/2021 10H,11498
05/28/2021 09H,11442
05/28/2021 08H,11589
05/28/2021 07H,11983
05/28/2021 06H,12614
05/28/2021 05H,13521
05/28/2021 04H,15693
05/28/2021 03H,17678
05/28/2021 02H,19304
05/28/2021 01H,19936
05/28/2021 00H,20210
05/27/2021 23H,20096
05/27/2021 22H,20332
05/27/2021 21H,20345
05/27/2021 20H,20398
05/27/2021 19H,20157
05/27/2021 18H,19632
05/27/2021 17H,18493
05/27/2021 16H,17558
05/27/2021 15H,16104
05/27/2021 14H,14143
05/27/2021 13H,13386
05/27/2021 12H,12505
05/27/2021 11H,11564
05/27/2021 10H,10924
05/27/2021 09H,10841
05/27/2021 08H,11027
05/27/2021 07H,11400
05/27/2021 06H,12422
05/27/2021 05H,13353
05/27/2021 04H,15572
05/27/2021 03H,17327
05/27/2021 02H,18932
05/27/2021 01H,19941
05/27/2021 00H,20488
05/26/2021 23H,20672
05/26/2021 22H,20964
05/26/2021 21H,20646
05/26/2021 20H,20784
05/26/2021 19H,20759
05/26/2021 18H,20328
05/26/2021 17H,19745
05/26/2021 16H,18139
05/26/2021 15H,16140
05/26/2021 14H,14188
05/26/2021 13H,13242
05/26/2021 12H,12569
05/26/2021 11H,11564
05/26/2021 10H,10624
05/26/2021 09H,10433
05/26/2021 08H,10784
05/26/2021 07H,11489
05/26/2021 06H,11995
05/26/2021 05H,12749
05/26/2021 04H,14959
05/26/2021 03H,17472
05/26/2021 02H,19882
05/26/2021 01H,20743
05/26/2021 00H,21467
05/25/2021 23H,21736
05/25/2021 22H,21929
05/25/2021 21H,22069
05/25/2021 20H,22305
05/25/2021 19H,21894
05/25/2021 18H,21281
05/25/2021 17H,19973
05/25/2021 16H,17821
05/25/2021 15H,16154
05/25/2021 14H,14202
05/25/2021 13H,13252
05/25/2021 12H,12472
05/25/2021 11H,11320
05/25/2021 10H,10461
05/25/2021 09H,9982
05/25/2021 08H,10356
05/25/2021 07H,11119
05/25/2021 06H,11849
05/25/2021 05H,12828
05/25/2021 04H,14954
05/25/2021 03H,17475
05/25/2021 02H,19492
05/25/2021 01H,19981
05/25/2021 00H,20769
05/24/2021 23H,21124
05/24/2021 22H,21457
05/24/2021 21H,21629
05/24/2021 20H,21833
05/24/2021 19H,21403
05/24/2021 18H,20208
05/24/2021 17H,18117
05/24/2021 16H,16536
05/24/2021 15H,14942
05/24/2021 14H,13347
05/24/2021 13H,12219
05/24/2021 12H,11042
05/24/2021 11H,10127
05/24/2021 10H,9054
05/24/2021 09H,8920
05/24/2021 08H,9186
05/24/2021 07H,9537
05/24/2021 06H,10018
05/24/2021 05H,11288
05/24/2021 04H,13592
05/24/2021 03H,15384
05/24/2021 02H,16902
05/24/2021 01H,18227
05/24/2021 00H,19176
05/23/2021 23H,19257
05/23/2021 22H,18923
05/23/2021 21H,18531
05/23/2021 20H,18345
05/23/2021 19H,17731
05/23/2021 18H,16558
05/23/2021 17H,15008
05/23/2021 16H,13128
05/23/2021 15H,11159
05/23/2021 14H,9386
05/23/2021 13H,8435
05/23/2021 12H,8155
05/23/2021 11H,8484
05/23/2021 10H,8622
05/23/2021 09H,8768
05/23/2021 08H,9159
05/23/2021 07H,9421
05/23/2021 06H,9799
05/23/2021 05H,11441
05/23/2021 04H,13424
05/23/2021 03H,15220
05/23/2021 02H,16454
05/23/2021 01H,16625
05/23/2021 00H,17318
05/22/2021 23H,17909
05/22/2021 22H,18315
05/22/2021 21H,18182
05/22/2021 20H,17361
05/22/2021 19H,16484
05/22/2021 18H,15753
05/22/2021 17H,14718
05/22/2021 16H,13561
05/22/2021 15H,12037
05/22/2021 14H,10550
05/22/2021 13H,10051
05/22/2021 12H,9675
05/22/2021 11H,9675
05/22/2021 10H,9519
05/22/2021 09H,9812
05/22/2021 08H,10062
05/22/2021 07H,10368
05/22/2021 06H,10996
05/22/2021 05H,12155
05/22/2021 04H,14135
05/22/2021 03H,16084
05/22/2021 02H,17235
05/22/2021 01H,17341
05/22/2021 00H,17835
05/21/2021 23H,17713
05/21/2021 22H,17924
05/21/2021 21H,17938
05/21/2021 20H,18035
05/21/2021 19H,18046
05/21/2021 18H,17018
05/21/2021 17H,15778
05/21/2021 16H,14339
05/21/2021 15H,12980
05/21/2021 14H,12080
05/21/2021 13H,11533
05/21/2021 12H,11388
05/21/2021 11H,10908
05/21/2021 10H,10022
05/21/2021 09H,9566
05/21/2021 08H,9843
05/21/2021 07H,10822
05/21/2021 06H,11454
05/21/2021 05H,12376
05/21/2021 04H,13903
05/21/2021 03H,16007
05/21/2021 02H,17402
05/21/2021 01H,17943
05/21/2021 00H,18100
05/20/2021 23H,18134
05/20/2021 22H,18329
05/20/2021 21H,18593
05/20/2021 20H,18661
05/20/2021 19H,17733
05/20/2021 18H,16770
05/20/2021 17H,16057
05/20/2021 16H,14852
05/20/2021 15H,13440
05/20/2021 14H,12334
05/20/2021 13H,11588
05/20/2021 12H,11209
05/20/2021 11H,11026
05/20/2021 10H,10742
05/20/2021 09H,10147
05/20/2021 08H,10395
05/20/2021 07H,10981
05/20/2021 06H,11576
05/20/2021 05H,11961
05/20/2021 04H,13321
05/20/2021 03H,15026
05/20/2021 02H,16339
05/20/2021 01H,16819
05/20/2021 00H,16877
05/19/2021 23H,16731
05/19/2021 22H,16664
05/19/2021 21H,17282
05/19/2021 20H,17412
05/19/2021 19H,17268
05/19/2021 18H,17135
05/19/2021 17H,16426
05/19/2021 16H,15691
05/19/2021 15H,14599
05/19/2021 14H,13583
05/19/2021 13H,12732
05/19/2021 12H,12413
05/19/2021 11H,11696
05/19/2021 10H,10950
05/19/2021 09H,11110
05/19/2021 08H,11182
05/19/2021 07H,11579
05/19/2021 06H,12184
05/19/2021 05H,12208
05/19/2021 04H,13468
05/19/2021 03H,15255
05/19/2021 02H,16219
05/19/2021 01H,16437
05/19/2021 00H,16176
05/18/2021 23H,15784
05/18/2021 22H,15732
05/18/2021 21H,15823
05/18/2021 20H,15986
05/18/2021 19H,15839
05/18/2021 18H,15277
05/18/2021 17H,14432
05/18/2021 16H,13753
05/18/2021 15H,13071
05/18/2021 14H,12530
05/18/2021 13H,12175
05/18/2021 12H,12161
05/18/2021 11H,12037
05/18/2021 10H,10743
05/18/2021 09H,10404
05/18/2021 08H,10684
05/18/2021 07H,10970
05/18/2021 06H,11306
05/18/2021 05H,11929
05/18/2021 04H,13549
05/18/2021 03H,14758
05/18/2021 02H,16035
05/18/2021 01H,16145
05/18/2021 00H,15739
05/17/2021 23H,15724
05/17/2021 22H,15733
05/17/2021 21H,16041
05/17/2021 20H,16272
05/17/2021 19H,15752
05/17/2021 18H,14957
05/17/2021 17H,14149
05/17/2021 16H,13137
05/17/2021 15H,12301
05/17/2021 14H,11632
05/17/2021 13H,10959
05/17/2021 12H,10990
05/17/2021 11H,10261
05/17/2021 10H,9466
05/17/2021 09H,9119
05/17/2021 08H,8947
05/17/2021 07H,9307
05/17/2021 06H,9784
05/17/2021 05H,10069
05/17/2021 04H,11150
05/17/2021 03H,12619
05/17/2021 02H,13778
05/17/2021 01H,14271
05/17/2021 00H,14428
05/16/2021 23H,14335
05/16/2021 22H,13719
05/16/2021 21H,13059
05/16/2021 20H,12418
05/16/2021 19H,11582
05/16/2021 18H,10707
05/16/2021 17H,9602
05/16/2021 16H,8734
05/16/2021 15H,8186
05/16/2021 14H,7640
05/16/2021 13H,7195
05/16/2021 12H,7534
05/16/2021 11H,7781
05/16/2021 10H,7646
05/16/2021 09H,7741
05/16/2021 08H,7500
05/16/2021 07H,7765
05/16/2021 06H,7963
05/16/2021 05H,8915
05/16/2021 04H,9862
05/16/2021 03H,10839
05/16/2021 02H,11738
05/16/2021 01H,12339
05/16/2021 00H,12564
05/15/2021 23H,12267
05/15/2021 22H,12123
05/15/2021 21H,11660
05/15/2021 20H,11044
05/15/2021 19H,10512
05/15/2021 18H,10145
05/15/2021 17H,9902
05/15/2021 16H,9398
05/15/2021 15H,8956
05/15/2021 14H,8550
05/15/2021 13H,8417
05/15/2021 12H,8288
05/15/2021 11H,8323
05/15/2021 10H,8145
05/15/2021 09H,8160
05/15/2021 08H,8295
05/15/2021 07H,8210
05/15/2021 06H,8270
05/15/2021 05H,9280
05/15/2021 04H,10279
05/15/2021 03H,11249
05/15/2021 02H,12070
05/15/2021 01H,12324
05/15/2021 00H,12522
05/14/2021 23H,12295
05/14/2021 22H,12328
05/14/2021 21H,11997
05/14/2021 20H,11634
05/14/2021 19H,11230
05/14/2021 18H,10699
05/14/2021 17H,10430
05/14/2021 16H,10363
05/14/2021 15H,10394
05/14/2021 14H,10178
05/14/2021 13H,10142
05/14/2021 12H,10549
05/14/2021 11H,10157
05/14/2021 10H,9634
05/14/2021 09H,9284
05/14/2021 08H,9208
05/14/2021 07H,9053
05/14/2021 06H,9025
05/14/2021 05H,9823
05/14/2021 04H,10413
05/14/2021 03H,11936
05/14/2021 02H,12859
05/14/2021 01H,12751
05/14/2021 00H,12241
05/13/2021 23H,11785
05/13/2021 22H,11575
05/13/2021 21H,11355
05/13/2021 20H,11333
05/13/2021 19H,11098
05/13/2021 18H,11040
05/13/2021 17H,11007
05/13/2021 16H,11246
05/13/2021 15H,11617
05/13/2021 14H,11956
05/13/2021 13H,12346
05/13/2021 12H,12229
05/13/2021 11H,11721
05/13/2021 10H,10650
05/13/2021 09H,9857
05/13/2021 08H,9643
05/13/2021 07H,9756
05/13/2021 06H,10193
05/13/2021 05H,10775
05/13/2021 04H,11002
05/13/2021 03H,12179
05/13/2021 02H,13259
05/13/2021 01H,13754
05/13/2021 00H,13616
05/12/2021 23H,13499
05/12/2021 22H,13688
05/12/2021 21H,13525
05/12/2021 20H,13183
05/12/2021 19H,13492
05/12/2021 18H,13639
05/12/2021 17H,13790
05/12/2021 16H,13578
05/12/2021 15H,13034
05/12/2021 14H,12486
05/12/2021 13H,11834
05/12/2021 12H,11476
05/12/2021 11H,10885
05/12/2021 10H,10161
05/12/2021 09H,9925
05/12/2021 08H,10060
05/12/2021 07H,10223
05/12/2021 06H,10528
05/12/2021 05H,10786
05/12/2021 04H,11676
05/12/2021 03H,13422
05/12/2021 02H,14778
05/12/2021 01H,14785
05/12/2021 00H,14550
05/11/2021 23H,14528
05/11/2021 22H,14700
05/11/2021 21H,14615
05/11/2021 20H,14825
05/11/2021 19H,15199
05/11/2021 18H,15005
05/11/2021 17H,14180
05/11/2021 16H,13233
05/11/2021 15H,12275
05/11/2021 14H,11587
05/11/2021 13H,11193
05/11/2021 12H,10747
05/11/2021 11H,10232
05/11/2021 10H,9702
05/11/2021 09H,9275
05/11/2021 08H,9360
05/11/2021 07H,9525
05/11/2021 06H,9974
05/11/2021 05H,10130
05/11/2021 04H,11663
05/11/2021 03H,13431
05/11/2021 02H,14816
05/11/2021 01H,15164
05/11/2021 00H,15160
05/10/2021 23H,15188
05/10/2021 22H,15010
05/10/2021 21H,14712
05/10/2021 20H,14565
05/10/2021 19H,14215
05/10/2021 18H,13978
05/10/2021 17H,13709
05/10/2021 16H,13430
05/10/2021 15H,12604
05/10/2021 14H,11930
05/10/2021 13H,11444
05/10/2021 12H,10576
05/10/2021 11H,9625
05/10/2021 10H,9105
05/10/2021 09H,8779
05/10/2021 08H,8441
05/10/2021 07H,8818
05/10/2021 06H,9232
05/10/2021 05H,9496
05/10/2021 04H,10293
05/10/2021 03H,11842
05/10/2021 02H,12936
05/10/2021 01H,13313
05/10/2021 00H,13230
05/9/2021 23H,13073
05/9/2021 22H,13037
05/9/2021 21H,12635
05/9/2021 20H,11762
05/9/2021 19H,10966
05/9/2021 18H,10121
05/9/2021 17H,9064
05/9/2021 16H,8100
05/9/2021 15H,7212
05/9/2021 14H,6624
05/9/2021 13H,6321
05/9/2021 12H,6133
05/9/2021 11H,5922
05/9/2021 10H,5708
05/9/2021 09H,5653
05/9/2021 08H,5655
05/9/2021 07H,5746
05/9/2021 06H,5892
05/9/2021 05H,6500
05/9/2021 04H,7535
05/9/2021 03H,8759
05/9/2021 02H,9409
05/9/2021 01H,9591
05/9/2021 00H,9469
05/8/2021 23H,9342
05/8/2021 22H,9152
05/8/2021 21H,8791
05/8/2021 20H,8365
05/8/2021 19H,8024
05/8/2021 18H,7632
05/8/2021 17H,7071
05/8/2021 16H,6962
05/8/2021 15H,6739
05/8/2021 14H,6438
05/8/2021 13H,6217
05/8/2021 12H,6126
05/8/2021 11H,6379
05/8/2021 10H,6129
05/8/2021 09H,6047
05/8/2021 08H,5869
05/8/2021 07H,6044
05/8/2021 06H,6404
05/8/2021 05H,6728
05/8/2021 04H,7625
05/8/2021 03H,9081
05/8/2021 02H,9699
05/8/2021 01H,9930
05/8/2021 00H,9798
05/7/2021 23H,9571
05/7/2021 22H,9174
05/7/2021 21H,9260
05/7/2021 20H,9163
05/7/2021 19H,9217
05/7/2021 18H,8831
05/7/2021 17H,8379
05/7/2021 16H,8459
05/7/2021 15H,8282
05/7/2021 14H,8153
05/7/2021 13H,8445
05/7/2021 12H,8424
05/7/2021 11H,8149
05/7/2021 10H,7236
05/7/2021 09H,6755
05/7/2021 08H,6539
05/7/2021 07H,6933
05/7/2021 06H,6973
05/7/2021 05H,7601
05/7/2021 04H,8715
05/7/2021 03H,10416
05/7/2021 02H,11949
05/7/2021 01H,12095
05/7/2021 00H,12120
05/6/2021 23H,12038
05/6/2021 22H,12016
05/6/2021 21H,11859
05/6/2021 20H,11439
05/6/2021 19H,11149
05/6/2021 18H,10533
05/6/2021 17H,10046
05/6/2021 16H,10036
05/6/2021 15H,9480
05/6/2021 14H,9268
05/6/2021 13H,9371
05/6/2021 12H,9488
05/6/2021 11H,8803
05/6/2021 10H,8017
05/6/2021 09H,7874
05/6/2021 08H,7893
05/6/2021 07H,7855
05/6/2021 06H,8436
05/6/2021 05H,9138
05/6/2021 04H,10790
05/6/2021 03H,12478
05/6/2021 02H,13439
05/6/2021 01H,13390
05/6/2021 00H,13211
05/5/2021 23H,13047
05/5/2021 22H,12954
05/5/2021 21H,12633
05/5/2021 20H,12636
05/5/2021 19H,12613
05/5/2021 18H,12536
05/5/2021 17H,12186
05/5/2021 16H,11633
05/5/2021 15H,11574
05/5/2021 14H,11254
05/5/2021 13H,10667
05/5/2021 12H,10157
05/5/2021 11H,8924
05/5/2021 10H,8315
05/5/2021 09H,8034
05/5/2021 08H,7757
05/5/2021 07H,7875
05/5/2021 06H,8342
05/5/2021 05H,8689
05/5/2021 04H,10323
05/5/2021 03H,11739
05/5/2021 02H,13139
05/5/2021 01H,13747
05/5/2021 00H,14330
05/4/2021 23H,14599
05/4/2021 22H,14898
05/4/2021 21H,14964
05/4/2021 20H,14850
05/4/2021 19H,15156
05/4/2021 18H,15229
05/4/2021 17H,14350
05/4/2021 16H,14092
05/4/2021 15H,13491
05/4/2021 14H,12680
05/4/2021 13H,12226
05/4/2021 12H,11585
05/4/2021 11H,10607
05/4/2021 10H,9852
05/4/2021 09H,9560
05/4/2021 08H,9479
05/4/2021 07H,9779
05/4/2021 06H,10298
05/4/2021 05H,10801
05/4/2021 04H,11696
05/4/2021 03H,13526
05/4/2021 02H,14655
05/4/2021 01H,14620
05/4/2021 00H,14743
05/3/2021 23H,14804
05/3/2021 22H,15011
05/3/2021 21H,15272
05/3/2021 20H,15043
05/3/2021 19H,14955
05/3/2021 18H,14295
05/3/2021 17H,13608
05/3/2021 16H,13275
05/3/2021 15H,12663
05/3/2021 14H,11995
05/3/2021 13H,11644
05/3/2021 12H,11382
05/3/2021 11H,10500
05/3/2021 10H,9956
05/3/2021 09H,9528
05/3/2021 08H,9446
05/3/2021 07H,9787
05/3/2021 06H,9930
05/3/2021 05H,10208
05/3/2021 04H,11220
05/3/2021 03H,12338
05/3/2021 02H,12831
05/3/2021 01H,12600
05/3/2021 00H,12598
05/2/2021 23H,12884
05/2/2021 22H,12694
05/2/2021 21H,12147
05/2/2021 20H,11598
05/2/2021 19H,11161
05/2/2021 18H,10417
05/2/2021 17H,9772
05/2/2021 16H,9129
05/2/2021 15H,8750
05/2/2021 14H,8023
05/2/2021 13H,7468
05/2/2021 12H,7165
05/2/2021 11H,7406
05/2/2021 10H,7075
05/2/2021 09H,7064
05/2/2021 08H,7294
05/2/2021 07H,7557
05/2/2021 06H,7864
05/2/2021 05H,8864
05/2/2021 04H,9865
05/2/2021 03H,10718
05/2/2021 02H,11392
05/2/2021 01H,11538
05/2/2021 00H,11696
05/1/2021 23H,11868
05/1/2021 22H,11786
05/1/2021 21H,11577
05/1/2021 20H,11173
05/1/2021 19H,10324
05/1/2021 18H,9644
05/1/2021 17H,9018
05/1/2021 16H,8737
05/1/2021 15H,8766
05/1/2021 14H,7983
05/1/2021 13H,7414
05/1/2021 12H,7376
05/1/2021 11H,7477
05/1/2021 10H,7483
05/1/2021 09H,7349
05/1/2021 08H,7362
05/1/2021 07H,7559
05/1/2021 06H,8354
05/1/2021 05H,8789
05/1/2021 04H,9862
05/1/2021 03H,11042
05/1/2021 02H,11939
05/1/2021 01H,12248
05/1/2021 00H,12383
04/30/2021 23H,12634
04/30/2021 22H,12973
04/30/2021 21H,13135
04/30/2021 20H,13193
