Net generation from natural gas for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.NG.H
19:20:20 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.NG.H megawatthours
11/15/2021 09H,13735
11/15/2021 08H,13550
11/15/2021 07H,13396
11/15/2021 06H,13404
11/15/2021 05H,13645
11/15/2021 04H,14410
11/15/2021 03H,15007
11/15/2021 02H,14957
11/15/2021 01H,14915
11/15/2021 00H,14686
11/14/2021 23H,14078
11/14/2021 22H,12972
11/14/2021 21H,11386
11/14/2021 20H,11336
11/14/2021 19H,11804
11/14/2021 18H,12360
11/14/2021 17H,12351
11/14/2021 16H,12825
11/14/2021 15H,14010
11/14/2021 14H,15407
11/14/2021 13H,16045
11/14/2021 12H,15297
11/14/2021 11H,15182
11/14/2021 10H,14965
11/14/2021 09H,14833
11/14/2021 08H,14550
11/14/2021 07H,14418
11/14/2021 06H,14450
11/14/2021 05H,14684
11/14/2021 04H,15153
11/14/2021 03H,14974
11/14/2021 02H,14960
11/14/2021 01H,14415
11/14/2021 00H,14637
11/13/2021 23H,13946
11/13/2021 22H,12424
11/13/2021 21H,11278
11/13/2021 20H,11203
11/13/2021 19H,11206
11/13/2021 18H,11392
11/13/2021 17H,11847
11/13/2021 16H,12415
11/13/2021 15H,12978
11/13/2021 14H,13527
11/13/2021 13H,13469
11/13/2021 12H,12570
11/13/2021 11H,11738
11/13/2021 10H,11742
11/13/2021 09H,11408
11/13/2021 08H,11305
11/13/2021 07H,11379
11/13/2021 06H,11409
11/13/2021 05H,11985
11/13/2021 04H,12672
11/13/2021 03H,13171
11/13/2021 02H,13490
11/13/2021 01H,13572
11/13/2021 00H,13646
11/12/2021 23H,13482
11/12/2021 22H,12500
11/12/2021 21H,11648
11/12/2021 20H,11324
11/12/2021 19H,11616
11/12/2021 18H,11718
11/12/2021 17H,11676
11/12/2021 16H,11872
11/12/2021 15H,12111
11/12/2021 14H,12882
11/12/2021 13H,13581
11/12/2021 12H,12825
11/12/2021 11H,11446
11/12/2021 10H,10488
11/12/2021 09H,9898
11/12/2021 08H,9871
11/12/2021 07H,9892
11/12/2021 06H,11361
11/12/2021 05H,12459
11/12/2021 04H,13140
11/12/2021 03H,14135
11/12/2021 02H,14591
11/12/2021 01H,14662
11/12/2021 00H,14851
11/11/2021 23H,14612
11/11/2021 22H,14059
11/11/2021 21H,13838
11/11/2021 20H,13379
11/11/2021 19H,13081
11/11/2021 18H,13196
11/11/2021 17H,13366
11/11/2021 16H,13273
11/11/2021 15H,13202
11/11/2021 14H,13073
11/11/2021 13H,13243
11/11/2021 12H,12483
11/11/2021 11H,11561
11/11/2021 10H,10917
11/11/2021 09H,10663
11/11/2021 08H,10750
11/11/2021 07H,11007
11/11/2021 06H,11329
11/11/2021 05H,11998
11/11/2021 04H,12697
11/11/2021 03H,13192
11/11/2021 02H,13785
11/11/2021 01H,14425
11/11/2021 00H,14739
11/10/2021 23H,14008
11/10/2021 22H,13397
11/10/2021 21H,12743
11/10/2021 20H,12579
11/10/2021 19H,12504
