Net generation from nuclear for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.NUC.H
19:20:26 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.NUC.H megawatthours
10/25/2021 19H,5883
10/25/2021 18H,5891
10/25/2021 17H,5894
10/25/2021 16H,5902
10/25/2021 15H,5908
10/25/2021 14H,5925
10/25/2021 13H,5925
10/25/2021 12H,5923
10/25/2021 11H,5920
10/25/2021 10H,5920
10/25/2021 09H,5913
10/25/2021 08H,5913
10/25/2021 07H,5918
10/25/2021 06H,5927
10/25/2021 05H,5918
10/25/2021 04H,5932
10/25/2021 03H,5924
10/25/2021 02H,5925
10/25/2021 01H,5927
10/25/2021 00H,5923
10/24/2021 23H,5915
10/24/2021 22H,5924
10/24/2021 21H,5919
10/24/2021 20H,5930
10/24/2021 19H,5930
10/24/2021 18H,5930
10/24/2021 17H,5939
10/24/2021 16H,5955
10/24/2021 15H,5977
10/24/2021 14H,5983
10/24/2021 13H,5993
10/24/2021 12H,5990
10/24/2021 11H,5988
10/24/2021 10H,5979
10/24/2021 09H,5983
10/24/2021 08H,5983
10/24/2021 07H,5978
10/24/2021 06H,5978
10/24/2021 05H,5975
10/24/2021 04H,5972
10/24/2021 03H,5968
10/24/2021 02H,5958
10/24/2021 01H,5960
10/24/2021 00H,5958
10/23/2021 23H,5950
10/23/2021 22H,5953
10/23/2021 21H,5948
10/23/2021 20H,5954
10/23/2021 19H,5954
10/23/2021 18H,5962
10/23/2021 17H,5962
10/23/2021 16H,5966
10/23/2021 15H,5980
10/23/2021 14H,5983
10/23/2021 13H,5979
10/23/2021 12H,5983
10/23/2021 11H,5983
10/23/2021 10H,5973
10/23/2021 09H,5967
10/23/2021 08H,5969
10/23/2021 07H,5969
10/23/2021 06H,5964
10/23/2021 05H,5954
10/23/2021 04H,5950
10/23/2021 03H,5948
10/23/2021 02H,5946
10/23/2021 01H,5939
10/23/2021 00H,5931
10/22/2021 23H,5928
10/22/2021 22H,5919
10/22/2021 21H,5911
10/22/2021 20H,5904
10/22/2021 19H,5893
10/22/2021 18H,5902
10/22/2021 17H,5894
10/22/2021 16H,5914
10/22/2021 15H,5914
10/22/2021 14H,5927
10/22/2021 13H,5922
10/22/2021 12H,5921
