Net generation from natural gas for California (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390106&sdid=EBA.CAL-ALL.NG.NG.H
19:04:28 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.NG.NG.H megawatthours
11/3/2021 15H,14725
11/3/2021 14H,15717
11/3/2021 13H,14329
11/3/2021 12H,13598
11/3/2021 11H,12525
11/3/2021 10H,12284
11/3/2021 09H,12306
11/3/2021 08H,13239
11/3/2021 07H,13851
11/3/2021 06H,14784
11/3/2021 05H,15695
11/3/2021 04H,16126
11/3/2021 03H,16632
11/3/2021 02H,17313
11/3/2021 01H,16954
11/3/2021 00H,14035
11/2/2021 23H,10243
11/2/2021 22H,10060
11/2/2021 21H,9556
11/2/2021 20H,9415
11/2/2021 19H,9510
11/2/2021 18H,10720
11/2/2021 17H,10898
11/2/2021 16H,11773
11/2/2021 15H,15525
11/2/2021 14H,15877
11/2/2021 13H,13476
11/2/2021 12H,12468
11/2/2021 11H,11834
11/2/2021 10H,11806
11/2/2021 09H,12625
11/2/2021 08H,13404
11/2/2021 07H,13845
11/2/2021 06H,14910
11/2/2021 05H,15427
11/2/2021 04H,15980
11/2/2021 03H,16526
11/2/2021 02H,17313
11/2/2021 01H,17320
11/2/2021 00H,15459
11/1/2021 23H,15079
11/1/2021 22H,14755
11/1/2021 21H,14108
11/1/2021 20H,13649
11/1/2021 19H,13704
11/1/2021 18H,13831
11/1/2021 17H,13470
11/1/2021 16H,13368
11/1/2021 15H,14529
11/1/2021 14H,14874
11/1/2021 13H,13465
11/1/2021 12H,13294
11/1/2021 11H,12555
11/1/2021 10H,12039
11/1/2021 09H,12217
11/1/2021 08H,13001
11/1/2021 07H,13134
11/1/2021 06H,12928
11/1/2021 05H,13255
11/1/2021 04H,13360
11/1/2021 03H,12986
11/1/2021 02H,12760
11/1/2021 01H,12641
11/1/2021 00H,11251
10/31/2021 23H,9159
10/31/2021 22H,7445
10/31/2021 21H,7137
10/31/2021 20H,6815
10/31/2021 19H,6813
10/31/2021 18H,6492
10/31/2021 17H,6934
10/31/2021 16H,8242
10/31/2021 15H,11222
10/31/2021 14H,11946
10/31/2021 13H,10832
10/31/2021 12H,10644
10/31/2021 11H,10527
10/31/2021 10H,10862
10/31/2021 09H,11105
10/31/2021 08H,12289
10/31/2021 07H,12674
10/31/2021 06H,12996
10/31/2021 05H,13764
10/31/2021 04H,14056
10/31/2021 03H,13876
10/31/2021 02H,14241
10/31/2021 01H,13772
10/31/2021 00H,11678
10/30/2021 23H,8447
10/30/2021 22H,7286
10/30/2021 21H,7175
10/30/2021 20H,7082
10/30/2021 19H,7115
10/30/2021 18H,7056
10/30/2021 17H,7289
10/30/2021 16H,8629
10/30/2021 15H,11743
10/30/2021 14H,13164
10/30/2021 13H,12630
10/30/2021 12H,12015
10/30/2021 11H,11572
10/30/2021 10H,11772
10/30/2021 09H,12016
10/30/2021 08H,12871
10/30/2021 07H,14403
10/30/2021 06H,15496
10/30/2021 05H,16383
10/30/2021 04H,16555
10/30/2021 03H,17164
10/30/2021 02H,18028
10/30/2021 01H,18678
10/30/2021 00H,17021
10/29/2021 23H,12644
10/29/2021 22H,10552
10/29/2021 21H,9746
10/29/2021 20H,9953
10/29/2021 19H,9947
10/29/2021 18H,9433
10/29/2021 17H,9520
10/29/2021 16H,10936
10/29/2021 15H,15383
10/29/2021 14H,16739
10/29/2021 13H,15326
10/29/2021 12H,14500
10/29/2021 11H,13580
10/29/2021 10H,13483
10/29/2021 09H,13859
10/29/2021 08H,14026
10/29/2021 07H,14652
10/29/2021 06H,15635
10/29/2021 05H,17029
10/29/2021 04H,17383
10/29/2021 03H,18433
10/29/2021 02H,19673
10/29/2021 01H,19646
10/29/2021 00H,16453
10/28/2021 23H,12830
10/28/2021 22H,11578
10/28/2021 21H,10775
10/28/2021 20H,10315
10/28/2021 19H,9846
10/28/2021 18H,9804
10/28/2021 17H,9593
10/28/2021 16H,10587
10/28/2021 15H,14302
10/28/2021 14H,15665
10/28/2021 13H,14788
10/28/2021 12H,13587
10/28/2021 11H,13054
10/28/2021 10H,13632
10/28/2021 09H,13567
10/28/2021 08H,14126
10/28/2021 07H,14877
10/28/2021 06H,15664
10/28/2021 05H,16269
10/28/2021 04H,16865
10/28/2021 03H,17324
10/28/2021 02H,17863
10/28/2021 01H,17249
10/28/2021 00H,13875
10/27/2021 23H,11779
10/27/2021 22H,10395
10/27/2021 21H,9849
10/27/2021 20H,9337
10/27/2021 19H,9673
10/27/2021 18H,9467
10/27/2021 17H,9382
10/27/2021 16H,10708
10/27/2021 15H,14160
10/27/2021 14H,15276
10/27/2021 13H,14285
10/27/2021 12H,13448
10/27/2021 11H,13209
10/27/2021 10H,12937
10/27/2021 09H,13516
10/27/2021 08H,13986
10/27/2021 07H,14224
10/27/2021 06H,14743
10/27/2021 05H,15383
10/27/2021 04H,15371
10/27/2021 03H,15881
10/27/2021 02H,16416
10/27/2021 01H,15188
10/27/2021 00H,11884
10/26/2021 23H,10265
