Net generation from solar for Tennessee (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390117&sdid=EBA.TEN-ALL.NG.SUN.H
19:23:41 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEN-ALL.NG.SUN.H megawatthours
11/16/2021 07H,0
11/16/2021 06H,-2
11/16/2021 05H,-2
11/16/2021 04H,0
11/16/2021 03H,-1
11/16/2021 02H,-1
11/16/2021 01H,0
11/16/2021 00H,-2
11/15/2021 23H,28
11/15/2021 22H,234
11/15/2021 21H,330
11/15/2021 20H,320
11/15/2021 19H,335
11/15/2021 18H,296
11/15/2021 17H,323
11/15/2021 16H,330
11/15/2021 15H,294
11/15/2021 14H,145
11/15/2021 13H,15
11/15/2021 12H,-2
11/15/2021 11H,0
11/15/2021 10H,-2
11/15/2021 09H,-1
11/15/2021 08H,0
11/15/2021 07H,-4
11/15/2021 06H,0
11/15/2021 05H,0
11/15/2021 04H,-1
11/15/2021 03H,0
11/15/2021 02H,0
11/15/2021 01H,-2
11/15/2021 00H,-2
11/14/2021 23H,24
11/14/2021 22H,188
11/14/2021 21H,263
11/14/2021 20H,308
11/14/2021 19H,332
11/14/2021 18H,330
11/14/2021 17H,334
11/14/2021 16H,348
11/14/2021 15H,328
11/14/2021 14H,185
11/14/2021 13H,11
11/14/2021 12H,0
11/14/2021 11H,-1
11/14/2021 10H,-1
11/14/2021 09H,0
11/14/2021 08H,-2
11/14/2021 07H,0
11/14/2021 06H,0
11/14/2021 05H,-3
11/14/2021 04H,0
11/14/2021 03H,-1
11/14/2021 02H,-2
11/14/2021 01H,0
11/14/2021 00H,-2
11/13/2021 23H,33
11/13/2021 22H,245
11/13/2021 21H,367
11/13/2021 20H,370
11/13/2021 19H,357
11/13/2021 18H,354
11/13/2021 17H,361
11/13/2021 16H,374
11/13/2021 15H,358
11/13/2021 14H,197
11/13/2021 13H,14
11/13/2021 12H,-1
11/13/2021 11H,-1
11/13/2021 10H,-2
11/13/2021 09H,-2
11/13/2021 08H,0
11/13/2021 07H,0
11/13/2021 06H,-2
11/13/2021 05H,0
11/13/2021 04H,0
11/13/2021 03H,-2
11/13/2021 02H,0
11/13/2021 01H,-4
11/13/2021 00H,0
11/12/2021 23H,7
11/12/2021 22H,147
11/12/2021 21H,282
11/12/2021 20H,318
11/12/2021 19H,342
11/12/2021 18H,342
11/12/2021 17H,359
11/12/2021 16H,359
11/12/2021 15H,332
11/12/2021 14H,167
11/12/2021 13H,12
11/12/2021 12H,-1
11/12/2021 11H,-1
11/12/2021 10H,0
11/12/2021 09H,-2
11/12/2021 08H,0
11/12/2021 07H,-1
11/12/2021 06H,0
11/12/2021 05H,-2
11/12/2021 04H,-2
11/12/2021 03H,0
11/12/2021 02H,0
11/12/2021 01H,-2
11/12/2021 00H,0
11/11/2021 23H,34
11/11/2021 22H,92
11/11/2021 21H,125
11/11/2021 20H,72
11/11/2021 19H,70
11/11/2021 18H,59
11/11/2021 17H,48
11/11/2021 16H,52
11/11/2021 15H,46
11/11/2021 14H,20
11/11/2021 13H,-1
11/11/2021 12H,0
11/11/2021 11H,-2
11/11/2021 10H,-2
11/11/2021 09H,-1
11/11/2021 08H,-1
11/11/2021 07H,0
11/11/2021 06H,0
11/11/2021 05H,-3
11/11/2021 04H,0
11/11/2021 03H,0
11/11/2021 02H,-3
11/11/2021 01H,-2
11/11/2021 00H,0
11/10/2021 23H,30
11/10/2021 22H,194
11/10/2021 21H,275
11/10/2021 20H,306
11/10/2021 19H,331
11/10/2021 18H,326
11/10/2021 17H,347
11/10/2021 16H,347
11/10/2021 15H,268
11/10/2021 14H,103
11/10/2021 13H,6
11/10/2021 12H,-1
11/10/2021 11H,-2
11/10/2021 10H,0
11/10/2021 09H,-1
11/10/2021 08H,0
11/10/2021 07H,0
11/10/2021 06H,-4
11/10/2021 05H,0
11/10/2021 04H,-3
11/10/2021 03H,0
11/10/2021 02H,0
11/10/2021 01H,-1
11/10/2021 00H,0
11/9/2021 23H,9
11/9/2021 22H,70
11/9/2021 21H,138
11/9/2021 20H,232
11/9/2021 19H,321
11/9/2021 18H,315
11/9/2021 17H,328
11/9/2021 16H,316
11/9/2021 15H,256
11/9/2021 14H,94
11/9/2021 13H,4
11/9/2021 12H,0
11/9/2021 11H,-2
11/9/2021 10H,0
11/9/2021 09H,0
11/9/2021 08H,0
11/9/2021 07H,0
11/9/2021 06H,0
11/9/2021 05H,0
11/9/2021 04H,-1
11/9/2021 03H,0
11/9/2021 02H,-2
11/9/2021 01H,0
11/9/2021 00H,0
11/8/2021 23H,27
11/8/2021 22H,112
11/8/2021 21H,182
11/8/2021 20H,186
11/8/2021 19H,181
11/8/2021 18H,182
11/8/2021 17H,185
11/8/2021 16H,191
11/8/2021 15H,178
11/8/2021 14H,90
11/8/2021 13H,7
11/8/2021 12H,0
11/8/2021 11H,0
11/8/2021 10H,-1
11/8/2021 09H,0
11/8/2021 08H,0
11/8/2021 07H,0
11/8/2021 06H,0
11/8/2021 05H,0
11/8/2021 04H,0
11/8/2021 03H,0
11/8/2021 02H,0
11/8/2021 01H,0
11/8/2021 00H,0
11/7/2021 23H,17
11/7/2021 22H,118
11/7/2021 21H,179
11/7/2021 20H,185
11/7/2021 19H,193
11/7/2021 18H,183
11/7/2021 17H,185
11/7/2021 16H,189
11/7/2021 15H,180
11/7/2021 14H,92
11/7/2021 13H,6
11/7/2021 12H,-1
11/7/2021 11H,-2
11/7/2021 10H,0
11/7/2021 09H,0
11/7/2021 08H,0
11/7/2021 07H,0
11/7/2021 06H,0
11/7/2021 05H,0
11/7/2021 04H,0
11/7/2021 03H,0
11/7/2021 02H,0
11/7/2021 01H,0
11/7/2021 00H,-1
11/6/2021 23H,21
11/6/2021 22H,108
11/6/2021 21H,127
11/6/2021 20H,122
11/6/2021 19H,132
11/6/2021 18H,116
11/6/2021 17H,146
11/6/2021 16H,150
11/6/2021 15H,157
11/6/2021 14H,83
11/6/2021 13H,6
11/6/2021 12H,0
11/6/2021 11H,-2
11/6/2021 10H,0
11/6/2021 09H,0
11/6/2021 08H,0
11/6/2021 07H,0
11/6/2021 06H,0
11/6/2021 05H,0
11/6/2021 04H,0
11/6/2021 03H,0
11/6/2021 02H,0
11/6/2021 01H,0
11/6/2021 00H,-1
11/5/2021 23H,21
11/5/2021 22H,108
11/5/2021 21H,127
11/5/2021 20H,122
11/5/2021 19H,132
11/5/2021 18H,116
11/5/2021 17H,146
11/5/2021 16H,150
11/5/2021 15H,157
11/5/2021 14H,83
11/5/2021 13H,6
11/5/2021 12H,0
11/5/2021 11H,-2
11/5/2021 10H,0
11/5/2021 09H,0
11/5/2021 08H,0
11/5/2021 07H,0
11/5/2021 06H,0
11/5/2021 05H,0
11/5/2021 04H,-1
11/5/2021 03H,0
11/5/2021 02H,0
11/5/2021 01H,-2
11/5/2021 00H,0
11/4/2021 23H,19
11/4/2021 22H,123
11/4/2021 21H,181
11/4/2021 20H,188
11/4/2021 19H,187
11/4/2021 18H,184
11/4/2021 17H,186
11/4/2021 16H,187
11/4/2021 15H,176
11/4/2021 14H,90
11/4/2021 13H,6
11/4/2021 12H,0
11/4/2021 11H,0
11/4/2021 10H,0
11/4/2021 09H,-1
11/4/2021 08H,0
11/4/2021 07H,0
11/4/2021 06H,-2
11/4/2021 05H,0
11/4/2021 04H,0
11/4/2021 03H,0
11/4/2021 02H,-1
11/4/2021 01H,0
11/4/2021 00H,-3
11/3/2021 23H,3
11/3/2021 22H,19
11/3/2021 21H,32
11/3/2021 20H,45
11/3/2021 19H,50
11/3/2021 18H,50
