Net generation from wind for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.WND.H
19:22:21 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.WND.H megawatthours
11/12/2021 10H,1062
11/12/2021 09H,1052
11/12/2021 08H,1005
11/12/2021 07H,979
11/12/2021 06H,935
11/12/2021 05H,878
11/12/2021 04H,810
11/12/2021 03H,693
11/12/2021 02H,592
11/12/2021 01H,554
11/12/2021 00H,593
11/11/2021 23H,622
11/11/2021 22H,593
11/11/2021 21H,543
11/11/2021 20H,491
11/11/2021 19H,480
11/11/2021 18H,534
11/11/2021 17H,502
11/11/2021 16H,518
11/11/2021 15H,605
11/11/2021 14H,560
11/11/2021 13H,570
11/11/2021 12H,566
11/11/2021 11H,498
11/11/2021 10H,636
11/11/2021 09H,669
11/11/2021 08H,594
11/11/2021 07H,507
11/11/2021 06H,593
11/11/2021 05H,635
11/11/2021 04H,634
11/11/2021 03H,626
11/11/2021 02H,656
11/11/2021 01H,695
11/11/2021 00H,779
11/10/2021 23H,823
11/10/2021 22H,794
11/10/2021 21H,779
11/10/2021 20H,768
11/10/2021 19H,801
11/10/2021 18H,823
11/10/2021 17H,787
11/10/2021 16H,732
11/10/2021 15H,755
11/10/2021 14H,790
11/10/2021 13H,803
11/10/2021 12H,715
11/10/2021 11H,627
11/10/2021 10H,674
11/10/2021 09H,737
11/10/2021 08H,732
11/10/2021 07H,778
11/10/2021 06H,969
11/10/2021 05H,892
11/10/2021 04H,766
11/10/2021 03H,760
11/10/2021 02H,726
11/10/2021 01H,859
11/10/2021 00H,950
11/9/2021 23H,943
11/9/2021 22H,851
11/9/2021 21H,773
11/9/2021 20H,628
11/9/2021 19H,577
11/9/2021 18H,496
11/9/2021 17H,472
11/9/2021 16H,509
11/9/2021 15H,652
11/9/2021 14H,678
11/9/2021 13H,703
11/9/2021 12H,876
11/9/2021 11H,954
11/9/2021 10H,1049
11/9/2021 09H,1103
11/9/2021 08H,961
11/9/2021 07H,935
11/9/2021 06H,1160
11/9/2021 05H,1054
11/9/2021 04H,929
11/9/2021 03H,936
11/9/2021 02H,912
11/9/2021 01H,983
11/9/2021 00H,1008
11/8/2021 23H,998
11/8/2021 22H,881
11/8/2021 21H,826
11/8/2021 20H,583
11/8/2021 19H,490
11/8/2021 18H,360
11/8/2021 17H,271
11/8/2021 16H,334
11/8/2021 15H,522
11/8/2021 14H,556
