Net generation from coal for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.COL.H
19:01:56 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.COL.H megawatthours
11/15/2021 16H,85789
11/15/2021 15H,85831
11/15/2021 14H,87148
11/15/2021 13H,84598
11/15/2021 12H,79302
11/15/2021 11H,75752
11/15/2021 10H,73567
11/15/2021 09H,72827
11/15/2021 08H,73182
11/15/2021 07H,73610
11/15/2021 06H,75705
11/15/2021 05H,78075
11/15/2021 04H,81530
11/15/2021 03H,84123
11/15/2021 02H,85587
11/15/2021 01H,85932
11/15/2021 00H,85390
11/14/2021 23H,83299
11/14/2021 22H,81976
11/14/2021 21H,80137
11/14/2021 20H,80297
11/14/2021 19H,79309
11/14/2021 18H,77604
11/14/2021 17H,77033
11/14/2021 16H,77951
11/14/2021 15H,77242
11/14/2021 14H,76756
11/14/2021 13H,75652
11/14/2021 12H,73689
11/14/2021 11H,72022
11/14/2021 10H,71101
11/14/2021 09H,70802
11/14/2021 08H,70528
11/14/2021 07H,72270
11/14/2021 06H,73859
11/14/2021 05H,75240
11/14/2021 04H,77516
11/14/2021 03H,78139
11/14/2021 02H,79038
11/14/2021 01H,81025
11/14/2021 00H,82282
11/13/2021 23H,79541
11/13/2021 22H,78002
11/13/2021 21H,77042
11/13/2021 20H,76365
11/13/2021 19H,77154
11/13/2021 18H,78881
11/13/2021 17H,79330
11/13/2021 16H,79745
11/13/2021 15H,80864
11/13/2021 14H,81842
11/13/2021 13H,80380
11/13/2021 12H,78336
11/13/2021 11H,76084
11/13/2021 10H,74924
11/13/2021 09H,75068
11/13/2021 08H,75592
11/13/2021 07H,76004
11/13/2021 06H,76397
11/13/2021 05H,77974
11/13/2021 04H,79926
11/13/2021 03H,81811
11/13/2021 02H,82250
11/13/2021 01H,82327
11/13/2021 00H,80970
11/12/2021 23H,77865
11/12/2021 22H,75603
11/12/2021 21H,75143
11/12/2021 20H,74426
11/12/2021 19H,73894
11/12/2021 18H,73790
11/12/2021 17H,73687
11/12/2021 16H,75174
11/12/2021 15H,76129
11/12/2021 14H,75810
11/12/2021 13H,73123
11/12/2021 12H,69233
11/12/2021 11H,64600
11/12/2021 10H,61825
11/12/2021 09H,60404
11/12/2021 08H,60375
11/12/2021 07H,62822
11/12/2021 06H,66186
11/12/2021 05H,70659
11/12/2021 04H,74013
11/12/2021 03H,78377
11/12/2021 02H,80469
11/12/2021 01H,81893
11/12/2021 00H,82065
11/11/2021 23H,79395
11/11/2021 22H,76636
11/11/2021 21H,76226
11/11/2021 20H,76760
11/11/2021 19H,77225
11/11/2021 18H,77160
11/11/2021 17H,77378
11/11/2021 16H,77512
11/11/2021 15H,77760
11/11/2021 14H,76400
11/11/2021 13H,73690
11/11/2021 12H,70066
11/11/2021 11H,66716
11/11/2021 10H,64454
11/11/2021 09H,62446
11/11/2021 08H,62529
11/11/2021 07H,64089
11/11/2021 06H,66807
11/11/2021 05H,71254
11/11/2021 04H,74668
11/11/2021 03H,78135
11/11/2021 02H,80312
11/11/2021 01H,82690
11/11/2021 00H,84746
11/10/2021 23H,83379
11/10/2021 22H,82164
11/10/2021 21H,81296
11/10/2021 20H,81075
11/10/2021 19H,79795
