Net generation from hydro for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WAT.H
19:02:08 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WAT.H megawatthours
11/14/2021 06H,24686
11/14/2021 05H,26990
11/14/2021 04H,29942
11/14/2021 03H,32793
11/14/2021 02H,34666
11/14/2021 01H,34536
11/14/2021 00H,32428
11/13/2021 23H,28673
11/13/2021 22H,24423
11/13/2021 21H,21461
11/13/2021 20H,20394
11/13/2021 19H,21089
11/13/2021 18H,22149
11/13/2021 17H,23051
11/13/2021 16H,24866
11/13/2021 15H,27803
11/13/2021 14H,27295
11/13/2021 13H,24996
11/13/2021 12H,23072
11/13/2021 11H,20613
11/13/2021 10H,18270
11/13/2021 09H,17886
11/13/2021 08H,17882
11/13/2021 07H,19245
11/13/2021 06H,21873
11/13/2021 05H,23782
11/13/2021 04H,27253
11/13/2021 03H,31117
11/13/2021 02H,33238
11/13/2021 01H,33431
11/13/2021 00H,31145
11/12/2021 23H,28761
11/12/2021 22H,26833
11/12/2021 21H,24257
11/12/2021 20H,22306
11/12/2021 19H,21416
11/12/2021 18H,21754
11/12/2021 17H,23400
11/12/2021 16H,25713
11/12/2021 15H,26971
11/12/2021 14H,27348
11/12/2021 13H,25937
11/12/2021 12H,22408
11/12/2021 11H,17754
11/12/2021 10H,15874
11/12/2021 09H,16174
11/12/2021 08H,17536
11/12/2021 07H,18956
11/12/2021 06H,21112
11/12/2021 05H,24468
11/12/2021 04H,28613
11/12/2021 03H,32132
11/12/2021 02H,34740
11/12/2021 01H,36443
11/12/2021 00H,36441
11/11/2021 23H,32411
11/11/2021 22H,29241
11/11/2021 21H,26620
11/11/2021 20H,25230
11/11/2021 19H,25515
11/11/2021 18H,25609
11/11/2021 17H,26267
11/11/2021 16H,27095
11/11/2021 15H,28647
11/11/2021 14H,29269
11/11/2021 13H,27262
11/11/2021 12H,24469
11/11/2021 11H,20149
11/11/2021 10H,17688
