Net generation from solar for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.SUN.H
19:02:41 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.SUN.H megawatthours
11/11/2021 20H,28450
11/11/2021 19H,29886
11/11/2021 18H,30148
11/11/2021 17H,29588
11/11/2021 16H,26222
11/11/2021 15H,14541
11/11/2021 14H,5248
11/11/2021 13H,1984
11/11/2021 12H,309
11/11/2021 11H,44
11/11/2021 10H,40
11/11/2021 09H,31
11/11/2021 08H,32
11/11/2021 07H,39
11/11/2021 06H,73
11/11/2021 05H,69
11/11/2021 04H,91
11/11/2021 03H,84
11/11/2021 02H,193
11/11/2021 01H,318
11/11/2021 00H,5268
11/10/2021 23H,16733
11/10/2021 22H,22794
11/10/2021 21H,27187
11/10/2021 20H,30315
11/10/2021 19H,30708
11/10/2021 18H,29804
11/10/2021 17H,28239
11/10/2021 16H,24800
11/10/2021 15H,14912
11/10/2021 14H,6886
11/10/2021 13H,2529
11/10/2021 12H,188
11/10/2021 11H,16
11/10/2021 10H,20
11/10/2021 09H,9
11/10/2021 08H,3
11/10/2021 07H,35
11/10/2021 06H,40
11/10/2021 05H,48
11/10/2021 04H,49
11/10/2021 03H,66
11/10/2021 02H,97
11/10/2021 01H,236
11/10/2021 00H,3367
11/9/2021 23H,13171
11/9/2021 22H,19686
11/9/2021 21H,24874
11/9/2021 20H,27691
11/9/2021 19H,27009
11/9/2021 18H,26989
11/9/2021 17H,26799
11/9/2021 16H,23609
11/9/2021 15H,15468
11/9/2021 14H,8560
11/9/2021 13H,3375
11/9/2021 12H,457
11/9/2021 11H,91
11/9/2021 10H,78
11/9/2021 09H,72
11/9/2021 08H,66
11/9/2021 07H,84
11/9/2021 06H,78
11/9/2021 05H,88
11/9/2021 04H,85
11/9/2021 03H,119
11/9/2021 02H,200
11/9/2021 01H,398
11/9/2021 00H,4536
11/8/2021 23H,14991
11/8/2021 22H,24897
11/8/2021 21H,31424
11/8/2021 20H,34858
11/8/2021 19H,35674
11/8/2021 18H,36042
11/8/2021 17H,34264
11/8/2021 16H,29139
11/8/2021 15H,19473
11/8/2021 14H,10553
11/8/2021 13H,3894
11/8/2021 12H,512
11/8/2021 11H,114
11/8/2021 10H,101
11/8/2021 09H,82
11/8/2021 08H,76
11/8/2021 07H,84
11/8/2021 06H,84
11/8/2021 05H,101
11/8/2021 04H,109
11/8/2021 03H,109
11/8/2021 02H,113
11/8/2021 01H,1809
11/8/2021 00H,4688
11/7/2021 23H,16161
11/7/2021 22H,21672
11/7/2021 21H,26839
11/7/2021 20H,29587
11/7/2021 19H,30726
11/7/2021 18H,29799
11/7/2021 17H,28117
11/7/2021 16H,23681
11/7/2021 15H,14551
11/7/2021 14H,6720
11/7/2021 13H,2913
11/7/2021 12H,692
11/7/2021 11H,80
11/7/2021 10H,79
11/7/2021 09H,83
11/7/2021 08H,81
11/7/2021 07H,84
11/7/2021 06H,92
11/7/2021 05H,98
11/7/2021 04H,93
11/7/2021 03H,144
11/7/2021 02H,144
11/7/2021 01H,378
11/7/2021 00H,5609
11/6/2021 23H,17587
11/6/2021 22H,24485
11/6/2021 21H,26899
11/6/2021 20H,28255
11/6/2021 19H,29140
11/6/2021 18H,30036
11/6/2021 17H,29503
11/6/2021 16H,24933
11/6/2021 15H,14034
11/6/2021 14H,4657
11/6/2021 13H,1332
11/6/2021 12H,189
11/6/2021 11H,60
11/6/2021 10H,52
11/6/2021 09H,56
11/6/2021 08H,82
11/6/2021 07H,46
11/6/2021 06H,52
11/6/2021 05H,65
11/6/2021 04H,76
11/6/2021 03H,78
11/6/2021 02H,80
11/6/2021 01H,290
11/6/2021 00H,5524
11/5/2021 23H,17998
11/5/2021 22H,23606
11/5/2021 21H,25657
11/5/2021 20H,26531
11/5/2021 19H,28152
11/5/2021 18H,28909
11/5/2021 17H,28167
11/5/2021 16H,22984
11/5/2021 15H,11847
11/5/2021 14H,4051
11/5/2021 13H,1936
11/5/2021 12H,352
11/5/2021 11H,35
11/5/2021 10H,41
11/5/2021 09H,38
11/5/2021 08H,34
11/5/2021 07H,39
11/5/2021 06H,41
11/5/2021 05H,61
11/5/2021 04H,66
11/5/2021 03H,61
11/5/2021 02H,101
11/5/2021 01H,324
11/5/2021 00H,6039
11/4/2021 23H,17677
11/4/2021 22H,22840
11/4/2021 21H,24633
11/4/2021 20H,25431
11/4/2021 19H,26608
11/4/2021 18H,26275
11/4/2021 17H,25105
11/4/2021 16H,20790
11/4/2021 15H,10370
11/4/2021 14H,3753
11/4/2021 13H,1179
11/4/2021 12H,174
11/4/2021 11H,59
11/4/2021 10H,57
11/4/2021 09H,53
11/4/2021 08H,60
