Net generation from natural gas for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.NG.H
19:02:14 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.NG.H megawatthours
11/13/2021 19H,129334
11/13/2021 18H,132547
11/13/2021 17H,135083
11/13/2021 16H,138744
11/13/2021 15H,141281
11/13/2021 14H,145224
11/13/2021 13H,141642
11/13/2021 12H,135496
11/13/2021 11H,128145
11/13/2021 10H,124816
11/13/2021 09H,123683
11/13/2021 08H,126488
11/13/2021 07H,132700
11/13/2021 06H,140090
11/13/2021 05H,145205
11/13/2021 04H,155910
11/13/2021 03H,163064
11/13/2021 02H,171490
11/13/2021 01H,178485
11/13/2021 00H,176866
11/12/2021 23H,163179
11/12/2021 22H,150826
11/12/2021 21H,142126
11/12/2021 20H,138261
11/12/2021 19H,138209
11/12/2021 18H,136708
11/12/2021 17H,138743
11/12/2021 16H,141310
11/12/2021 15H,146415
11/12/2021 14H,148869
11/12/2021 13H,144769
11/12/2021 12H,130107
11/12/2021 11H,116537
11/12/2021 10H,107528
11/12/2021 09H,105981
11/12/2021 08H,108090
11/12/2021 07H,110426
11/12/2021 06H,119036
11/12/2021 05H,130945
11/12/2021 04H,144848
11/12/2021 03H,158863
11/12/2021 02H,173526
11/12/2021 01H,184010
11/12/2021 00H,182322
11/11/2021 23H,171351
11/11/2021 22H,162069
11/11/2021 21H,155709
11/11/2021 20H,151731
11/11/2021 19H,148857
11/11/2021 18H,147388
11/11/2021 17H,145692
11/11/2021 16H,147359
11/11/2021 15H,149803
11/11/2021 14H,150448
11/11/2021 13H,145597
11/11/2021 12H,134710
11/11/2021 11H,121661
11/11/2021 10H,112740
11/11/2021 09H,109437
11/11/2021 08H,110804
11/11/2021 07H,114205
11/11/2021 06H,121280
11/11/2021 05H,131255
11/11/2021 04H,138765
11/11/2021 03H,147792
11/11/2021 02H,158396
11/11/2021 01H,166049
11/11/2021 00H,165017
11/10/2021 23H,156786
11/10/2021 22H,149497
11/10/2021 21H,142657
11/10/2021 20H,138432
11/10/2021 19H,135244
11/10/2021 18H,133078
11/10/2021 17H,132586
11/10/2021 16H,135873
11/10/2021 15H,139644
11/10/2021 14H,141803
11/10/2021 13H,140629
11/10/2021 12H,132653
11/10/2021 11H,120130
11/10/2021 10H,110554
11/10/2021 09H,108175
11/10/2021 08H,108871
11/10/2021 07H,111853
11/10/2021 06H,117312
11/10/2021 05H,128749
11/10/2021 04H,140696
11/10/2021 03H,154892
11/10/2021 02H,169959
11/10/2021 01H,183425
11/10/2021 00H,186582
11/9/2021 23H,179649
11/9/2021 22H,171339
11/9/2021 21H,165378
11/9/2021 20H,161815
11/9/2021 19H,160156
11/9/2021 18H,157972
11/9/2021 17H,157002
11/9/2021 16H,159257
11/9/2021 15H,161730
11/9/2021 14H,162386
11/9/2021 13H,161266
11/9/2021 12H,149511
11/9/2021 11H,132442
11/9/2021 10H,121049
11/9/2021 09H,116942
11/9/2021 08H,116521
11/9/2021 07H,117852
11/9/2021 06H,122731
11/9/2021 05H,126718
11/9/2021 04H,138443
11/9/2021 03H,149686
11/9/2021 02H,160509
11/9/2021 01H,169196
11/9/2021 00H,172591
11/8/2021 23H,162696
11/8/2021 22H,150881
11/8/2021 21H,141901
11/8/2021 20H,135726
11/8/2021 19H,135373
11/8/2021 18H,134800
11/8/2021 17H,136572
11/8/2021 16H,141245
11/8/2021 15H,148359
11/8/2021 14H,153594
11/8/2021 13H,154803
11/8/2021 12H,145987
11/8/2021 11H,130767
11/8/2021 10H,116973
11/8/2021 09H,110408
11/8/2021 08H,106439
11/8/2021 07H,108424
11/8/2021 06H,107131
11/8/2021 05H,115155
11/8/2021 04H,127775
11/8/2021 03H,130540
11/8/2021 02H,139816
11/8/2021 01H,145161
11/8/2021 00H,148325
11/7/2021 23H,139184
11/7/2021 22H,130527
11/7/2021 21H,118761
11/7/2021 20H,113667
11/7/2021 19H,113085
11/7/2021 18H,115364
11/7/2021 17H,119784
11/7/2021 16H,124242
11/7/2021 15H,129901
11/7/2021 14H,133176
11/7/2021 13H,134278
11/7/2021 12H,131377
11/7/2021 11H,123450
11/7/2021 10H,118768
11/7/2021 09H,115628
11/7/2021 08H,115023
11/7/2021 07H,115609
11/7/2021 06H,119036
11/7/2021 05H,125103
11/7/2021 04H,135384
11/7/2021 03H,139234
11/7/2021 02H,149275
11/7/2021 01H,155931
11/7/2021 00H,158920
11/6/2021 23H,153600
11/6/2021 22H,145554
11/6/2021 21H,139384
11/6/2021 20H,139451
11/6/2021 19H,142183
11/6/2021 18H,146514
11/6/2021 17H,151296
11/6/2021 16H,160696
11/6/2021 15H,166935
11/6/2021 14H,171126
11/6/2021 13H,169625
11/6/2021 12H,162742
11/6/2021 11H,151894
11/6/2021 10H,143494
11/6/2021 09H,137794
11/6/2021 08H,136115
11/6/2021 07H,137507
11/6/2021 06H,141096
11/6/2021 05H,147662
11/6/2021 04H,159511
11/6/2021 03H,163731
11/6/2021 02H,173912
