Net generation from other for Tennessee (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390117&sdid=EBA.TEN-ALL.NG.OTH.H
19:23:29 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEN-ALL.NG.OTH.H megawatthours
11/14/2021 20H,22
11/14/2021 19H,22
11/14/2021 18H,23
11/14/2021 17H,19
11/14/2021 16H,17
11/14/2021 15H,17
11/14/2021 14H,20
11/14/2021 13H,19
11/14/2021 12H,17
11/14/2021 11H,20
11/14/2021 10H,16
11/14/2021 09H,17
11/14/2021 08H,20
11/14/2021 07H,17
11/14/2021 06H,19
11/14/2021 05H,17
11/14/2021 04H,20
11/14/2021 03H,19
11/14/2021 02H,23
11/14/2021 01H,22
11/14/2021 00H,22
11/13/2021 23H,23
11/13/2021 22H,19
11/13/2021 21H,23
11/13/2021 20H,17
11/13/2021 19H,19
11/13/2021 18H,20
11/13/2021 17H,22
11/13/2021 16H,20
11/13/2021 15H,17
11/13/2021 14H,16
11/13/2021 13H,17
11/13/2021 12H,17
11/13/2021 11H,17
11/13/2021 10H,17
11/13/2021 09H,16
11/13/2021 08H,20
11/13/2021 07H,17
11/13/2021 06H,17
11/13/2021 05H,19
11/13/2021 04H,17
11/13/2021 03H,20
11/13/2021 02H,19
11/13/2021 01H,20
11/13/2021 00H,19
11/12/2021 23H,17
11/12/2021 22H,20
11/12/2021 21H,19
11/12/2021 20H,17
11/12/2021 19H,23
11/12/2021 18H,28
11/12/2021 17H,22
11/12/2021 16H,22
11/12/2021 15H,26
11/12/2021 14H,22
11/12/2021 13H,25
11/12/2021 12H,25
11/12/2021 11H,23
11/12/2021 10H,25
11/12/2021 09H,22
11/12/2021 08H,23
11/12/2021 07H,25
11/12/2021 06H,22
11/12/2021 05H,23
11/12/2021 04H,22
11/12/2021 03H,23
11/12/2021 02H,16
11/12/2021 01H,20
11/12/2021 00H,20
11/11/2021 23H,19
11/11/2021 22H,20
11/11/2021 21H,19
11/11/2021 20H,17
11/11/2021 19H,17
11/11/2021 18H,20
11/11/2021 17H,19
11/11/2021 16H,14
11/11/2021 15H,17
11/11/2021 14H,17
11/11/2021 13H,19
11/11/2021 12H,23
11/11/2021 11H,19
11/11/2021 10H,20
11/11/2021 09H,17
11/11/2021 08H,19
11/11/2021 07H,17
11/11/2021 06H,20
11/11/2021 05H,19
11/11/2021 04H,17
11/11/2021 03H,17
11/11/2021 02H,17
11/11/2021 01H,17
11/11/2021 00H,8
11/10/2021 23H,8
11/10/2021 22H,9
11/10/2021 21H,3
11/10/2021 20H,5
11/10/2021 19H,0
11/10/2021 18H,3
11/10/2021 17H,3
11/10/2021 16H,0
11/10/2021 15H,3
11/10/2021 14H,5
11/10/2021 13H,6
11/10/2021 12H,3
11/10/2021 11H,2
11/10/2021 10H,6
11/10/2021 09H,3
11/10/2021 08H,5
11/10/2021 07H,3
11/10/2021 06H,6
11/10/2021 05H,5
11/10/2021 04H,3
11/10/2021 03H,6
11/10/2021 02H,3
11/10/2021 01H,2
11/10/2021 00H,3
11/9/2021 23H,3
