Net generation from nuclear for Tennessee (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390117&sdid=EBA.TEN-ALL.NG.NUC.H
19:23:23 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEN-ALL.NG.NUC.H megawatthours
11/2/2021 09H,6089
11/2/2021 08H,6085
11/2/2021 07H,6095
11/2/2021 06H,6087
11/2/2021 05H,6090
11/2/2021 04H,6089
11/2/2021 03H,6092
11/2/2021 02H,6093
11/2/2021 01H,6084
11/2/2021 00H,6078
11/1/2021 23H,6076
11/1/2021 22H,6082
11/1/2021 21H,6084
11/1/2021 20H,6080
11/1/2021 19H,6088
11/1/2021 18H,6087
11/1/2021 17H,6093
11/1/2021 16H,6089
11/1/2021 15H,6096
11/1/2021 14H,6101
11/1/2021 13H,6096
11/1/2021 12H,6096
11/1/2021 11H,6096
11/1/2021 10H,6096
11/1/2021 09H,6101
11/1/2021 08H,6090
11/1/2021 07H,6098
11/1/2021 06H,6096
11/1/2021 05H,6094
11/1/2021 04H,6093
11/1/2021 03H,6092
11/1/2021 02H,6085
11/1/2021 01H,6082
11/1/2021 00H,6079
10/31/2021 23H,6083
10/31/2021 22H,6084
10/31/2021 21H,6083
10/31/2021 20H,6093
10/31/2021 19H,6082
10/31/2021 18H,6082
10/31/2021 17H,6087
10/31/2021 16H,6090
10/31/2021 15H,6081
10/31/2021 14H,6087
10/31/2021 13H,6085
10/31/2021 12H,6083
10/31/2021 11H,6085
10/31/2021 10H,6084
10/31/2021 09H,6084
10/31/2021 08H,6080
10/31/2021 07H,6074
10/31/2021 06H,6079
10/31/2021 05H,6079
10/31/2021 04H,6078
10/31/2021 03H,6080
10/31/2021 02H,6080
10/31/2021 01H,6075
10/31/2021 00H,6085
10/30/2021 23H,6078
10/30/2021 22H,6072
10/30/2021 21H,6074
10/30/2021 20H,6075
10/30/2021 19H,6074
10/30/2021 18H,6073
10/30/2021 17H,6076
10/30/2021 16H,6029
10/30/2021 15H,5984
10/30/2021 14H,6073
10/30/2021 13H,6072
10/30/2021 12H,6071
10/30/2021 11H,6081
10/30/2021 10H,6073
10/30/2021 09H,6075
10/30/2021 08H,6071
10/30/2021 07H,6072
10/30/2021 06H,6077
10/30/2021 05H,6077
10/30/2021 04H,6080
10/30/2021 03H,6080
10/30/2021 02H,6085
10/30/2021 01H,6423
10/30/2021 00H,6515
10/29/2021 23H,6571
10/29/2021 22H,6685
10/29/2021 21H,6831
10/29/2021 20H,6969
10/29/2021 19H,7081
10/29/2021 18H,7142
10/29/2021 17H,7154
10/29/2021 16H,7161
10/29/2021 15H,7157
10/29/2021 14H,7150
10/29/2021 13H,7154
10/29/2021 12H,7148
10/29/2021 11H,7161
10/29/2021 10H,7156
10/29/2021 09H,7162
10/29/2021 08H,7159
10/29/2021 07H,7153
10/29/2021 06H,7153
10/29/2021 05H,7159
10/29/2021 04H,7160
10/29/2021 03H,7158
10/29/2021 02H,7163
10/29/2021 01H,7151
10/29/2021 00H,7151
10/28/2021 23H,7154
10/28/2021 22H,7150
10/28/2021 21H,7166
10/28/2021 20H,7154
10/28/2021 19H,7151
10/28/2021 18H,7155
10/28/2021 17H,7159
10/28/2021 16H,7153
10/28/2021 15H,7156
10/28/2021 14H,7172
10/28/2021 13H,7173
10/28/2021 12H,7170
10/28/2021 11H,7170
10/28/2021 10H,7188
10/28/2021 09H,7174
10/28/2021 08H,7192
10/28/2021 07H,7178
10/28/2021 06H,7182
10/28/2021 05H,7181
10/28/2021 04H,7177
10/28/2021 03H,7176
10/28/2021 02H,7183
10/28/2021 01H,7184
10/28/2021 00H,7184
10/27/2021 23H,7173
10/27/2021 22H,7176
10/27/2021 21H,7177
10/27/2021 20H,7176
10/27/2021 19H,7185
10/27/2021 18H,7187
10/27/2021 17H,7189
10/27/2021 16H,7186
10/27/2021 15H,7191
10/27/2021 14H,7187
10/27/2021 13H,7199
10/27/2021 12H,7202
10/27/2021 11H,7202
10/27/2021 10H,7190
10/27/2021 09H,7196
10/27/2021 08H,7191
10/27/2021 07H,7196
10/27/2021 06H,7199
10/27/2021 05H,7185
10/27/2021 04H,7199
10/27/2021 03H,7189
10/27/2021 02H,7181
10/27/2021 01H,7180
10/27/2021 00H,7179
10/26/2021 23H,7183
10/26/2021 22H,7171
10/26/2021 21H,7180
10/26/2021 20H,7174
10/26/2021 19H,7185
10/26/2021 18H,7181
10/26/2021 17H,7177
10/26/2021 16H,7197
10/26/2021 15H,7186
10/26/2021 14H,7176
10/26/2021 13H,7189
10/26/2021 12H,7178
10/26/2021 11H,7181
10/26/2021 10H,7173
10/26/2021 09H,7180
10/26/2021 08H,7167
10/26/2021 07H,7179
10/26/2021 06H,7168
10/26/2021 05H,7178
10/26/2021 04H,7168
10/26/2021 03H,7161
10/26/2021 02H,7158
10/26/2021 01H,7151
10/26/2021 00H,7135
10/25/2021 23H,7120
10/25/2021 22H,7109
10/25/2021 21H,7115
10/25/2021 20H,7111
10/25/2021 19H,7127
10/25/2021 18H,7134
10/25/2021 17H,7131
10/25/2021 16H,7136
10/25/2021 15H,7149
10/25/2021 14H,7152
10/25/2021 13H,7145
10/25/2021 12H,7149
10/25/2021 11H,7154
10/25/2021 10H,7145
10/25/2021 09H,7155
10/25/2021 08H,7158
10/25/2021 07H,7151
10/25/2021 06H,7144
10/25/2021 05H,7143
10/25/2021 04H,7142
10/25/2021 03H,7143
10/25/2021 02H,7145
10/25/2021 01H,7144
10/25/2021 00H,7136
10/24/2021 23H,7138
10/24/2021 22H,7131
10/24/2021 21H,7129
10/24/2021 20H,7137
10/24/2021 19H,7151
10/24/2021 18H,7154
10/24/2021 17H,7161
10/24/2021 16H,7173
10/24/2021 15H,7179
10/24/2021 14H,7180
10/24/2021 13H,7177
10/24/2021 12H,7184
10/24/2021 11H,7177
10/24/2021 10H,7174
10/24/2021 09H,7175
10/24/2021 08H,7174
10/24/2021 07H,7173
10/24/2021 06H,7173
10/24/2021 05H,7169
10/24/2021 04H,7165
10/24/2021 03H,7157
10/24/2021 02H,7167
10/24/2021 01H,7154
10/24/2021 00H,7151
10/23/2021 23H,7153
10/23/2021 22H,7154
10/23/2021 21H,7149
10/23/2021 20H,7170
10/23/2021 19H,7160
10/23/2021 18H,7171
10/23/2021 17H,7172
10/23/2021 16H,7189
10/23/2021 15H,7190
10/23/2021 14H,7197
10/23/2021 13H,7192
10/23/2021 12H,7189
10/23/2021 11H,7201
10/23/2021 10H,7191
10/23/2021 09H,7187
10/23/2021 08H,7190
10/23/2021 07H,7182
10/23/2021 06H,7182
10/23/2021 05H,7186
10/23/2021 04H,7179
10/23/2021 03H,7180
10/23/2021 02H,7171
10/23/2021 01H,7176
10/23/2021 00H,7174
10/22/2021 23H,7163
10/22/2021 22H,7167
10/22/2021 21H,7172
10/22/2021 20H,7161
10/22/2021 19H,7160
10/22/2021 18H,7171
10/22/2021 17H,7166
10/22/2021 16H,7178
10/22/2021 15H,7173
10/22/2021 14H,7178
10/22/2021 13H,7179
10/22/2021 12H,7183
10/22/2021 11H,7175
10/22/2021 10H,7176
10/22/2021 09H,7178
10/22/2021 08H,7168
10/22/2021 07H,7161
10/22/2021 06H,7155
10/22/2021 05H,7144
10/22/2021 04H,7128
10/22/2021 03H,7124
10/22/2021 02H,7123
10/22/2021 01H,7110
10/22/2021 00H,7113
10/21/2021 23H,7110
10/21/2021 22H,7108
10/21/2021 21H,7114
10/21/2021 20H,7117
10/21/2021 19H,7117
10/21/2021 18H,7127
10/21/2021 17H,7147
10/21/2021 16H,7148
10/21/2021 15H,7156
10/21/2021 14H,7146
10/21/2021 13H,7158
10/21/2021 12H,7154
10/21/2021 11H,7156
10/21/2021 10H,7153
10/21/2021 09H,7165
10/21/2021 08H,7153
10/21/2021 07H,7158
10/21/2021 06H,7154
10/21/2021 05H,7151
10/21/2021 04H,7151
10/21/2021 03H,7151
10/21/2021 02H,7148
10/21/2021 01H,7148
10/21/2021 00H,7147
10/20/2021 23H,7132
10/20/2021 22H,7141
10/20/2021 21H,7144
10/20/2021 20H,7143
10/20/2021 19H,7156
10/20/2021 18H,7171
10/20/2021 17H,7180
10/20/2021 16H,7189
10/20/2021 15H,7186
10/20/2021 14H,7193
10/20/2021 13H,7195
10/20/2021 12H,7194
10/20/2021 11H,7196
10/20/2021 10H,7192
10/20/2021 09H,7191
10/20/2021 08H,7188
10/20/2021 07H,7191
10/20/2021 06H,7189
10/20/2021 05H,7185
10/20/2021 04H,7185
10/20/2021 03H,7181
10/20/2021 02H,7172
10/20/2021 01H,7164
10/20/2021 00H,7168
10/19/2021 23H,7162
10/19/2021 22H,7172
10/19/2021 21H,7173
10/19/2021 20H,7173
10/19/2021 19H,7170
