Net generation from solar for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.SUN.H
19:16:21 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.SUN.H megawatthours
11/14/2021 08H,10
11/14/2021 07H,10
11/14/2021 06H,10
11/14/2021 05H,10
11/14/2021 04H,10
11/14/2021 03H,10
11/14/2021 02H,10
11/14/2021 01H,10
11/14/2021 00H,10
11/13/2021 23H,10
11/13/2021 22H,11
11/13/2021 21H,42
11/13/2021 20H,157
11/13/2021 19H,264
11/13/2021 18H,320
11/13/2021 17H,333
11/13/2021 16H,313
11/13/2021 15H,255
11/13/2021 14H,145
11/13/2021 13H,46
11/13/2021 12H,1
11/13/2021 11H,0
11/13/2021 10H,0
11/13/2021 09H,0
11/13/2021 08H,0
11/13/2021 07H,0
11/13/2021 06H,0
11/13/2021 05H,0
11/13/2021 04H,0
11/13/2021 03H,0
11/13/2021 02H,10
11/13/2021 01H,10
11/13/2021 00H,10
11/12/2021 23H,10
11/12/2021 22H,14
11/12/2021 21H,23
11/12/2021 20H,17
11/12/2021 19H,19
11/12/2021 18H,25
11/12/2021 17H,29
11/12/2021 16H,24
11/12/2021 15H,26
11/12/2021 14H,22
11/12/2021 13H,13
11/12/2021 12H,10
11/12/2021 11H,10
11/12/2021 10H,10
11/12/2021 09H,10
11/12/2021 08H,10
11/12/2021 07H,10
11/12/2021 06H,10
11/12/2021 05H,10
11/12/2021 04H,10
11/12/2021 03H,10
11/12/2021 02H,10
11/12/2021 01H,10
11/12/2021 00H,10
11/11/2021 23H,10
11/11/2021 22H,13
11/11/2021 21H,49
11/11/2021 20H,161
11/11/2021 19H,264
11/11/2021 18H,322
11/11/2021 17H,341
11/11/2021 16H,329
11/11/2021 15H,282
11/11/2021 14H,169
11/11/2021 13H,60
11/11/2021 12H,12
11/11/2021 11H,10
11/11/2021 10H,10
11/11/2021 09H,10
11/11/2021 08H,10
11/11/2021 07H,10
11/11/2021 06H,10
11/11/2021 05H,10
11/11/2021 04H,10
11/11/2021 03H,10
11/11/2021 02H,10
11/11/2021 01H,11
11/11/2021 00H,10
11/10/2021 23H,10
11/10/2021 22H,17
11/10/2021 21H,84
11/10/2021 20H,190
11/10/2021 19H,252
11/10/2021 18H,266
11/10/2021 17H,247
11/10/2021 16H,165
11/10/2021 15H,125
11/10/2021 14H,47
11/10/2021 13H,16
11/10/2021 12H,10
11/10/2021 11H,10
11/10/2021 10H,10
11/10/2021 09H,10
11/10/2021 08H,10
11/10/2021 07H,10
11/10/2021 06H,10
11/10/2021 05H,10
11/10/2021 04H,10
11/10/2021 03H,10
11/10/2021 02H,10
11/10/2021 01H,10
