Net generation from other for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.OTH.H
19:16:06 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.OTH.H megawatthours
11/9/2021 20H,597
11/9/2021 19H,604
11/9/2021 18H,605
11/9/2021 17H,603
11/9/2021 16H,605
11/9/2021 15H,602
11/9/2021 14H,608
11/9/2021 13H,609
11/9/2021 12H,623
11/9/2021 11H,621
11/9/2021 10H,627
11/9/2021 09H,635
11/9/2021 08H,611
11/9/2021 07H,620
11/9/2021 06H,610
11/9/2021 05H,614
11/9/2021 04H,596
11/9/2021 03H,597
11/9/2021 02H,605
11/9/2021 01H,626
11/9/2021 00H,624
11/8/2021 23H,632
11/8/2021 22H,624
11/8/2021 21H,622
11/8/2021 20H,621
11/8/2021 19H,609
11/8/2021 18H,602
11/8/2021 17H,584
11/8/2021 16H,561
11/8/2021 15H,566
11/8/2021 14H,580
11/8/2021 13H,574
11/8/2021 12H,594
11/8/2021 11H,600
11/8/2021 10H,594
11/8/2021 09H,592
11/8/2021 08H,587
11/8/2021 07H,619
11/8/2021 06H,629
11/8/2021 05H,642
11/8/2021 04H,651
11/8/2021 03H,651
11/8/2021 02H,647
11/8/2021 01H,653
11/8/2021 00H,656
11/7/2021 23H,654
11/7/2021 22H,659
11/7/2021 21H,646
11/7/2021 20H,654
11/7/2021 19H,652
11/7/2021 18H,667
11/7/2021 17H,662
11/7/2021 16H,654
11/7/2021 15H,654
11/7/2021 14H,655
11/7/2021 13H,659
11/7/2021 12H,666
11/7/2021 11H,656
11/7/2021 10H,659
11/7/2021 09H,666
11/7/2021 08H,667
11/7/2021 07H,672
11/7/2021 06H,660
11/7/2021 05H,663
11/7/2021 04H,669
11/7/2021 03H,671
11/7/2021 02H,671
11/7/2021 01H,675
11/7/2021 00H,682
11/6/2021 23H,693
11/6/2021 22H,684
11/6/2021 21H,684
11/6/2021 20H,681
11/6/2021 19H,676
11/6/2021 18H,669
11/6/2021 17H,664
11/6/2021 16H,675
11/6/2021 15H,663
11/6/2021 14H,648
11/6/2021 13H,656
11/6/2021 12H,656
11/6/2021 11H,678
11/6/2021 10H,676
11/6/2021 09H,664
11/6/2021 08H,654
11/6/2021 07H,637
11/6/2021 06H,656
11/6/2021 05H,672
11/6/2021 04H,675
11/6/2021 03H,683
11/6/2021 02H,690
11/6/2021 01H,669
11/6/2021 00H,663
11/5/2021 23H,672
11/5/2021 22H,670
11/5/2021 21H,671
11/5/2021 20H,672
11/5/2021 19H,666
11/5/2021 18H,651
11/5/2021 17H,623
11/5/2021 16H,631
11/5/2021 15H,631
11/5/2021 14H,627
11/5/2021 13H,635
11/5/2021 12H,642
11/5/2021 11H,651
11/5/2021 10H,670
11/5/2021 09H,656
11/5/2021 08H,661
11/5/2021 07H,648
11/5/2021 06H,646
11/5/2021 05H,649
11/5/2021 04H,616
11/5/2021 03H,631
11/5/2021 02H,620
11/5/2021 01H,635
11/5/2021 00H,647
11/4/2021 23H,654
11/4/2021 22H,648
11/4/2021 21H,655
11/4/2021 20H,671
11/4/2021 19H,660
11/4/2021 18H,634
11/4/2021 17H,624
11/4/2021 16H,585
11/4/2021 15H,582
11/4/2021 14H,616
11/4/2021 13H,629
11/4/2021 12H,639
11/4/2021 11H,630
11/4/2021 10H,599
11/4/2021 09H,601
11/4/2021 08H,601
11/4/2021 07H,578
11/4/2021 06H,569
11/4/2021 05H,556
11/4/2021 04H,558
11/4/2021 03H,585
11/4/2021 02H,587
11/4/2021 01H,585
11/4/2021 00H,594
11/3/2021 23H,607
11/3/2021 22H,603
11/3/2021 21H,612
11/3/2021 20H,604
11/3/2021 19H,599
11/3/2021 18H,595
11/3/2021 17H,613
11/3/2021 16H,601
11/3/2021 15H,580
11/3/2021 14H,559
11/3/2021 13H,583
11/3/2021 12H,618
11/3/2021 11H,631
11/3/2021 10H,623
11/3/2021 09H,621
11/3/2021 08H,666
11/3/2021 07H,655
11/3/2021 06H,653
11/3/2021 05H,640
11/3/2021 04H,643
11/3/2021 03H,655
11/3/2021 02H,657
11/3/2021 01H,669
11/3/2021 00H,674
11/2/2021 23H,684
11/2/2021 22H,678
11/2/2021 21H,682
11/2/2021 20H,675
11/2/2021 19H,688
11/2/2021 18H,680
11/2/2021 17H,672
11/2/2021 16H,662
11/2/2021 15H,678
11/2/2021 14H,671
11/2/2021 13H,665
11/2/2021 12H,668
11/2/2021 11H,656
11/2/2021 10H,665
11/2/2021 09H,642
11/2/2021 08H,648
11/2/2021 07H,649
11/2/2021 06H,655
11/2/2021 05H,645
11/2/2021 04H,647
11/2/2021 03H,652
11/2/2021 02H,651
11/2/2021 01H,659
11/2/2021 00H,673
11/1/2021 23H,673
11/1/2021 22H,674
11/1/2021 21H,0
11/1/2021 20H,667
11/1/2021 19H,658
11/1/2021 18H,667
