Net generation from natural gas for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.NG.H
19:15:53 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.NG.H megawatthours
11/13/2021 02H,6224
11/13/2021 01H,6640
11/13/2021 00H,7091
11/12/2021 23H,7313
11/12/2021 22H,6998
11/12/2021 21H,6989
11/12/2021 20H,7067
11/12/2021 19H,7220
11/12/2021 18H,7144
11/12/2021 17H,7144
11/12/2021 16H,7080
11/12/2021 15H,6968
11/12/2021 14H,6307
11/12/2021 13H,6054
11/12/2021 12H,5397
11/12/2021 11H,4422
11/12/2021 10H,3729
11/12/2021 09H,3304
11/12/2021 08H,3210
11/12/2021 07H,3013
11/12/2021 06H,3293
11/12/2021 05H,3748
11/12/2021 04H,4450
11/12/2021 03H,5720
11/12/2021 02H,6740
11/12/2021 01H,7098
11/12/2021 00H,7419
11/11/2021 23H,7438
11/11/2021 22H,7400
11/11/2021 21H,6761
11/11/2021 20H,6197
11/11/2021 19H,5583
11/11/2021 18H,4888
11/11/2021 17H,4725
11/11/2021 16H,4993
11/11/2021 15H,5306
11/11/2021 14H,5819
11/11/2021 13H,6073
11/11/2021 12H,5728
11/11/2021 11H,4608
11/11/2021 10H,3661
11/11/2021 09H,3407
11/11/2021 08H,3494
11/11/2021 07H,3699
11/11/2021 06H,4071
11/11/2021 05H,4213
11/11/2021 04H,4849
11/11/2021 03H,5753
11/11/2021 02H,6701
11/11/2021 01H,7409
11/11/2021 00H,7669
11/10/2021 23H,7681
11/10/2021 22H,7199
11/10/2021 21H,6751
11/10/2021 20H,5729
11/10/2021 19H,5413
11/10/2021 18H,5413
11/10/2021 17H,5658
11/10/2021 16H,5837
11/10/2021 15H,6517
11/10/2021 14H,6974
11/10/2021 13H,7167
11/10/2021 12H,6209
11/10/2021 11H,5025
11/10/2021 10H,4417
11/10/2021 09H,4270
11/10/2021 08H,4248
11/10/2021 07H,4217
11/10/2021 06H,4398
11/10/2021 05H,4595
11/10/2021 04H,5442
11/10/2021 03H,6258
11/10/2021 02H,7173
11/10/2021 01H,7588
11/10/2021 00H,7629
11/9/2021 23H,7681
11/9/2021 22H,7669
11/9/2021 21H,7423
11/9/2021 20H,6800
11/9/2021 19H,6759
11/9/2021 18H,6400
11/9/2021 17H,6375
11/9/2021 16H,6564
11/9/2021 15H,6381
11/9/2021 14H,6504
11/9/2021 13H,6680
11/9/2021 12H,6396
11/9/2021 11H,5353
11/9/2021 10H,5004
11/9/2021 09H,4911
11/9/2021 08H,4698
11/9/2021 07H,5022
11/9/2021 06H,5385
11/9/2021 05H,5883
11/9/2021 04H,6488
11/9/2021 03H,7101
11/9/2021 02H,7844
11/9/2021 01H,8248
11/9/2021 00H,8462
11/8/2021 23H,8419
11/8/2021 22H,8170
11/8/2021 21H,7806
11/8/2021 20H,7509
11/8/2021 19H,7108
11/8/2021 18H,6946
11/8/2021 17H,6737
11/8/2021 16H,6923
11/8/2021 15H,7367
11/8/2021 14H,7562
11/8/2021 13H,7657
11/8/2021 12H,7160
11/8/2021 11H,5675
11/8/2021 10H,5289
11/8/2021 09H,5056
11/8/2021 08H,4910
11/8/2021 07H,4929
11/8/2021 06H,5068
11/8/2021 05H,5404
11/8/2021 04H,6153
11/8/2021 03H,7101
11/8/2021 02H,7643
11/8/2021 01H,7858
11/8/2021 00H,7856
11/7/2021 23H,7954
11/7/2021 22H,7701
11/7/2021 21H,7070
11/7/2021 20H,6427
11/7/2021 19H,6084
11/7/2021 18H,5962
11/7/2021 17H,5720
11/7/2021 16H,5799
11/7/2021 15H,6244
11/7/2021 14H,6418
11/7/2021 13H,6615
