Net generation from wind for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.WND.H
19:16:29 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.WND.H megawatthours
11/3/2021 19H,169
11/3/2021 18H,130
11/3/2021 17H,114
11/3/2021 16H,99
11/3/2021 15H,81
11/3/2021 14H,82
11/3/2021 13H,115
11/3/2021 12H,132
11/3/2021 11H,150
11/3/2021 10H,154
11/3/2021 09H,175
11/3/2021 08H,193
11/3/2021 07H,188
11/3/2021 06H,248
11/3/2021 05H,249
11/3/2021 04H,205
11/3/2021 03H,203
11/3/2021 02H,203
11/3/2021 01H,190
11/3/2021 00H,204
11/2/2021 23H,167
11/2/2021 22H,140
11/2/2021 21H,182
11/2/2021 20H,197
11/2/2021 19H,197
11/2/2021 18H,241
11/2/2021 17H,247
11/2/2021 16H,194
11/2/2021 15H,158
11/2/2021 14H,159
11/2/2021 13H,224
11/2/2021 12H,271
11/2/2021 11H,351
11/2/2021 10H,440
11/2/2021 09H,470
11/2/2021 08H,570
11/2/2021 07H,677
11/2/2021 06H,678
11/2/2021 05H,658
11/2/2021 04H,660
11/2/2021 03H,709
11/2/2021 02H,736
11/2/2021 01H,730
11/2/2021 00H,731
11/1/2021 23H,781
11/1/2021 22H,822
11/1/2021 21H,0
11/1/2021 20H,920
11/1/2021 19H,931
11/1/2021 18H,961
11/1/2021 17H,970
11/1/2021 16H,961
11/1/2021 15H,819
11/1/2021 14H,773
11/1/2021 13H,736
11/1/2021 12H,816
11/1/2021 11H,787
11/1/2021 10H,803
11/1/2021 09H,793
11/1/2021 08H,789
11/1/2021 07H,786
11/1/2021 06H,752
11/1/2021 05H,734
11/1/2021 04H,702
11/1/2021 03H,686
11/1/2021 02H,700
11/1/2021 01H,699
11/1/2021 00H,655
10/31/2021 23H,643
10/31/2021 22H,667
10/31/2021 21H,639
10/31/2021 20H,682
10/31/2021 19H,684
10/31/2021 18H,812
10/31/2021 17H,860
10/31/2021 16H,874
10/31/2021 15H,878
10/31/2021 14H,948
10/31/2021 13H,961
10/31/2021 12H,924
10/31/2021 11H,887
10/31/2021 10H,840
10/31/2021 09H,803
10/31/2021 08H,835
10/31/2021 07H,848
10/31/2021 06H,888
10/31/2021 05H,836
10/31/2021 04H,817
10/31/2021 03H,825
10/31/2021 02H,821
10/31/2021 01H,817
10/31/2021 00H,792
10/30/2021 23H,738
10/30/2021 22H,707
10/30/2021 21H,692
10/30/2021 20H,616
10/30/2021 19H,541
10/30/2021 18H,504
10/30/2021 17H,490
10/30/2021 16H,554
10/30/2021 15H,594
10/30/2021 14H,591
10/30/2021 13H,628
10/30/2021 12H,599
10/30/2021 11H,552
10/30/2021 10H,569
10/30/2021 09H,575
10/30/2021 08H,622
10/30/2021 07H,686
10/30/2021 06H,707
10/30/2021 05H,657
10/30/2021 04H,629
10/30/2021 03H,650
10/30/2021 02H,640
10/30/2021 01H,621
10/30/2021 00H,568
10/29/2021 23H,430
10/29/2021 22H,272
10/29/2021 21H,159
10/29/2021 20H,115
10/29/2021 19H,101
10/29/2021 18H,100
10/29/2021 17H,133
10/29/2021 16H,180
10/29/2021 15H,252
10/29/2021 14H,300
10/29/2021 13H,345
10/29/2021 12H,354
10/29/2021 11H,358
10/29/2021 10H,354
10/29/2021 09H,323
10/29/2021 08H,363
10/29/2021 07H,339
10/29/2021 06H,340
10/29/2021 05H,382
10/29/2021 04H,400
10/29/2021 03H,391
10/29/2021 02H,389
10/29/2021 01H,401
10/29/2021 00H,381
10/28/2021 23H,327
10/28/2021 22H,260
10/28/2021 21H,264
10/28/2021 20H,290
10/28/2021 19H,309
10/28/2021 18H,317
10/28/2021 17H,315
10/28/2021 16H,346
10/28/2021 15H,381
10/28/2021 14H,407
10/28/2021 13H,479
10/28/2021 12H,508
10/28/2021 11H,485
10/28/2021 10H,457
10/28/2021 09H,490
10/28/2021 08H,541
10/28/2021 07H,581
10/28/2021 06H,606
10/28/2021 05H,620
10/28/2021 04H,643
10/28/2021 03H,693
10/28/2021 02H,736
10/28/2021 01H,721
10/28/2021 00H,765
10/27/2021 23H,757
10/27/2021 22H,753
10/27/2021 21H,748
10/27/2021 20H,762
10/27/2021 19H,733
10/27/2021 18H,744
10/27/2021 17H,807
10/27/2021 16H,796
10/27/2021 15H,822
10/27/2021 14H,834
10/27/2021 13H,862
10/27/2021 12H,917
10/27/2021 11H,927
10/27/2021 10H,904
10/27/2021 09H,884
10/27/2021 08H,881
10/27/2021 07H,922
10/27/2021 06H,873
10/27/2021 05H,785
10/27/2021 04H,884
10/27/2021 03H,795
10/27/2021 02H,0
10/27/2021 01H,905
10/27/2021 00H,863
10/26/2021 23H,931
10/26/2021 22H,954
10/26/2021 21H,927
10/26/2021 20H,891
10/26/2021 19H,856
10/26/2021 18H,820
10/26/2021 17H,733
10/26/2021 16H,752
10/26/2021 15H,783
10/26/2021 14H,771
10/26/2021 13H,745
10/26/2021 12H,697
10/26/2021 11H,643
