Net generation from coal for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.COL.H
19:15:39 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.COL.H megawatthours
11/12/2021 06H,0
11/12/2021 05H,0
11/12/2021 04H,0
11/12/2021 03H,0
11/12/2021 02H,0
11/12/2021 01H,0
11/12/2021 00H,0
11/11/2021 23H,0
11/11/2021 22H,0
11/11/2021 21H,0
11/11/2021 20H,0
11/11/2021 19H,0
11/11/2021 18H,0
11/11/2021 17H,0
11/11/2021 16H,0
11/11/2021 15H,0
11/11/2021 14H,0
11/11/2021 13H,0
11/11/2021 12H,0
11/11/2021 11H,0
11/11/2021 10H,0
11/11/2021 09H,0
11/11/2021 08H,0
11/11/2021 07H,0
11/11/2021 06H,0
11/11/2021 05H,0
11/11/2021 04H,0
11/11/2021 03H,0
11/11/2021 02H,0
11/11/2021 01H,0
11/11/2021 00H,0
11/10/2021 23H,0
11/10/2021 22H,0
11/10/2021 21H,0
11/10/2021 20H,0
11/10/2021 19H,0
11/10/2021 18H,2
11/10/2021 17H,0
11/10/2021 16H,0
11/10/2021 15H,0
11/10/2021 14H,1
11/10/2021 13H,2
11/10/2021 12H,2
11/10/2021 11H,2
11/10/2021 10H,0
11/10/2021 09H,0
11/10/2021 08H,0
11/10/2021 07H,0
11/10/2021 06H,1
11/10/2021 05H,1
11/10/2021 04H,1
11/10/2021 03H,0
11/10/2021 02H,0
11/10/2021 01H,0
11/10/2021 00H,0
11/9/2021 23H,0
11/9/2021 22H,0
11/9/2021 21H,0
11/9/2021 20H,0
11/9/2021 19H,0
11/9/2021 18H,0
11/9/2021 17H,0
11/9/2021 16H,0
11/9/2021 15H,0
11/9/2021 14H,0
11/9/2021 13H,0
11/9/2021 12H,0
11/9/2021 11H,0
11/9/2021 10H,0
11/9/2021 09H,0
11/9/2021 08H,0
11/9/2021 07H,0
11/9/2021 06H,0
11/9/2021 05H,0
11/9/2021 04H,0
11/9/2021 03H,0
11/9/2021 02H,0
11/9/2021 01H,0
11/9/2021 00H,0
11/8/2021 23H,0
11/8/2021 22H,0
11/8/2021 21H,0
11/8/2021 20H,0
11/8/2021 19H,0
11/8/2021 18H,0
11/8/2021 17H,0
11/8/2021 16H,0
11/8/2021 15H,0
11/8/2021 14H,0
11/8/2021 13H,0
11/8/2021 12H,0
11/8/2021 11H,0
11/8/2021 10H,0
11/8/2021 09H,0
11/8/2021 08H,0
11/8/2021 07H,0
11/8/2021 06H,0
11/8/2021 05H,0
11/8/2021 04H,0
11/8/2021 03H,0
11/8/2021 02H,0
11/8/2021 01H,0
11/8/2021 00H,0
11/7/2021 23H,0
11/7/2021 22H,0
11/7/2021 21H,0
11/7/2021 20H,0
11/7/2021 19H,0
11/7/2021 18H,0
11/7/2021 17H,0
11/7/2021 16H,0
11/7/2021 15H,0
11/7/2021 14H,0
11/7/2021 13H,0
11/7/2021 12H,0
11/7/2021 11H,0
11/7/2021 10H,0
11/7/2021 09H,0
11/7/2021 08H,0
11/7/2021 07H,0
11/7/2021 06H,0
11/7/2021 05H,0
11/7/2021 04H,0
11/7/2021 03H,0
11/7/2021 02H,0
11/7/2021 01H,0
11/7/2021 00H,0
11/6/2021 23H,0
11/6/2021 22H,0
11/6/2021 21H,0
11/6/2021 20H,0
11/6/2021 19H,0
11/6/2021 18H,0
11/6/2021 17H,0
11/6/2021 16H,0
11/6/2021 15H,0
11/6/2021 14H,0
11/6/2021 13H,0
11/6/2021 12H,0
11/6/2021 11H,0
11/6/2021 10H,0
11/6/2021 09H,0
11/6/2021 08H,0
11/6/2021 07H,0
11/6/2021 06H,0
11/6/2021 05H,0
11/6/2021 04H,0
11/6/2021 03H,0
11/6/2021 02H,0
11/6/2021 01H,0
11/6/2021 00H,0
11/5/2021 23H,0
11/5/2021 22H,0
11/5/2021 21H,0
11/5/2021 20H,0
11/5/2021 19H,0
11/5/2021 18H,0
11/5/2021 17H,1
11/5/2021 16H,1
11/5/2021 15H,1
11/5/2021 14H,3
11/5/2021 13H,0
11/5/2021 12H,0
11/5/2021 11H,0
11/5/2021 10H,0
11/5/2021 09H,0
11/5/2021 08H,0
11/5/2021 07H,0
11/5/2021 06H,0
11/5/2021 05H,0
11/5/2021 04H,0
11/5/2021 03H,0
11/5/2021 02H,0
11/5/2021 01H,0
11/5/2021 00H,0
11/4/2021 23H,0
11/4/2021 22H,0
11/4/2021 21H,0
11/4/2021 20H,0
11/4/2021 19H,0
11/4/2021 18H,0
11/4/2021 17H,0
11/4/2021 16H,0
11/4/2021 15H,0
11/4/2021 14H,0
11/4/2021 13H,0
11/4/2021 12H,0
11/4/2021 11H,0
11/4/2021 10H,0
11/4/2021 09H,0
11/4/2021 08H,0
11/4/2021 07H,0
11/4/2021 06H,0
11/4/2021 05H,0
11/4/2021 04H,0
11/4/2021 03H,0
11/4/2021 02H,0
11/4/2021 01H,2
11/4/2021 00H,0
11/3/2021 23H,0
11/3/2021 22H,0
11/3/2021 21H,0
11/3/2021 20H,0
11/3/2021 19H,0
11/3/2021 18H,3
11/3/2021 17H,1
11/3/2021 16H,1
11/3/2021 15H,3
11/3/2021 14H,0
11/3/2021 13H,0
11/3/2021 12H,0
11/3/2021 11H,0
11/3/2021 10H,0
11/3/2021 09H,0
11/3/2021 08H,0
11/3/2021 07H,0
11/3/2021 06H,0
11/3/2021 05H,0
11/3/2021 04H,0
11/3/2021 03H,0
11/3/2021 02H,0
11/3/2021 01H,0
11/3/2021 00H,0
11/2/2021 23H,0
11/2/2021 22H,0
11/2/2021 21H,3
11/2/2021 20H,0
11/2/2021 19H,0
11/2/2021 18H,0
11/2/2021 17H,0
11/2/2021 16H,0
11/2/2021 15H,0
11/2/2021 14H,0
11/2/2021 13H,0
11/2/2021 12H,0
11/2/2021 11H,0
11/2/2021 10H,0
11/2/2021 09H,0
11/2/2021 08H,0
11/2/2021 07H,0
11/2/2021 06H,0
11/2/2021 05H,0
11/2/2021 04H,0
11/2/2021 03H,0
11/2/2021 02H,0
11/2/2021 01H,0
11/2/2021 00H,0
11/1/2021 23H,0
11/1/2021 22H,10
11/1/2021 21H,0
11/1/2021 20H,14
11/1/2021 19H,0
11/1/2021 18H,0
11/1/2021 17H,0
11/1/2021 16H,0
11/1/2021 15H,0
11/1/2021 14H,0
11/1/2021 13H,0
11/1/2021 12H,0
11/1/2021 11H,0
11/1/2021 10H,0
11/1/2021 09H,0
11/1/2021 08H,0
11/1/2021 07H,0
11/1/2021 06H,0
11/1/2021 05H,0
11/1/2021 04H,0
11/1/2021 03H,0
11/1/2021 02H,0
11/1/2021 01H,0
11/1/2021 00H,0
10/31/2021 23H,0
10/31/2021 22H,0
10/31/2021 21H,0
10/31/2021 20H,0
10/31/2021 19H,0
10/31/2021 18H,0
10/31/2021 17H,0
10/31/2021 16H,0
10/31/2021 15H,0
10/31/2021 14H,0
10/31/2021 13H,0
10/31/2021 12H,0
10/31/2021 11H,0
10/31/2021 10H,0
10/31/2021 09H,0
10/31/2021 08H,0
10/31/2021 07H,0
10/31/2021 06H,0
10/31/2021 05H,0
10/31/2021 04H,0
10/31/2021 03H,0
10/31/2021 02H,0
10/31/2021 01H,0
10/31/2021 00H,0
10/30/2021 23H,0
10/30/2021 22H,0
10/30/2021 21H,0
10/30/2021 20H,0
10/30/2021 19H,0
10/30/2021 18H,0
10/30/2021 17H,8
10/30/2021 16H,6
10/30/2021 15H,6
10/30/2021 14H,2
10/30/2021 13H,0
10/30/2021 12H,2
10/30/2021 11H,1
10/30/2021 10H,2
10/30/2021 09H,2
10/30/2021 08H,3
10/30/2021 07H,2
10/30/2021 06H,1
10/30/2021 05H,2
10/30/2021 04H,2
10/30/2021 03H,4
10/30/2021 02H,5
10/30/2021 01H,3
10/30/2021 00H,5
10/29/2021 23H,5
10/29/2021 22H,4
10/29/2021 21H,0
10/29/2021 20H,0
10/29/2021 19H,0
10/29/2021 18H,0
10/29/2021 17H,0
10/29/2021 16H,0
10/29/2021 15H,2
10/29/2021 14H,0
10/29/2021 13H,0
10/29/2021 12H,0
10/29/2021 11H,0
10/29/2021 10H,0
10/29/2021 09H,0
10/29/2021 08H,0
10/29/2021 07H,0
10/29/2021 06H,0
10/29/2021 05H,0
10/29/2021 04H,0
10/29/2021 03H,0
10/29/2021 02H,0
10/29/2021 01H,0
10/29/2021 00H,0
10/28/2021 23H,0
10/28/2021 22H,0
10/28/2021 21H,0
10/28/2021 20H,0
10/28/2021 19H,0
10/28/2021 18H,0
10/28/2021 17H,0
10/28/2021 16H,0
10/28/2021 15H,0
10/28/2021 14H,0
10/28/2021 13H,0
10/28/2021 12H,0
10/28/2021 11H,0
10/28/2021 10H,0
10/28/2021 09H,0
10/28/2021 08H,0
10/28/2021 07H,0
10/28/2021 06H,0
10/28/2021 05H,0
10/28/2021 04H,0
10/28/2021 03H,0
10/28/2021 02H,0
10/28/2021 01H,0
10/28/2021 00H,0
10/27/2021 23H,0
10/27/2021 22H,0
10/27/2021 21H,0
10/27/2021 20H,0
10/27/2021 19H,0
10/27/2021 18H,0
10/27/2021 17H,0
10/27/2021 16H,0
10/27/2021 15H,0
10/27/2021 14H,0
10/27/2021 13H,0
10/27/2021 12H,0
10/27/2021 11H,0
10/27/2021 10H,0
10/27/2021 09H,0
10/27/2021 08H,0
10/27/2021 07H,0
10/27/2021 06H,0
10/27/2021 05H,0
10/27/2021 04H,0
10/27/2021 03H,0
10/27/2021 02H,0
10/27/2021 01H,0
10/27/2021 00H,2
10/26/2021 23H,5
10/26/2021 22H,1
10/26/2021 21H,1
10/26/2021 20H,0
10/26/2021 19H,0
10/26/2021 18H,0
10/26/2021 17H,0
10/26/2021 16H,0
10/26/2021 15H,0
10/26/2021 14H,0
10/26/2021 13H,0
10/26/2021 12H,0
10/26/2021 11H,0
10/26/2021 10H,0
10/26/2021 09H,0
10/26/2021 08H,0
10/26/2021 07H,0
10/26/2021 06H,0
10/26/2021 05H,0
10/26/2021 04H,0
10/26/2021 03H,0
10/26/2021 02H,0
10/26/2021 01H,1
10/26/2021 00H,2
10/25/2021 23H,3
10/25/2021 22H,4
10/25/2021 21H,1
10/25/2021 20H,0
10/25/2021 19H,0
10/25/2021 18H,0
10/25/2021 17H,0
10/25/2021 16H,6
10/25/2021 15H,1
10/25/2021 14H,0
10/25/2021 13H,0
10/25/2021 12H,0
10/25/2021 11H,0
10/25/2021 10H,0
10/25/2021 09H,0
10/25/2021 08H,0
10/25/2021 07H,0
10/25/2021 06H,0
10/25/2021 05H,0
